date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2015-01-02,62.33,63.03,61.82,57.6050039734,666711.0,-0.114,0.8361,0.9501,59.6939,54.8906,57.2922,57.1629,58.12,57.5895,2.3463,88.8321,15.9919,False
2015-01-05,62.16,62.24,60.74,56.6081540408,952943.0,-0.2175,0.6782,0.8957,59.6942,54.8833,57.2887,48.6244,57.7176,57.6253,0.8515,62.4288,10.3653,False
2015-01-06,61.39,61.73,60.36,56.5343133051,1190042.0,-0.2838,0.5409,0.8248,59.695,54.8708,57.2829,48.0547,57.2912,57.6819,0.1383,52.6107,8.4824,False
2015-01-07,61.8,62.3,61.36,57.4665525939,925175.0,-0.2585,0.5016,0.7601,59.7129,54.9658,57.3394,55.1608,57.125,57.7933,1.2101,72.6267,10.8037,False
2015-01-08,62.83,63.1875,62.71,58.2788006871,907227.0,-0.1842,0.5298,0.7141,59.7995,55.0669,57.4332,60.2386,57.2986,57.9767,3.3206,97.7351,14.2478,False
2015-01-09,63.28,63.41,62.62,58.0849687557,555558.0,-0.1469,0.5305,0.6773,59.8185,55.263,57.5408,58.5435,57.3946,58.0647,3.9044,95.1924,15.0838,False
2015-01-12,62.89,63.17,62.42,57.9003669164,666198.0,-0.1337,0.5102,0.6439,59.8114,55.4531,57.6322,56.9094,57.653,58.0117,3.057,87.8616,14.0673,False
2015-01-13,63.05,63.98,62.21,58.0295882039,946821.0,-0.1161,0.4988,0.6149,59.7412,55.7577,57.7495,57.7929,57.9521,57.9994,5.3169,93.6081,17.0836,False
2015-01-14,62.09,62.34,61.55,57.429632226,585043.0,-0.1429,0.4363,0.5792,59.6193,56.043,57.8311,52.4436,57.9447,57.9176,2.6849,62.6759,13.7744,False
2015-01-15,62.43,62.64,61.87,57.5034729617,749894.0,-0.1527,0.3883,0.541,59.3857,56.4741,57.9299,53.0171,57.7896,57.8105,2.4534,68.4231,14.8864,False
2015-01-16,62.16,63.34,62.11,58.4172520666,846587.0,-0.0975,0.4191,0.5166,59.3793,56.6457,58.0125,59.4934,57.8561,57.7902,2.9751,87.9315,17.4137,False
2015-01-20,63.45,63.789,62.65,58.4172520666,654867.0,-0.0625,0.4385,0.501,59.343,56.6544,57.9987,59.4934,57.9594,57.7767,0.2972,97.6014,18.9828,False
2015-01-21,62.87,63.19,62.41,57.9003669164,753318.0,-0.0748,0.4075,0.4823,59.3242,56.6418,57.983,54.6057,57.9336,57.7256,-1.7263,79.4459,17.7665,False
2015-01-22,63.01,63.9582,62.5,58.9249071248,644936.0,-0.0176,0.4603,0.4779,59.3692,56.6235,57.9964,61.3493,58.2327,57.7675,0.3109,101.4327,20.4148,False
2015-01-23,63.86,64.42,63.6435,59.0818186883,773642.0,0.0248,0.5089,0.4841,59.3633,56.6266,57.995,62.2691,58.5483,57.8788,0.4209,121.7811,21.9513,True
2015-01-26,63.87,64.21,63.48,59.1187390562,640354.0,0.048,0.5441,0.4961,59.4353,56.5943,58.0148,62.4941,58.6886,57.9797,0.0935,115.137,21.1094,True
2015-01-27,63.28,63.43,62.47,58.2788006871,1048144.0,0.0019,0.4985,0.4966,59.3967,56.5987,57.9977,54.5629,58.6609,58.0911,-0.7666,77.4562,16.0754,True
