date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2014-01-02,555.68,557.03,552.021,17.5973776426,8381600.0,-0.0599,0.178,0.2379,18.2287,17.7975,17.3662,51.7023,17.7692,17.7385,-1.6508,68.5218,11.7406,False
2014-01-03,552.86,553.7,540.43,17.2108353499,14016700.0,-0.0922,0.1226,0.2149,18.2519,17.7593,17.2667,44.8987,17.6234,17.6953,-2.7214,38.235,7.0539,False
2014-01-06,537.45,546.8,533.6,17.3046871823,14736100.0,-0.1036,0.0854,0.189,18.2302,17.7211,17.212,46.7225,17.5206,17.6601,-4.9268,24.4567,4.4292,False
2014-01-07,544.32,545.96,537.925,17.1808504848,11328900.0,-0.1149,0.0453,0.1602,18.2477,17.6893,17.131,44.6339,17.4284,17.6295,-3.6683,21.6803,4.4292,False
2014-01-08,538.81,545.56,538.69,17.2897345175,9233200.0,-0.1105,0.0221,0.1326,18.2153,17.6528,17.0903,46.8713,17.3167,17.5997,-4.2171,23.5372,4.4292,False
2014-01-09,546.8,546.86,535.3501,17.0689122908,9969600.0,-0.1172,-0.0139,0.1033,18.2007,17.6066,17.0125,43.0878,17.211,17.5606,-3.7015,10.8891,3.1288,False
2014-01-10,539.83,540.8,531.11,16.9550493389,10892000.0,-0.1235,-0.0511,0.0724,18.2071,17.5614,16.9157,41.2484,17.1598,17.5228,-5.284,-8.0953,1.4971,False
2014-01-13,529.91,542.5,529.88,17.0438109024,13517600.0,-0.116,-0.0726,0.0434,18.1924,17.522,16.8515,43.2711,17.1077,17.5042,-4.04,-6.6563,2.1285,False
2014-01-14,538.22,546.73,537.66,17.3829500662,11877200.0,-0.0839,-0.0615,0.0224,18.18,17.5092,16.8383,50.2789,17.1481,17.4987,-2.8692,19.8772,3.6906,False
2014-01-15,553.52,560.2,551.66,17.731951626,13987100.0,-0.0374,-0.0243,0.0131,18.1795,17.5089,16.8384,56.2393,17.2365,17.4717,-0.4335,67.8343,8.4237,False
2014-01-16,554.9,556.85,551.68,17.6330095247,8188500.0,-0.0127,-0.0027,0.0099,18.1773,17.5078,16.8382,54.2635,17.3494,17.4432,-0.463,57.3269,8.4237,False
2014-01-17,551.48,552.07,539.9,17.2009729539,15240700.0,-0.0242,-0.0203,0.0039,18.1744,17.4917,16.809,46.6033,17.3985,17.3939,0.1124,15.342,3.8095,False
2014-01-21,540.99,550.07,540.42,17.4682120699,11733100.0,-0.0131,-0.0125,0.0006,18.1774,17.499,16.8207,51.1715,17.4834,17.3706,0.0127,23.4314,3.8095,False
2014-01-22,550.9147,557.29,547.81,17.5458386702,13570900.0,-0.0005,-0.0001,0.0005,18.1815,17.503,16.8245,52.4379,17.516,17.3642,1.0297,45.7302,6.3361,False
2014-01-23,549.94,556.5,544.8064,17.694410893,14401400.0,0.0169,0.0215,0.0047,18.1016,17.4809,16.8601,54.8397,17.5085,17.3539,-2.4916,45.4166,5.1675,True
2014-01-24,554.0,555.62,544.75,17.3727695285,15334100.0,0.0063,0.0126,0.0063,18.0085,17.4465,16.8845,49.0897,17.4564,17.3389,-2.8433,28.431,5.1454,True
2014-01-27,550.07,554.8,545.75,17.513706348,19817100.0,0.0083,0.0166,0.0083,17.9412,17.4252,16.9092,51.4782,17.519,17.3591,-2.5812,33.5326,5.1454,True
2014-01-28,508.76,515.0,502.07,16.1138824073,38054400.0,-0.0803,-0.092,-0.0117,18.0816,17.3399,16.5983,34.3356,17.2481,17.2797,-8.7543,-149.9853,9.9826,False
