date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2014-01-02,149.8,152.4769,146.55,30.02,6188400.0,0.5084,0.3119,0.1965,29.2224,27.1282,31.3166,54.053,30.3836,29.6222,5.2,-4.9492,0.009,True
2014-01-03,150.0,152.19,148.601,29.912,4695000.0,0.4879,0.3471,0.1408,29.3285,27.3222,31.3349,53.4905,30.146,29.7543,5.3728,-1.2408,0.009,True
2014-01-06,150.0,150.4,145.24,29.4,5361100.0,0.4254,0.3627,0.0626,29.3937,27.4687,31.3187,50.8049,29.9812,29.748,4.918,-11.326,1.5573,True
2014-01-07,147.62,150.4,145.25,29.872,5034100.0,0.4092,0.372,0.0372,29.5137,27.7947,31.2328,53.1292,29.858,29.7708,5.5513,-6.071,1.5573,True
2014-01-08,148.85,153.7,148.76,30.256,6163200.0,0.4225,0.3821,0.0404,29.6105,27.9544,31.2667,54.9832,29.892,29.8153,8.4686,9.7271,0.0325,True
2014-01-09,152.5,153.43,146.85,29.506,5382000.0,0.3683,0.3793,-0.0111,29.6639,28.0959,31.2319,50.78,29.7892,29.7496,5.1827,2.695,0.8808,False
2014-01-10,148.46,148.9,142.25,29.14398,7446100.0,0.2927,0.362,-0.0693,29.7246,28.3474,31.1018,48.8487,29.6356,29.7195,4.0895,-12.7679,3.0487,False
2014-01-13,145.78,147.0,137.82,27.868,6316100.0,0.1284,0.3153,-0.1869,29.6433,28.0468,31.2399,42.714,29.3292,29.7011,-0.8365,-32.4492,5.082,False
2014-01-14,140.5,162.0,136.671,32.254,27607000.0,0.3481,0.3219,0.0262,29.7795,27.8211,31.7379,60.8305,29.8056,29.9415,6.7194,36.5643,1.9953,True
2014-01-15,168.45,172.23,162.1,32.826,20465600.0,0.5619,0.3699,0.192,29.9414,27.5793,32.3035,62.4882,30.3196,30.2159,14.4918,113.8708,6.3689,True
2014-01-16,162.5,172.7,162.4,34.194,11959400.0,0.8321,0.4623,0.3698,30.1265,27.1267,33.1263,66.158,31.2572,30.4767,11.686,130.6153,6.5637,True
2014-01-17,170.19,173.2,167.95,34.002,9206200.0,1.019,0.5736,0.4453,30.3468,26.9186,33.7749,65.1988,32.2288,30.6701,11.8141,141.0127,6.7736,True
2014-01-21,171.24,177.29,170.81,35.336,9734700.0,1.2602,0.711,0.5493,30.7064,26.8022,34.6106,68.5889,33.7224,31.0109,20.6054,164.5185,8.4834,True
2014-01-22,177.81,180.319,174.76,35.712,7022600.0,1.4649,0.8617,0.6031,31.0596,26.7113,35.4079,69.4866,34.414,31.3592,24.9179,178.9066,9.7303,True
2014-01-23,177.23,182.38,173.42,36.3,7867400.0,1.6554,1.0205,0.6349,31.4391,26.6725,36.2056,70.8809,35.1088,31.7735,24.7128,182.7684,10.5734,True
2014-01-24,177.85,180.48,173.531,34.92,7664300.0,1.6757,1.1515,0.5242,31.671,26.7051,36.6369,63.5759,35.254,32.1001,16.4613,162.769,10.5734,True
2014-01-27,175.16,177.92,164.71,33.924,8716400.0,1.5931,1.2398,0.3533,31.8122,26.7594,36.865,58.8831,35.2384,32.3676,12.6076,129.6525,6.1837,True
2014-01-28,171.5,178.98,171.0,35.676,6093400.0,1.65,1.3219,0.3281,32.0848,26.8203,37.3493,63.9045,35.3064,32.786,15.0998,154.8208,6.6367,True
2014-01-29,175.3,179.09,173.131,35.046,5935500.0,1.6255,1.3826,0.2429,32.3127,26.9507,37.6747,61.0328,35.1732,33.1309,15.6837,148.1087,6.6842,True
2014-01-30,178.0,184.78,177.01,36.568,8565000.0,1.7092,1.4479,0.2613,32.6368,27.0726,38.201,65.0931,35.2268,33.5517,20.6136,172.2685,9.1188,True
2014-01-31,178.85,186.0,178.5146,36.282,6508800.0,1.7325,1.5048,0.2276,32.9499,27.3058,38.594,63.7556,35.4992,34.0035,21.9857,171.2137,9.6329,True
2014-02-03,182.89,184.8797,175.16,35.422,6764900.0,1.6624,1.5363,0.126,33.2254,27.664,38.7868,59.7971,35.7988,34.422,21.4795,155.6369,7.9258,True
2014-02-04,180.7,181.6,176.2,35.746,4686300.0,1.6143,1.5519,0.0624,33.5427,28.1696,38.9158,60.7801,35.8128,34.9472,20.7447,147.0888,7.9258,True
2014-02-05,178.3,180.59,169.36,34.884,7268000.0,1.4895,1.5395,-0.0499,33.7933,28.6665,38.9201,56.82,35.7804,35.1225,20.0731,121.4098,4.4947,False
2014-02-06,176.3,180.11,176.0,35.676,5841600.0,1.438,1.5192,-0.0812,34.0643,29.1453,38.9833,59.4226,35.602,35.3125,17.1828,130.7895,4.4947,False
2014-02-07,181.01,186.63,179.6,37.306,8928500.0,1.5112,1.5176,-0.0063,34.4543,29.8138,39.0948,64.1829,35.8068,35.52,21.6385,149.9774,7.3969,False
2014-02-10,189.34,199.3,189.32,39.312,12970700.0,1.7114,1.5563,0.1551,34.9627,30.5377,39.3877,68.9812,36.5848,35.874,33.8482,185.0211,12.6427,True
2014-02-11,199.19,202.2,192.7,39.324,10709900.0,1.8497,1.615,0.2347,35.5355,32.0707,39.0003,69.0078,37.3004,36.1399,37.551,181.0699,13.7796,True
2014-02-12,195.78,198.269,194.32,39.064,5173700.0,1.9162,1.6753,0.241,35.876,32.4296,39.3224,67.6603,38.1364,36.3633,22.3883,164.8665,13.7796,True
2014-02-13,193.34,202.72,193.25,39.926,8029300.0,2.0153,1.7433,0.272,36.231,32.6542,39.8078,69.758,38.9864,36.6051,17.7031,163.7538,15.5247,True
2014-02-14,198.1,201.88,197.0,39.646,6158000.0,2.0476,1.8041,0.2435,36.5036,32.7621,40.2451,68.218,39.4544,36.9201,16.8964,156.3201,15.5247,True
2014-02-18,205.244,206.0,201.3601,40.74,9332800.0,2.1368,1.8707,0.2662,36.8405,32.8552,40.8258,70.9066,39.74,37.3745,18.9376,163.2084,17.1303,True
2014-02-19,203.7,203.7,193.41,38.728,16169000.0,2.0219,1.9009,0.121,37.0101,33.0067,41.0135,60.7756,39.6208,37.578,14.8965,132.8095,12.9187,True
2014-02-20,215.01,215.21,206.27,41.994,18002300.0,2.1693,1.9546,0.2147,37.3242,32.8227,41.8257,68.5827,40.2068,38.0412,19.3496,169.9361,17.2969,True
2014-02-21,211.64,213.98,209.19,41.92,7818800.0,2.2542,2.0145,0.2397,37.6052,32.7101,42.5003,68.2529,40.6056,38.398,17.3265,163.0824,17.2969,True
2014-02-24,208.7599,218.36,208.32,43.53,8278400.0,2.4235,2.0963,0.3272,38.0357,32.6692,43.4022,71.4528,41.3824,38.8812,20.9885,167.4172,18.9016,True
2014-02-25,230.0,259.2,228.45,49.6,32681700.0,3.0127,2.2796,0.7331,38.8195,31.7691,45.8699,79.7128,43.1544,39.8264,45.6835,249.2359,31.5036,True
2014-02-26,258.58,265.0,247.5,50.6,24604600.0,3.5198,2.5276,0.9921,39.5657,31.0065,48.1249,80.6986,45.5288,40.8167,48.0612,261.9687,33.0071,True
2014-02-27,261.25,261.9,248.33,50.508,17945800.0,3.8696,2.796,1.0736,40.3388,30.8135,49.8641,80.3139,47.2316,41.8583,46.2393,243.3219,33.0071,True
2014-02-28,249.65,252.68,242.55,48.962,14589800.0,3.9763,3.0321,0.9442,40.9585,30.8976,51.0194,73.9657,48.64,42.744,36.7464,209.7905,30.0648,True
2014-03-03,237.26,251.65,234.99,50.112,13089300.0,4.1062,3.2469,0.8593,41.65,31.0815,52.2185,75.5086,49.9564,43.5977,35.2957,195.3907,26.3471,True
2014-03-04,258.48,260.0,252.83,50.968,8745600.0,4.2296,3.4434,0.7861,42.4273,31.5239,53.3307,76.6139,50.23,44.3748,40.632,209.854,28.6382,True
