date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2015-01-02,111.39,111.44,107.35,24.8592220705,53204626.0,0.0331,-0.0662,-0.0331,26.4382,24.4203,25.4293,43.3753,25.4722,25.2811,-4.22,-1.2375,1.023,False
2015-01-05,108.29,108.65,105.41,24.1588982437,64285491.0,0.0005,-0.1305,-0.13,26.4006,24.2478,25.3242,37.1471,25.1203,25.1997,-7.2952,-39.5183,4.1662,False
2015-01-06,106.54,107.43,104.63,24.1611720224,65797116.0,-0.0405,-0.1638,-0.2043,26.3446,24.1051,25.2248,37.1785,24.7724,25.1471,-7.4518,-51.0223,5.3946,False
2015-01-07,107.2,108.2,106.695,24.4999650425,40105934.0,-0.079,-0.1541,-0.2332,26.3233,24.0206,25.172,41.8158,24.5554,25.1399,-5.6242,-32.8844,4.0556,False
2015-01-08,109.23,112.15,108.7,25.441309407,59364547.0,-0.0988,-0.0792,-0.178,26.2498,24.0434,25.1466,52.2985,24.6241,25.2179,-1.881,14.4123,2.4124,False
2015-01-09,112.67,113.25,110.21,25.4685947509,53315099.0,-0.1052,-0.0254,-0.1306,26.2513,24.0433,25.1473,52.5639,24.746,25.2573,-1.3931,26.0199,4.1005,False
2015-01-12,112.6,112.63,108.8,24.8410318412,49650790.0,-0.1125,-0.0295,-0.142,26.2266,24.0141,25.1204,46.2258,24.8824,25.2057,-1.0281,-3.0097,1.8048,False
2015-01-13,111.43,112.8,108.91,25.0615883711,67091928.0,-0.1164,-0.0154,-0.1317,26.2298,24.0221,25.1259,48.5613,25.0625,25.1821,0.8313,-0.0957,2.0696,False
2015-01-14,109.04,110.49,108.5,24.9660896674,48956588.0,-0.1191,-0.0107,-0.1298,26.2249,24.0628,25.1438,47.6022,25.1557,25.1345,-0.9946,-23.9884,1.399,False
2015-01-15,110.0,110.06,106.66,24.2885036273,60013996.0,-0.1314,-0.0494,-0.1809,26.223,24.0663,25.1447,41.3878,24.9252,25.0478,-0.0908,-63.0237,1.553,False
2015-01-16,107.03,107.58,105.2,24.0997799986,78513345.0,-0.1519,-0.082,-0.2339,26.2724,23.9393,25.1058,39.8359,24.6514,24.9565,-2.0575,-98.4549,3.8127,False
2015-01-20,107.84,108.9667,106.5,24.7205215723,49899907.0,-0.1662,-0.057,-0.2232,26.2148,23.9075,25.0611,46.8582,24.6273,24.8767,-3.2697,-65.1126,1.5611,False
2015-01-21,108.95,111.06,108.27,24.9092452009,48575897.0,-0.1724,-0.0249,-0.1973,26.1793,23.8922,25.0358,48.8047,24.5968,24.8106,-1.9251,-35.2379,1.7115,False
