date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2015-01-02,89.67,90.09,88.43,79.2458090251,2021565.0,1.4812,0.039,1.5203,71.9263,77.8958,83.8652,58.8156,80.3019,78.5037,4.03,107.123,12.5389,True
2015-01-05,88.04,88.32,87.18,77.9078000929,2998923.0,1.4425,-0.1548,1.2877,71.9845,77.9404,83.8962,51.3927,79.6026,78.7094,2.0333,77.4187,8.4994,False
2015-01-06,87.5,87.77,86.01,77.3458363413,2867550.0,1.3632,-0.3172,1.046,72.0208,77.9636,83.9063,48.6308,78.9229,78.9955,1.4799,61.209,4.9148,False
2015-01-07,87.16,88.75,87.16,78.9692871791,2865541.0,1.2854,-0.3112,0.9742,72.2507,78.1223,83.994,55.9569,78.6268,79.3909,3.006,84.3386,7.5174,False
2015-01-08,89.0,90.15,88.84,80.1734952181,2807888.0,1.2289,-0.226,1.0029,72.4818,78.3319,84.1821,60.4407,78.7284,79.8078,5.785,110.9383,11.0543,False
2015-01-09,89.95,90.15,89.38,80.0842946226,2392955.0,1.1845,-0.1776,1.0068,72.9545,78.6018,84.249,59.9563,78.8961,80.0742,5.6734,111.5284,11.0543,False
2015-01-12,89.11,90.0201,88.91,79.8434530148,2418523.0,1.1434,-0.1642,0.9793,73.4594,78.8529,84.2463,58.5976,79.2833,80.0605,5.3729,103.0934,9.5991,False
2015-01-13,89.77,91.34,89.15,80.1288949203,4009506.0,1.1086,-0.1394,0.9692,74.4957,79.2066,83.9174,59.7557,79.8399,80.0201,9.4285,112.2832,12.8602,False
2015-01-14,89.54,89.54,88.0,79.1922886678,2377914.0,1.062,-0.1864,0.8756,75.7458,79.5143,83.2829,54.4057,79.8845,79.8773,8.0748,81.471,9.3646,False
2015-01-15,89.01,89.1,87.67,78.6481650353,1824431.0,0.9994,-0.2505,0.7489,76.9453,79.7507,82.5561,51.5338,79.5794,79.6841,5.8006,69.0543,8.3849,False
2015-01-16,87.75,89.01,87.55,79.2904093228,2657392.0,0.938,-0.2456,0.6923,77.6464,79.9108,82.1752,54.5668,79.4206,79.5396,4.3371,69.9902,8.0271,False
2015-01-20,88.89,89.42,87.92,79.049567715,2335235.0,0.8746,-0.2537,0.6209,77.567,79.8608,82.1547,53.2284,79.2619,79.3826,-1.7255,70.9659,9.0702,False
2015-01-21,88.35,88.63,87.73,78.7998060477,2040751.0,0.8072,-0.2693,0.5379,77.4626,79.7641,82.0655,51.8164,78.996,79.2529,-2.9882,59.0492,8.4903,False
2015-01-22,88.72,89.56,87.95,79.8345329552,2656855.0,0.7557,-0.2063,0.5494,77.5022,79.6891,81.8761,56.8925,79.1245,79.2119,-1.8521,74.1933,10.8496,False
