date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,409.4,412.5,409.0,12.6490309331,10793600.0,0.0992,0.0686,0.1678,11.5612,12.127,12.6927,65.1149,12.4914,12.1556,4.7939,115.5905,6.3316,True
2012-01-04,410.0,414.68,409.28,12.7170083627,9286500.0,0.117,0.0713,0.1883,11.5375,12.1584,12.7793,66.4195,12.5339,12.1999,4.6089,121.9963,7.1099,True
2012-01-05,414.95,418.55,412.67,12.8581922549,9688200.0,0.1363,0.0771,0.2134,11.5123,12.2,12.8877,68.9993,12.6285,12.2598,6.0614,141.5932,8.4828,True
2012-01-06,419.77,422.75,419.22,12.9926091631,11367600.0,0.1573,0.0841,0.2414,11.4914,12.2512,13.0111,71.2522,12.7348,12.3463,8.1368,165.4731,9.9516,True
2012-01-09,425.5001,427.75,421.35,12.9720006211,14072300.0,0.1776,0.0813,0.2589,11.486,12.299,13.1121,70.4117,12.8378,12.4341,8.1542,171.6843,11.6679,True
2012-01-10,425.9101,426.0,421.5,13.0184467381,9221300.0,0.1968,0.0766,0.2734,11.4792,12.3446,13.21,71.2312,12.9117,12.5207,8.1109,165.6869,11.6679,True
2012-01-11,422.68,422.85,419.31,12.9972230158,7681600.0,0.2134,0.0665,0.2799,11.4928,12.3918,13.2908,70.2782,12.9677,12.6034,7.3496,153.3255,10.712,True
2012-01-12,422.28,422.9,418.75,12.961542555,7592400.0,0.2265,0.0525,0.279,11.5333,12.4419,13.3506,68.6244,12.9884,12.6555,6.955,150.0293,10.4661,True
2012-01-13,419.7,420.45,418.66,12.9129433067,8072200.0,0.2355,0.0358,0.2712,11.6407,12.5029,13.365,66.346,12.9724,12.7035,8.5368,142.4246,10.4261,True
2012-01-17,424.2,425.99,422.96,13.0633549043,8674900.0,0.2432,0.0309,0.2741,11.7714,12.5732,13.375,69.6837,12.9907,12.7571,11.0101,163.4443,12.4155,True
2012-01-18,426.96,429.47,426.3,13.1990021732,9885400.0,0.2513,0.0326,0.284,11.9031,12.6472,13.3913,72.3349,13.0268,12.8099,11.7975,173.8604,13.6407,True
2012-01-19,430.15,431.369,426.51,13.1571699089,9347800.0,0.2581,0.027,0.2852,12.0635,12.7172,13.3709,70.3034,13.0588,12.8535,12.0876,165.3964,14.306,True
2012-01-20,427.49,427.5,419.75,12.9280152255,14784800.0,0.2594,0.0052,0.2646,12.1442,12.7547,13.3652,60.3551,13.0521,12.8897,7.9273,128.8121,11.2048,True
2012-01-23,422.67,428.45,422.3,13.1466810838,10930800.0,0.2601,0.0028,0.2629,12.2265,12.8023,13.3781,65.3658,13.0988,12.9354,7.8404,139.924,11.5478,True
2012-01-24,425.1001,425.1001,419.55,12.9313987175,19558500.0,0.2563,-0.015,0.2413,12.315,12.8359,13.3568,57.6763,13.0725,12.967,6.5067,113.2425,10.2937,False
2012-01-25,454.44,454.45,443.73,13.7388229375,34225500.0,0.2623,0.0238,0.2862,12.2864,12.9026,13.5187,71.2615,13.1804,13.0396,12.6019,223.9319,20.0491,True
2012-01-26,448.36,448.79,443.14,13.6763821311,11570900.0,0.2724,0.0406,0.313,12.2874,12.9612,13.6349,69.4153,13.2843,13.1036,9.7045,198.0421,19.7829,True
2012-01-27,444.34,448.48,443.77,13.7578935286,10703900.0,0.2854,0.0516,0.337,12.3258,13.0298,13.7338,70.4848,13.4502,13.1636,9.8543,189.7668,19.7829,True
2012-01-30,445.71,453.9,445.39,13.9341427012,13547900.0,0.3015,0.0645,0.366,12.3466,13.1035,13.8603,72.6967,13.6077,13.2263,11.8945,192.9675,21.4385,True
2012-01-31,455.59,458.24,453.07,14.0408764933,13988700.0,0.3198,0.0733,0.3931,12.3826,13.1826,13.9826,73.9627,13.8296,13.2976,12.7892,197.8134,22.737,True
2012-02-01,458.41,458.99,455.55,14.0319563781,9644500.0,0.3377,0.0714,0.4091,12.4102,13.2518,14.0933,73.6569,13.8883,13.3652,11.2703,187.5379,22.9608,True
2012-02-02,455.9,457.17,453.98,13.999044229,6671300.0,0.353,0.0614,0.4144,12.452,13.3159,14.1797,72.4722,13.9528,13.4319,10.2465,170.9128,22.2073,True
2012-02-03,457.3,460.0,455.56,14.1393053506,10235700.0,0.3674,0.0576,0.4249,12.4724,13.3799,14.2874,74.3555,14.0291,13.5105,9.9032,169.5397,23.0714,True
2012-02-06,458.38,464.98,458.201,14.2712615374,8907600.0,0.3817,0.0572,0.4389,12.4764,13.4439,14.4114,76.0098,14.0965,13.601,9.9894,170.1671,24.5709,True
2012-02-07,465.25,469.75,464.581,14.4207503644,11293700.0,0.3967,0.0601,0.4568,12.4861,13.5163,14.5466,77.7519,14.1725,13.6915,9.8188,174.2794,25.9763,True
2012-02-08,470.5,476.79,469.7,14.662208655,14567500.0,0.4143,0.0705,0.4849,12.4816,13.5985,14.7154,80.2357,14.2985,13.7891,11.9225,181.432,27.9901,True
2012-02-09,480.76,496.75,480.56,15.1694248602,31579100.0,0.4398,0.102,0.5418,12.4337,13.7071,14.9805,84.2045,14.5326,13.9232,17.4766,210.007,33.2277,True
2012-02-10,490.96,497.62,488.55,15.1771146147,22546500.0,0.468,0.1128,0.5808,12.4419,13.8179,15.1939,84.2559,14.7402,14.0732,17.6685,204.546,33.4423,True
2012-02-13,499.53,503.83,497.09,15.4594823991,18472000.0,0.4999,0.1274,0.6273,12.4607,13.9452,15.4297,86.0414,14.9778,14.2273,19.8311,210.0497,34.9595,True
2012-02-14,504.66,509.56,502.0,15.6704892619,16442800.0,0.5346,0.1388,0.6734,12.4707,14.0756,15.6804,87.2033,15.2277,14.4099,19.6178,209.9145,36.3216,True
2012-02-15,514.26,526.29,496.89,15.3078404408,53790000.0,0.5623,0.1107,0.6729,12.5436,14.181,15.8184,75.6131,15.3569,14.5145,22.5441,197.8381,40.0495,True
2012-02-16,491.5,504.89,486.63,15.4474863821,33734000.0,0.585,0.091,0.676,12.6403,14.2955,15.9508,76.8809,15.4125,14.6326,17.0436,169.1599,35.1163,True
2012-02-17,503.11,507.77,500.3,15.4447180705,19135900.0,0.6021,0.0684,0.6705,12.8193,14.4214,16.0234,76.7961,15.466,14.7451,18.7766,172.1525,35.7622,True
2012-02-21,506.88,514.85,504.12,15.8362803684,21628400.0,0.6197,0.0702,0.6898,12.9528,14.5558,16.1589,80.1191,15.5414,14.8719,20.1657,177.6599,37.3221,True
2012-02-22,513.08,515.49,509.07,15.780606546,17260800.0,0.6343,0.0584,0.6926,13.1947,14.6983,16.2019,78.4085,15.5634,14.9879,21.2632,169.4427,37.4617,True
