date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,53.92,54.09,52.92,43.9997949032,5309600.0,-0.1446,-0.8967,-0.7522,50.1011,41.7991,45.9501,40.629,44.176,45.0679,-8.6626,-123.1252,10.4848,False
2012-01-04,52.74,53.13,52.51,43.9831755284,4232100.0,-0.1087,-0.888,-0.7793,49.62,41.7492,45.6846,40.5554,44.176,44.7748,-11.7442,-134.75,11.2669,False
2012-01-05,52.95,52.97,51.81,43.1438970987,5640900.0,-0.1269,-0.9379,-0.811,49.1234,41.6433,45.3834,36.9384,44.0197,44.4419,-11.6283,-148.2627,12.5929,False
2012-01-06,51.91,52.15,51.47,43.0691099119,5586600.0,-0.1291,-0.9724,-0.8433,48.6572,41.552,45.1046,36.6265,43.6857,44.2092,-11.4099,-152.7621,13.2334,False
2012-01-09,51.75,51.9,51.5,42.9943227251,4966700.0,-0.1207,-0.9942,-0.8735,48.443,41.3565,44.8997,36.2981,43.4381,43.966,-10.9319,-147.0882,13.2334,False
2012-01-10,52.14,53.29,52.02,43.7338849057,4985100.0,-0.054,-0.941,-0.887,47.7375,41.5568,44.6471,41.8242,43.3849,43.8818,-9.5553,-112.0103,9.8308,False
2012-01-11,52.05,53.86,51.67,44.5980923977,6269300.0,0.0539,-0.8197,-0.8735,47.0315,41.8847,44.4581,47.5237,43.5079,43.8912,-7.8529,-95.0421,8.4716,True
2012-01-12,53.19,54.06,53.0,44.8224539581,5096400.0,0.1409,-0.6974,-0.8383,46.2495,42.3351,44.2923,48.9158,43.8436,43.8746,-8.4505,-74.1355,7.9946,True
2012-01-13,53.67,54.02,52.4,44.2490855259,5478400.0,0.1592,-0.6393,-0.7985,45.8351,42.5185,44.1768,45.6033,44.0796,43.9411,-6.7012,-83.8734,9.2124,True
2012-01-17,53.6,53.95,53.4,44.4485180241,4963800.0,0.1823,-0.5707,-0.7529,45.2922,42.842,44.0671,46.9423,44.3704,43.9915,-5.4173,-69.9065,9.2124,True
2012-01-18,53.69,55.31,53.46,45.6617323878,6061900.0,0.2715,-0.4136,-0.6851,45.4539,42.7468,44.1003,54.2779,44.756,44.1056,-0.3064,-40.8446,5.9258,True
2012-01-19,55.25,55.47,54.57,45.5370870764,5753100.0,0.3115,-0.2957,-0.6072,45.6402,42.6685,44.1544,53.4642,44.9438,44.2092,1.8548,-28.8596,5.5458,True
2012-01-20,54.93,56.61,54.76,46.3763655061,6051000.0,0.3793,-0.1331,-0.5124,45.9545,42.4847,44.2196,58.0059,45.2546,44.3726,3.6623,-5.1738,2.8717,True
2012-01-23,55.91,56.52,55.74,46.9331145635,4802400.0,0.4421,0.0403,-0.4019,46.4432,42.3641,44.4036,60.7298,45.7914,44.5189,5.0558,11.0225,2.8717,True
2012-01-24,56.27,56.78,55.67,47.0577598748,4133900.0,0.4699,0.1856,-0.2844,46.8858,42.258,44.5719,61.3315,46.3132,44.7072,7.7828,15.44,2.2607,True
2012-01-25,56.6,57.29,56.01,47.5231023705,2972200.0,0.495,0.3344,-0.1606,47.3756,42.1255,44.7506,63.5644,46.6855,44.9421,8.2373,32.0383,1.0631,True
2012-01-26,57.23,57.41,56.54,47.2987408101,3312400.0,0.472,0.4293,-0.0426,47.738,42.0947,44.9164,61.7232,47.0378,45.1632,8.0354,39.4913,0.7807,True
2012-01-27,56.85,57.24,56.39,46.8832564389,3469600.0,0.4066,0.4657,0.059,47.9714,42.1571,45.0643,58.3686,47.1392,45.4124,7.8372,33.8507,1.1319,True
2012-01-30,56.13,57.09,55.86,47.415076434,3520100.0,0.3778,0.5312,0.1535,48.2744,42.1217,45.1981,61.2564,47.2356,45.7022,5.8987,34.0894,2.3735,True
2012-01-31,57.3,57.8,57.0,47.6477476818,4542600.0,0.3533,0.5951,0.2418,48.5877,42.1499,45.3688,62.4765,47.3536,46.0124,7.4349,58.625,0.6515,True
2012-02-01,57.99,58.52,57.61,48.5451939235,4166600.0,0.3745,0.71,0.3354,49.0309,42.1613,45.5961,66.7975,47.558,46.3332,8.1901,86.6052,1.0648,True
2012-02-02,58.55,58.59,57.76,48.005064241,2716500.0,0.3307,0.7488,0.4181,49.3009,42.2934,45.7972,62.1802,47.6993,46.5603,10.2767,81.9948,1.2313,True
2012-02-03,58.24,58.6,58.21,48.4537873618,2131300.0,0.3107,0.8065,0.4958,49.5265,42.5989,46.0627,64.3723,48.0134,46.8024,10.6287,92.6648,1.2555,True
2012-02-06,57.67,58.25,57.6,47.9136576793,2729700.0,0.2429,0.7994,0.5565,49.5693,43.0405,46.3049,59.895,48.1131,47.0467,11.697,75.4717,0.2571,True
2012-02-07,57.44,58.02,57.08,48.162948302,2864500.0,0.1985,0.8046,0.6061,49.5445,43.5822,46.5633,61.2285,48.2161,47.2943,11.7919,69.6805,1.5322,True
2012-02-08,57.9,57.9,56.45,47.4233861214,4441100.0,0.1075,0.7405,0.633,49.4493,44.0463,46.7478,55.3759,47.9918,47.4118,8.6508,51.1509,3.0591,True
2012-02-09,57.18,57.59,57.11,47.7059154938,3519600.0,0.0571,0.7044,0.6473,49.445,44.3614,46.9032,57.056,47.9319,47.5563,6.9254,60.1292,3.0591,True
2012-02-10,56.99,57.0599,56.5,47.3319795598,2558900.0,-0.0072,0.6383,0.6455,49.3885,44.6689,47.0287,54.1641,47.7076,47.62,5.5492,43.1094,4.5414,False
2012-02-13,57.23,57.75,56.9899,47.7059154938,2345900.0,-0.0292,0.609,0.6382,49.2004,45.2026,47.2015,56.5251,47.666,47.6716,6.9049,62.0703,2.7342,False
2012-02-14,56.99,57.74,56.98,47.7474639309,2902900.0,-0.0446,0.5824,0.627,48.9255,45.8074,47.3665,56.79,47.5829,47.7175,7.025,62.4357,2.7587,False
2012-02-15,58.08,58.73,57.57,48.0964708026,3527100.0,-0.0354,0.5828,0.6182,48.8654,46.111,47.4882,59.037,47.7175,47.7558,6.1833,82.7673,0.1897,False
2012-02-16,58.1,58.525,57.67,48.5701229857,2107000.0,-0.0031,0.6143,0.6174,48.7701,46.5096,47.6399,61.9165,47.8904,47.8405,5.5075,84.8439,0.1897,False
2012-02-17,58.76,58.99,58.15,48.5535036109,1788600.0,0.0106,0.6306,0.6201,48.7869,46.7105,47.7487,61.7533,48.1347,47.9519,4.2042,91.7594,1.0124,True
2012-02-21,58.73,58.84,57.95,48.3125226756,2308100.0,-0.0025,0.617,0.6194,48.8123,46.823,47.8177,59.3241,48.256,48.0117,4.1047,81.9439,0.4851,False
2012-02-22,57.94,58.64,57.71,48.6366004851,2777400.0,0.0046,0.6251,0.6206,48.8881,46.9051,47.8966,61.506,48.4338,48.0776,3.2758,79.0192,0.1511,True
2012-02-23,58.57,59.55,58.46,49.3678529783,3683300.0,0.0497,0.6827,0.633,49.1525,46.8252,47.9889,65.9249,48.6881,48.1325,3.9448,103.2123,2.2354,True
2012-02-24,59.03,60.0,59.03,49.5672854765,2763100.0,0.0824,0.736,0.6536,49.4083,46.7963,48.1023,67.0308,48.8876,48.2366,4.5114,112.5987,3.3931,True
2012-02-27,59.13,59.91,59.13,49.5755951639,2186600.0,0.0931,0.77,0.6769,49.5673,46.9065,48.2369,67.0785,49.092,48.3114,4.6646,108.8312,3.3931,True
2012-02-28,59.83,59.83,59.11,49.6586920381,2142300.0,0.0941,0.7945,0.7004,49.7594,46.9388,48.3491,67.5811,49.3612,48.4278,4.7994,106.5118,3.3368,True
2012-02-29,59.76,59.83,59.43,49.4758789148,2257500.0,0.0717,0.79,0.7183,49.8934,46.9876,48.4405,65.2339,49.5291,48.5153,3.5121,105.7523,3.3368,True
2012-03-01,59.81,59.91,59.45,49.5922145387,2571300.0,0.0548,0.7868,0.732,50.0301,46.9556,48.4928,66.0381,49.5739,48.6599,2.3753,106.9876,3.5538,True
2012-03-02,59.54,59.7,59.13,49.5257370393,2397000.0,0.0304,0.77,0.7396,50.1519,46.9859,48.5689,65.1159,49.5656,48.7812,1.8945,100.747,2.6166,True
2012-03-05,59.58,61.0,59.58,50.5893770295,5433100.0,0.0747,0.8329,0.7583,50.4851,46.8662,48.6757,71.8541,49.7684,48.9983,4.0956,129.8477,6.1266,True
2012-03-06,60.28,60.585,59.37,49.4094014154,4029600.0,0.0163,0.7786,0.7623,50.5513,46.9496,48.7504,58.4373,49.7185,49.1119,4.0086,107.7536,5.5019,True
2012-03-07,59.63,59.9,59.07,49.5340467268,2575200.0,-0.0202,0.7371,0.7573,50.6296,47.0084,48.819,59.2975,49.7302,49.231,3.2403,96.9481,4.6074,False
2012-03-08,60.12,60.5,59.82,50.0824860967,1806500.0,-0.0139,0.74,0.7538,50.7232,47.1807,48.952,62.9156,49.8282,49.3634,4.4905,114.3213,6.2246,False
2012-03-09,60.72,61.12,60.31,50.5727576546,2206200.0,0.0152,0.7729,0.7576,50.9036,47.287,49.0953,65.8253,50.0376,49.4969,6.1295,127.581,7.8659,True
2012-03-12,60.91,61.23,60.45,50.8137385899,2590500.0,0.0411,0.8091,0.7679,51.035,47.5038,49.2694,67.1813,50.0825,49.6476,7.3083,129.3739,8.1559,True
2012-03-13,61.38,62.44,61.2,51.8607592051,3818000.0,0.115,0.9117,0.7967,51.4262,47.528,49.4771,72.2984,50.5728,49.8842,8.1212,152.1566,11.2802,True
2012-03-14,62.36,62.75,62.26,52.0269529536,2595900.0,0.1587,0.995,0.8364,51.769,47.6132,49.6911,73.014,51.0713,50.1102,8.6768,158.2538,12.0597,True
2012-03-15,62.55,63.67,62.25,52.8745410707,3290100.0,0.2242,1.1166,0.8924,52.2981,47.5619,49.93,76.3519,51.6297,50.344,8.4114,168.4348,14.331,True
2012-03-16,63.79,63.985,63.13,52.8662313833,6566400.0,0.2448,1.1984,0.9536,52.7482,47.5414,50.1448,76.2529,52.0884,50.5639,9.3293,171.7695,15.0946,True
2012-03-19,63.34,63.67,63.11,52.6917279474,2993700.0,0.2251,1.2349,1.0099,53.0715,47.6319,50.3517,74.0897,52.464,50.7716,7.9335,160.3114,15.0284,True
2012-03-20,63.09,63.24,62.665,52.4175082624,3239700.0,0.1742,1.2276,1.0534,53.2497,47.8643,50.557,70.7123,52.5754,50.9556,7.4779,145.776,13.5506,True
2012-03-21,63.39,64.27,63.39,52.9742573198,3394800.0,0.1591,1.2523,1.0932,53.5113,48.0364,50.7739,73.3546,52.7649,51.1888,9.601,160.9894,16.0882,True
2012-03-22,63.17,63.61,62.7,52.783134509,4804800.0,0.1191,1.2421,1.123,53.7355,48.1537,50.9446,70.9987,52.7466,51.4015,6.8178,142.6368,13.8123,True
2012-03-23,64.01,64.9,63.2,53.9132519985,6655500.0,0.1497,1.3102,1.1604,54.1591,48.1647,51.1619,75.9019,52.956,51.694,8.1667,162.6166,16.9094,True
2012-03-26,64.98,65.89,64.77,54.7525304282,4204900.0,0.204,1.4155,1.2114,54.7057,48.1359,51.4208,78.7593,53.3681,51.9716,9.9816,184.2239,19.1761,True
2012-03-27,65.13,65.5,64.68,54.3952138691,5455200.0,0.1935,1.4534,1.2598,55.0803,48.2349,51.6576,74.718,53.7637,52.3039,9.4769,169.5306,18.8763,True
2012-03-28,65.13,65.34,64.27,53.5974838765,3534200.0,0.1144,1.4028,1.2884,55.232,48.4954,51.8637,66.5495,53.8883,52.5748,9.2094,150.733,17.5068,True
2012-03-29,63.91,64.61,63.91,53.5974838765,2436200.0,0.0471,1.3473,1.3002,55.3433,48.7845,52.0639,66.5495,54.0512,52.8092,7.8451,136.1091,16.3103,True
2012-03-30,64.49,64.96,64.24,53.5974838765,2716400.0,-0.0095,1.2884,1.2978,55.3933,49.1417,52.2675,66.5495,53.988,53.0108,8.8107,135.6347,17.1445,False
2012-04-02,64.63,65.66,64.4,54.4201429313,3405700.0,-0.0037,1.2932,1.2969,55.6193,49.2988,52.4591,70.6231,53.9216,53.2512,7.6393,144.2607,18.7907,False
2012-04-03,65.23,65.49,64.6,53.9714198105,2277100.0,-0.0404,1.2464,1.2868,55.5814,49.7929,52.6872,65.9308,53.8368,53.392,8.0961,135.6901,18.7907,False
2012-04-04,64.56,64.77,63.85,53.5476257519,2384800.0,-0.1,1.1617,1.2618,55.4127,50.363,52.8878,61.7774,53.8268,53.4933,8.1302,116.736,16.2318,False
2012-04-05,64.09,65.11,63.98,53.8384648117,2726600.0,-0.1251,1.1054,1.2305,55.2758,50.8755,53.0756,63.4696,53.875,53.5576,7.6198,119.2439,17.0555,False
2012-04-09,64.04,64.1,63.45,52.9659476323,2547400.0,-0.2012,0.979,1.1802,55.0749,51.3157,53.1953,55.5631,53.7487,53.5642,4.8757,94.9,15.2588,False
2012-04-10,63.52,63.785,63.0,52.4756760744,3987000.0,-0.2804,0.8298,1.1101,54.8515,51.7053,53.2784,51.6867,53.3598,53.5498,4.1728,80.7403,13.7513,False
2012-04-11,63.04,63.99,62.78,53.4271352843,3359700.0,-0.2647,0.7793,1.0439,54.7894,51.9241,53.3567,57.8073,53.251,53.6172,3.5697,96.3984,15.9474,False
2012-04-12,63.57,64.22,63.48,53.8554257432,2924900.0,-0.2232,0.765,0.9882,54.7578,52.1385,53.4481,60.2368,53.3125,53.6759,3.4285,103.7953,16.5158,False
2012-04-13,63.61,63.61,62.41,52.5285651058,4975800.0,-0.2791,0.6392,0.9184,54.7789,52.0828,53.4308,50.5711,53.0505,53.6589,0.9658,74.5411,12.9033,False
2012-04-16,62.73,62.8597,61.769,51.9659090128,4144900.0,-0.3439,0.4885,0.8324,54.8605,51.9112,53.3858,47.1348,52.8505,53.5291,-0.7164,55.3649,10.8103,False
2012-04-17,62.39,64.3,62.39,53.8974150039,4837000.0,-0.2507,0.519,0.7697,54.9008,51.9914,53.4461,57.7052,53.1349,53.4721,2.061,87.8614,14.4349,False
2012-04-18,63.7,63.95,63.04,53.3767481715,3650700.0,-0.2195,0.4954,0.7148,54.8711,52.117,53.4941,54.5547,53.1248,53.4042,2.1956,82.139,14.4349,False
2012-04-19,63.59,63.71,62.61,52.9484577126,3079700.0,-0.2222,0.4371,0.6593,54.8718,52.1137,53.4928,52.0502,52.9434,53.3609,0.1804,69.7962,13.0168,False
2012-04-20,63.19,63.9,63.04,53.2423825373,2696600.0,-0.1995,0.4099,0.6094,54.8616,52.1698,53.5157,53.6159,53.0862,53.3373,1.5217,75.0763,13.4985,False
2012-04-23,62.79,63.16,62.26,52.9316620083,2992700.0,-0.2002,0.3591,0.5594,54.8225,52.1108,53.4667,51.7036,53.2793,53.2929,-1.6485,57.1897,10.9339,False
2012-04-24,63.16,63.69,62.7,52.7553071135,3056800.0,-0.2065,0.3012,0.5077,54.6194,52.1142,53.3668,50.606,53.0509,53.1819,-2.3133,61.3911,12.3032,False
2012-04-25,63.52,64.15,63.23,53.7966407783,2839900.0,-0.1378,0.3354,0.4733,54.5162,52.1575,53.3369,56.4544,53.1349,53.1702,-1.0219,77.9101,13.4772,False
2012-04-26,63.96,64.66,63.91,54.031780638,2152100.0,-0.0769,0.3772,0.454,54.5718,52.1453,53.3586,57.6671,53.3516,53.2025,0.0092,87.8844,14.7638,False
2012-04-27,64.69,65.2,64.43,54.6028345832,3872300.0,-0.0023,0.4511,0.4535,54.7355,52.0822,53.4089,60.5273,53.6236,53.2535,1.9838,99.8519,16.1071,False
2012-04-30,64.81,65.15,64.6101,54.5440496183,2033100.0,0.0367,0.4993,0.4626,54.871,52.0413,53.4562,60.0796,53.9461,53.3587,1.3566,97.6073,16.1071,True
2012-05-01,64.85,65.64,64.8,54.586038879,2234000.0,0.0576,0.5346,0.477,54.9036,52.0254,53.4645,60.3043,54.3123,53.4994,1.0302,101.1768,17.3297,True
2012-05-02,64.55,65.4,64.46,54.6952109567,2637200.0,0.0704,0.565,0.4946,55.0229,51.9784,53.5007,60.9172,54.492,53.5839,0.9221,94.97,16.1354,True
2012-05-03,65.09,65.18,64.06,53.9226085603,2600000.0,0.0208,0.5207,0.4998,55.0527,51.9861,53.5194,54.5333,54.4701,53.5884,1.7007,79.5277,14.7381,True
2012-05-04,63.71,63.94,62.61,52.5789522187,3376300.0,-0.1016,0.3728,0.4744,55.035,51.8779,53.4564,45.6241,54.0654,53.5917,-0.755,39.2763,9.8651,False
2012-05-07,61.52,61.85,60.08,50.5718655583,5852800.0,-0.3054,0.0926,0.3981,55.3493,51.3242,53.3367,36.1675,53.2709,53.4988,-2.4864,-28.9103,2.166,False
2012-05-08,60.41,60.41,58.56,49.8328545704,7419500.0,-0.468,-0.1869,0.2811,55.7121,50.6971,53.2046,33.4336,52.3203,53.2278,-4.2864,-69.4996,2.0288,False
2012-05-09,58.61,59.72,58.33,49.7320803448,5242000.0,-0.5543,-0.4118,0.1425,55.9444,50.0953,53.0198,33.0684,51.3277,52.9848,-6.6729,-82.7362,2.6439,False
2012-05-10,59.75,59.78,58.395,49.2953920338,5095200.0,-0.6085,-0.6182,-0.0096,56.1054,49.4783,52.7918,31.4723,50.4022,52.7413,-6.9137,-89.6713,2.4732,False
2012-05-11,58.42,59.25,58.08,49.2198113646,3237300.0,-0.6153,-0.7788,-0.1635,56.2881,48.9647,52.6264,31.1931,49.7304,52.4731,-6.8543,-101.1396,3.3314,False
2012-05-14,58.21,59.1699,57.9,49.3877684073,4031800.0,-0.5752,-0.8824,-0.3073,56.4157,48.5793,52.4975,32.6164,49.4936,52.2369,-5.8699,-103.3304,3.8232,False
2012-05-15,58.51,60.07,58.36,49.4885426329,5149000.0,-0.5106,-0.9455,-0.4349,56.3485,48.2056,52.277,33.5006,49.4247,52.0191,-6.5785,-89.3369,1.2048,False
2012-05-16,59.32,60.12,59.04,49.6481018235,3839200.0,-0.4292,-0.9714,-0.5422,56.2832,47.898,52.0906,34.9488,49.4079,51.7425,-5.9891,-81.7709,1.0609,False
2012-05-17,59.1,59.245,58.39,49.0350586176,2823300.0,-0.3899,-1.0295,-0.6397,56.2704,47.5194,51.8949,32.0735,49.3559,51.4094,-7.0083,-107.9281,2.8874,False
2012-05-18,58.73,58.92,57.54,48.4136175596,4276900.0,-0.3786,-1.1129,-0.7343,56.2331,47.0739,51.6535,29.4427,49.1946,50.9968,-7.7934,-128.1167,5.2144,False
2012-05-21,57.89,59.18,57.65,49.6061125628,3185300.0,-0.2689,-1.0704,-0.8015,56.1104,46.8641,51.4872,39.6246,49.2383,50.6676,-6.3015,-108.0336,4.4359,False
2012-05-22,59.27,59.65,58.55,49.4885426329,3102400.0,-0.1862,-1.0343,-0.8481,55.987,46.6608,51.3239,39.0297,49.2383,50.3278,-6.3432,-94.7578,3.0345,False
2012-05-23,58.51,59.13,58.01,49.4717469286,3973100.0,-0.118,-0.9956,-0.8776,55.6925,46.5228,51.1076,38.9402,49.203,49.9795,-7.8254,-106.1485,4.5313,False
2012-05-24,58.99,59.37,57.675,48.6991445322,5800800.0,-0.1104,-1.0156,-0.9052,55.3339,46.3481,50.841,34.9864,49.1358,49.6313,-8.1813,-116.1512,5.4521,False
2012-05-25,57.93,58.265,57.42,48.2372626647,4480700.0,-0.121,-1.0565,-0.9354,54.8014,46.2441,50.5227,32.85,49.1006,49.3419,-10.6365,-134.3504,6.1527,False
2012-05-29,57.87,58.76,57.78,49.0518543219,4218300.0,-0.0608,-1.0115,-0.9507,54.1473,46.349,50.2481,39.7967,48.9897,49.2405,-9.8081,-113.9638,4.6222,False
2012-05-30,58.04,58.27,57.58,48.4724025245,3133600.0,-0.0482,-1.0109,-0.9627,53.3625,46.5224,49.9424,36.8883,48.7865,49.1498,-11.2279,-125.1347,5.1839,False
2012-05-31,57.9,57.94,56.21,47.9517356921,5136400.0,-0.0622,-1.0405,-0.9783,52.347,46.8636,49.6053,34.4634,48.4825,49.0311,-11.4067,-145.3111,8.9205,False
2012-06-01,56.35,56.5,54.94,46.4233266035,7582100.0,-0.1564,-1.1738,-1.0174,51.522,46.9387,49.2303,28.559,48.0273,48.8397,-13.317,-184.1378,12.1831,False
2012-06-04,55.23,56.23,55.23,47.1287461829,4454500.0,-0.1529,-1.2085,-1.0556,50.8539,47.0617,48.9578,34.1388,47.8056,48.7003,-12.0582,-168.065,12.1831,False
