date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,28.7,29.01,28.51,28.57,4495100.0,0.1711,0.2628,0.0917,26.6345,27.8232,29.012,56.2608,28.333,27.821,5.6831,78.8189,1.0124,True
2012-01-04,28.5,28.59,28.04,28.28,3852400.0,0.1888,0.2594,0.0706,26.6368,27.8417,29.0467,53.7947,28.289,27.8803,1.8525,48.7374,0.8237,True
2012-01-05,28.07,28.62,28.05,28.48,2999500.0,0.205,0.2697,0.0647,26.6316,27.8677,29.1039,55.2443,28.382,27.9797,1.5614,52.963,0.7048,True
2012-01-06,28.37,28.79,28.14,28.72,5781700.0,0.2227,0.2938,0.0711,26.6201,27.9107,29.2014,56.9796,28.464,28.1263,2.8582,64.0359,0.0256,True
2012-01-09,28.76,28.83,28.44,28.53,3514700.0,0.237,0.2942,0.0572,26.6748,27.9682,29.2617,55.1654,28.516,28.2643,2.5614,66.0564,0.1356,True
2012-01-10,28.61,29.35,28.61,29.2,4442700.0,0.2585,0.3446,0.0861,26.6256,28.0262,29.4269,59.9798,28.642,28.331,4.2629,100.6572,2.2188,True
2012-01-11,29.16,29.39,28.96,29.32,3306300.0,0.2848,0.3898,0.105,26.6468,28.1227,29.5987,60.7878,28.85,28.452,5.7194,111.1555,2.3781,True
2012-01-12,29.43,29.47,28.8302,29.23,3704300.0,0.3105,0.4135,0.103,26.7798,28.2347,29.6897,59.8173,29.0,28.5047,6.3899,104.5801,1.8306,True
2012-01-13,29.11,29.18,28.45,28.97,2903900.0,0.3297,0.4067,0.0769,27.1015,28.3572,29.613,57.0006,29.05,28.5713,7.477,76.5544,0.234,True
2012-01-17,29.17,29.48,28.99,29.35,2903500.0,0.3492,0.427,0.0778,27.5166,28.5017,29.4869,59.9535,29.214,28.669,9.1448,107.804,1.4736,True
2012-01-18,29.27,29.89,29.22,29.89,4553700.0,0.3756,0.4811,0.1055,27.442,28.5862,29.7305,63.7445,29.352,28.7757,3.3184,137.6758,3.1461,True
2012-01-19,29.91,30.28,29.88,30.24,4303100.0,0.4096,0.5459,0.1363,27.479,28.723,29.967,65.9809,29.536,28.8917,7.0343,170.5464,4.7109,True
2012-01-20,30.28,30.55,30.18,30.5,4091200.0,0.45,0.6113,0.1613,27.3697,28.826,30.2823,67.5729,29.79,29.0573,7.2306,183.4632,5.7825,True
2012-01-23,30.33,30.78,29.98,30.23,5378200.0,0.4868,0.6339,0.1472,27.4167,28.939,30.4613,64.2286,30.042,29.1853,8.4567,167.661,6.6916,True
2012-01-24,30.17,31.0,30.08,30.95,4715800.0,0.5298,0.7019,0.1721,27.4159,29.0922,30.7686,68.6602,30.362,29.364,9.7345,184.8329,7.5592,True
2012-01-25,30.59,31.4,30.51,31.34,5459800.0,0.5795,0.7783,0.1988,27.3477,29.2447,31.1418,70.7623,30.652,29.5487,10.9541,202.1061,9.1216,True
2012-01-26,31.15,31.77,31.0,31.18,4287800.0,0.6269,0.8165,0.1896,27.3379,29.3787,31.4196,68.7357,30.84,29.742,10.4659,205.897,10.5439,True
2012-01-27,30.47,31.211,30.31,31.05,4291000.0,0.6669,0.8267,0.1599,27.4666,29.5305,31.5944,67.0637,30.95,29.9133,9.2057,167.1741,7.3575,True
2012-01-30,30.69,31.125,30.55,31.0,5184400.0,0.6978,0.8214,0.1236,27.5863,29.665,31.7437,66.3981,31.104,30.0653,9.4025,159.7537,7.3575,True
2012-01-31,31.18,31.25,30.85,30.95,3753600.0,0.719,0.8038,0.0848,27.752,29.799,31.846,65.6995,31.104,30.2267,9.1131,160.5813,7.8551,True
2012-02-01,31.2,31.5,31.09,31.24,4654400.0,0.736,0.804,0.068,27.8753,29.9325,31.9897,67.8046,31.084,30.3627,8.5832,171.1856,8.8509,True
2012-02-02,31.24,31.68,31.21,31.285,3803900.0,0.7485,0.7986,0.0501,28.0924,30.0827,32.0731,68.1298,31.105,30.4937,10.808,171.6065,9.5665,True
2012-02-03,31.7,32.17,31.6,31.85,4588200.0,0.7649,0.8303,0.0655,28.2615,30.2512,32.241,71.9421,31.265,30.6683,12.4039,190.1736,11.4901,True
