date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,36.46,36.71,35.91,28.6324273374,3021500.0,0.1168,0.2571,0.1403,29.3798,27.9482,26.5166,56.2054,28.5514,27.8573,-0.2446,79.4832,6.4747,True
2012-01-04,36.01,36.08,35.65,28.592693189,1428000.0,0.102,0.2678,0.1658,29.3831,27.9494,26.5157,55.8119,28.4878,27.9432,-0.7701,53.9902,5.5015,True
2012-01-05,35.73,36.22,35.73,28.7198424639,2124300.0,0.094,0.2832,0.1893,29.4134,27.9601,26.5069,56.8478,28.5736,28.0613,0.0829,61.8173,5.9721,True
2012-01-06,36.11,36.22,35.78,28.5291185516,3533000.0,0.0701,0.2769,0.2068,29.4231,27.9641,26.5051,54.7837,28.5816,28.1784,0.695,55.2985,5.9721,True
2012-01-09,35.91,36.69,35.91,29.0853966292,2593900.0,0.0851,0.3132,0.2281,29.5654,28.038,26.5107,59.3914,28.7119,28.3135,2.1437,85.825,7.5702,True
2012-01-10,36.86,36.98,36.58,29.2125459041,1953500.0,0.0961,0.3481,0.2521,29.7101,28.1,26.4899,60.3801,28.8279,28.4512,4.4633,109.9133,8.5454,True
2012-01-11,36.56,37.0,36.56,29.3317483493,1526100.0,0.1032,0.3811,0.2779,29.8532,28.2013,26.5495,61.326,28.9757,28.634,6.383,109.4239,8.6131,True
2012-01-12,37.0,37.49,36.86,29.6496215365,2653300.0,0.12,0.4279,0.3079,29.998,28.3364,26.6748,63.7954,29.1617,28.7416,7.947,132.9539,10.2664,True
2012-01-13,37.05,37.11,36.43,29.1012902886,3376600.0,0.0865,0.416,0.3295,29.9808,28.4528,26.9249,57.0614,29.2761,28.821,8.8589,93.8156,8.5144,True
2012-01-17,36.93,37.2802,36.85,29.4350571351,2580800.0,0.0792,0.4285,0.3493,30.0147,28.5716,27.1285,59.827,29.3461,28.8793,8.2154,113.6453,9.0958,True
2012-01-18,38.29,39.45,38.16,31.1118381976,7307100.0,0.1743,0.5672,0.3929,30.4461,28.7699,27.0937,70.1689,29.7259,29.0351,13.3947,233.3959,16.0152,True
2012-01-19,39.17,39.75,39.07,31.525073341,3599800.0,0.2476,0.7024,0.4548,30.7869,29.0167,27.2464,72.0676,30.1646,29.2094,15.6532,257.1662,16.9045,True
2012-01-20,39.69,39.84,39.39,31.6124884675,3180500.0,0.282,0.8073,0.5253,31.2354,29.1955,27.1555,72.4648,30.5571,29.4308,12.4471,250.8629,17.1721,True
2012-01-23,39.82,39.96,39.34,31.3899772364,2800700.0,0.2697,0.8625,0.5927,31.5311,29.3695,27.2079,69.7593,31.0149,29.6242,12.8495,230.6988,17.5322,True
2012-01-24,39.29,39.97,39.26,31.6681162752,2977600.0,0.2603,0.9181,0.6578,31.8705,29.5249,27.1792,71.1994,31.4615,29.8398,10.843,221.2175,17.1868,True
2012-01-25,39.72,39.85,39.08,31.6124884675,2866300.0,0.2312,0.9468,0.7156,32.1529,29.6667,27.1806,70.4802,31.5616,30.0385,9.689,204.5237,16.4041,True
2012-01-26,39.89,40.38,39.16,31.2151469835,3810200.0,0.1689,0.9268,0.7578,32.3301,29.7819,27.2338,65.4225,31.4996,30.2133,10.2676,197.9755,18.0432,True
2012-01-27,38.97,39.58,38.88,31.2787216209,3069400.0,0.1182,0.9056,0.7874,32.4626,29.9313,27.4001,65.8427,31.4329,30.3839,8.9158,171.6405,16.8126,True
