date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,54.89,54.995,54.4,38.4223960659,2898800.0,0.5897,0.1105,0.7002,38.9595,35.4638,37.2116,63.6439,38.2474,37.4003,6.3354,187.4562,5.1005,True
2012-01-04,54.48,54.59,54.13,38.3765375322,2141400.0,0.6114,0.0869,0.6983,39.0904,35.5231,37.3067,63.1096,38.2411,37.5238,4.7882,167.1703,4.1109,True
2012-01-05,54.44,54.96,54.26,38.6622714729,2999100.0,0.6315,0.0802,0.7117,39.2516,35.5772,37.4144,65.0671,38.3822,37.6818,5.5588,175.8704,5.3528,True
2012-01-06,54.81,55.0,54.34,38.7187127451,2486600.0,0.6489,0.0696,0.7185,39.4087,35.6113,37.51,65.4551,38.457,37.8592,4.91,171.2437,5.4874,True
2012-01-09,54.76,54.89,54.36,38.5705544055,2132900.0,0.6599,0.044,0.7039,39.5,35.7358,37.6179,63.4726,38.5501,38.0238,4.9522,157.8287,5.4874,True
2012-01-10,54.79,54.95,54.41,38.5634992465,3083800.0,0.6647,0.0191,0.6838,39.5994,35.7903,37.6948,63.3746,38.5783,38.1616,4.1706,152.0617,5.6954,True
2012-01-11,54.6,54.77,54.4,38.5282234513,2243500.0,0.6632,-0.0058,0.6575,39.653,35.937,37.795,62.8551,38.6087,38.3102,4.8832,140.4575,5.656,False
2012-01-12,54.68,55.0,54.48,38.7751540173,2344600.0,0.6604,-0.0113,0.6491,39.6885,36.1498,37.9192,65.0066,38.6312,38.3728,4.8218,143.5249,6.4717,False
2012-01-13,54.58,54.97,54.36,38.7680988583,2039000.0,0.6552,-0.0207,0.6345,39.6387,36.4706,38.0546,64.8916,38.6411,38.4339,6.1402,133.6609,5.9855,False
2012-01-17,55.0,55.85,54.8971,39.2690151493,2683600.0,0.6553,0.0005,0.6558,39.6061,36.82,38.213,69.0578,38.7808,38.52,8.1317,156.4165,9.0819,True
2012-01-18,55.78,56.52,55.6525,39.8616485076,3069600.0,0.6667,0.0456,0.7123,39.7161,37.0465,38.3813,73.1037,39.0404,38.6221,8.5462,177.9224,11.3427,True
2012-01-19,56.66,56.97,56.35,40.1438548687,2149600.0,0.6876,0.0834,0.771,39.7516,37.3956,38.5736,74.7858,39.3636,38.7378,8.7837,185.8783,12.8233,True
2012-01-20,56.91,57.1,56.39,40.0662481194,2924700.0,0.7105,0.0915,0.802,39.9793,37.3908,38.685,73.4327,39.6218,38.8784,6.193,173.7836,13.249,True
2012-01-23,56.92,57.07,56.27,39.9886413701,2606000.0,0.7306,0.0804,0.8109,40.1447,37.4391,38.7919,72.0362,39.8659,38.988,5.9206,159.4339,12.7323,True
2012-01-24,56.21,56.89,56.06,40.0239171653,2738400.0,0.7468,0.0648,0.8115,40.294,37.4945,38.8942,72.2928,40.0169,39.1159,5.4104,146.6515,11.8243,True
2012-01-25,56.27,56.99,56.07,40.1579651868,3510500.0,0.7601,0.0533,0.8134,40.4627,37.5085,38.9856,73.2907,40.0761,39.2316,4.8574,141.4007,12.1669,True
2012-01-26,56.06,56.34,55.64,39.3818976937,4397900.0,0.7568,-0.0131,0.7437,40.4961,37.5724,39.0343,59.9069,39.9237,39.2986,3.3003,111.3205,10.2931,False
2012-01-27,55.8,56.0674,55.3,39.0432500604,3338500.0,0.7362,-0.0825,0.6536,40.4645,37.7127,39.0886,55.1945,39.7191,39.324,2.876,95.1936,8.8312,False
2012-01-30,54.99,55.075,54.55,38.7328230632,4139500.0,0.6991,-0.1483,0.5508,40.4519,37.764,39.108,51.2361,39.468,39.325,1.055,69.4702,5.6886,False
2012-01-31,55.07,55.27,54.47,38.6481611548,3566100.0,0.6507,-0.1935,0.4573,40.4175,37.8528,39.1351,50.1845,39.1928,39.3302,1.19,66.9518,6.4032,False
2012-02-01,55.26,55.48,54.95,38.7680988583,3673300.0,0.5983,-0.2099,0.3883,40.4048,37.9,39.1524,51.6896,38.9148,39.3438,0.8819,73.3076,7.1735,False
2012-02-02,55.0899,55.2609,54.82,38.6763817909,3284200.0,0.5431,-0.2206,0.3226,40.3891,37.9457,39.1674,50.4409,38.7737,39.3537,1.229,66.0582,6.6211,False
2012-02-03,55.4,55.68,55.24,39.1631877639,3307800.0,0.4957,-0.1895,0.3062,40.392,37.9929,39.1925,56.4269,38.7977,39.3795,1.31,79.1265,8.1729,False
2012-02-06,55.15,55.33,54.91,38.8915641413,2564200.0,0.4502,-0.182,0.2682,40.3893,38.0129,39.2011,52.6268,38.8295,39.3878,0.6,66.0278,6.7524,False
2012-02-07,54.95,55.0,54.64,38.7116575861,3391900.0,0.4044,-0.1833,0.2211,40.3829,38.0334,39.2082,50.2264,38.8422,39.3506,0.2004,55.5595,5.5986,False
2012-02-08,54.79,54.925,54.5,38.5141131333,2478900.0,0.3567,-0.1909,0.1658,40.3861,38.0253,39.2057,47.6685,38.7914,39.2608,-0.0455,48.9203,5.0001,False
2012-02-09,54.8799,54.9,54.42,38.5000028152,3005300.0,0.3093,-0.1897,0.1195,40.388,38.0206,39.2043,47.4834,38.7561,39.1512,0.2374,46.2298,4.6555,False
2012-02-10,54.35,54.46,53.92,38.1049139097,3571200.0,0.2575,-0.2071,0.0504,40.4363,37.9053,39.1708,42.5299,38.5445,39.0204,-0.9818,29.5535,2.5168,False
2012-02-13,54.32,54.65,53.98,38.2601274083,2339200.0,0.2076,-0.1996,0.008,40.4616,37.8292,39.1454,44.9473,38.4182,38.9052,-0.5821,33.3847,3.2806,False
2012-02-14,54.2299,54.45,53.89,38.2742377263,2378100.0,0.1612,-0.1854,-0.0241,40.4635,37.7277,39.0956,45.1719,38.3307,38.7886,-2.5067,29.3082,2.8922,False
2012-02-15,54.1,54.34,53.6799,37.9497004111,2680100.0,0.114,-0.1889,-0.0749,40.4071,37.593,39.0,41.0448,38.2178,38.6413,-3.857,19.329,1.9819,False
2012-02-16,53.96,54.18,53.84,37.9849762062,2881600.0,0.069,-0.1801,-0.1111,40.2624,37.5218,38.8921,41.6655,38.1148,38.5482,-4.8973,18.1518,1.9819,False
2012-02-17,53.99,54.47,53.92,38.2742377263,3323100.0,0.0322,-0.1472,-0.1151,40.0855,37.5195,38.8025,46.6045,38.1487,38.4969,-4.606,25.222,3.2044,False
2012-02-21,54.33,54.39,53.66,37.9990865243,2704900.0,-0.002,-0.1368,-0.1388,39.909,37.4971,38.703,42.9025,38.0964,38.448,-4.696,13.8858,2.044,False
2012-02-22,53.76,54.25,53.76,37.9638107291,2501600.0,-0.0333,-0.1253,-0.1586,39.6827,37.5173,38.6,42.4394,38.0344,38.4024,-4.6405,9.4253,2.044,False
2012-02-23,53.87,54.09,53.74,37.9567555701,2113000.0,-0.0613,-0.1117,-0.1729,39.3391,37.6408,38.4899,42.3414,38.0358,38.3483,-5.0886,2.6312,1.9528,False
2012-02-24,53.96,53.96,53.62,37.9708658881,2002800.0,-0.0852,-0.0958,-0.1811,39.1914,37.6474,38.4194,42.6252,38.033,38.3013,-4.2244,-5.3801,1.3998,False
2012-02-27,53.7,54.37,53.31,38.1754655,2343600.0,-0.102,-0.067,-0.169,39.0988,37.6532,38.376,46.6997,38.0132,38.2354,-3.0274,-3.8005,3.2235,False
2012-02-28,54.35,54.58,54.0,38.4788373381,2263600.0,-0.1083,-0.0252,-0.1335,39.0693,37.6573,38.3633,52.1034,38.1091,38.2079,-0.8988,17.6129,4.1469,False
2012-02-29,54.51,54.77,54.245,38.3236238395,2581200.0,-0.1099,-0.0066,-0.1165,39.041,37.6532,38.3471,49.3602,38.1811,38.1821,-0.9046,19.3946,4.9812,False
2012-03-01,54.6,55.05,54.45,38.7116575861,2810000.0,-0.1021,0.0312,-0.0709,39.0317,37.6568,38.3443,55.619,38.3321,38.1952,-0.7751,38.471,6.2045,True
2012-03-02,54.87,54.87,54.25,38.4082857479,2047800.0,-0.0934,0.0349,-0.0585,39.0022,37.6596,38.3309,50.4009,38.4196,38.1891,-0.7074,19.0683,5.2205,True
2012-03-05,54.38,54.61,54.16,38.443561543,2711500.0,-0.0838,0.0384,-0.0454,38.8512,37.7386,38.2949,50.974,38.4732,38.2117,-1.9217,9.978,4.7762,True
2012-03-06,54.06,54.53,53.82,38.0131968423,2562900.0,-0.0808,0.0119,-0.0689,38.7473,37.7546,38.251,44.286,38.3801,38.1952,-1.4459,-17.2189,3.1037,True
2012-03-07,53.83,54.47,53.64,38.567026826,3278000.0,-0.0731,0.0308,-0.0424,38.7167,37.7707,38.2437,52.8209,38.4287,38.2147,-0.2428,12.3475,4.6356,True
2012-03-08,54.51,54.71,54.255,38.8015416381,1889500.0,-0.059,0.0566,-0.0024,38.7782,37.738,38.2581,55.8868,38.4467,38.2715,0.3336,40.7506,5.7247,True
2012-03-09,54.27,55.08,54.27,39.0502694691,2308900.0,-0.0374,0.0862,0.0488,38.9031,37.6681,38.2856,58.9203,38.5751,38.3425,1.0581,58.1505,7.383,True
2012-03-12,54.91,55.1,54.83,39.0005239029,1566700.0,-0.0131,0.0975,0.0844,39.0152,37.6456,38.3304,58.0647,38.6865,38.391,1.9116,70.2949,7.4724,True
2012-03-13,55.08,55.24,54.59,39.1355475826,3189300.0,0.014,0.1081,0.1221,39.1422,37.6061,38.3742,59.7639,38.911,38.4667,1.8153,70.8974,6.2203,True
2012-03-14,54.95,55.4,54.7,39.2208256961,2405100.0,0.0426,0.1144,0.157,39.2714,37.5716,38.4215,60.8378,39.0417,38.5505,2.4853,80.7864,6.9552,True
2012-03-15,55.2,55.4,54.83,39.3558493758,1901800.0,0.0727,0.1206,0.1934,39.4043,37.5793,38.4918,62.534,39.1526,38.6438,2.6927,88.219,6.9552,True
2012-03-16,55.25,55.5,54.9,39.156867111,4021900.0,0.0989,0.1048,0.2038,39.4756,37.6252,38.5504,58.5311,39.1739,38.7229,3.1819,81.4335,7.4242,True
2012-03-19,55.01,55.62,54.84,39.313210319,1975600.0,0.1236,0.0985,0.2221,39.5752,37.6295,38.6023,60.6515,39.2365,38.7987,2.8545,87.5857,7.9901,True
2012-03-20,54.9,55.29,54.88,39.1426540921,2049100.0,0.1429,0.0774,0.2203,39.6181,37.7009,38.6595,57.2311,39.2379,38.843,2.3946,65.8074,7.9901,True
2012-03-21,54.96,55.26,54.895,39.1426540921,1498800.0,0.1576,0.0588,0.2164,39.6431,37.7939,38.7185,57.2311,39.2222,38.8976,2.6031,62.385,7.9901,True
2012-03-22,54.99,55.21,54.83,39.1213345637,1998800.0,0.1679,0.0412,0.2091,39.6472,37.9062,38.7767,56.7717,39.1753,38.9249,2.8135,54.9018,7.6153,True
2012-03-23,55.09,55.29,54.75,39.0786955069,1922500.0,0.1739,0.0238,0.1977,39.6282,38.0359,38.8321,55.8116,39.1597,38.9696,3.2106,50.7135,8.0149,True
2012-03-26,55.43,55.795,55.37,39.6045772068,2343700.0,0.1848,0.0436,0.2284,39.7076,38.0995,38.9035,63.8825,39.218,39.047,3.3678,111.5535,10.4996,True
2012-03-27,55.62,55.84,55.45,39.6116837163,1905900.0,0.1979,0.0525,0.2504,39.7956,38.1248,38.9602,63.9778,39.3118,39.1536,3.0532,111.0552,10.7182,True
2012-03-28,55.7,55.75,55.23,39.4127014514,1949200.0,0.2081,0.0409,0.249,39.8184,38.2109,39.0146,59.2867,39.3658,39.2099,2.5302,87.2629,9.3901,True
2012-03-29,55.21,55.38,54.695,39.1071215448,2164400.0,0.2106,0.01,0.2206,39.8267,38.2421,39.0344,52.9039,39.363,39.2303,1.3317,40.4292,6.2387,True
