date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,31.22,31.83,30.77,30.81,2684000.0,-0.5714,-0.6765,-0.1051,28.5007,35.2133,31.857,45.3244,30.446,31.0107,-8.7443,-54.8628,6.7051,False
2012-01-04,30.69,30.73,30.03,30.21,2778600.0,-0.5937,-0.6829,-0.0892,28.3982,34.9278,31.663,42.5446,30.332,30.7953,-10.6426,-92.6021,8.3789,False
2012-01-05,30.1,31.23,29.82,30.82,3319600.0,-0.6013,-0.6314,-0.0302,28.5152,34.4148,31.465,46.1427,30.514,30.67,-10.567,-82.2807,7.0591,False
2012-01-06,30.83,31.16,30.52,30.96,2134100.0,-0.5956,-0.5728,0.0228,28.747,33.799,31.273,46.9595,30.626,30.6507,-10.9714,-72.9167,7.0591,True
2012-01-09,30.93,31.18,30.66,31.08,2108600.0,-0.5786,-0.5107,0.0679,28.9161,33.3459,31.131,47.688,30.776,30.6513,-10.2734,-68.9303,7.0052,True
2012-01-10,31.58,32.8399,31.54,32.53,3533100.0,-0.531,-0.3406,0.1904,29.2664,32.8096,31.038,55.5865,31.12,30.74,-5.087,-11.2203,2.6432,True
2012-01-11,32.5,32.66,31.76,32.18,2330300.0,-0.4711,-0.2313,0.2397,29.4818,32.4682,30.975,53.4975,31.514,30.872,-4.3631,-16.0736,2.6432,True
2012-01-12,32.33,32.46,31.84,32.3,1420700.0,-0.4036,-0.1335,0.27,29.5464,32.3636,30.955,54.1307,31.81,30.926,-4.2195,-16.6315,2.6432,True
2012-01-13,32.0,32.17,31.38,31.92,1351400.0,-0.34,-0.0857,0.2543,29.5228,32.4542,30.9885,51.7402,32.002,31.0333,-1.5003,-34.1092,3.7863,True
2012-01-17,32.5,32.915,32.07,32.16,1916800.0,-0.2776,-0.0281,0.2495,29.4907,32.5953,31.043,53.1406,32.218,31.1467,3.8984,-9.6433,1.8173,True
2012-01-18,32.13,34.57,32.05,34.34,4580500.0,-0.1838,0.1913,0.3751,29.0834,33.3166,31.2,63.4593,32.58,31.382,6.5167,47.3388,2.3672,True
2012-01-19,34.43,36.12,34.38,35.43,6584300.0,-0.0575,0.4479,0.5054,28.7074,34.2156,31.4615,67.3151,33.23,31.692,15.0685,119.0728,6.0449,True
2012-01-20,35.33,35.88,34.97,35.04,2711900.0,0.0766,0.6127,0.5362,28.4735,34.8045,31.639,64.698,33.778,32.034,13.1148,113.2099,6.0449,True
2012-01-23,35.01,35.53,34.35,34.66,2621200.0,0.2022,0.7046,0.5024,28.4945,35.2185,31.8565,62.1744,34.326,32.318,14.539,89.8039,4.4178,True
2012-01-24,34.62,35.94,34.61,35.81,4452200.0,0.3338,0.8603,0.5265,28.4155,35.8325,32.124,66.4212,35.056,32.6833,16.5748,111.32,5.394,True
2012-01-25,35.71,36.26,35.5,36.23,5190900.0,0.4682,1.0059,0.5377,28.3348,36.4552,32.395,67.8343,35.434,33.0447,17.6509,132.6213,6.1547,True
2012-01-26,36.45,37.97,36.25,36.55,5665100.0,0.6014,1.1341,0.5327,28.315,37.052,32.6835,68.9027,35.658,33.4673,22.0312,168.4421,10.0838,True
2012-01-27,36.38,36.7,35.86,36.6,2539900.0,0.7262,1.2256,0.4994,28.5274,37.5086,33.018,69.0746,35.97,33.8527,19.2333,142.8068,9.0251,True
2012-01-30,36.21,36.22,35.405,35.91,2039400.0,0.8267,1.2283,0.4016,28.8031,37.7839,33.2935,63.8541,36.22,34.1827,18.7541,115.7933,7.7951,True
2012-01-31,36.19,36.23,35.68,36.0,1906100.0,0.906,1.2236,0.3175,29.1554,37.9986,33.577,64.2318,36.258,34.5107,18.36,116.6489,7.8184,True
2012-02-01,36.3301,37.26,36.05,37.0,4175000.0,0.982,1.2857,0.3037,29.4166,38.3564,33.8865,68.1899,36.412,34.8087,17.0594,143.3952,10.1898,True
2012-02-02,37.0,37.9,36.78,36.82,2776000.0,1.0467,1.3054,0.2587,29.9088,38.5252,34.217,66.765,36.466,35.118,23.3322,153.7439,11.6264,True
2012-02-03,37.37,37.95,37.37,37.85,2681000.0,1.1149,1.3881,0.2731,30.2792,38.8578,34.5685,70.5392,36.716,35.488,21.5178,167.4311,11.7386,True
2012-02-06,37.53,37.8,37.2,37.755,2239100.0,1.1778,1.4295,0.2516,30.7413,39.0752,34.9082,69.7564,37.085,35.877,21.3094,157.4403,11.2503,True
2012-02-07,37.74,38.56,37.41,38.34,3189400.0,1.2407,1.4923,0.2515,31.2388,39.3037,35.2712,71.8197,37.553,36.289,23.669,165.655,12.979,True
