date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,32.97,33.2,32.77,32.93,4668400.0,1.3276,0.8211,0.5064,29.0575,24.3083,33.8067,68.4691,32.306,29.346,10.5561,179.9646,9.62,True
2012-01-04,32.72,32.81,32.08,32.44,4259700.0,1.3678,0.9305,0.4374,29.2205,24.2472,34.1938,65.3153,32.352,29.6833,10.2857,157.4876,7.55,True
2012-01-05,32.29,32.94,32.12,32.43,5430100.0,1.383,1.021,0.3621,29.4305,24.2903,34.5707,65.2496,32.476,30.0787,13.0017,153.268,7.8833,True
2012-01-06,32.49,32.89,32.132,32.76,3597800.0,1.4055,1.0979,0.3076,29.6665,24.3723,34.9607,66.4434,32.568,30.4853,16.2191,150.9357,7.8833,True
2012-01-09,31.86,32.78,31.57,32.61,4548500.0,1.3951,1.1573,0.2378,29.932,24.6066,35.2574,65.3501,32.634,30.8587,16.7795,136.4385,6.1721,True
2012-01-10,33.1,33.34,32.87,33.14,3853700.0,1.4133,1.2085,0.2048,30.1785,24.7396,35.6174,67.382,32.676,31.2913,17.3118,155.0318,7.6563,True
2012-01-11,33.44,34.24,33.37,34.0,4080800.0,1.4801,1.2628,0.2173,30.5095,24.987,36.032,70.3997,32.988,31.7873,22.6365,171.0218,9.9836,True
2012-01-12,34.12,34.23,32.83,33.57,4292600.0,1.4813,1.3065,0.1748,30.863,25.5098,36.2162,67.0753,33.216,32.1807,22.6442,154.1899,8.3179,True
2012-01-13,32.91,33.0,31.82,32.22,3756100.0,1.3576,1.3167,0.0409,31.141,26.1228,36.1592,57.881,33.108,32.5507,21.7263,113.523,5.285,True
2012-01-17,32.68,32.79,31.93,32.13,3209100.0,1.2381,1.301,-0.0629,31.397,26.7384,36.0556,57.3198,33.012,32.584,20.242,108.4293,5.285,False
2012-01-18,32.34,32.57,31.96,32.41,2932000.0,1.1526,1.2713,-0.1187,31.685,27.5535,35.8165,58.6561,32.866,32.616,19.6991,106.0003,5.285,False
2012-01-19,32.45,33.28,31.87,32.69,4509600.0,1.0949,1.2361,-0.1411,31.9915,28.5793,35.4037,59.9979,32.604,32.648,22.5783,111.8381,7.2059,False
2012-01-20,32.59,32.65,31.485,32.04,5398200.0,0.9854,1.1859,-0.2006,32.21,29.432,34.988,55.5163,32.298,32.6633,17.8275,90.6989,6.0202,False
2012-01-23,31.98,32.05,31.01,31.72,3404000.0,0.8628,1.1213,-0.2585,32.4625,31.2912,33.6338,53.4119,32.198,32.6247,16.2917,72.4391,4.5691,False
2012-01-24,31.46,31.56,31.23,31.39,3141200.0,0.7306,1.0431,-0.3126,32.4505,31.2411,33.6599,51.2648,32.05,32.5653,-1.2207,62.769,4.5691,False
2012-01-25,31.51,31.945,31.34,31.87,2319700.0,0.6569,0.9659,-0.309,32.4475,31.2326,33.6624,54.138,31.942,32.4947,-0.1407,70.8005,5.6516,False
2012-01-26,32.04,32.585,31.23,31.43,2728600.0,0.5567,0.8841,-0.3274,32.4085,31.1179,33.6991,51.1748,31.69,32.4273,0.0768,69.0365,7.4267,False
2012-01-27,31.37,32.11,31.08,32.01,2830900.0,0.518,0.8109,-0.2928,32.4185,31.1436,33.6934,54.6783,31.684,32.3993,-1.0173,65.9193,6.9471,False
2012-01-30,31.43,32.18,31.41,32.04,2559100.0,0.4843,0.7455,-0.2613,32.4055,31.1208,33.6902,54.8578,31.748,32.3513,-0.6483,67.9644,7.1438,False
2012-01-31,32.22,32.55,31.97,32.23,2858600.0,0.4674,0.6899,-0.2225,32.403,31.1171,33.6889,56.0393,31.916,32.326,0.432,77.4013,8.1872,False
2012-02-01,32.19,32.5,31.45,32.01,4529800.0,0.4314,0.6382,-0.2068,32.357,31.0841,33.6299,54.2769,31.944,32.2507,-2.1084,66.2774,6.4772,False
2012-02-02,32.34,32.8299,32.13,32.33,3209400.0,0.4238,0.5953,-0.1716,32.3515,31.0791,33.6239,56.4132,32.124,32.1393,0.0607,77.8774,7.4213,False
2012-02-03,32.81,33.7,32.74,33.64,3530000.0,0.5174,0.5797,-0.0623,32.412,31.0209,33.8031,63.8263,32.45,32.144,2.3072,103.4391,9.8619,False
2012-02-06,33.83,34.25,33.25,33.37,4160500.0,0.5634,0.5765,-0.0131,32.4425,30.9965,33.8885,61.5159,32.716,32.2207,4.135,106.9213,11.3639,False
2012-02-07,33.4,33.68,33.0,33.65,2553800.0,0.6153,0.5842,0.0311,32.4945,30.9563,34.0327,63.0039,33.0,32.322,2.7456,97.5432,10.5126,True
2012-02-08,33.82,35.59,33.67,34.44,9486000.0,0.712,0.6098,0.1022,32.5595,30.8209,34.2981,66.8756,33.486,32.4573,6.7487,126.0552,15.5293,True
