date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,10.93,10.97,10.68,9.01640283682,10935600.0,0.0554,-0.0955,-0.1509,8.9717,9.5188,8.4247,48.5519,9.0223,8.8479,-0.9481,-49.0641,5.7353,True
2012-01-04,10.71,10.76,10.61,9.06696210507,10571600.0,0.0568,-0.0799,-0.1367,8.9621,9.4949,8.4292,49.6872,9.0105,8.8614,-2.8872,-57.0148,6.3893,True
2012-01-05,10.72,10.84,10.64,9.12594791802,13992700.0,0.0597,-0.062,-0.1218,8.9511,9.4605,8.4417,51.0378,9.0467,8.8799,-2.9543,-50.2007,5.5383,True
2012-01-06,10.85,11.03,10.73,9.27762572275,16178200.0,0.0692,-0.0353,-0.1045,8.941,9.4148,8.4672,54.4095,9.1024,8.9181,-2.7337,-33.9045,3.5378,True
2012-01-09,11.08,11.37,11.02,9.55570169809,22287700.0,0.0902,0.0083,-0.0819,8.9591,9.4939,8.4243,59.8416,9.2085,8.9827,0.7086,0.1383,0.0855,True
2012-01-10,11.4702,11.71,11.44,9.77479186048,25222500.0,0.1134,0.0598,-0.0536,8.976,9.586,8.3659,63.5117,9.3602,9.054,3.8121,35.9382,3.197,True
2012-01-11,11.6,11.88,11.54,9.86748385226,14683200.0,0.1284,0.1069,-0.0215,9.0261,9.7462,8.306,64.9631,9.5203,9.1428,7.6087,48.5926,4.7849,True
2012-01-12,11.81,11.85,11.63,9.94332275463,12567800.0,0.1361,0.1486,0.0125,9.0809,9.8985,8.2633,66.1437,9.6838,9.2206,11.1632,52.4569,4.7849,True
2012-01-13,11.75,11.77,11.45,9.69052641341,14415800.0,0.1175,0.1594,0.0419,9.1302,9.9697,8.2906,59.0388,9.7664,9.2936,11.7759,32.7021,2.936,True
2012-01-17,11.7999,11.91,11.73,9.92225639286,23935200.0,0.1141,0.1846,0.0704,9.1969,10.0649,8.329,62.9478,9.8397,9.3636,13.2129,55.6022,4.272,True
2012-01-18,11.89,12.18,11.84,10.2129721853,20271300.0,0.1239,0.2254,0.1014,9.2724,10.215,8.3297,67.1602,9.9273,9.4366,15.8896,77.3323,6.7882,True
2012-01-19,12.19,12.42,12.15,10.3730765347,15466900.0,0.1329,0.2675,0.1346,9.3642,10.3586,8.3699,69.2247,10.0284,9.5197,18.2857,98.88,8.9516,True
2012-01-20,12.39,12.55,12.31,10.50790125,19713500.0,0.1389,0.3083,0.1694,9.4508,10.5237,8.3778,70.8766,10.1413,9.624,18.0621,110.615,10.1009,True
2012-01-23,12.43,12.47,12.115,10.2972376323,18802500.0,0.1204,0.3199,0.1995,9.5359,10.5938,8.478,65.0327,10.2627,9.7105,19.3301,91.5177,8.0209,True
2012-01-24,12.22,12.41,12.12,10.3688632623,8317700.0,0.1052,0.331,0.2258,9.6107,10.682,8.5394,66.0524,10.352,9.8001,17.4078,90.263,8.0209,True
2012-01-25,12.32,12.44,12.18,10.4152092582,10739400.0,0.0911,0.3397,0.2486,9.6756,10.7763,8.5748,66.7251,10.3925,9.8933,14.9723,94.7064,8.2965,True
2012-01-26,12.43,12.64,12.29,10.4489154371,14769800.0,0.0774,0.3453,0.2679,9.7417,10.8612,8.6222,67.2311,10.4076,9.9855,15.4338,105.5819,10.1226,True
2012-01-27,12.4,12.52,12.1801,10.305664177,18987000.0,0.0531,0.3343,0.2812,9.8098,10.8921,8.7275,62.8774,10.3672,10.0641,14.8624,93.1351,8.9107,True
2012-01-30,12.09,12.15,11.98,10.162412917,15915900.0,0.0234,0.3105,0.287,9.8679,10.8933,8.8425,58.7978,10.3402,10.1231,12.6043,69.3314,6.7357,True
2012-01-31,12.18,12.34,12.11,10.3435836282,15032300.0,0.0125,0.3027,0.2902,9.9338,10.9019,8.9658,62.1274,10.3352,10.1756,13.8376,84.8642,8.5002,True
2012-02-01,12.44,12.655,12.35,10.5921666971,14686300.0,0.0183,0.313,0.2947,10.0126,10.924,9.1012,66.149,10.3705,10.2301,15.3601,109.4486,11.3285,True
2012-02-02,12.55,12.755,12.55,10.65115251,11213100.0,0.022,0.3222,0.3002,10.0918,10.9334,9.2503,67.0388,10.411,10.2824,18.5409,119.0742,12.2047,True
2012-02-03,12.81,12.89,12.71,10.7775506806,11047500.0,0.0285,0.3359,0.3074,10.1744,10.9415,9.4073,68.9149,10.5054,10.338,18.9114,129.9534,13.3797,True
2012-02-06,12.74,12.745,12.45,10.6258728759,14348600.0,0.0186,0.3306,0.312,10.2418,10.9128,9.5709,64.2156,10.5981,10.4003,15.5485,111.885,10.4836,True
2012-02-07,12.63,12.795,12.55,10.7354179571,8784200.0,0.0156,0.3315,0.3159,10.3008,10.926,9.6757,66.0092,10.6764,10.4545,12.533,117.6818,10.9285,True
2012-02-08,12.71,13.09,12.71,10.9545081195,17888500.0,0.0239,0.3458,0.3219,10.3598,10.9978,9.7218,69.3058,10.7489,10.504,11.7848,134.8969,13.508,True
2012-02-09,13.0,13.13,12.915,11.0472001113,11423100.0,0.0309,0.3606,0.3296,10.4188,11.0814,9.7561,70.5984,10.8281,10.5489,10.5219,142.5396,13.852,True
2012-02-10,12.97,13.105,12.865,10.912375396,10442200.0,0.0221,0.3572,0.3351,10.4672,11.1254,9.809,66.2504,10.8551,10.5759,10.5907,133.6377,13.2793,True
2012-02-13,13.04,13.13,12.8,10.8955223066,9921500.0,0.0112,0.3492,0.338,10.5275,11.1061,9.9489,65.7085,10.909,10.6158,11.5548,129.6584,12.5309,True
2012-02-14,12.95,12.9901,12.69,10.8449630383,14889400.0,-0.0025,0.3349,0.3373,10.5736,11.0962,10.051,64.0249,10.9309,10.6475,9.0688,119.3239,11.2658,False
2012-02-15,12.89,13.1,12.84,10.8702426724,11299100.0,-0.0124,0.3219,0.3342,10.6065,11.1168,10.0962,64.512,10.9141,10.6778,7.5534,121.5439,12.2679,False
2012-02-16,12.94,13.23,12.925,11.1314655584,14152400.0,-0.0043,0.3289,0.3332,10.6444,11.1911,10.0977,69.1384,10.9309,10.7233,6.5217,128.7105,13.4438,False
2012-02-17,13.8601,13.94,12.97,10.9460815748,33947400.0,-0.0139,0.3158,0.3297,10.6663,11.2244,10.1083,62.9031,10.9377,10.766,11.0757,135.6119,19.4408,False
2012-02-21,13.01,13.02,12.6,10.7775506806,21443600.0,-0.0329,0.2885,0.3215,10.6903,11.2236,10.1571,57.8237,10.9141,10.807,5.0678,98.3858,16.0918,False
2012-02-22,12.7,12.94,12.7,10.9386627679,22623800.0,-0.0358,0.2767,0.3125,10.7188,11.2411,10.1966,61.0456,10.9328,10.8467,4.9271,100.0624,16.0918,False
2012-02-23,12.9,12.92,12.52,10.8029894313,17934100.0,-0.0472,0.2535,0.3007,10.7382,11.2424,10.234,57.1094,10.9194,10.8608,4.5122,87.9706,14.0315,False
2012-02-24,12.73,12.83,12.6,10.7097140123,10255800.0,-0.0606,0.2249,0.2855,10.7513,11.238,10.2645,54.5199,10.835,10.8647,2.1421,82.1596,14.0315,False
2012-02-27,12.55,12.72,12.48,10.6249181769,15746300.0,-0.0738,0.1933,0.2671,10.7672,11.2138,10.3206,52.2138,10.7708,10.8545,2.2369,71.6021,12.653,False
2012-02-28,12.51,12.73,12.48,10.6503569275,15675900.0,-0.0791,0.1683,0.2473,10.7916,11.1474,10.4358,52.8548,10.7453,10.8561,5.4331,70.3038,12.7424,False
2012-02-29,12.54,12.56,12.21,10.3874898378,22131000.0,-0.0972,0.1258,0.223,10.7938,11.1389,10.4487,46.0206,10.6351,10.8329,2.4235,49.6776,9.6609,False
2012-03-01,12.3,12.37,12.16,10.3790102542,15312000.0,-0.1061,0.0904,0.1965,10.7832,11.1639,10.4024,45.8159,10.5503,10.7946,-1.6368,41.8179,9.0993,False
2012-03-02,12.22,12.4,12.13,10.3620510871,21939400.0,-0.1089,0.0603,0.1693,10.7687,11.1883,10.3491,45.3832,10.4808,10.7489,-2.1713,39.8891,9.0993,False
2012-03-05,12.15,12.18,11.92,10.2009389999,18739500.0,-0.1169,0.0232,0.14,10.7399,11.2269,10.2528,41.4034,10.396,10.7015,-4.9134,22.7905,6.7254,False
2012-03-06,11.93,12.2,11.93,10.179740041,19251600.0,-0.1183,-0.0079,0.1105,10.7176,11.261,10.1741,40.8978,10.3018,10.6537,-3.6737,21.9024,6.9216,False
2012-03-07,12.03,12.22,12.02,10.2602960846,14878600.0,-0.1089,-0.0257,0.0832,10.6938,11.2725,10.1151,43.6972,10.2764,10.6148,-3.8928,26.1185,7.1202,False
2012-03-08,12.19,12.29,12.08,10.3323725447,15581100.0,-0.0934,-0.0336,0.0599,10.6627,11.2488,10.0766,46.1426,10.2671,10.5789,-5.5206,30.6666,7.8204,False
2012-03-09,12.18,12.41,12.1,10.4892448403,10748200.0,-0.0694,-0.0269,0.0425,10.6348,11.1977,10.0719,51.0958,10.2925,10.5361,-4.8887,38.0088,9.0161,False
2012-03-12,12.36,12.42,12.23,10.493484632,10280600.0,-0.0508,-0.021,0.0298,10.6139,11.1649,10.0628,51.2257,10.351,10.5059,-4.6305,40.5629,9.116,False
2012-03-13,12.49,12.57,12.39,10.5994794263,14960600.0,-0.03,-0.0077,0.0223,10.5991,11.1348,10.0633,54.4654,10.435,10.494,-3.6625,51.5634,10.6133,False
2012-03-14,12.51,12.66,12.49,10.6333977605,13491900.0,-0.0134,0.0056,0.019,10.5885,11.1126,10.0644,55.4792,10.5096,10.4737,-1.9277,57.1398,11.5029,False
2012-03-15,12.59,12.88,12.58,10.845387349,11979400.0,0.011,0.0328,0.0217,10.5872,11.1088,10.0657,61.256,10.6122,10.4765,-1.0605,73.3925,13.6395,True
2012-03-16,12.75,12.93,12.71,10.8708260996,16898800.0,0.0272,0.0557,0.0285,10.5742,11.0519,10.0965,61.8917,10.6885,10.4873,-1.6524,79.386,14.1187,True
2012-03-19,12.8,12.9386,12.749,10.8793056831,9365900.0,0.0362,0.0738,0.0376,10.5709,11.0389,10.1028,62.1138,10.7657,10.5042,-6.5994,80.5111,14.202,True
2012-03-20,12.74,12.835,12.67,10.7775506806,12306700.0,0.0331,0.079,0.0459,10.5709,11.0389,10.1028,57.7852,10.8013,10.5127,-1.4209,69.276,13.1768,True
2012-03-21,12.7,12.89,12.65,10.7860302642,9747200.0,0.0295,0.0828,0.0532,10.5632,11.0116,10.1148,58.0462,10.8318,10.5393,-0.3864,70.2092,13.7252,True
2012-03-22,12.67,12.705,12.46,10.7266731794,14910200.0,0.0215,0.0801,0.0586,10.5594,11.0008,10.118,55.4735,10.8081,10.5625,-1.6641,51.8336,11.2566,True
