date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,5.53,5.59,5.44,5.48,12675100.0,-0.0454,0.0306,-0.0147,5.8018,4.8722,5.337,53.1991,5.376,5.2393,-4.1166,43.265,11.5971,True
2012-01-04,5.47,5.49,5.41,5.46,8034900.0,-0.0371,0.0332,-0.0039,5.749,4.895,5.322,52.6389,5.392,5.25,-5.9932,30.1175,11.928,True
2012-01-05,5.45,5.565,5.35,5.46,11476900.0,-0.0287,0.0333,0.0046,5.7156,4.9084,5.312,52.6389,5.428,5.2687,-3.7197,29.7164,10.8729,True
2012-01-06,5.44,5.52,5.39,5.43,12938600.0,-0.0212,0.0301,0.0088,5.6602,4.9348,5.2975,51.7015,5.446,5.2927,-3.8328,25.2397,10.8729,True
2012-01-09,5.42,5.6,5.38,5.59,12585400.0,-0.012,0.0368,0.0248,5.6811,4.9259,5.3035,56.1627,5.484,5.3293,-1.5817,42.94,9.7319,True
2012-01-10,5.66,5.75,5.64,5.71,10129600.0,-0.0003,0.0469,0.0466,5.7171,4.9069,5.312,59.1917,5.53,5.368,3.4173,85.8617,7.62,True
2012-01-11,5.68,5.835,5.68,5.81,11196300.0,0.014,0.0572,0.0712,5.797,4.878,5.3375,61.5629,5.6,5.4313,8.256,102.5103,6.4395,True
2012-01-12,5.83,5.85,5.71,5.82,11480100.0,0.0293,0.0611,0.0904,5.8681,4.8709,5.3695,61.8008,5.672,5.4733,8.5343,105.1704,6.2304,True
2012-01-13,5.76,5.79,5.63,5.66,9670900.0,0.0417,0.0499,0.0916,5.893,4.905,5.399,55.8743,5.718,5.512,11.7761,76.6018,7.219,True
2012-01-17,5.77,5.84,5.71,5.73,8259900.0,0.0528,0.0443,0.0971,5.9187,4.9483,5.4335,57.7725,5.746,5.5307,12.9594,93.025,6.5053,True
2012-01-18,5.73,6.03,5.73,5.97,19955800.0,0.0662,0.0533,0.1195,5.9927,4.9583,5.4755,63.5349,5.798,5.568,17.2969,133.8406,3.8342,True
2012-01-19,6.02,6.24,5.98,6.22,21731300.0,0.0841,0.0716,0.1556,6.0765,5.0105,5.5435,68.3545,5.88,5.624,20.0,197.2035,0.9875,True
