date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,58.06,58.6,57.01,57.39,307700.0,-0.2925,-0.3499,0.0573,62.2687,55.6723,58.9705,46.8235,57.274,58.2027,-5.56,24.2195,2.973,False
2012-01-04,57.15,57.222,56.34,56.4,241500.0,-0.3908,-0.3585,-0.0323,62.0,55.44,58.72,43.1678,56.984,57.9287,-7.7957,0.0446,1.4729,False
2012-01-05,56.21,57.55,55.21,57.3,324800.0,-0.3916,-0.2874,-0.1042,61.5873,55.4347,58.511,47.1843,57.122,57.7887,-6.8016,-2.2696,1.0008,False
2012-01-06,57.25,57.57,56.72,56.94,283000.0,-0.4165,-0.2498,-0.1666,61.1611,55.4259,58.2935,45.7972,57.062,57.7093,-6.4511,4.172,0.9565,False
2012-01-09,56.88,57.87,55.89,56.68,194700.0,-0.4519,-0.2282,-0.2237,60.925,55.309,58.117,44.7785,56.942,57.5613,-5.5029,-5.3677,2.7565,False
2012-01-10,57.14,57.23,56.58,56.73,200800.0,-0.4706,-0.1975,-0.2731,60.0926,55.6164,57.8545,45.0304,56.81,57.376,-7.8125,-7.6278,2.7565,False
2012-01-11,56.63,57.03,56.3,56.83,193600.0,-0.4718,-0.159,-0.3128,59.5871,55.7539,57.6705,45.5626,56.896,57.2973,-7.1021,-14.0992,3.3692,False
2012-01-12,56.88,57.56,56.7,57.44,509800.0,-0.4188,-0.0848,-0.334,59.3182,55.8268,57.5725,48.8021,56.924,57.158,-5.6548,-2.2938,2.1305,False
2012-01-13,57.26,57.88,56.7,57.35,212700.0,-0.3796,-0.0365,-0.3431,59.2624,55.8046,57.5335,48.3473,57.006,57.1553,-2.114,-3.2774,1.3846,False
2012-01-17,57.08,57.87,56.97,57.23,236400.0,-0.3542,-0.0089,-0.3454,59.0644,55.8356,57.45,47.712,57.116,57.148,-1.9983,-5.5901,1.3846,False
2012-01-18,57.3,58.91,56.602,58.88,165400.0,-0.1986,0.1174,-0.316,58.889,55.948,57.4185,56.1915,57.546,57.21,-3.3311,17.901,1.0446,True
2012-01-19,59.04,60.91,59.04,60.56,291700.0,0.0595,0.3004,-0.2409,59.5463,55.5457,57.546,62.7767,58.292,57.3907,1.3478,91.7147,5.4739,True
2012-01-20,60.57,61.29,60.39,60.81,292300.0,0.2811,0.4176,-0.1365,59.9183,55.3017,57.61,63.6479,58.966,57.6707,2.2523,115.3014,6.2845,True
2012-01-23,60.65,61.4,60.265,60.57,213600.0,0.4323,0.455,-0.0227,60.4091,55.1289,57.769,62.1517,59.61,57.8927,3.1933,110.2018,5.9805,True
2012-01-24,60.39,61.67,60.39,61.34,184000.0,0.6073,0.504,0.1033,61.0224,54.9156,57.969,64.9815,60.432,58.1633,6.3093,124.1839,6.5675,True
2012-01-25,61.22,61.38,60.48,61.26,171600.0,0.7311,0.5022,0.2288,61.5079,54.7611,58.1345,64.4451,60.908,58.4213,5.8093,116.1302,6.5675,True
2012-01-26,61.52,62.45,61.07,61.51,299600.0,0.8397,0.4887,0.351,61.9929,54.6421,58.3175,65.4013,61.098,58.762,5.7757,138.7598,8.8986,True
2012-01-27,61.37,61.88,61.1519,61.46,162200.0,0.9112,0.4482,0.463,62.3895,54.7305,58.56,65.0266,61.228,59.0393,6.8555,126.6766,8.8986,True
2012-01-30,60.89,61.17,60.19,60.46,177500.0,0.8771,0.3312,0.5458,62.5856,54.8564,58.721,57.9155,61.206,59.274,6.6237,84.4983,6.4299,True
2012-01-31,59.77,61.0,59.61,60.49,357000.0,0.8427,0.2375,0.6052,62.76,55.003,58.8815,58.0629,61.036,59.528,5.9672,70.4761,4.9706,True
2012-02-01,60.93,63.03,60.08,63.0,331900.0,1.0065,0.321,0.6855,63.3662,54.9578,59.162,68.0843,61.384,59.946,7.5597,141.3063,9.3924,True
2012-02-02,63.17,63.73,62.63,62.88,171800.0,1.1137,0.3426,0.7711,63.7865,55.1855,59.486,67.261,61.658,60.3493,11.3732,177.5703,10.8471,True
2012-02-03,63.46,64.1,63.13,63.75,247000.0,1.2544,0.3866,0.8678,64.3647,55.2523,59.8085,70.0722,62.116,60.77,11.3814,188.811,11.6099,True
2012-02-06,63.53,63.95,63.23,63.48,177800.0,1.3288,0.3689,0.96,64.7595,55.5115,60.1355,68.127,62.72,61.1787,11.0822,173.6841,11.6099,True
2012-02-07,63.26,64.48,62.59,63.76,176100.0,1.3943,0.3475,1.0469,65.0851,55.8939,60.4895,69.0807,63.374,61.614,11.4222,166.0476,9.9274,True
2012-02-08,63.75,64.46,62.6407,63.61,211800.0,1.4178,0.2968,1.121,65.2795,56.3875,60.8335,67.9143,63.496,61.9293,12.6332,156.0118,9.9274,True
2012-02-09,63.96,64.62,63.27,64.27,210300.0,1.4727,0.2813,1.1914,65.4915,56.9195,61.2055,70.2799,63.774,62.1767,13.3088,163.7366,10.2771,True
2012-02-10,63.69,64.39,63.0,63.65,186000.0,1.4494,0.2064,1.243,65.5587,57.4733,61.516,65.425,63.754,62.366,11.8659,142.587,9.5472,True
2012-02-13,64.32,64.52,63.67,64.2,173700.0,1.4586,0.1725,1.2861,65.5793,58.1377,61.8585,67.5552,63.898,62.608,11.472,149.7266,9.8394,True
2012-02-14,64.01,64.67,63.76,64.31,176500.0,1.4579,0.1374,1.3205,65.4157,59.0093,62.2125,67.978,64.008,62.806,11.7505,145.9033,10.1798,True
2012-02-15,64.64,64.667,63.68,64.05,264600.0,1.42,0.0796,1.3404,65.3774,59.5646,62.471,65.8064,64.096,62.992,9.7725,136.0456,9.9546,True
2012-02-16,64.0,65.26,63.93,65.1,261000.0,1.4579,0.094,1.3639,65.6801,59.7159,62.698,69.9589,64.262,63.2313,7.1417,148.6267,11.3209,True
