date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,46.54,46.56,45.7,10.5364210416,2032800.0,0.0695,-0.0116,0.0811,10.1387,9.4011,10.8763,56.8021,10.4654,10.0723,0.6831,46.219,3.0052,True
2012-01-04,45.75,46.2,45.45,10.5043257643,1418400.0,0.0818,0.007,0.0748,10.1388,9.401,10.8765,56.042,10.4649,10.106,-0.3749,34.8228,3.5858,True
2012-01-05,45.5,46.33,45.0,10.5937340369,2623200.0,0.0977,0.0252,0.0725,10.1471,9.3929,10.9012,57.7303,10.5098,10.1617,0.9056,34.5379,4.6306,True
2012-01-06,46.13,46.48,45.93,10.5983190765,1696400.0,0.1094,0.042,0.0674,10.1578,9.3846,10.931,57.8193,10.5277,10.2294,2.189,47.617,4.2477,True
2012-01-09,46.56,47.3882,46.5,10.7794281414,2060800.0,0.1318,0.06,0.0718,10.1933,9.3757,11.0109,61.2709,10.6024,10.3113,4.5073,75.9809,1.95,True
2012-01-10,47.5,48.2,47.5,10.999510043,1449400.0,0.1653,0.081,0.0843,10.228,9.3385,11.1174,64.9998,10.6951,10.4085,6.9341,110.2487,0.0524,True
2012-01-11,47.86,48.1,47.62,10.9651222459,1441600.0,0.187,0.1022,0.0848,10.2763,9.3383,11.2143,63.9687,10.7872,10.5115,8.3333,105.0947,0.0524,True
2012-01-12,48.02,48.35,47.37,11.0522379986,1591200.0,0.2088,0.1236,0.0853,10.341,9.3766,11.3054,65.456,10.8789,10.5809,9.5875,107.3698,0.6737,True
2012-01-13,47.91,48.3,47.6,11.0384828798,1622600.0,0.2224,0.1433,0.0791,10.4138,9.4697,11.3578,65.0021,10.967,10.6436,13.1943,105.9782,0.6737,True
2012-01-17,48.85,49.32,48.06,11.0659931175,1772800.0,0.2327,0.1612,0.0715,10.4895,9.5927,11.3864,65.5146,11.0243,10.6934,16.0198,125.0837,3.2125,True
2012-01-18,54.14,54.25,52.33,12.2787360964,9257200.0,0.3349,0.196,0.139,10.6264,9.5356,11.7172,79.6139,11.2801,10.8135,27.6771,306.0244,14.0152,True
