date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,29.48,30.17,28.89,23.1566623103,2303200.0,0.1061,-0.4253,-0.5314,21.9248,24.9491,23.4369,44.9665,23.2015,23.0508,-4.2465,-66.2144,14.3999,True
2012-01-04,28.89,29.09,28.095,22.7606509839,2025400.0,0.0814,-0.4297,-0.5111,21.9224,24.7546,23.3385,42.0978,23.0591,23.0035,-8.5414,-87.256,16.364,True
2012-01-05,28.46,28.75,28.18,22.7926518992,2007500.0,0.0683,-0.4257,-0.494,21.9307,24.5709,23.2508,42.4158,23.0191,22.97,-7.4665,-86.6212,16.364,True
2012-01-06,28.41,28.55,28.02,22.6486477805,2435700.0,0.0519,-0.4292,-0.481,22.0262,24.2531,23.1396,41.3214,22.8895,22.9551,-8.6664,-89.1934,16.7615,True
2012-01-09,29.3,30.39,29.25,24.1766914845,3348500.0,0.1407,-0.3051,-0.4458,22.0705,24.1822,23.1264,54.6303,23.1071,23.0393,-3.5483,-38.051,10.6131,True
2012-01-10,30.52,31.13,30.38,24.5207013236,2682900.0,0.2151,-0.177,-0.3921,22.0441,24.2221,23.1331,56.9836,23.3799,23.138,1.9916,-13.4993,8.2811,True
2012-01-11,30.69,31.65,30.59,24.9607139085,2710300.0,0.2821,-0.0395,-0.3216,21.8626,24.5526,23.2076,59.8386,23.8199,23.3327,7.265,1.8959,6.6739,True
2012-01-12,31.2,31.931,30.82,25.3447248917,1987300.0,0.3367,0.0993,-0.2374,21.6733,24.9468,23.3101,62.1853,24.3303,23.4847,6.5629,14.8893,5.8109,True
2012-01-13,31.52,32.0,31.21,25.2567223747,2427500.0,0.3498,0.1999,-0.1499,21.6012,25.2573,23.4293,61.3057,24.8519,23.6799,9.4485,21.6475,5.5976,True
2012-01-17,31.7,32.26,31.47,25.3207242053,3178200.0,0.3452,0.2815,-0.0636,21.5633,25.5361,23.5497,61.7275,25.0807,23.8201,10.2906,31.0925,4.788,True
2012-01-18,33.0,35.0,32.78,27.1527766043,4427400.0,0.4417,0.4884,0.0468,21.241,26.2695,23.7553,71.3173,25.6071,24.0628,19.9863,105.8373,3.1684,True
2012-01-19,33.88,34.35,33.6,26.8967692822,3154600.0,0.4622,0.6246,0.1623,21.2647,26.7315,23.9981,68.7386,25.9943,24.2911,19.1467,103.9396,3.1684,True
2012-01-20,33.51,34.04,33.34,27.0487736297,2346200.0,0.4591,0.7362,0.2771,21.1973,27.1972,24.1973,69.4415,26.3352,24.5615,17.3793,101.2408,2.4053,True
2012-01-23,33.85,33.9,33.28,26.9287701975,2012400.0,0.4229,0.8057,0.3828,21.3318,27.5228,24.4273,68.1455,26.6696,24.8036,16.6552,98.5958,2.2279,True
2012-01-24,33.59,34.24,33.59,27.0967750026,3077800.0,0.3853,0.8644,0.4791,21.3712,27.8715,24.6213,69.013,27.0248,25.0709,17.5017,109.1793,3.1945,True
2012-01-25,34.55,34.55,33.7,27.1607768332,3035200.0,0.3412,0.9056,0.5644,21.4163,28.1911,24.8037,69.3537,27.0264,25.3378,16.6836,114.832,4.0739,True
2012-01-26,33.96,34.43,33.84,27.2647798078,2553700.0,0.2972,0.9359,0.6387,21.5022,28.4844,24.9933,69.9292,27.1,25.6381,16.5933,114.2276,4.0739,True
2012-01-27,33.84,34.48,33.8,27.1847775196,2946800.0,0.2431,0.9426,0.6995,21.7141,28.6917,25.2029,68.8633,27.1272,25.9309,17.3987,112.1589,4.219,True
2012-01-30,33.6,34.01,33.35,26.9847717992,1659000.0,0.1773,0.9211,0.7438,21.9313,28.8433,25.3873,66.1619,27.1384,26.2199,16.4327,96.8985,2.7956,True
2012-01-31,34.0,34.08,33.37,27.1527766043,1622500.0,0.1307,0.9072,0.7765,22.2222,28.9588,25.5905,67.3158,27.1496,26.4184,16.8724,98.683,3.0052,True
2012-02-01,34.39,34.9,34.14,27.6967921639,3936100.0,0.1223,0.9294,0.8071,22.5248,29.1102,25.8175,70.7736,27.2568,26.6301,15.6778,123.4666,5.4338,True
2012-02-02,34.8,35.18,34.75,28.0008008589,3618800.0,0.1226,0.9604,0.8377,22.9728,29.1863,26.0795,72.5147,27.404,26.8328,20.935,136.3462,6.249,True
2012-02-03,35.28,35.48,34.97,28.1008037191,2381600.0,0.1152,0.9817,0.8665,23.5119,29.178,26.345,73.0799,27.5872,27.0165,23.4087,141.605,7.1213,True
2012-02-06,35.0,35.05,34.14,27.4407848417,1885300.0,0.0545,0.9346,0.8801,24.2815,28.8877,26.5846,63.8022,27.6784,27.1621,22.7671,117.8798,4.3885,True
2012-02-07,34.34,34.64,33.95,27.6647912486,1507600.0,0.0198,0.9049,0.8851,24.6959,28.8221,26.759,65.3995,27.7808,27.3184,13.9849,112.7808,3.7722,True
2012-02-08,34.55,35.0,34.44,27.9087982275,1503200.0,0.0045,0.8908,0.8862,25.0833,28.7734,26.9284,67.0942,27.8232,27.3688,12.4317,122.7922,4.8546,True
2012-02-09,35.01,35.31,34.7909,28.1048038335,1179000.0,-0.0008,0.8852,0.886,25.41,28.7612,27.0856,68.4252,27.844,27.4493,11.564,130.5289,5.7826,False
2012-02-10,34.58,35.4,34.35,27.5927891893,889800.0,-0.0449,0.8299,0.8748,25.7139,28.6821,27.198,61.4666,27.7424,27.4856,10.8641,117.3889,4.311,False
2012-02-13,34.85,35.17,34.015,27.8487965114,1436000.0,-0.0618,0.7975,0.8594,26.1167,28.5385,27.3276,63.4575,27.824,27.5469,9.9062,112.0807,3.2017,False
2012-02-14,34.57,34.94,34.19,27.6087896469,1831900.0,-0.0923,0.744,0.8363,26.6518,28.2321,27.442,60.3268,27.8128,27.5811,8.3075,104.9644,3.2017,False
2012-02-15,34.92,35.48,34.81,27.9848004013,1986400.0,-0.0902,0.7235,0.8137,26.6714,28.2957,27.4836,63.361,27.828,27.636,1.3714,115.7391,4.8879,False
2012-02-16,35.03,35.9499,34.72,28.6888205372,1676900.0,-0.0467,0.7554,0.802,26.6517,28.4947,27.5732,68.2345,27.9448,27.7309,4.6576,121.8629,6.3319,False
2012-02-17,35.67,35.79,34.84,28.1928063505,1840200.0,-0.0559,0.7322,0.7881,26.7042,28.5566,27.6304,62.0083,28.0648,27.7981,5.141,110.3905,6.3319,False
2012-02-21,35.48,35.875,35.278,28.3768116133,2044900.0,-0.0542,0.7203,0.7745,26.7809,28.6247,27.7028,63.3379,28.1704,27.8909,5.826,112.3648,6.5971,False
2012-02-22,35.34,36.3216,35.34,28.7208214524,2433300.0,-0.0354,0.7303,0.7657,26.8056,28.7624,27.784,65.7398,28.3928,27.9955,6.0794,115.8448,7.9894,False
2012-02-23,35.86,37.26,35.71,29.7528509698,4760600.0,0.0371,0.8121,0.775,26.6536,29.1736,27.9136,71.6993,28.7464,28.1325,7.8437,133.2728,10.8297,True
2012-02-24,37.35,37.4,36.17,29.0568310627,1932500.0,0.0292,0.8114,0.7822,26.6868,29.3196,28.0032,63.6934,28.82,28.2029,8.6262,125.1885,11.2454,True
2012-02-27,36.21,37.19,35.54,29.5848461647,2621600.0,0.0492,0.8437,0.7945,26.6944,29.552,28.1232,66.7143,29.0984,28.3019,7.8596,118.5359,8.9218,True
2012-02-28,36.83,37.42,36.56,29.6088468511,2158100.0,0.0535,0.8614,0.8079,26.7865,29.7224,28.2544,66.8487,29.3448,28.4464,10.0265,124.2071,9.6226,True
