date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,22.75,22.78,22.63,18.6862695976,719000.0,0.1484,0.0123,0.1361,18.3929,17.9899,18.7958,57.5493,18.5165,18.4033,0.6759,113.2759,3.6806,True
2012-01-04,22.65,22.69,22.5,18.6368132158,712400.0,0.1516,0.0124,0.1392,18.4077,17.992,18.8234,56.5091,18.5494,18.4154,0.4544,99.0101,2.7347,True
2012-01-05,22.49,22.69,22.28,18.7027550582,766500.0,0.1576,0.0147,0.1429,18.4341,18.0137,18.8544,57.6038,18.6319,18.4291,1.7968,90.4311,1.1465,True
2012-01-06,22.65,22.81,22.44,18.6038422946,432000.0,0.1527,0.0078,0.1449,18.4497,18.0285,18.8709,55.3641,18.6434,18.4549,2.3808,95.9497,1.987,True
2012-01-09,22.62,22.87,22.52,18.7439687097,281500.0,0.1582,0.0107,0.1475,18.4711,18.0361,18.9062,57.8516,18.6747,18.4862,2.1438,107.9676,2.4089,True
2012-01-10,22.89,23.1,22.83,19.0407070006,445000.0,0.1844,0.0295,0.1549,18.4889,17.9952,18.9825,62.5827,18.7456,18.5352,1.6278,147.2696,4.0194,True
2012-01-11,23.0,23.33,22.98,19.2302897976,399900.0,0.218,0.0505,0.1675,18.5276,17.9382,19.117,65.2526,18.8643,18.6275,3.6428,170.4556,5.6037,True
2012-01-12,23.34,23.361,23.03,19.1643479552,484000.0,0.2366,0.0552,0.1813,18.561,17.91,19.212,63.5623,18.9566,18.6868,2.9119,166.9423,5.8167,True
2012-01-13,23.11,23.135,22.855,18.9088233158,300100.0,0.228,0.0373,0.1907,18.5956,17.9479,19.2433,57.3904,19.0176,18.7247,3.5586,129.8047,4.463,True
2012-01-17,23.07,23.3,23.06,19.131377034,560800.0,0.2365,0.0366,0.1998,18.6385,17.9685,19.3084,60.9306,19.0951,18.7572,3.9251,158.179,5.6207,True
