date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,10.5901,10.73,10.32,10.34,2733200.0,-0.0914,-0.0038,-0.0876,10.481,9.9464,11.0156,46.9574,10.32,10.3487,-2.7199,-20.0053,0.7631,False
2012-01-04,10.3,10.32,10.05,10.06,1896000.0,-0.1108,-0.0186,-0.0922,10.4345,9.9239,10.9451,42.1078,10.254,10.3133,-7.4439,-76.2089,3.5736,False
2012-01-05,10.08,10.4,9.9,10.37,2968800.0,-0.1001,-0.0063,-0.0938,10.4075,9.9455,10.8695,48.4261,10.302,10.316,-5.6261,-65.0322,5.0922,False
2012-01-06,10.35,10.35,10.18,10.19,1824600.0,-0.1049,-0.0089,-0.096,10.371,9.9648,10.7772,45.3471,10.272,10.318,-5.6518,-63.9437,5.0922,False
2012-01-09,10.2,10.23,10.0,10.05,2178000.0,-0.1186,-0.0181,-0.1005,10.3395,9.9363,10.7427,43.0654,10.202,10.3107,-6.4044,-90.2758,6.9116,False
2012-01-10,10.13,10.24,10.09,10.15,2020000.0,-0.12,-0.0156,-0.1044,10.3025,9.9805,10.6245,45.1765,10.164,10.2967,-6.8244,-79.9901,6.7959,False
2012-01-11,10.5599,10.5599,10.05,10.22,1790400.0,-0.1142,-0.0078,-0.1064,10.284,9.9888,10.5792,46.66,10.196,10.3033,-2.0372,-60.3027,3.165,False
2012-01-12,10.23,10.273,10.06,10.17,1368100.0,-0.1123,-0.0047,-0.1076,10.276,9.9776,10.5744,45.7133,10.156,10.2787,-4.4372,-80.8365,3.165,False
2012-01-13,10.08,10.08,9.835,9.92,3751400.0,-0.1295,-0.0175,-0.1119,10.264,9.9306,10.5974,41.2321,10.102,10.25,-2.1359,-120.3709,5.502,False
2012-01-17,9.99,10.04,9.92,9.96,4265200.0,-0.1383,-0.0211,-0.1172,10.254,9.8976,10.6104,42.2034,10.084,10.214,-2.2395,-115.2084,5.502,False
2012-01-18,9.98,10.37,9.9,10.37,2825800.0,-0.1109,0.0051,-0.1159,10.2545,9.8974,10.6116,51.0822,10.128,10.204,-1.3321,-74.3845,1.7763,True
2012-01-19,10.71,10.78,10.39,10.76,4811400.0,-0.057,0.0471,-0.1042,10.2865,9.8731,10.6999,57.7043,10.236,10.2287,3.5543,1.8719,2.5708,True
2012-01-20,10.76,10.8,10.57,10.62,2491700.0,-0.0254,0.063,-0.0884,10.2905,9.866,10.715,54.8486,10.326,10.2613,2.4668,4.7962,2.7768,True
2012-01-23,10.6,10.74,10.45,10.53,1689000.0,-0.0075,0.0647,-0.0722,10.2995,9.8629,10.7361,53.0406,10.448,10.274,2.5788,-12.652,1.4677,True
2012-01-24,10.45,10.75,10.45,10.73,4998100.0,0.0226,0.0759,-0.0533,10.311,9.8429,10.7791,56.4579,10.602,10.296,1.7029,-0.7168,1.574,True
2012-01-25,10.72,10.75,10.51,10.69,2982600.0,0.0427,0.0768,-0.0341,10.3195,9.8308,10.8082,55.591,10.666,10.3193,1.8957,1.7345,1.574,True
2012-01-26,10.75,10.79,10.55,10.7,3378800.0,0.0588,0.0743,-0.0155,10.335,9.8194,10.8506,55.7729,10.654,10.362,1.6965,9.4673,2.011,True
2012-01-27,10.66,10.85,10.63,10.67,2155500.0,0.0683,0.067,0.0013,10.362,9.8357,10.8883,55.0482,10.664,10.382,2.8436,18.2484,2.6703,True
2012-01-30,10.55,10.69,10.48,10.55,2125400.0,0.0654,0.0513,0.0141,10.3725,9.84,10.905,52.1442,10.668,10.406,2.8874,-10.2101,0.9436,True
2012-01-31,10.63,10.66,10.46,10.56,5201100.0,0.0632,0.0393,0.0239,10.3805,9.8419,10.9191,52.3685,10.634,10.44,1.6206,-11.7913,0.714,True
2012-02-01,10.65,10.85,10.5,10.8,2694100.0,0.0799,0.0448,0.0351,10.4035,9.8353,10.9717,57.4928,10.656,10.4833,1.1184,22.2745,2.8494,True
2012-02-02,11.21,11.84,11.2,11.64,14097900.0,0.1591,0.0992,0.0599,10.4825,9.7208,11.2442,69.7119,10.844,10.578,14.7287,193.4394,12.7886,True
2012-02-03,11.74,11.84,11.63,11.73,6308800.0,0.2265,0.1333,0.0932,10.5505,9.6176,11.4834,70.6795,11.056,10.682,13.8462,217.4798,12.7886,True
2012-02-06,11.6,11.75,11.5908,11.62,2903900.0,0.2679,0.1398,0.1282,10.622,9.596,11.648,67.8415,11.27,10.7953,13.5266,195.4287,12.318,True
2012-02-07,11.61,11.77,11.55,11.74,3507400.0,0.3069,0.143,0.1639,10.7065,9.6071,11.8059,69.2831,11.506,10.914,15.0538,193.5357,11.8242,True
2012-02-08,11.77,11.79,11.635,11.76,2237700.0,0.3356,0.1373,0.1983,10.787,9.6282,11.9458,69.527,11.698,11.0067,15.1367,193.67,12.0171,True
2012-02-09,11.78,12.0,11.69,12.0,4276100.0,0.3733,0.1401,0.2333,10.876,9.6346,12.1174,72.3502,11.77,11.0893,13.6374,218.1116,14.0247,True
2012-02-10,11.82,11.9,11.7099,11.77,1711600.0,0.3803,0.1176,0.2627,10.956,9.7008,12.2112,66.0656,11.778,11.166,15.8376,194.8626,14.0247,True
2012-02-13,11.93,11.99,11.64,11.7,2647000.0,0.3759,0.0906,0.2853,11.045,9.845,12.245,64.2458,11.794,11.244,18.9484,188.873,14.8855,True
2012-02-14,11.67,11.83,11.58,11.825,2707100.0,0.3781,0.0742,0.3039,11.1383,10.0018,12.2747,66.0358,11.811,11.317,17.8287,179.5003,14.1109,True
2012-02-15,11.86,11.94,11.76,11.94,4234300.0,0.3847,0.0646,0.32,11.2168,10.0866,12.3469,67.633,11.847,11.4003,15.1398,192.5774,15.1771,True
2012-02-16,11.96,12.06,11.84,12.03,3136100.0,0.3927,0.0581,0.3346,11.2803,10.1176,12.4429,68.8609,11.853,11.489,11.8738,197.0166,16.3295,True
2012-02-17,12.06,12.07,11.83,11.94,3213700.0,0.3872,0.0421,0.3451,11.3463,10.1912,12.5013,66.1713,11.887,11.5737,11.7593,178.3878,16.3295,True
2012-02-21,11.96,12.11,11.89,11.98,4975700.0,0.3818,0.0293,0.3524,11.4188,10.2962,12.5413,66.789,11.943,11.669,12.7561,171.9701,16.7195,True
2012-02-22,11.98,12.09,11.76,11.8,4029400.0,0.3588,0.0051,0.3537,11.4723,10.3846,12.5599,61.3848,11.938,11.7517,12.4651,147.1055,14.9486,True
2012-02-23,11.72,11.96,11.62,11.9,2925100.0,0.3447,-0.0072,0.3519,11.5328,10.4923,12.5732,63.1592,11.93,11.825,11.2558,131.7334,13.0697,False
2012-02-24,11.91,11.98,11.79,11.81,1436400.0,0.3225,-0.0235,0.346,11.5883,10.6152,12.5613,60.4794,11.886,11.8363,11.0287,128.517,13.2757,False
2012-02-27,11.76,11.9,11.6,11.82,2561100.0,0.3022,-0.035,0.3373,11.6458,10.765,12.5265,60.678,11.862,11.8423,9.6774,111.745,10.7412,False
2012-02-28,11.87,11.94,11.65,11.75,2930500.0,0.2773,-0.0479,0.3253,11.7058,10.9823,12.4292,58.474,11.816,11.851,11.6932,106.7906,11.1667,False
2012-02-29,11.76,11.89,11.66,11.77,2937000.0,0.2563,-0.0552,0.3115,11.7663,11.2692,12.2633,58.9306,11.81,11.853,11.5385,100.8642,11.1667,False
2012-03-01,11.85,11.97,11.71,11.92,2817900.0,0.2488,-0.0501,0.2989,11.8223,11.5931,12.0514,62.2653,11.814,11.8637,10.3226,105.8617,12.0342,False
2012-03-02,11.91,11.95,11.59,11.63,2428600.0,0.217,-0.0656,0.2825,11.8218,11.591,12.0525,53.3006,11.778,11.839,0.9291,86.7364,10.3899,False
2012-03-05,11.63,11.6496,11.37,11.51,4671900.0,0.18,-0.082,0.262,11.8108,11.5452,12.0763,50.1025,11.716,11.8217,-1.6081,61.6651,7.4498,False
2012-03-06,11.37,11.57,11.24,11.32,3066900.0,0.1338,-0.1026,0.2364,11.7958,11.4633,12.1282,45.4739,11.63,11.7963,-1.5319,46.1756,5.7572,False
2012-03-07,11.36,11.52,11.32,11.5,1789900.0,0.1105,-0.1007,0.2112,11.7838,11.4276,12.1399,50.1486,11.576,11.7747,-2.124,51.5787,5.7572,False
2012-03-08,11.59,12.0,11.57,11.96,7244300.0,0.1276,-0.0669,0.1945,11.7938,11.4297,12.1578,59.6262,11.584,11.776,1.7812,88.1626,11.1045,False
2012-03-09,11.95,12.25,11.94,12.01,3735600.0,0.1436,-0.0407,0.1843,11.7943,11.4291,12.1594,60.5008,11.66,11.7747,2.0833,105.4604,13.6981,False
2012-03-12,11.99,12.06,11.88,11.95,1614700.0,0.1497,-0.0277,0.1774,11.8033,11.4321,12.1744,58.8615,11.748,11.7753,1.3445,91.6258,12.8942,False
2012-03-13,12.0,12.29,11.99,12.28,3305200.0,0.1791,0.0014,0.1777,11.8323,11.4107,12.2538,64.5257,11.94,11.7953,2.5021,108.5609,15.2307,True
2012-03-14,12.25,12.27,12.04,12.15,1755400.0,0.1897,0.0096,0.1801,11.8485,11.4048,12.2922,60.9818,12.07,11.8187,3.7194,101.5311,15.2307,True
2012-03-15,12.15,12.41,12.07,12.4,5707300.0,0.2158,0.0285,0.1873,11.8715,11.3676,12.3754,64.9484,12.158,11.852,3.9363,110.3494,16.6383,True
2012-03-16,12.44,12.44,12.23,12.33,3060100.0,0.2282,0.0328,0.1955,11.8865,11.348,12.425,63.0262,12.222,11.8867,3.1509,110.1211,16.9389,True
2012-03-19,12.34,12.6,12.2819,12.42,2935700.0,0.2425,0.0376,0.2049,11.9105,11.3239,12.4971,64.4746,12.316,11.9267,4.3911,115.1246,18.532,True
2012-03-20,12.31,12.36,12.05,12.19,3043000.0,0.2326,0.0222,0.2104,11.921,11.3224,12.5196,58.229,12.298,11.956,2.0644,90.9324,15.2731,True
2012-03-21,12.19,12.29,12.1,12.18,2358000.0,0.2214,0.0088,0.2126,11.94,11.3339,12.5461,57.9675,12.304,11.9833,1.6543,87.3629,15.2731,True
2012-03-22,12.09,12.165,12.01,12.12,1559000.0,0.2053,-0.0059,0.2111,11.951,11.3403,12.5617,56.3404,12.248,11.9967,1.714,76.7837,14.015,False
2012-03-23,12.13,12.15,11.87,12.02,2434100.0,0.1824,-0.023,0.2054,11.9615,11.3536,12.5694,53.6514,12.186,12.0227,1.419,67.1616,12.0798,False
2012-03-26,12.11,12.185,12.0,12.125,2156000.0,0.1707,-0.0278,0.1984,11.9768,11.3685,12.585,56.0132,12.127,12.0637,2.395,73.7458,12.4576,False
2012-03-27,12.1,12.22,12.05,12.14,1756000.0,0.1608,-0.0301,0.1909,11.9963,11.3934,12.5991,56.3537,12.117,12.1183,2.3451,75.2186,12.8384,False
