date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-09-23,22.9,23.95,22.74,22.1059297818,442400.0,-0.0207,0.3259,0.3466,22.4127,20.245,21.3288,59.2101,21.7234,21.5701,2.7456,81.6824,40.4306,False
2013-09-24,23.87,24.39,23.85,22.5154704375,393900.0,0.0213,0.3732,0.3519,22.5905,20.1895,21.39,62.3568,21.9217,21.6795,4.8131,111.925,42.1388,True
2013-09-25,24.3,24.43,24.0,22.3579548007,263200.0,0.0333,0.3935,0.3602,22.6903,20.2666,21.4785,60.4356,21.9851,21.7486,6.6347,110.8481,42.2918,True
2013-09-26,24.26,24.51,23.83,22.2282360409,473400.0,0.0274,0.3945,0.3671,22.7112,20.4319,21.5716,58.836,22.0833,21.79,9.2246,105.2153,40.6841,True
2013-09-27,23.96,24.4,23.79,22.2189704152,156900.0,0.0184,0.3901,0.3717,22.7103,20.609,21.6596,58.7171,22.2853,21.8357,10.2078,100.8886,40.3048,True
2013-09-30,23.82,24.092,22.78,21.1534234604,1433100.0,-0.0596,0.2972,0.3568,22.5895,20.8131,21.7013,47.0089,22.0948,21.8277,8.7184,55.1094,31.2199,False
2013-10-01,22.7,23.2,22.63,21.4962516111,118500.0,-0.0867,0.2483,0.3351,22.543,20.9217,21.7323,50.4171,21.891,21.8382,0.1295,40.8614,29.9491,False
2013-10-02,23.13,23.15,22.27,21.1070953319,177400.0,-0.1271,0.1762,0.3033,22.5589,20.8845,21.7217,46.7594,21.6408,21.7987,0.6084,22.502,26.9483,False
2013-10-03,22.72,23.32,22.6405,21.6074391194,91000.0,-0.1166,0.1576,0.2742,22.5589,20.8845,21.7217,51.5968,21.5166,21.8129,-1.8105,43.2662,27.7495,False
2013-10-04,23.34,23.365,23.16,21.6352359965,110300.0,-0.1046,0.1434,0.248,22.5606,20.893,21.7268,51.8571,21.3999,21.8036,-1.6211,55.1115,27.9622,False
2013-10-07,23.19,23.32,22.97,21.3572672257,56700.0,-0.1116,0.1085,0.2201,22.5564,20.9055,21.7309,49.0313,21.4407,21.753,-0.8503,41.108,26.365,False
2013-10-08,23.0,23.29,22.81,21.4221266055,127000.0,-0.108,0.0851,0.1931,22.5534,20.9168,21.7351,49.7163,21.4258,21.7462,0.2151,36.3288,25.0286,False
