date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,104.18,106.045,100.9,25.3,3245900.0,-1.3037,-0.027,-1.3307,31.8903,22.5452,27.2177,37.5948,25.2635,26.0332,-12.1053,-110.9469,18.0221,False
2012-01-04,98.99,99.5,96.28,24.37,4947100.0,-1.3133,-0.0383,-1.3515,31.3149,22.4324,26.8736,33.9182,25.123,25.7233,-22.538,-135.0202,20.4208,False
2012-01-05,96.94,99.95,95.16,24.6925,3747200.0,-1.316,-0.0108,-1.3267,30.7103,22.4232,26.5667,36.2351,25.055,25.4807,-20.6746,-127.126,20.9907,False
2012-01-06,98.98,101.25,96.85,25.265,4366100.0,-1.3021,0.0556,-1.2465,30.0243,22.571,26.2976,40.2215,24.9985,25.3588,-17.8566,-111.4621,19.9765,True
2012-01-09,100.82,101.84,99.53,25.1875,3440400.0,-1.2768,0.1012,-1.1756,29.3518,22.7465,26.0491,39.8601,24.963,25.2595,-17.871,-101.4584,19.5141,True
2012-01-10,102.78,104.81,101.66,26.1975,4422100.0,-1.2266,0.2006,-1.0261,28.2273,23.3937,25.8105,46.5647,25.1425,25.2217,-15.6255,-80.8729,17.2017,True
2012-01-11,105.48,107.7,105.01,26.455,3551000.0,-1.1566,0.2799,-0.8767,27.6321,23.7326,25.6824,48.1439,25.5595,25.2608,-10.25,-64.674,14.9999,True
2012-01-12,105.59,106.39,104.5,26.42,1698000.0,-1.0758,0.3233,-0.7525,27.1581,24.0154,25.5867,47.9375,25.905,25.2835,-10.3083,-66.1473,15.2855,True
2012-01-13,104.6,104.86,102.67,25.975,2135900.0,-0.9971,0.315,-0.6821,26.9568,24.1049,25.5309,45.2934,26.047,25.3647,-6.5086,-73.4145,16.3116,True
2012-01-17,104.2301,105.99,102.88,25.86,1891900.0,-0.9233,0.295,-0.6283,26.8262,24.1538,25.49,44.6121,26.1815,25.4163,-4.0641,-69.3445,15.4336,True
2012-01-18,103.39,108.26,102.27,26.925,2858600.0,-0.8375,0.3434,-0.4941,26.8662,24.1298,25.498,51.8055,26.327,25.5777,-0.9584,-56.1861,13.6805,True
2012-01-19,111.35,115.88,111.35,28.6275,5106500.0,-0.7195,0.472,-0.2475,27.5666,23.7054,25.636,60.5754,26.7615,25.8147,7.6152,-10.1132,8.0772,True
2012-01-20,113.47,115.29,112.6,28.5475,2340700.0,-0.5871,0.5293,-0.0578,28.0664,23.4524,25.7594,60.0254,27.187,26.049,8.7231,-8.0042,8.0772,True
2012-01-23,114.22,117.1,113.09,28.6875,2275000.0,-0.4492,0.5518,0.1026,28.5408,23.371,25.9559,60.6945,27.7295,26.2583,17.1117,-0.8616,6.7843,True
2012-01-24,114.87,117.83,114.61,29.3825,1966000.0,-0.3028,0.5854,0.2826,29.1193,23.2222,26.1707,63.9075,28.434,26.5262,16.7327,10.317,6.2629,True
2012-01-25,118.64,118.64,115.831,29.535,1709000.0,-0.1558,0.5883,0.4325,29.6081,23.2364,26.4222,64.588,28.956,26.8085,17.4072,17.4953,5.6806,True
2012-01-26,119.4,119.97,115.54,29.055,1694500.0,-0.0233,0.53,0.5067,29.9399,23.3028,26.6214,60.7266,29.0415,27.1208,17.8603,18.2624,4.7224,True
2012-01-27,115.25,118.08,114.81,29.15,1349400.0,0.0947,0.472,0.5667,30.2356,23.4189,26.8272,61.2182,29.162,27.418,16.9688,15.8159,5.2022,True
2012-01-30,115.72,117.35,114.52,28.8925,2554200.0,0.1931,0.3936,0.5867,30.463,23.526,26.9945,59.0706,29.203,27.6598,14.5549,13.0741,5.3946,True
2012-01-31,117.08,117.36,114.65,29.2,1330200.0,0.2785,0.3417,0.6202,30.697,23.6755,27.1862,60.8288,29.1665,27.9273,13.8312,18.2271,5.3871,True
2012-02-01,117.35,119.99,115.62,29.83,1879200.0,0.3608,0.3289,0.6897,30.9914,23.8341,27.4127,64.2043,29.2255,28.1695,13.1501,34.9884,3.4181,True
2012-02-02,118.95,120.45,117.05,29.57,2015700.0,0.4317,0.2838,0.7155,31.0809,24.2646,27.6727,61.8477,29.3285,28.3772,21.0553,39.4627,3.0756,True
