date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,18.55,18.86,18.48,14.0421315328,41236600.0,0.033,0.0293,0.0037,13.7976,13.267,14.3281,55.3021,13.7882,13.6905,-0.3122,90.24,8.9952,True
2012-01-04,18.44,19.0,18.35,14.3134770697,52927700.0,0.0753,0.0385,0.0368,13.8074,13.2471,14.3676,58.8072,13.859,13.7166,0.9063,105.2796,9.9619,True
2012-01-05,18.93,19.0,18.67,14.2607154375,37865300.0,0.1033,0.0515,0.0519,13.8168,13.2332,14.4004,57.8619,13.9823,13.7422,0.933,114.1641,9.9619,True
2012-01-06,18.95,19.0,18.83,14.2079538054,27796900.0,0.1199,0.0652,0.0548,13.8138,13.2389,14.3888,56.8822,14.0816,13.7888,0.0587,115.1966,9.9619,True
2012-01-09,18.87,19.1,18.79,14.2984023176,37811500.0,0.1388,0.0799,0.0589,13.8312,13.2208,14.4415,58.1827,14.2245,13.8385,0.4799,120.3854,10.6746,True
2012-01-10,19.08,19.25,18.77,14.1928790533,45488300.0,0.1436,0.0926,0.0509,13.8316,13.2203,14.4428,56.0689,14.2547,13.8861,1.8565,116.1817,11.7405,True
2012-01-11,18.94,19.14,18.87,14.3737760779,32482200.0,0.1601,0.1061,0.054,13.8542,13.1994,14.5089,58.817,14.2667,13.9583,2.6826,123.2588,11.7405,True
2012-01-12,19.12,19.2,18.96,14.4340750861,31101700.0,0.176,0.1201,0.0559,13.882,13.18,14.584,59.717,14.3014,13.9987,2.1848,130.8533,12.174,True
2012-01-13,19.01,19.17,18.88,14.3662387019,32143700.0,0.1811,0.1323,0.0488,13.9249,13.2146,14.6352,58.1844,14.3331,14.0589,3.9553,117.2839,11.4318,True
2012-01-17,19.2301,19.32,19.11,14.5509044144,40402800.0,0.1977,0.1454,0.0524,13.9747,13.2363,14.7132,61.0965,14.3836,14.1208,6.204,144.4703,12.5352,True
2012-01-18,19.37,19.63,19.33,14.728032751,56573500.0,0.2227,0.1608,0.0618,14.0372,13.2665,14.8079,63.6949,14.4906,14.1778,6.2775,177.9142,14.7668,True
2012-01-19,19.68,19.95,19.6,14.9164671516,52482100.0,0.2547,0.1796,0.0751,14.1185,13.337,14.9,66.2632,14.5991,14.2416,11.1285,211.8767,16.9901,True
2012-01-20,19.7499,19.93,19.67,15.0144530399,42046700.0,0.2847,0.2006,0.084,14.1778,13.3174,15.0383,67.5425,14.7152,14.333,8.1937,211.0669,16.9901,True
