date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,66.64,67.6,65.57,31.3703767595,2685100.0,-0.3983,-0.0133,-0.4116,31.5487,33.6805,29.4168,49.4462,30.6496,31.0436,-2.5094,-47.3343,4.7179,False
2012-01-04,65.6,66.12,64.92,31.4873235384,1879800.0,-0.3869,0.0458,-0.3411,31.4533,33.4098,29.4968,50.1506,30.8191,30.9966,-6.6629,-64.1408,5.6432,True
2012-01-05,65.6,67.5483,64.95,32.1197908118,3416200.0,-0.3558,0.1243,-0.2315,31.3913,33.1727,29.6098,53.8745,31.2124,31.0087,-4.3361,-38.6325,3.3994,True
2012-01-06,67.25,67.57,66.21,31.6997370755,2047700.0,-0.32,0.1434,-0.1766,31.3111,32.8716,29.7505,51.1552,31.4749,31.051,-3.6091,-34.6241,3.3655,True
2012-01-09,66.64,67.0,66.03,31.8095238475,2140200.0,-0.2805,0.1578,-0.1227,31.2944,32.8258,29.7629,51.836,31.6974,31.086,-3.1092,-37.6099,3.6322,True
2012-01-10,67.48,70.17,67.4075,33.2988052761,4548900.0,-0.2165,0.2561,0.0397,31.3034,32.8795,29.7274,59.9492,32.083,31.2219,0.7032,32.4153,1.2485,True
2012-01-11,69.71,70.72,69.36,33.5470188475,3058700.0,-0.1359,0.3222,0.1862,31.3712,33.1918,29.5506,61.1188,32.495,31.417,3.2409,61.7003,2.0624,True
2012-01-12,67.54,69.3,67.25,32.9885383118,4576700.0,-0.0579,0.3123,0.2544,31.4237,33.3634,29.4841,57.0991,32.6687,31.4641,0.9027,20.0998,1.117,True
2012-01-13,68.95,69.04,67.61,32.6209912926,2201400.0,0.0088,0.2668,0.2756,31.5015,33.5013,29.5018,54.5685,32.853,31.6187,3.7727,15.4131,1.117,True
2012-01-17,69.63,69.93,68.2,32.6639513338,1986000.0,0.0655,0.2269,0.2925,31.5705,33.6298,29.5112,54.8193,33.0239,31.7534,4.8898,31.796,0.2387,True
2012-01-18,68.14,69.36,67.75,33.1030984217,1978300.0,0.1199,0.2175,0.3374,31.6626,33.8207,29.5045,57.3949,32.9847,31.9058,3.4452,30.97,0.4476,True
2012-01-19,69.79,70.88,69.6,33.3274453036,2030600.0,0.1733,0.2134,0.3866,31.7979,34.0164,29.5795,58.6841,32.9408,32.0849,6.4104,68.4035,1.8604,True
2012-01-20,69.83,70.75,69.7,33.4945121305,2348300.0,0.2254,0.2087,0.4342,31.8586,34.19,29.5271,59.658,33.042,32.3077,4.351,72.5644,1.8604,True
2012-01-23,70.35,70.91,69.99,33.7045389986,2579900.0,0.277,0.2062,0.4832,32.0287,34.3774,29.6801,60.8996,33.2587,32.5289,6.4235,81.3322,2.1052,True
2012-01-24,70.34,71.3,70.02,33.9766192596,1485900.0,0.3292,0.2086,0.5378,32.1953,34.5997,29.791,62.5013,33.5212,32.7475,10.0648,90.7399,2.707,True
2012-01-25,71.35,71.95,70.34,34.2582461965,1662000.0,0.3827,0.2142,0.5969,32.3674,34.844,29.8908,64.1309,33.7523,32.94,11.0854,111.9831,3.7101,True
2012-01-26,71.99,72.48,70.86,34.0004859492,1388700.0,0.4293,0.1865,0.6159,32.5354,34.9762,30.0947,61.5097,33.8869,33.1076,11.7139,123.3429,4.5264,True
2012-01-27,71.09,71.675,70.77,34.0482193283,1111900.0,0.469,0.1585,0.6275,32.7302,34.9947,30.4656,61.8193,33.9976,33.2361,10.9864,117.8528,4.3736,True
2012-01-30,70.55,71.2,70.35,33.8859258393,987000.0,0.4985,0.1181,0.6165,32.9051,34.9484,30.8619,60.0592,34.0339,33.3819,11.7739,105.0913,3.6545,True
2012-01-31,71.3001,71.95,70.99,34.2486995206,1398200.0,0.5248,0.1051,0.6299,33.0827,34.936,31.2293,62.6088,34.0883,33.5445,11.2916,124.986,4.845,True
2012-02-01,72.68,73.39,72.13,34.8334334149,2354900.0,0.5558,0.124,0.6798,33.2558,35.0839,31.4278,66.3215,34.2034,33.6468,8.5651,160.9979,7.0867,True
2012-02-02,73.18,73.66,72.43,34.6615932501,1452000.0,0.5841,0.1133,0.6974,33.4146,35.1496,31.6795,64.3109,34.3356,33.7211,11.4035,159.0794,7.5022,True
2012-02-03,73.59,74.1896,73.23,35.0124335866,1661700.0,0.6135,0.1177,0.7312,33.5592,35.3205,31.7979,66.5305,34.5284,33.856,9.8319,173.8157,8.3201,True
2012-02-06,72.77,73.1,72.06,34.5446464712,2458200.0,0.6332,0.0789,0.7121,33.7014,35.2901,32.1127,61.1018,34.6602,33.9843,8.1841,139.8909,6.2103,True
2012-02-07,72.57,73.1,70.97,34.3728063064,3308900.0,0.6417,0.0337,0.6753,33.8296,35.1833,32.4759,59.2005,34.685,34.0982,9.1045,120.3649,4.2859,True
2012-02-08,69.76,72.672,69.65,33.7713657294,6498400.0,0.6315,-0.0407,0.5908,33.8532,35.1854,32.5211,53.0144,34.4726,34.1427,3.5656,88.281,2.0097,False
2012-02-09,70.99,71.7,70.3,33.737952364,2616900.0,0.6082,-0.093,0.5152,33.8628,35.1887,32.5368,52.6867,34.2878,34.1701,1.3857,82.2812,2.0097,False
2012-02-10,70.3,70.44,69.6,33.4515520893,2691800.0,0.572,-0.1448,0.4272,33.8859,35.1654,32.6065,49.8565,33.9757,34.1672,1.645,57.0037,0.8031,False
2012-02-13,70.38,70.9199,70.01,33.7236323503,1786300.0,0.5327,-0.1575,0.3752,33.9411,35.0857,32.7965,52.4561,33.8115,34.1685,2.7229,68.7595,1.6145,False
2012-02-14,70.36,70.78,69.8,33.7689790605,1693600.0,0.4929,-0.1592,0.3337,33.9963,34.9851,33.0076,52.8922,33.6907,34.1547,1.2155,64.9962,1.2459,False
2012-02-15,71.02,71.56,70.095,33.7570457157,2972100.0,0.4536,-0.1571,0.2965,34.029,34.9374,33.1206,52.7557,33.6878,34.1213,3.1719,71.8028,2.5805,False
2012-02-16,70.59,72.06,70.59,34.3489396168,1751100.0,0.4251,-0.114,0.3111,34.0801,34.9385,33.2217,58.4516,33.81,34.1445,1.6648,88.2288,3.4312,False
2012-02-17,71.98,72.32,70.68,33.9288858805,2490600.0,0.3972,-0.1116,0.2856,34.1018,34.9209,33.2827,53.5432,33.9055,34.1365,2.2191,81.2492,3.8751,False
2012-02-21,71.29,71.57,70.5,33.7045389986,1815100.0,0.3666,-0.1222,0.2444,34.1018,34.9209,33.2827,51.0883,33.9017,34.1244,0.9308,67.0782,3.54,False
2012-02-22,70.46,71.38,70.43,33.957525908,1458500.0,0.3392,-0.1097,0.2295,34.1008,34.9206,33.2811,53.6556,33.9394,34.105,0.1122,67.6439,3.4081,False
2012-02-23,70.7281,71.08,70.2,33.6997656607,2166900.0,0.3103,-0.1156,0.1947,34.0729,34.9072,33.2386,50.7478,33.9279,34.0294,-1.2092,56.1734,2.9697,False
2012-02-24,71.01,72.315,70.98,34.4539530509,2308100.0,0.2933,-0.068,0.2254,34.0956,34.9453,33.2459,57.9002,33.9489,34.0156,-0.2276,87.5892,5.1651,False
2012-02-27,71.59,72.38,71.24,34.3680329685,1434500.0,0.2826,-0.0427,0.24,34.1116,34.9691,33.254,56.8917,34.0368,33.9726,0.9836,86.6973,5.2798,False
2012-02-28,72.44,72.46,71.23,34.1532327624,1481700.0,0.2724,-0.0409,0.2315,34.125,34.9763,33.2736,54.3559,34.1265,33.9465,1.7697,80.4295,5.423,False
2012-02-29,71.68,71.799,70.93,33.8668324877,1715600.0,0.2578,-0.0584,0.1994,34.1059,34.9624,33.2493,51.1019,34.1084,33.9128,-0.2099,63.5958,4.8187,False
2012-03-01,71.45,71.63,71.01,34.06731268,1586500.0,0.2439,-0.0559,0.188,34.0676,34.8563,33.2788,53.203,34.1819,33.9325,-2.3981,64.7678,4.8187,False
2012-03-02,71.5,71.64,70.82,34.0529926662,1445500.0,0.2302,-0.0545,0.1758,34.0371,34.7774,33.2969,53.0286,34.1017,33.9535,-2.7423,61.5714,4.4267,False
2012-03-05,71.0,71.62,70.95,34.1007260454,1890700.0,0.2178,-0.0498,0.168,33.9915,34.5833,33.3998,53.5721,34.0482,33.9968,-3.4636,62.3655,4.4267,False
2012-03-06,70.78,71.36,70.16,33.5995255646,2064700.0,0.1982,-0.0782,0.12,33.9443,34.5018,33.3868,47.4019,33.9375,33.9886,-2.3803,41.8568,2.7739,False
2012-03-07,70.62,71.28,70.17,33.9336592184,1220200.0,0.1801,-0.0724,0.1077,33.9223,34.444,33.4006,51.4001,33.9508,33.9995,-2.4897,46.2938,2.7739,False
2012-03-08,71.5,73.03,71.44,34.7785400289,1892500.0,0.1769,-0.0127,0.1642,33.9727,34.6084,33.337,59.6995,34.0931,34.0676,0.4926,87.3899,6.1759,False
2012-03-09,72.84,72.99,72.43,34.7021666223,1732200.0,0.1817,0.0189,0.2005,34.0209,34.721,33.3207,58.7282,34.2229,34.0912,1.7992,91.8128,6.1759,True
2012-03-12,72.48,72.98,71.99,34.7499000014,1144700.0,0.1914,0.0391,0.2305,34.0858,34.8033,33.3683,59.173,34.3528,34.1459,3.6059,86.3456,5.2186,True
2012-03-13,73.0,75.64,72.96,36.1007546306,3482800.0,0.225,0.1342,0.3591,34.2047,35.32,33.0893,69.229,34.853,34.3057,6.6555,141.7986,10.1966,True
2012-03-14,75.5,75.91,74.98,35.9480078174,2259100.0,0.2687,0.1749,0.4436,34.3136,35.6427,32.9845,67.2231,35.2559,34.4384,7.2478,156.5028,10.6809,True
2012-03-15,75.1,76.35,75.05,36.4014749191,1992800.0,0.3231,0.2178,0.5409,34.4458,36.029,32.8627,69.9891,35.5805,34.6185,6.6937,166.7999,11.472,True
2012-03-16,76.58,77.03,76.5,36.7117418834,3412500.0,0.3857,0.2501,0.6358,34.564,36.4283,32.6997,71.7375,35.9824,34.769,6.897,190.6406,12.6874,True
2012-03-19,76.66,76.9,75.94,36.3680615537,1239100.0,0.4436,0.2318,0.6754,34.6859,36.6825,32.6894,67.0981,36.306,34.9023,6.333,173.053,11.4064,True
2012-03-20,75.63,75.85,75.0,36.1675813614,1520100.0,0.4915,0.1913,0.6828,34.8091,36.8517,32.7665,64.4914,36.3194,35.0366,5.9802,149.7138,9.2858,True
2012-03-21,75.72,77.03,75.5,36.7260618971,1906700.0,0.5382,0.1871,0.7253,34.9475,37.1121,32.7829,68.1809,36.475,35.2272,7.9154,176.4236,11.4379,True
2012-03-22,76.41,76.54,75.75,36.4539816361,2004200.0,0.5763,0.1524,0.7287,35.0852,37.2651,32.9053,64.6733,36.4855,35.3863,7.6815,166.4523,11.4379,True
2012-03-23,76.53,76.98,75.72,36.458754974,1871000.0,0.6057,0.1177,0.7234,35.1855,37.4237,32.9473,64.7074,36.4349,35.5467,6.4509,167.1793,12.2407,True
2012-03-26,76.77,77.69,76.28,37.0745155647,1445600.0,0.6366,0.1235,0.7601,35.3208,37.6695,32.9721,68.8648,36.5762,35.745,7.3363,189.2664,13.5271,True
2012-03-27,77.94,78.0,77.34,36.950408779,1429000.0,0.6634,0.107,0.7703,35.4607,37.8474,33.0739,67.1565,36.7327,35.9684,7.6456,193.3841,14.0863,True
2012-03-28,77.23,77.23,76.05,36.4683016499,1577000.0,0.6769,0.0542,0.7311,35.5907,37.8981,33.2834,60.8715,36.6812,36.1374,7.5642,153.9603,11.0475,True
2012-03-29,75.98,76.37,75.41,36.4205682707,1587100.0,0.6792,0.0091,0.6882,35.7084,37.9315,33.4853,60.2731,36.6745,36.2468,6.6173,130.7352,9.5749,True
2012-03-30,76.95,77.31,75.98,36.730835235,1812100.0,0.6776,-0.0061,0.6715,35.8423,37.971,33.7136,62.8186,36.7289,36.3821,7.9146,145.6365,11.3312,False
