date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,62.41,63.33,61.0,47.6666416727,1968900.0,-1.4814,-0.1749,-1.6562,56.9944,43.0186,50.0065,43.2182,47.202,48.2395,-12.9125,-74.7417,9.9595,False
2012-01-04,62.0,62.77,61.09,47.5935569251,2511400.0,-1.4998,-0.0739,-1.5738,56.0329,43.1227,49.5778,43.0316,47.1843,47.8838,-16.0155,-81.195,9.9595,False
2012-01-05,61.5,64.19,61.38,48.9667808661,2575900.0,-1.4762,0.0945,-1.3817,54.8717,43.5469,49.2093,47.5881,47.6259,47.7443,-13.4206,-66.8625,8.0367,True
2012-01-06,63.43,63.49,60.15,47.7128004606,4008600.0,-1.4441,0.1286,-1.3155,53.7184,43.9216,48.82,44.1344,47.7305,47.6464,-12.9081,-85.796,9.4318,True
2012-01-09,62.25,62.7899,61.36,47.9282081376,1422600.0,-1.4015,0.1701,-1.2314,52.8931,44.1685,48.5308,44.8708,47.9736,47.5648,-12.7433,-81.5813,9.4318,True
2012-01-10,63.3,64.72,62.81,49.3206649069,2266000.0,-1.3293,0.2888,-1.0405,51.563,44.9485,48.2557,49.4828,48.3044,47.5664,-9.7224,-56.224,6.8024,True
2012-01-11,64.39,65.86,64.2,50.0592055139,1714800.0,-1.2275,0.4074,-0.8201,50.7841,45.4405,48.1123,51.7754,48.7975,47.7484,-6.4887,-39.2616,5.283,True
2012-01-12,65.54,65.74,64.54,50.3438513728,2308300.0,-1.1051,0.4897,-0.6154,50.6048,45.5482,48.0765,52.6625,49.0729,47.8541,-6.0723,-37.3531,5.283,True
2012-01-13,66.88,67.21,64.15,49.8899566248,1888300.0,-0.9809,0.4967,-0.4842,50.7197,45.5041,48.1119,51.0578,49.5084,48.1818,1.8488,-35.4466,3.3228,True
2012-01-17,65.69,66.74,65.37,50.5207933932,1581900.0,-0.8498,0.5243,-0.3255,50.96,45.4007,48.1804,53.1822,50.0269,48.4049,2.127,-27.7741,3.3228,True
