date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-26,6.31,6.46,5.95,5.99,95800.0,-0.2521,-0.2126,-0.0394,6.5725,7.7493,5.3957,37.9997,6.456,6.7533,-19.9008,-129.7649,7.0831,False
2012-06-27,5.97,5.99,5.62,5.85,152400.0,-0.2949,-0.2291,-0.0658,6.5145,7.7135,5.3155,36.6854,6.266,6.6973,-23.2543,-157.3999,9.4607,False
2012-06-28,5.82,6.37,5.68,6.29,162400.0,-0.2901,-0.2413,-0.0488,6.484,7.6732,5.2948,43.2902,6.204,6.6767,-14.4966,-121.996,6.2762,False
2012-06-29,6.42,6.624,6.06,6.22,266700.0,-0.2885,-0.2507,-0.0378,6.4975,7.6681,5.3269,42.5339,6.126,6.626,-16.3626,-98.9404,4.2152,False
2012-07-02,6.22,6.6,5.85,6.19,97100.0,-0.2864,-0.2579,-0.0285,6.559,7.5084,5.6096,42.1954,6.108,6.6087,10.3679,-104.2716,5.7519,False
2012-07-03,5.77,6.27,5.77,6.19,56600.0,-0.2815,-0.2626,-0.0189,6.602,7.3889,5.8151,42.1954,6.148,6.5493,10.0,-113.8183,6.3341,False
2012-07-05,6.15,6.36,6.08,6.19,52000.0,-0.2745,-0.265,-0.0095,6.577,7.3826,5.7714,42.1954,6.216,6.494,-5.0746,-97.3069,5.5879,False
2012-07-06,6.34,6.34,5.97,6.24,89900.0,-0.2618,-0.2643,0.0025,6.559,7.3778,5.7402,43.1233,6.206,6.4273,-9.1691,-96.3416,6.4042,True
2012-07-09,6.22,6.43,6.15,6.2,97300.0,-0.2521,-0.2619,0.0098,6.52,7.3291,5.7109,42.538,6.202,6.3733,-10.1955,-86.1554,5.6442,True
2012-07-10,6.32,6.335,5.77,5.81,81400.0,-0.2728,-0.2641,-0.0087,6.488,7.3542,5.6218,37.2558,6.126,6.2973,-13.5744,-109.378,8.452,False
2012-07-11,5.81,6.02,5.62,5.74,104000.0,-0.2914,-0.2695,-0.0219,6.421,7.3009,5.5411,36.3869,6.036,6.2133,-14.9718,-121.3633,9.5327,False
2012-07-12,5.7,5.95,5.4,5.49,134600.0,-0.3226,-0.2802,-0.0425,6.3445,7.2677,5.4213,33.4056,5.896,6.126,-18.4932,-132.3277,11.098,False
2012-07-13,5.5,6.12,5.5,6.04,154400.0,-0.2996,-0.284,-0.0155,6.2845,7.1188,5.4502,44.1851,5.856,6.0887,-15.8184,-104.0783,9.6077,False
2012-07-16,6.28,6.369,5.66,5.67,52900.0,-0.3076,-0.2887,-0.0188,6.2175,7.0228,5.4122,39.5686,5.75,6.026,-13.3469,-99.2459,7.4606,False
2012-07-17,5.76,5.79,5.6,5.65,46500.0,-0.3119,-0.2934,-0.0186,6.1525,6.9197,5.3853,39.3306,5.718,5.984,-20.1379,-113.2341,7.9027,False
