date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,108.48,109.95,105.11,105.94,1906700.0,-0.0339,-0.4068,0.3729,116.4816,99.8774,108.1795,49.5958,106.266,106.218,-3.1363,37.8838,2.7305,False
2012-01-04,102.15,105.05,99.6,104.32,2644600.0,-0.1971,-0.456,0.2589,115.3213,99.9037,107.6125,47.2674,105.822,105.682,-10.4433,-3.2808,1.6508,False
2012-01-05,104.02,105.38,102.75,105.23,1259100.0,-0.2502,-0.4072,0.1571,114.281,100.035,107.158,48.7164,105.722,105.368,-9.3193,9.0319,1.3875,False
2012-01-06,106.43,107.12,105.25,106.72,1370100.0,-0.17,-0.2617,0.0917,113.0421,100.4949,106.7685,51.075,105.666,105.506,-6.9816,27.3989,0.0017,False
2012-01-09,107.6,112.26,107.6,110.49,2422400.0,0.1955,0.0831,0.1124,112.9344,100.5426,106.7385,56.4987,106.54,105.8527,-1.1361,68.769,3.9552,True
2012-01-10,111.99,112.85,108.411,109.61,1658100.0,0.4094,0.2376,0.1718,111.6753,101.2887,106.482,54.9745,107.274,106.1713,-2.0229,69.8282,4.3964,True
2012-01-11,109.91,111.85,109.65,110.72,1427900.0,0.6609,0.3913,0.2696,111.2606,101.5394,106.4,56.5583,108.554,106.7207,-1.3146,74.4716,4.3964,True
2012-01-12,110.92,111.75,108.03,110.81,1358100.0,0.8576,0.4703,0.3872,111.4436,101.4434,106.4435,56.6907,109.67,106.8153,-2.6398,66.4566,3.0521,True
2012-01-13,109.69,110.06,106.01,106.78,1852700.0,0.6804,0.2346,0.4459,111.4831,101.6169,106.55,49.4615,109.682,107.1253,0.5114,27.8866,1.3965,True
2012-01-17,108.76,108.76,105.45,106.31,1286600.0,0.4964,0.0404,0.456,111.5019,101.7001,106.601,48.6857,108.846,107.2473,1.5974,12.3221,0.9393,True
2012-01-18,106.61,109.24,106.19,108.46,2646000.0,0.518,0.0496,0.4684,111.6765,101.8885,106.7825,52.3488,108.616,107.3853,0.4506,26.9723,1.3271,True
2012-01-19,118.47,122.63,116.49,120.0,7044500.0,1.4497,0.785,0.6646,114.8779,100.4391,107.6585,66.2174,110.472,108.2827,15.1239,230.0918,11.1904,True
2012-01-20,119.0,121.5,118.6001,120.27,1955200.0,2.1846,1.216,0.9686,117.266,99.139,108.2025,66.4621,112.364,109.252,9.7363,228.9076,11.1904,True
2012-01-23,120.1,122.2281,119.62,121.02,1711400.0,2.7953,1.4614,1.334,119.348,98.946,109.147,67.1698,115.212,110.1867,12.7254,234.9483,11.6869,True
2012-01-24,120.65,124.29,119.94,123.1,1784500.0,3.4079,1.6591,1.7488,121.7045,98.4515,110.078,69.1069,118.57,111.3187,17.4653,244.3845,13.086,True
2012-01-25,123.4,123.5,121.14,122.48,1031000.0,3.7995,1.6406,2.1589,123.5564,98.2086,110.8825,67.8288,121.374,112.4213,16.0169,225.6052,13.086,True
2012-01-26,123.45,124.02,119.85,120.82,1705200.0,3.9306,1.4174,2.5133,124.8089,98.3841,111.5965,64.4113,121.538,113.5213,15.7335,197.5794,11.9385,True
