date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,27.06,27.11,26.66,23.1734401317,1721700.0,0.345,0.088,0.433,23.4483,21.426,22.4371,61.0922,23.0623,22.5385,8.8059,130.8707,2.1348,True
2012-01-04,26.62,26.78,26.31,23.1821225746,1707000.0,0.3633,0.0732,0.4366,23.5409,21.4342,22.4875,61.1733,23.0693,22.6161,4.1644,108.5457,3.9536,True
2012-01-05,26.56,27.2,26.56,23.3557714328,1876000.0,0.3803,0.0679,0.4482,23.6405,21.4821,22.5613,62.8347,23.1665,22.7156,6.5008,127.5865,1.6482,True
2012-01-06,26.83,26.98,26.4,22.947696616,1823700.0,0.3882,0.0315,0.4197,23.6756,21.4923,22.5839,56.7235,23.1491,22.7758,4.0336,100.8829,2.486,True
2012-01-09,26.5,27.06,26.47,23.433913419,1464700.0,0.3968,0.0345,0.4313,23.7579,21.5705,22.6642,61.5032,23.2186,22.8777,4.5634,116.4563,2.044,True
2012-01-10,27.32,27.55,26.78,23.5901973915,1622000.0,0.4071,0.041,0.448,23.8792,21.5795,22.7294,62.9139,23.3019,22.979,6.6213,136.7852,0.6256,True
2012-01-11,27.08,27.33,27.04,23.6422920489,1061900.0,0.4177,0.0425,0.4601,23.9774,21.6437,22.8105,63.3929,23.394,23.1069,6.7179,135.1611,0.6256,True
2012-01-12,27.4,27.44,26.98,23.5294202911,2034600.0,0.4252,0.0302,0.4554,24.0152,21.7725,22.8939,61.5473,23.4287,23.1781,6.6487,127.8254,1.2255,True
2012-01-13,26.94,27.03,26.71,23.3905012045,1434300.0,0.4273,0.0081,0.4354,24.031,21.8913,22.9612,59.2717,23.5173,23.229,5.3801,104.2634,0.2772,True
2012-01-17,27.1,27.29,26.98,23.4686431907,1362800.0,0.426,-0.005,0.421,24.0134,22.0652,23.0393,60.1595,23.5242,23.2632,5.8162,114.8241,1.1597,False
2012-01-18,27.03,27.44,26.86,23.7812111355,877700.0,0.4268,0.0031,0.4299,24.0425,22.2072,23.1248,63.5632,23.5624,23.3089,6.5904,118.3501,1.9837,True
2012-01-19,27.5,27.77,27.47,23.9635424367,1312800.0,0.4307,0.0157,0.4464,23.9715,22.5021,23.2368,65.4102,23.6267,23.3633,8.519,137.9279,3.7785,True
2012-01-20,27.6,27.88,27.49,24.1719210665,1399200.0,0.4388,0.0322,0.471,24.0742,22.5705,23.3223,67.4317,23.7552,23.4501,7.0661,140.7378,4.3721,True
