date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,25.58,25.94,25.385,22.3982544287,698100.0,-0.0853,0.0218,-0.1072,21.5839,22.3838,23.1836,49.5918,22.3297,22.2278,-3.5688,-36.5055,14.4954,True
2012-01-04,25.43,25.6,25.15,22.3806802785,524000.0,-0.075,0.0257,-0.1007,21.6461,22.3403,23.0344,49.4116,22.2805,22.2541,-4.012,-53.8405,15.3889,True
2012-01-05,25.41,25.62,25.07,22.4070415038,511900.0,-0.0639,0.0294,-0.0934,21.7179,22.3025,22.8871,49.7053,22.3244,22.2823,-3.6117,-53.0414,15.6938,True
2012-01-06,25.42,25.64,25.04,22.0643455749,851400.0,-0.0819,0.0092,-0.0911,21.7667,22.2541,22.7416,45.9857,22.2559,22.2829,-3.2088,-63.708,15.8096,True
2012-01-09,25.21,25.52,25.07,22.2840224524,559500.0,-0.0775,0.0109,-0.0884,21.7678,22.2555,22.7431,48.6262,22.3069,22.3028,-2.2222,-56.7977,15.8096,True
2012-01-10,25.64,25.8,25.49,22.5036993299,551500.0,-0.0556,0.0262,-0.0818,21.7712,22.2528,22.7345,51.183,22.328,22.328,0.2331,-24.9557,14.2952,True
2012-01-11,25.49,25.65,25.25,22.2049387765,930000.0,-0.0617,0.0161,-0.0778,21.7973,22.2638,22.7303,47.7221,22.2928,22.3596,0.8651,-47.0264,15.2611,True
2012-01-12,25.31,26.03,25.28,22.6618666817,765900.0,-0.0293,0.0388,-0.0681,21.8189,22.2976,22.7764,52.9368,22.3438,22.3701,2.3594,-14.6383,13.2068,True
2012-01-13,25.66,25.87,25.49,22.4421898042,669500.0,-0.0211,0.0376,-0.0587,21.8477,22.317,22.7862,50.3498,22.4193,22.3783,2.9857,-19.6034,13.2068,True
2012-01-17,25.8801,26.14,25.64,22.5388476303,672300.0,-0.0067,0.0416,-0.0483,21.8919,22.3447,22.7974,51.4679,22.4703,22.3824,2.9539,1.4201,11.7434,True
2012-01-18,25.63,26.49,25.56,23.224239488,893100.0,0.0593,0.0861,-0.0268,21.8182,22.3996,22.981,58.5584,22.6144,22.424,2.9738,42.7134,9.8711,True
2012-01-19,26.53,26.85,26.38,23.4263422153,576800.0,0.1264,0.1226,0.0039,21.8282,22.4844,23.1406,60.3868,22.8587,22.4773,5.3354,96.0405,7.9786,True
2012-01-20,26.6,26.84,26.53,23.5581483418,714900.0,0.1881,0.1474,0.0407,21.7309,22.5371,23.3433,61.5716,23.038,22.5687,4.5986,108.2955,7.9786,True
2012-01-23,26.63,27.06,26.59,23.4527034406,545500.0,0.2259,0.1482,0.0777,21.702,22.5938,23.4856,60.0326,23.2401,22.6384,5.456,113.2429,6.8158,True
2012-01-24,26.53,26.78,26.41,23.3472585394,430700.0,0.2445,0.1334,0.1111,21.6893,22.6373,23.5852,58.4669,23.4017,22.7263,3.7582,90.3206,7.6433,True
2012-01-25,26.55,26.61,26.14,23.2769619386,833500.0,0.2507,0.1117,0.139,21.6834,22.6711,23.6588,57.3976,23.4123,22.7849,3.341,75.6197,8.8777,True
2012-01-26,26.57,26.57,26.0,22.9342660097,636300.0,0.2254,0.0691,0.1563,21.6924,22.6865,23.6805,52.3927,23.3139,22.8218,2.8649,57.5316,9.5154,True
2012-01-27,25.94,26.12,25.85,22.8200340335,665800.0,0.1938,0.03,0.1638,21.7497,22.7181,23.6865,50.8104,23.1662,22.8493,1.4369,29.4221,10.2002,True
2012-01-30,25.73,25.84,25.535,22.5212734801,831700.0,0.1431,-0.0166,0.1596,21.7615,22.7238,23.6862,46.8458,22.98,22.8798,1.2143,-10.0868,11.6284,False
2012-01-31,25.84,25.96,25.6799,22.6267183813,923400.0,0.1101,-0.0396,0.1497,21.8438,22.7537,23.6636,48.3692,22.8359,22.9026,1.4459,5.4125,10.9448,False
2012-02-01,25.95,26.23,25.65,22.8551823338,695400.0,0.1012,-0.0388,0.14,21.8806,22.7765,23.6724,51.59,22.7515,22.9261,1.118,27.3133,9.4117,False
2012-02-02,26.07,26.16,25.74,22.6530796066,1026500.0,0.077,-0.0504,0.1274,21.9106,22.7902,23.6697,48.71,22.6953,22.9559,2.1875,21.0955,9.4117,False
2012-02-03,26.14,26.61,26.11,23.3384714643,1167800.0,0.1118,-0.0125,0.1243,21.9447,22.8367,23.7287,57.3594,22.7989,23.001,3.8642,94.1646,6.8663,False
2012-02-06,26.39,26.42,25.98,22.8903306342,865400.0,0.1021,-0.0178,0.1199,22.0594,22.878,23.6966,51.299,22.8728,23.0309,3.0421,62.9485,7.4986,False
2012-02-07,25.92,26.04,25.67,22.6618666817,1017000.0,0.075,-0.0358,0.1109,22.1175,22.8969,23.6763,48.5,22.8798,23.0391,2.0376,18.6061,8.9966,False
2012-02-08,25.77,25.88,25.455,22.4070415038,889500.0,0.0327,-0.0626,0.0953,22.1019,22.8921,23.6823,45.5311,22.7902,22.9846,0.3101,-12.8207,10.0244,False
2012-02-09,25.55,25.9,25.37,22.6179313062,1879500.0,0.016,-0.0634,0.0794,22.1756,22.9127,23.6499,48.3354,22.7831,22.9308,0.9747,-2.7997,10.4311,False
2012-02-10,26.04,26.24,24.79,21.8754234603,2498500.0,-0.0566,-0.1088,0.0522,22.0133,22.8734,23.7335,40.4747,22.4905,22.8186,0.8068,-54.0834,13.155,False
2012-02-13,24.7,25.12,24.51,21.5810564444,2602400.0,-0.1362,-0.1507,0.0145,21.8159,22.8304,23.8449,37.8594,22.2287,22.6938,-2.8991,-134.9805,14.4325,False
2012-02-14,24.4,24.76,24.26,21.7392237962,1776700.0,-0.1845,-0.1592,-0.0253,21.6751,22.7904,23.9057,40.088,22.0441,22.5866,-5.2793,-149.2158,15.5604,False
2012-02-15,24.75,24.995,24.57,21.9149652982,1285000.0,-0.2061,-0.1447,-0.0615,21.5663,22.7249,23.8835,42.5413,21.9457,22.4958,-5.6436,-110.0575,14.1224,False
2012-02-16,24.96,25.51,24.8505,22.4597639544,777200.0,-0.1773,-0.0927,-0.0846,21.5591,22.6766,23.7941,49.4204,21.9141,22.4642,-4.7298,-36.9234,10.6369,False
2012-02-17,25.59,25.74,25.4,22.5566872198,962000.0,-0.145,-0.0483,-0.0967,21.5843,22.6265,23.6687,50.5489,22.0503,22.4466,-3.835,3.2881,9.2987,False
2012-02-21,25.65,25.9,25.54,22.6095544554,885200.0,-0.1138,-0.0137,-0.1001,21.6135,22.5844,23.5552,51.1854,22.256,22.4525,-4.0239,18.5088,8.3714,False
2012-02-22,25.64,25.83,25.53,22.5302536019,560900.0,-0.0943,0.0046,-0.099,21.6379,22.5435,23.4491,50.148,22.4142,22.4461,-3.2825,6.8301,8.4208,True
2012-02-23,25.29,25.89,25.25,22.7681561625,776400.0,-0.0591,0.0319,-0.091,21.6695,22.5181,23.3666,53.197,22.5849,22.4403,-2.4386,5.6903,9.805,True
2012-02-24,25.85,26.14,25.75,22.9708138992,1077600.0,-0.0146,0.0611,-0.0757,21.6676,22.5199,23.3721,55.6714,22.6871,22.4614,-1.3482,56.0061,8.3184,True
2012-02-27,25.83,26.42,25.74,23.2439612835,1314200.0,0.0422,0.0943,-0.0521,21.6403,22.5411,23.4419,58.8157,22.8245,22.4551,1.4263,83.8556,6.6735,True
2012-02-28,26.37,26.615,26.32,23.3496957548,1437400.0,0.0946,0.1174,-0.0228,21.6154,22.5825,23.5496,59.9927,22.9726,22.4858,3.2821,132.305,5.5384,True
2012-02-29,26.52,26.65,26.0,23.0589259586,1547300.0,0.1115,0.1074,0.0041,21.615,22.6041,23.5932,55.3334,23.0783,22.5122,2.9399,102.2569,7.1865,True
2012-03-01,26.17,26.49,26.15,23.2968285192,914500.0,0.1424,0.1106,0.0317,21.5968,22.6262,23.6556,58.1806,23.184,22.5715,1.2686,113.9071,7.1865,True
2012-03-02,26.37,26.6,26.26,23.3673181667,1306700.0,0.1706,0.1111,0.0595,21.5829,22.6619,23.741,59.01,23.2633,22.6215,1.9612,129.004,6.5258,True
2012-03-05,26.41,26.42,26.17,23.2087164597,997400.0,0.1781,0.0948,0.0832,21.5913,22.6554,23.7196,56.3172,23.2563,22.7104,-0.4414,105.1648,7.0028,True
2012-03-06,26.01,26.065,25.69,22.7945897803,1409300.0,0.1489,0.0525,0.0963,21.5899,22.6506,23.7114,49.9415,23.1453,22.7913,-1.0728,36.3715,9.5074,True
2012-03-07,25.89,26.04,25.72,22.83864581,867900.0,0.1278,0.0252,0.1026,21.5956,22.6595,23.7234,50.5792,23.1012,22.8646,0.2746,38.0527,9.5074,True
2012-03-08,26.17,26.2394,25.78,22.9796251051,694800.0,0.1211,0.0148,0.1063,21.6221,22.6881,23.7541,52.6475,23.0378,22.9356,1.6671,58.5704,8.2548,True
2012-03-09,26.11,26.4,26.091,23.2087164597,576100.0,0.1328,0.0211,0.1116,21.6286,22.7176,23.8067,55.8635,23.0061,22.9855,2.2104,93.8826,7.25,True
2012-03-12,26.36,26.41,25.785,22.7857785743,1095100.0,0.1066,-0.004,0.1106,21.7449,22.7632,23.7814,49.2476,22.9215,23.0008,0.9243,50.5706,8.8886,False
2012-03-13,26.07,26.3,25.78,23.155849224,1590100.0,0.1145,0.0031,0.1114,21.9681,22.8419,23.7157,54.3194,22.9937,23.0372,4.985,64.4498,8.9154,True
2012-03-14,26.24,26.49,25.94,23.006058723,697400.0,0.1073,-0.0032,0.1106,22.1914,22.9052,23.6191,52.0631,23.0272,23.0689,7.2809,71.5528,7.694,False
2012-03-15,26.17,26.48,26.03,23.1294156062,1013500.0,0.1104,-0.0002,0.1105,22.4103,22.966,23.5217,53.7579,23.0572,23.093,6.2321,80.5591,7.694,False
2012-03-16,26.31,26.46,26.2,23.1206044003,1346400.0,0.1108,0.0002,0.1106,22.4911,22.999,23.5069,53.6129,23.0395,23.103,3.724,85.1841,7.694,True
2012-03-19,26.14,26.37,25.94,22.9091354576,1069000.0,0.093,-0.0141,0.1071,22.5484,23.0166,23.4848,50.1341,23.0642,23.0807,2.4476,50.8643,9.1601,False
2012-03-20,25.78,25.79,25.47,22.6007432495,1021000.0,0.0534,-0.0429,0.0963,22.5465,23.0162,23.4859,45.5191,22.9532,23.0307,-0.4247,-27.7305,11.7371,False
2012-03-21,25.65,25.77,25.61,22.6007432495,647400.0,0.0218,-0.0597,0.0814,22.5638,23.0197,23.4757,45.5191,22.8721,23.0002,-0.2323,-21.5801,11.7371,False
2012-03-22,25.4,25.59,25.3,22.4950087782,805800.0,-0.0117,-0.0745,0.0628,22.5065,23.0061,23.5056,43.9276,22.7452,22.9467,-1.1587,-55.3163,13.4127,False
2012-03-23,25.62,25.62,25.34,22.4685751603,451800.0,-0.0399,-0.0822,0.0423,22.4291,22.9809,23.5328,43.52,22.6148,22.8868,-1.9893,-52.5502,13.2012,False
2012-03-26,25.77,25.92,25.63,22.7857785743,489300.0,-0.0362,-0.0628,0.0266,22.4138,22.958,23.5023,49.5396,22.5902,22.8586,-1.8925,-0.9283,11.0944,False
2012-03-27,25.89,25.96,25.71,22.6888553089,910900.0,-0.0407,-0.0538,0.0131,22.3999,22.925,23.4501,47.8694,22.6078,22.8516,-2.461,-1.6399,10.8148,False
2012-03-28,25.75,25.81,25.19,22.3452182771,1279400.0,-0.0711,-0.0674,-0.0037,22.3112,22.8893,23.4674,42.4345,22.5567,22.8187,-3.152,-64.64,13.6871,False
2012-03-29,25.21,25.38,25.03,22.3275958652,787500.0,-0.0956,-0.0735,-0.0221,22.2453,22.8408,23.4364,42.1715,22.5232,22.7752,-4.1903,-98.3856,14.5483,False
2012-03-30,25.5,25.5,25.235,22.3011622474,848100.0,-0.1157,-0.0749,-0.0408,22.1992,22.7875,23.3759,41.7554,22.4897,22.7147,-4.1353,-81.3638,13.6832,False
2012-04-02,25.24,25.34,24.79,22.0896933047,1415100.0,-0.1471,-0.085,-0.0621,22.1026,22.7316,23.3605,38.4999,22.3505,22.6683,-4.0878,-128.1897,16.0735,False
2012-04-03,25.03,25.11,24.85,22.0103924512,1288600.0,-0.1763,-0.0914,-0.0849,21.9905,22.6924,23.3943,37.3305,22.2148,22.5919,-3.6639,-141.2272,16.0735,False
