date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,29.97,30.62,29.81,30.56,1275500.0,0.429,0.0786,0.3504,28.3189,29.3195,30.3201,63.712,29.836,29.4393,5.7686,201.4098,0.6887,True
2012-01-04,30.49,30.77,30.22,30.55,221200.0,0.4737,0.0987,0.375,28.2809,29.3995,30.5181,63.5932,30.02,29.5473,6.14,206.2469,1.4209,True
2012-01-05,30.58,31.46,30.161,31.15,691700.0,0.5512,0.141,0.4103,28.1785,29.51,30.8415,67.4924,30.362,29.6633,8.0728,229.7747,4.7072,True
2012-01-06,31.15,31.61,31.01,31.18,326100.0,0.6081,0.1582,0.4498,28.1378,29.6235,31.1092,67.6779,30.662,29.7447,9.3015,243.415,5.4044,True
2012-01-09,31.17,31.65,30.76,31.57,140000.0,0.6768,0.1816,0.4952,28.1131,29.765,31.4169,70.0571,31.002,29.9533,8.9501,231.3078,4.1134,True
2012-01-10,31.84,32.07,31.56,32.02,342700.0,0.7588,0.2109,0.5479,28.0007,29.903,31.8053,72.5548,31.294,30.144,9.4539,257.1787,6.0787,True
2012-01-11,32.0,32.53,31.8,32.4,256400.0,0.8447,0.2374,0.6073,27.9421,30.0765,32.2109,74.4807,31.664,30.4027,11.9023,263.5389,8.1751,True
2012-01-12,32.45,32.53,32.18,32.53,207800.0,0.9128,0.2444,0.6684,27.8717,30.2325,32.5933,75.1206,31.94,30.6047,9.3445,255.8875,8.1751,True
2012-01-13,32.31,32.48,31.98,32.32,322000.0,0.939,0.2165,0.7225,27.8257,30.3505,32.8753,71.9959,32.168,30.794,6.8421,225.9543,7.1002,True
2012-01-17,32.4,33.45,31.79,32.55,232000.0,0.9671,0.1957,0.7714,28.0177,30.556,33.0943,73.2992,32.364,30.996,12.8162,228.6332,11.4403,True
2012-01-18,32.59,33.0,32.41,32.77,245200.0,0.9957,0.1794,0.8163,28.1091,30.7365,33.3639,74.5147,32.514,31.2147,12.2067,219.1531,11.4403,True
2012-01-19,32.9,33.25,32.78,33.24,271700.0,1.0443,0.1824,0.8619,28.3359,30.9725,33.6091,76.9198,32.682,31.4553,14.0261,222.9674,12.5296,True
2012-01-20,33.14,33.25,33.09,33.2,75900.0,1.0672,0.1643,0.903,28.4421,31.1575,33.8729,76.2635,32.816,31.706,12.2931,211.7594,12.5296,True
2012-01-23,33.12,33.73,33.07,33.52,187700.0,1.0986,0.1565,0.9421,28.5732,31.3595,34.1458,77.8811,33.056,31.962,14.339,209.2547,14.6148,True
2012-01-24,33.45,33.88,33.3,33.66,97200.0,1.1218,0.1437,0.978,28.7427,31.5665,34.3903,78.5658,33.278,32.2147,14.5756,201.9167,15.2569,True
2012-01-25,33.62,34.0,33.6,33.97,138700.0,1.1519,0.1391,1.0128,28.9504,31.7905,34.6306,80.0322,33.518,32.442,15.2542,196.774,15.7721,True
2012-01-26,34.0,34.04,33.63,33.76,176600.0,1.1456,0.1063,1.0393,29.2153,31.997,34.7787,76.2461,33.622,32.656,14.3817,180.2606,15.9454,True
2012-01-27,33.72,34.14,33.19,34.11,161100.0,1.1555,0.093,1.0626,29.5649,32.2305,34.8961,78.0964,33.804,32.8533,15.3378,168.0523,13.3376,True
2012-01-30,33.77,33.99,33.72,33.82,134700.0,1.127,0.0516,1.0755,29.96,32.4375,34.915,73.0452,33.864,33.0293,14.4444,158.6091,13.3376,True
2012-01-31,33.96,34.2,33.7,33.99,98200.0,1.1054,0.024,1.0815,30.3781,32.6435,34.9089,74.0975,33.93,33.1907,14.2666,153.2936,14.2891,True
2012-02-01,34.19,34.5,34.13,34.35,79300.0,1.1046,0.0185,1.0861,30.6645,32.833,35.0015,76.2051,34.006,33.346,12.6715,156.6033,15.6348,True
2012-02-02,34.43,34.54,34.29,34.47,194500.0,1.1009,0.0119,1.0891,31.0184,33.029,35.0396,76.877,34.148,33.484,12.2522,150.9589,15.814,True
2012-02-03,34.63,34.75,34.51,34.74,124700.0,1.1071,0.0144,1.0927,31.261,33.2085,35.156,78.3508,34.274,33.6313,10.4577,150.0729,16.7582,True
2012-02-06,34.44,35.33,34.44,35.23,279200.0,1.1383,0.0365,1.1018,31.5075,33.411,35.3145,80.738,34.556,33.8253,11.7684,152.323,19.3001,True
2012-02-07,35.26,35.43,35.02,35.21,302100.0,1.1483,0.0372,1.1111,31.7328,33.593,35.4532,80.3505,34.8,34.0027,11.9431,151.0712,19.7299,True
2012-02-08,35.1,35.75,34.96,35.74,167500.0,1.1853,0.0593,1.1259,31.8428,33.779,35.7152,82.7069,35.078,34.2007,11.4749,150.4943,21.0973,True
2012-02-09,36.0,37.0,35.84,36.75,352300.0,1.2813,0.1243,1.157,31.7728,33.9965,36.2202,86.1082,35.534,34.4347,13.7412,171.3885,26.0986,True
2012-02-10,36.49,36.78,36.32,36.49,167700.0,1.3212,0.1313,1.1898,31.8278,34.1945,36.5612,81.6773,35.884,34.654,13.0649,161.7419,26.0986,True
2012-02-13,36.6,36.66,35.36,35.4,755200.0,1.2504,0.0485,1.202,32.0915,34.3485,36.6055,66.343,35.918,34.7793,12.8695,134.2473,20.0546,True
2012-02-14,35.24,36.22,35.174,36.14,233800.0,1.2398,0.0303,1.2095,32.3008,34.528,36.7552,70.387,36.104,34.9447,8.281,128.9734,18.9314,True
2012-02-15,36.18,36.3694,35.86,36.14,229500.0,1.2173,0.0062,1.2111,32.5174,34.6965,36.8756,70.387,36.184,35.0893,10.2103,130.5011,19.5462,True
2012-02-16,36.04,36.5,35.91,36.42,263500.0,1.2082,-0.0023,1.2105,32.6607,34.8555,37.0503,71.8559,36.118,35.2667,9.7744,128.8346,20.085,False
2012-02-17,36.43,36.99,36.37,36.66,204900.0,1.2064,-0.0033,1.2097,32.8375,35.0285,37.2195,73.0821,36.152,35.4367,11.2481,133.2921,22.0762,False
2012-02-21,36.46,36.62,35.74,36.2,202500.0,1.1545,-0.0441,1.1986,33.0299,35.1625,37.2951,67.0804,36.312,35.5953,8.568,116.1976,18.2247,False
2012-02-22,36.14,36.7,35.5,36.57,199300.0,1.1303,-0.0547,1.185,33.2085,35.308,37.4075,69.2562,36.398,35.7673,8.3235,113.9775,16.7972,False
2012-02-23,36.64,37.24,36.48,37.17,264000.0,1.1463,-0.031,1.1772,33.3137,35.468,37.6223,72.4231,36.604,35.9553,9.5294,127.6596,19.0342,False
2012-02-24,37.29,37.5,36.87,37.4,123100.0,1.1641,-0.0105,1.1746,33.4886,35.65,37.8114,73.5424,36.8,36.1507,10.1645,130.6305,20.0862,False
2012-02-27,37.17,37.17,36.744,36.98,241900.0,1.1312,-0.0347,1.1659,33.6796,35.7935,37.9074,68.1318,36.864,36.3,8.8752,119.3827,19.3221,False
2012-02-28,36.99,37.16,36.73,36.99,209900.0,1.0934,-0.058,1.1514,33.9834,35.952,37.9206,68.1915,37.022,36.4173,9.3263,115.306,19.2364,False
2012-02-29,37.04,37.25,36.96,37.03,194300.0,1.0545,-0.0775,1.132,34.3024,36.104,37.9056,68.4448,37.114,36.5387,8.9181,114.5035,19.614,False
2012-03-01,37.0,37.69,36.43,37.5,232000.0,1.0495,-0.066,1.1155,34.5524,36.2615,37.9706,71.3205,37.18,36.656,9.2464,113.8614,16.3564,False
2012-03-02,37.44,37.59,36.9,36.95,168800.0,0.9898,-0.1006,1.0904,34.8649,36.3855,37.9061,64.007,37.09,36.6693,8.8303,108.6691,16.3564,False
2012-03-05,36.91,37.1475,36.61,37.12,160500.0,0.9453,-0.1161,1.0614,35.1547,36.5045,37.8543,65.1892,37.118,36.7113,6.8993,100.7913,14.5904,False
2012-03-06,36.73,36.73,35.85,35.89,205800.0,0.8015,-0.2079,1.0094,35.2852,36.5375,37.7898,51.9598,36.898,36.744,3.9626,78.1267,10.1355,False
2012-03-07,36.03,36.54,35.86,36.47,115700.0,0.726,-0.2267,0.9527,35.5046,36.6005,37.6964,56.4273,36.786,36.766,3.1329,79.266,10.1355,False
2012-03-08,36.66,36.97,36.56,36.87,49800.0,0.6904,-0.2098,0.9003,35.6301,36.657,37.6839,59.2289,36.66,36.8147,3.4126,90.0394,12.1342,False
2012-03-09,36.85,37.25,36.85,37.24,55200.0,0.6842,-0.1728,0.8571,35.624,36.6815,37.739,61.6713,36.718,36.8693,0.6757,95.7686,13.4096,False
2012-03-12,37.09,37.27,37.08,37.2,53700.0,0.6684,-0.1509,0.8193,35.6401,36.717,37.7939,61.2464,36.734,36.9053,1.3322,95.0757,13.5008,False
2012-03-13,37.41,37.7,37.08,37.7,96600.0,0.6883,-0.1048,0.7931,35.8556,36.832,37.8084,64.5208,37.096,37.0053,2.8369,100.6043,15.4479,False
2012-03-14,36.35,37.06,36.25,37.0,2041100.0,0.6402,-0.1224,0.7625,35.9499,36.875,37.8001,57.2632,37.202,37.034,2.3192,78.907,10.5626,False
2012-03-15,37.0,39.12,36.892,38.59,849500.0,0.722,-0.0324,0.7544,35.8679,36.9975,38.1271,66.448,37.546,37.1287,7.563,114.8215,19.1932,False
2012-03-16,38.7,39.02,38.32,38.61,265800.0,0.7795,0.02,0.7594,35.8104,37.107,38.4036,66.5449,37.82,37.2093,6.9041,123.8861,19.1932,True
2012-03-19,38.44,38.78,38.25,38.63,133000.0,0.8172,0.0462,0.771,35.768,37.2055,38.643,66.6481,38.106,37.3193,4.8391,118.0326,18.7904,True
2012-03-20,38.33,38.91,38.1629,38.74,161100.0,0.8463,0.0602,0.786,35.8256,37.3325,38.8394,67.2436,38.314,37.436,6.2534,116.4206,19.3055,True
2012-03-21,38.89,38.98,38.69,38.96,136900.0,0.8769,0.0727,0.8042,35.8312,37.452,39.0728,68.4506,38.706,37.5647,6.2125,121.1422,19.5848,True
2012-03-22,38.7,39.1,38.25,39.03,189600.0,0.8965,0.0739,0.8227,35.7916,37.545,39.2984,68.842,38.794,37.6667,4.9946,115.9761,16.9963,True
2012-03-23,39.02,39.42,38.83,39.41,76200.0,0.932,0.0875,0.8445,35.7153,37.6455,39.5757,70.939,38.954,37.8307,5.12,125.8028,18.3042,True
2012-03-26,39.43,40.0,39.08,39.73,229900.0,0.9747,0.1041,0.8706,35.6782,37.783,39.8878,72.6027,39.174,38.0047,7.6137,134.5651,20.6099,True
2012-03-27,39.77,39.98,39.77,39.9,101000.0,1.0106,0.112,0.8986,35.6666,37.9285,40.1904,73.4672,39.406,38.272,7.5888,140.4411,20.6099,True
2012-03-28,39.8,39.85,39.28,39.63,76100.0,1.0057,0.0857,0.92,35.7205,38.0585,40.3965,69.7232,39.54,38.4827,6.9799,129.107,17.7074,True
2012-03-29,39.14,39.7,38.611,39.53,120400.0,0.9824,0.0499,0.9325,35.7526,38.16,40.5674,68.3411,39.64,38.66,5.333,117.3747,13.9015,True
2012-03-30,39.64,39.74,38.74,38.77,193000.0,0.8923,-0.0321,0.9244,35.8964,38.251,40.6056,58.8432,39.512,38.762,5.7196,109.4042,14.0704,False
2012-04-02,37.79,39.21,36.02,38.96,618200.0,0.8267,-0.0782,0.9049,36.0289,38.343,40.6571,60.3203,39.358,38.8793,5.5522,73.7947,0.4418,False
2012-04-03,38.78,39.35,38.23,39.22,210900.0,0.7866,-0.0946,0.8812,36.4615,38.5095,40.5575,62.3039,39.222,38.9807,7.1331,102.1976,1.0606,False
2012-04-04,38.98,39.32,38.71,39.18,144800.0,0.7431,-0.1105,0.8536,36.8068,38.645,40.4832,61.7947,39.132,39.126,7.6081,105.6044,1.0606,False
2012-04-05,38.99,39.25,38.96,39.25,94800.0,0.7061,-0.118,0.8241,37.101,38.764,40.427,62.3713,39.076,39.17,6.1672,106.5427,1.0606,False
2012-04-09,38.32,38.87,38.32,38.71,160400.0,0.626,-0.1585,0.7845,37.3275,38.8375,40.3475,55.4537,39.064,39.1767,4.349,85.0135,1.8715,False
2012-04-10,38.59,38.66,37.83,37.86,98000.0,0.4883,-0.237,0.7252,37.4811,38.8705,40.2599,46.7154,38.844,39.1253,3.7295,63.489,4.0392,False
2012-04-11,38.12,38.35,37.881,38.35,75200.0,0.4139,-0.2491,0.663,37.5967,38.903,40.2093,51.4415,38.67,39.0993,1.7241,64.698,4.0392,False
2012-04-12,38.34,38.79,38.34,38.7,101400.0,0.3788,-0.2273,0.6061,38.0075,38.988,39.9685,54.5281,38.574,39.082,4.6681,79.7717,1.9478,False
2012-04-13,38.7,38.72,38.45,38.55,68700.0,0.3351,-0.2168,0.5519,38.0021,38.986,39.9699,52.9817,38.434,39.05,-1.0225,76.4201,1.9478,False
2012-04-16,38.5,38.58,37.74,38.08,207300.0,0.2595,-0.2339,0.4934,37.9101,38.9595,40.0089,48.3759,38.308,38.9613,-1.1276,55.5621,5.1303,False
2012-04-17,38.29,39.27,38.13,39.12,121700.0,0.2803,-0.1705,0.4508,37.9437,38.984,40.0243,57.1974,38.56,38.9207,1.2635,85.0349,1.8628,False
2012-04-18,39.05,39.05,38.61,38.67,141100.0,0.2575,-0.1547,0.4121,37.9365,38.9805,40.0245,52.9989,38.624,38.8387,0.3598,79.8277,1.8628,False
2012-04-19,38.72,38.99,38.24,38.49,53800.0,0.2223,-0.1519,0.3742,37.8913,38.957,40.0227,51.3824,38.582,38.7627,0.0257,68.1092,3.5256,False
2012-04-20,38.58,38.75,38.36,38.62,104700.0,0.2026,-0.1373,0.3399,37.8614,38.9365,40.0116,52.5034,38.596,38.702,-0.8951,65.8695,3.5256,False
2012-04-23,38.08,38.75,37.54,38.63,127700.0,0.1856,-0.1234,0.309,37.8375,38.8975,39.9575,52.5935,38.706,38.6927,-1.6996,50.3037,7.1322,False
2012-04-24,38.76,39.14,38.46,39.07,167800.0,0.2053,-0.0829,0.2883,37.8712,38.8645,39.8578,56.4844,38.696,38.7,-2.15,76.9863,5.2295,False
2012-04-25,39.3,40.15,39.3,40.07,264900.0,0.2982,0.0079,0.2903,37.8422,38.873,39.9038,63.7328,38.976,38.7567,0.4252,122.2726,0.5274,True
2012-04-26,39.84,40.44,39.76,40.0,151500.0,0.362,0.0574,0.3046,37.7958,38.8915,39.9872,62.9464,39.278,38.8113,1.4806,130.3895,0.7674,True
2012-04-27,39.98,40.14,39.79,40.08,145000.0,0.4142,0.0877,0.3265,37.7364,38.919,40.1016,63.4979,39.57,38.8667,1.1083,123.7669,0.7674,True
2012-04-30,39.95,40.0,39.29,39.55,143000.0,0.4081,0.0653,0.3429,37.7465,38.958,40.1695,57.4305,39.754,38.9227,0.6543,100.5818,1.4949,True
2012-05-01,39.71,41.0,39.7,40.79,225600.0,0.4976,0.1238,0.3738,37.5985,39.0495,40.5005,65.6566,40.098,39.118,4.5652,145.4033,2.9371,True
2012-05-02,40.75,40.87,40.11,40.47,298000.0,0.5365,0.1302,0.4064,37.5348,39.112,40.6892,62.3265,40.178,39.2593,3.8628,141.5359,2.9371,True
2012-05-03,40.5,40.91,40.23,40.65,97000.0,0.5753,0.1351,0.4401,37.4714,39.1855,40.8996,63.444,40.308,39.3893,4.0437,144.8933,3.1121,True
2012-05-04,40.43,40.72,40.01,40.27,206200.0,0.5688,0.1029,0.4659,37.4583,39.2365,41.0147,59.4551,40.346,39.504,3.7452,127.297,2.0826,True
2012-05-07,40.14,40.58,39.76,40.26,118000.0,0.5564,0.0724,0.484,37.4996,39.314,41.1284,59.3498,40.488,39.6493,4.3993,116.1048,0.9181,True
2012-05-08,40.05,40.6,39.54,40.55,270400.0,0.5635,0.0636,0.4999,37.6871,39.4485,41.2099,61.4685,40.44,39.7447,5.0181,114.3027,0.1016,True
2012-05-09,40.5,41.03,39.78,40.87,435700.0,0.5881,0.0706,0.5175,37.7852,39.5745,41.3638,63.7049,40.52,39.8913,6.9883,130.1565,1.8694,True
2012-05-10,40.5,41.3,37.75,39.53,1284700.0,0.4939,-0.0189,0.5128,37.8718,39.616,41.3602,50.5431,40.296,39.9607,6.4707,67.9821,6.9287,False
2012-05-11,39.12,39.99,38.82,39.68,215000.0,0.4263,-0.0692,0.4955,37.9983,39.6725,41.3467,51.739,40.178,40.0313,3.28,64.4821,6.9287,False
2012-05-14,39.34,40.09,39.09,39.34,301900.0,0.3414,-0.1232,0.4647,38.2182,39.7355,41.2528,48.8692,39.994,40.0787,3.9139,63.5051,6.4603,False
2012-05-15,39.15,39.88,39.03,39.21,283000.0,0.2607,-0.1632,0.4239,38.2295,39.74,41.2505,47.7834,39.726,40.088,1.5533,53.5663,6.7096,False
2012-05-16,39.38,39.52,38.875,39.01,219900.0,0.1785,-0.1963,0.3748,38.288,39.757,41.226,46.0953,39.354,40.0173,1.2036,36.2789,7.3584,False
2012-05-17,39.08,39.22,38.3606,38.99,249200.0,0.1104,-0.2115,0.3219,38.3849,39.782,41.1791,45.9215,39.246,39.95,0.5899,15.1934,9.483,False
2012-05-18,38.99,38.99,37.61,37.74,111500.0,-0.0438,-0.2926,0.2488,38.1543,39.738,41.3217,36.6633,38.858,39.794,0.6194,-39.2428,12.462,False
2012-05-21,37.73,38.145,37.22,38.0,115000.0,-0.1435,-0.3138,0.1703,38.0145,39.7065,41.3985,39.3866,38.59,39.6907,-1.5613,-63.8453,13.9583,False
2012-05-22,38.15,38.27,37.53,37.64,302500.0,-0.2486,-0.3352,0.0865,37.7336,39.635,41.5364,37.0249,38.276,39.4807,-2.2228,-64.0768,13.3269,False
2012-05-23,37.36,37.85,37.18,37.85,94000.0,-0.3114,-0.3184,0.007,37.483,39.524,41.565,39.2997,38.044,39.306,-5.7285,-79.6624,14.6731,False
2012-05-24,37.96,38.54,37.57,38.54,210400.0,-0.302,-0.2472,-0.0548,37.3792,39.451,41.5228,46.148,37.954,39.1653,-4.6983,-37.8695,11.2103,False
2012-05-25,38.48,38.95,38.38,38.46,106200.0,-0.2976,-0.1942,-0.1034,37.2763,39.37,41.4637,45.5102,38.098,39.0447,-2.9646,-10.9388,9.2173,False
2012-05-29,38.61,38.75,38.16,38.69,93200.0,-0.2724,-0.1352,-0.1372,37.2146,39.327,41.4394,47.7354,38.236,38.94,-3.125,-18.2338,10.0965,False
2012-05-30,38.56,38.56,38.0,38.2,100400.0,-0.2886,-0.1211,-0.1675,37.143,39.1975,41.252,43.6652,38.348,38.7833,-5.9512,-43.7533,10.7358,False
2012-05-31,38.34,38.34,37.61,37.9,216500.0,-0.322,-0.1236,-0.1984,37.0275,39.069,41.1105,41.3523,38.358,38.5853,-6.1904,-74.0986,12.2821,False
2012-06-01,37.5,37.54,35.69,36.21,262600.0,-0.4793,-0.2247,-0.2546,36.5874,38.847,41.1066,31.3344,37.892,38.364,-8.2376,-201.7295,19.2824,False
2012-06-04,36.32,36.73,35.69,36.68,231400.0,-0.5595,-0.244,-0.3156,36.32,38.6675,41.015,35.9574,37.536,38.164,-9.7986,-209.0096,19.2824,False
2012-06-05,36.59,37.21,36.13,37.03,155300.0,-0.5881,-0.2181,-0.3701,36.1746,38.506,40.8374,39.2222,37.204,38.01,-8.3046,-171.1388,16.871,False
2012-06-06,37.25,38.54,37.08,38.54,402100.0,-0.4834,-0.0907,-0.3927,36.2701,38.4055,40.5409,50.813,37.272,37.9653,-5.0739,-66.0542,10.5722,False
2012-06-07,38.88,39.075,38.54,38.6,344000.0,-0.391,0.0014,-0.3924,36.4751,38.292,40.1089,51.2091,37.412,37.938,-4.7648,-8.7294,8.1871,True
2012-06-08,36.56,36.75,36.2,36.67,3545400.0,-0.4682,-0.0606,-0.4075,36.2945,38.149,40.0035,40.0834,37.504,37.7833,-11.0169,-202.9523,16.2251,False
2012-06-11,36.88,36.9,36.45,36.58,798700.0,-0.5304,-0.0983,-0.4321,36.1592,37.994,39.8288,39.653,37.484,37.706,-7.7269,-185.3325,15.5656,False
2012-06-12,36.68,37.08,36.49,36.99,775200.0,-0.5405,-0.0867,-0.4538,36.1015,37.8765,39.6515,42.6584,37.476,37.6387,-7.5081,-158.7582,14.7708,False
2012-06-13,36.99,37.49,36.75,37.23,869400.0,-0.523,-0.0554,-0.4676,36.0925,37.7775,39.4625,44.3953,37.214,37.6113,-5.993,-127.9882,12.971,False
2012-06-14,37.12,37.5401,36.85,37.28,481200.0,-0.4994,-0.0254,-0.474,36.0926,37.691,39.2894,44.7687,36.95,37.5733,-5.0099,-117.4029,12.7513,False
2012-06-15,37.29,37.67,36.64,37.45,836400.0,-0.4617,0.0099,-0.4715,36.1289,37.614,39.0991,46.0876,37.106,37.5007,-3.9521,-109.9939,13.4687,True
2012-06-18,37.4,38.08,37.1,37.93,426400.0,-0.3886,0.0664,-0.4549,36.1329,37.6235,39.1141,49.7199,37.376,37.4653,-2.3339,-73.2172,11.6461,True
2012-06-19,38.02,38.4,37.93,38.23,846300.0,-0.3029,0.1216,-0.4245,36.1295,37.635,39.1405,51.8905,37.624,37.4347,0.6685,-35.9388,10.2406,True
2012-06-20,38.31,38.31,37.41,37.59,426200.0,-0.2834,0.1129,-0.3963,36.1269,37.6325,39.1381,47.2302,37.696,37.394,0.1045,-64.9621,12.0698,True
2012-06-21,37.47,37.76,36.38,36.46,472000.0,-0.355,0.033,-0.3881,35.9777,37.563,39.1483,40.3712,37.532,37.298,-0.2378,-127.9367,15.5371,True
2012-06-22,36.64,36.65,34.82,35.0,3122300.0,-0.5236,-0.1084,-0.4152,35.5123,37.386,39.2597,33.6136,37.042,37.2173,-4.904,-215.904,20.3732,False
2012-06-25,34.8,35.1,34.4,34.43,496500.0,-0.6951,-0.224,-0.4711,34.9788,37.1845,39.3902,31.4141,36.342,37.0673,-9.8845,-255.1802,21.6022,False
2012-06-26,34.21,34.77,34.18,34.39,265800.0,-0.8248,-0.2829,-0.5419,34.5635,36.9695,39.3755,31.2603,35.574,36.8913,-10.271,-248.5573,22.2415,False
2012-06-27,34.19,34.61,34.0,34.09,291800.0,-0.9409,-0.3192,-0.6217,34.1229,36.764,39.4051,30.077,34.874,36.5947,-10.2438,-242.756,22.7656,False
2012-06-28,34.0,34.13,33.73,34.01,627100.0,-1.0276,-0.3247,-0.7029,33.7265,36.5695,39.4125,29.7552,34.384,36.2887,-10.9807,-240.1685,23.5515,False
2012-06-29,34.5,35.04,34.26,35.04,531800.0,-1.0016,-0.239,-0.7626,33.5936,36.511,39.4284,38.7895,34.392,36.18,-6.6596,-181.9221,19.3875,False
2012-07-02,35.24,35.24,34.68,34.95,394000.0,-0.977,-0.1715,-0.8055,33.4307,36.4245,39.4183,38.328,34.496,36.0713,-4.0566,-162.296,18.4949,False
2012-07-03,34.83,35.6,34.83,35.6,110000.0,-0.8947,-0.0714,-0.8233,33.3522,36.353,39.3538,43.5271,34.738,35.9787,-4.3268,-134.4503,16.8952,False
2012-07-05,35.55,35.71,35.07,35.29,351200.0,-0.8448,-0.0172,-0.8276,33.3324,36.1905,39.0486,41.7295,34.978,35.8493,-7.343,-126.6557,16.4068,False
