date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,22.21,22.2383,20.71,20.77,3134100.0,-0.1021,-0.5654,-0.4633,22.3215,25.3194,19.3236,41.1928,21.344,21.64,-10.6178,-33.1537,6.4647,False
2012-01-04,20.55,20.6,19.72,20.11,3426200.0,-0.1404,-0.6388,-0.4984,22.047,24.7883,19.3057,38.0186,21.138,21.384,-22.5564,-74.0274,9.2713,False
2012-01-05,20.15,20.38,20.0,20.2,2670200.0,-0.1468,-0.6819,-0.5351,21.8285,24.4233,19.2337,38.7086,20.91,21.1767,-19.0627,-74.5785,9.2713,False
2012-01-06,20.17,20.61,19.87,20.41,2282600.0,-0.1248,-0.6911,-0.5663,21.6655,24.1856,19.1454,40.3683,20.66,21.06,-15.8432,-73.5848,8.4891,False
2012-01-09,20.44,20.5,19.71,20.17,1450400.0,-0.1146,-0.7096,-0.595,21.5015,23.9619,19.0411,39.0728,20.332,20.948,-14.5833,-82.971,8.9502,False
2012-01-10,20.52,20.52,19.61,19.9,2863800.0,-0.1141,-0.7375,-0.6235,21.2695,23.3919,19.1471,37.6176,20.158,20.7967,-17.491,-90.145,9.2408,False
2012-01-11,20.18,21.29,20.14,20.62,3411700.0,-0.0561,-0.6936,-0.6375,21.103,22.8469,19.3591,43.6172,20.26,20.7327,-13.102,-65.9377,6.577,False
2012-01-12,21.25,21.34,20.75,21.06,2651100.0,0.0171,-0.6162,-0.6332,20.9905,22.4106,19.5704,46.9574,20.432,20.7127,-11.7817,-53.7498,6.4056,True
2012-01-13,20.82,21.23,20.57,20.9,1986600.0,0.0576,-0.5612,-0.6188,20.9275,22.2424,19.6126,45.898,20.53,20.7693,-8.8058,-61.5638,6.9533,True
2012-01-17,21.13,22.08,20.8,21.62,3420700.0,0.1316,-0.4544,-0.5859,20.916,22.2021,19.6299,51.2055,20.82,20.836,-2.6455,-40.4334,4.0301,True
2012-01-18,21.83,22.295,21.6,22.07,2192400.0,0.2051,-0.3296,-0.5347,20.911,22.1782,19.6438,54.2134,21.254,20.9187,-1.6975,-23.8479,3.3038,True
2012-01-19,22.73,22.94,22.37,22.51,2698200.0,0.2734,-0.1929,-0.4663,20.9575,22.3785,19.5365,56.9909,21.632,21.01,3.1475,-0.6242,1.1494,True
2012-01-20,22.55,23.19,22.25,22.75,2298500.0,0.3214,-0.0645,-0.386,21.027,22.6426,19.4114,58.4634,21.97,21.104,5.0748,2.0533,0.3247,True
2012-01-23,22.58,22.98,21.97,22.36,2125800.0,0.3133,0.0057,-0.3076,21.1425,22.7921,19.4929,55.1744,22.262,21.1507,8.3451,-13.3293,1.2418,True
2012-01-24,22.37,22.95,22.19,22.32,2495900.0,0.2921,0.0574,-0.2346,21.2275,22.9348,19.5202,54.8354,22.402,21.1847,10.9232,-12.6151,1.2418,True
2012-01-25,22.3,23.045,21.94,22.96,1539800.0,0.3064,0.1484,-0.158,21.334,23.1883,19.4797,59.1392,22.58,21.3307,9.4774,-5.5083,2.0738,True
2012-01-26,23.11,23.15,22.67,22.86,1393300.0,0.2944,0.21,-0.0844,21.42,23.3864,19.4536,58.2106,22.65,21.514,9.0952,6.5791,1.7078,True
2012-01-27,22.58,23.17,22.57,22.78,1161600.0,0.2671,0.2495,-0.0176,21.492,23.545,19.439,57.4375,22.656,21.686,7.2685,3.9503,2.048,True
2012-01-30,22.56,22.75,22.3,22.49,2182100.0,0.2176,0.2544,0.0368,21.5335,23.6315,19.4355,54.6202,22.682,21.8247,3.5974,-12.6005,2.9699,True
2012-01-31,22.67,23.13,22.11,22.81,3796800.0,0.1953,0.2809,0.0856,21.5835,23.7519,19.4151,57.1076,22.78,22.0007,5.8097,-3.9592,1.6012,True
2012-02-01,25.09,25.76,24.55,25.04,14608300.0,0.3126,0.4764,0.1638,21.797,24.4002,19.1938,69.5636,23.196,22.3433,15.8362,117.1964,7.091,True
2012-02-02,24.95,26.0,24.89,25.53,3667500.0,0.3995,0.6632,0.2636,22.068,25.0177,19.1183,71.5114,23.73,22.6707,26.2136,132.993,7.8228,True
2012-02-03,25.66,25.97,25.35,25.38,1962000.0,0.4211,0.79,0.3689,22.327,25.478,19.176,70.0413,24.25,22.9587,27.4289,133.8244,7.8228,True
2012-02-06,25.42,25.42,24.87,25.13,2607200.0,0.3932,0.8604,0.4672,22.563,25.8099,19.3161,67.5611,24.778,23.2407,23.3382,110.9031,6.0943,True
2012-02-07,24.55,25.1,24.53,24.85,2790800.0,0.333,0.8835,0.5505,22.797,25.9945,19.5995,64.8073,25.186,23.456,22.439,93.3191,4.8831,True
2012-02-08,24.86,25.34,24.85,25.27,1571800.0,0.2996,0.9249,0.6254,23.0655,26.1445,19.9865,66.9709,25.232,23.6693,23.4893,107.609,5.6563,True
2012-02-09,25.5,26.42,25.49,26.22,2845500.0,0.3179,1.0227,0.7048,23.3455,26.5016,20.1894,71.2539,25.37,23.9167,24.0958,146.0005,9.0397,True
2012-02-10,25.79,25.96,25.23,25.575,1335300.0,0.2651,1.0362,0.7711,23.5712,26.6867,20.4558,65.1119,25.409,24.105,21.6495,122.8542,8.0907,True
2012-02-13,26.25,26.44,25.76,26.38,2262000.0,0.2624,1.0991,0.8367,23.8453,26.9366,20.7539,68.7177,25.659,24.373,24.5407,148.6315,9.5684,True
2012-02-14,26.4,26.72,26.2,26.7,2368300.0,0.2598,1.1615,0.9017,24.0992,27.2517,20.9468,70.0367,26.029,24.665,21.0145,162.0066,10.4228,True
2012-02-15,26.79,26.8,25.7,25.82,2208900.0,0.1802,1.1269,0.9467,24.2867,27.3797,21.1938,62.2974,26.139,24.8557,20.2063,139.2956,8.5602,True
2012-02-16,25.75,26.37,25.69,26.31,1423200.0,0.1434,1.126,0.9826,24.4767,27.5766,21.3769,64.6292,26.157,25.0857,14.952,135.8455,8.523,True
2012-02-17,26.38,26.38,25.58,25.96,1165300.0,0.0816,1.0846,1.003,24.6372,27.695,21.5795,61.7084,26.234,25.2977,13.7559,123.8402,8.1083,True
2012-02-21,25.97,26.6,25.95,26.2,1715300.0,0.0447,1.0589,1.0141,24.8292,27.7709,21.8876,62.939,26.198,25.545,15.7528,129.2812,8.817,True
2012-02-22,26.5,26.65,26.11,26.13,1223900.0,0.0056,1.0211,1.0155,25.0197,27.7743,22.2652,62.3132,26.084,25.7663,16.122,124.5452,8.9793,True
2012-02-23,25.99,26.53,25.92,26.25,1261900.0,-0.0209,0.9895,1.0103,25.1842,27.8174,22.5511,62.9891,26.17,25.847,15.1226,116.3586,8.235,False
2012-02-24,26.48,27.09,26.4,26.99,1987700.0,0.0017,1.0124,1.0107,25.3907,27.9076,22.8739,66.9101,26.306,25.9443,17.0194,132.6541,10.0758,True
2012-02-27,26.81,27.16,26.74,26.88,1149600.0,-0.0005,1.0101,1.0106,25.5957,27.8864,23.3051,65.7999,26.49,26.0443,17.2205,129.3675,10.3045,False
2012-02-28,27.1,27.66,26.83,27.4,2247800.0,0.0221,1.0383,1.0161,25.8412,27.772,23.9105,68.4513,26.73,26.1957,21.5824,136.2112,11.9317,True
2012-02-29,27.35,27.47,26.81,27.05,1505700.0,0.0035,1.0206,1.017,26.0532,27.4683,24.6382,64.8269,26.914,26.3423,18.7635,124.2404,11.8491,True
2012-03-01,27.12,27.88,26.84,27.83,1553100.0,0.0322,1.0573,1.0251,26.1927,27.7259,24.6596,68.7747,27.23,26.513,8.2298,132.54,13.1837,True
