date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,13.26,13.42,13.0,10.3458501753,17778100.0,-0.2223,0.0261,-0.1962,10.478,9.8369,11.119,45.2037,10.3459,10.331,-1.9006,-72.1792,9.7161,True
2012-01-04,13.07,13.25,13.01,10.4489913197,10831500.0,-0.213,0.0371,-0.176,10.4601,9.837,11.0832,47.1921,10.3411,10.3146,-4.263,-72.4618,9.7161,True
2012-01-05,13.11,13.32,13.0165,10.5362645957,10257500.0,-0.2007,0.0495,-0.1512,10.4363,9.8652,11.0074,48.874,10.3966,10.322,-4.5161,-64.4975,9.2286,True
2012-01-06,13.33,13.66,13.24,10.722712049,16388100.0,-0.1836,0.0684,-0.1151,10.4171,9.9161,10.9181,52.3479,10.4704,10.3419,-2.983,-36.4258,6.8827,True
2012-01-09,13.65,13.79,13.5,10.9012255681,14144100.0,-0.1611,0.0898,-0.0713,10.4258,9.8981,10.9534,55.4529,10.591,10.372,-1.5703,-15.3933,5.9975,True
2012-01-10,13.92,14.05,13.77,11.0995739227,16893200.0,-0.133,0.1126,-0.0204,10.4337,9.8717,10.9958,58.6598,10.7418,10.4202,1.1519,10.49,4.2416,True
2012-01-11,13.96,14.38,13.945,11.3613937508,17098500.0,-0.0983,0.1389,0.0406,10.467,9.7815,11.1525,62.4799,10.9242,10.5127,5.8131,38.1372,2.0594,True
2012-01-12,14.42,14.46,14.01,11.2661865406,16015000.0,-0.0625,0.1429,0.0804,10.5091,9.7408,11.2773,60.3086,11.0702,10.5984,6.0117,37.4154,1.5354,True
2012-01-13,14.03,14.1299,13.88,11.1075078569,18491200.0,-0.0304,0.1284,0.098,10.5432,9.7334,11.353,56.7849,11.1472,10.6751,6.6408,13.6733,2.3638,True
2012-01-17,14.16,14.35,14.055,11.2265168696,12372000.0,-0.0003,0.1204,0.1201,10.5821,9.7211,11.4431,58.7229,11.2122,10.7343,7.7327,31.2416,0.9022,True
2012-01-18,14.18,14.42,14.09,11.329658014,17593600.0,0.0286,0.1157,0.1443,10.6297,9.7155,11.5438,60.3731,11.2583,10.782,8.015,37.8325,0.4383,True
2012-01-19,14.37,14.59,14.28,11.4645348952,17409000.0,0.0574,0.115,0.1724,10.7043,9.7734,11.6352,62.475,11.2789,10.8481,10.2797,54.7548,0.6892,True
2012-01-20,14.39,14.53,14.29,11.4407330926,16916400.0,0.084,0.1065,0.1905,10.7773,9.8558,11.6987,61.8546,11.3138,10.9269,12.0278,50.949,0.6892,True
2012-01-23,14.51,14.55,14.07,11.4010634217,21393600.0,0.1071,0.0923,0.1994,10.8495,9.9711,11.7278,60.777,11.3725,10.9967,14.6572,41.0388,0.8012,True
2012-01-24,14.25,14.62,14.16,11.5994117763,18913600.0,0.1296,0.0903,0.2199,10.9125,10.0093,11.8157,64.1253,11.4471,11.0834,11.8164,54.1607,0.3207,True
2012-01-25,13.5,13.64,13.04,10.3537841095,60611200.0,0.1305,0.0036,0.1341,10.8994,9.9721,11.8267,40.7303,11.2519,11.084,1.9432,-69.5105,7.4954,True
2012-01-26,12.99,13.09,12.58,10.0522946105,47477800.0,0.1127,-0.0714,0.0413,10.8784,9.896,11.8609,37.2098,10.9695,11.0575,-2.1674,-114.2318,10.1953,False
2012-01-27,12.6,12.7,12.52,10.0126249396,22348800.0,0.0831,-0.1182,-0.035,10.8661,9.8474,11.8848,36.7619,10.6838,11.0226,-3.7149,-126.4891,10.5416,False
2012-01-30,12.63,12.66,12.53,10.0046910054,22492200.0,0.0475,-0.1426,-0.0951,10.8487,9.7845,11.9128,36.6673,10.4046,10.9747,-3.653,-122.0066,10.5416,False
2012-01-31,12.7501,12.88,12.62,10.2109732942,27149700.0,0.0131,-0.1377,-0.1246,10.8443,9.7705,11.9181,40.9032,10.1269,10.9287,-1.3027,-99.0308,8.9484,False
2012-02-01,12.99,13.09,12.87,10.2347750967,24675300.0,-0.0184,-0.126,-0.1444,10.8387,9.7536,11.9239,41.3878,10.1031,10.8711,-2.459,-80.2755,7.4451,False
2012-02-02,13.05,13.07,12.93,10.2665108334,18139100.0,-0.0459,-0.1099,-0.1557,10.8296,9.7286,11.9307,42.0665,10.1459,10.7981,-1.3585,-75.2843,7.4451,False
2012-02-03,13.24,13.63,13.06,10.7742826212,30629200.0,-0.0612,-0.0612,-0.1223,10.8415,9.7483,11.9348,51.662,10.2982,10.7653,2.3273,-30.7596,3.5064,False
2012-02-06,13.72,13.83,13.46,10.8932916339,29663700.0,-0.066,-0.0193,-0.0853,10.8501,9.758,11.9421,53.5922,10.476,10.751,1.2445,-4.4283,2.1464,False
2012-02-07,13.74,13.81,13.61,10.9091595023,21263200.0,-0.0636,0.0096,-0.054,10.8504,9.7583,11.9426,53.8555,10.6156,10.7299,0.145,1.6239,2.1464,True
2012-02-08,13.89,13.93,13.7,10.9091595023,17441000.0,-0.0567,0.0278,-0.0289,10.8409,9.7543,11.9275,53.8555,10.7505,10.7018,-0.8541,10.1657,1.3204,True
2012-02-09,13.7799,13.85,13.64,10.940895239,23434300.0,-0.0466,0.0402,-0.0064,10.8199,9.7584,11.8814,54.4487,10.8854,10.6669,-3.6857,9.4374,1.7245,True
2012-02-10,13.67,13.82,13.58,10.7901504896,17184500.0,-0.0374,0.0368,-0.0007,10.7961,9.7546,11.8376,51.1051,10.8885,10.6235,-4.426,2.4116,2.1321,True
