date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,26.32,26.83,26.32,9.91298493425,13391400.0,-0.0948,-0.1015,-0.0067,9.8543,9.1134,10.5952,52.3314,9.5965,9.6719,-5.4465,12.6672,8.7146,False
2012-01-04,26.52,26.8,26.44,9.90553716195,11116400.0,-0.0912,-0.0765,0.0146,9.8283,9.1344,10.5221,52.1754,9.6672,9.6536,-5.2196,12.5754,8.7146,True
2012-01-05,26.32,26.59,26.25,9.86829830044,13847000.0,-0.0847,-0.059,0.0257,9.7993,9.1656,10.433,51.3554,9.764,9.6461,-6.0946,-1.669,9.3298,True
2012-01-06,26.57,26.61,26.3,9.83105943893,11705700.0,-0.0773,-0.0476,0.0297,9.7642,9.2265,10.3018,50.505,9.8221,9.6466,-6.4843,-3.495,9.251,True
2012-01-09,26.39,26.61,26.33,9.84595498353,11058400.0,-0.0692,-0.0369,0.0323,9.7437,9.2533,10.2341,50.8538,9.8728,9.6536,-6.7778,-2.4873,9.251,True
2012-01-10,26.69,26.9,26.58,9.93905213731,12596700.0,-0.0595,-0.0207,0.0388,9.7234,9.3059,10.141,53.0685,9.878,9.6747,-4.9663,17.562,8.0826,True
2012-01-11,26.5,26.67,26.33,9.91857076348,13600000.0,-0.0495,-0.0094,0.0401,9.7103,9.337,10.0836,52.5107,9.8806,9.712,-2.8592,2.0534,8.9364,True
2012-01-12,26.73,26.99,26.65,10.0358731772,10427700.0,-0.0378,0.0089,0.0467,9.7131,9.331,10.0952,55.3881,9.9141,9.7378,-3.088,26.7901,7.635,True
2012-01-13,26.71,26.885,26.37,9.86457441429,11806100.0,-0.0284,0.0095,0.0379,9.7152,9.3303,10.1,50.592,9.9208,9.7639,0.4671,0.7287,8.6065,True
2012-01-17,26.735,26.88,26.4,9.85154081276,11192100.0,-0.0209,0.0088,0.0297,9.7206,9.3313,10.11,50.2373,9.9219,9.7787,0.6553,-1.9482,8.6065,True
2012-01-18,26.4,27.0,26.4,10.054492608,11467500.0,-0.0119,0.0243,0.0362,9.7422,9.3298,10.1547,55.4475,9.945,9.8065,1.2373,15.4013,8.1025,True
2012-01-19,27.02,27.25,26.88,10.1103509003,11182500.0,-0.0014,0.0407,0.0421,9.7799,9.3773,10.1824,56.7819,9.9834,9.8437,4.5062,40.9276,7.0501,True
2012-01-20,27.12,28.18,27.05,10.4752917431,22490800.0,0.0153,0.0822,0.0668,9.8212,9.3227,10.3196,64.2723,10.0713,9.9165,7.6806,103.6083,3.2475,True
2012-01-23,27.94,28.88,27.94,10.6801054814,22235300.0,0.0383,0.1301,0.0918,9.8815,9.2838,10.4792,67.6443,10.2344,9.9924,11.592,164.3622,0.5145,True
2012-01-24,28.23,28.84,28.2,10.620523303,14887700.0,0.0629,0.1613,0.0985,9.931,9.2647,10.5974,65.7112,10.3882,10.0609,10.9658,159.013,0.5145,True
