date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,186.73,188.71,186.0,134.899192326,5646000.0,-0.0133,-0.2445,-0.2312,135.7956,141.6999,129.8914,51.0003,134.0013,134.527,-1.3694,39.5712,2.9034,False
2012-01-04,185.57,186.33,184.94,134.348878928,4346700.0,-0.0546,-0.22,-0.1654,135.6037,141.4337,129.7738,49.7652,134.0868,134.2065,-3.7601,9.1942,1.8861,False
2012-01-05,184.81,185.03,183.1,133.71167394,4463100.0,-0.0935,-0.2491,-0.1556,135.304,140.8697,129.7383,48.3137,134.1838,133.8932,-4.3921,-19.0181,0.1384,False
2012-01-06,184.39,184.48,182.31,132.176589196,4897100.0,-0.1531,-0.3916,-0.2384,134.8872,140.0657,129.7088,44.931,133.6566,133.5949,-5.3463,-42.7034,0.606,False
2012-01-09,182.2,182.27,180.27,131.488697448,5201200.0,-0.2332,-0.5536,-0.3203,134.5256,139.5912,129.4599,43.4698,133.325,133.3105,-5.9494,-76.3171,2.5091,False
2012-01-10,183.23,183.72,181.2,131.285950406,5161000.0,-0.3247,-0.6904,-0.3657,134.0458,138.3775,129.7142,43.0278,132.6024,133.2014,-5.7218,-59.878,1.1097,False
2012-01-11,180.73,182.81,180.5,132.017287949,4110800.0,-0.406,-0.7313,-0.3253,133.6889,137.4107,129.967,45.1816,132.136,133.1739,-5.7194,-61.8833,1.7681,False
2012-01-12,181.86,181.91,178.38,130.735637008,6881000.0,-0.4963,-0.8573,-0.3611,133.3051,136.5528,130.0574,42.1871,131.5408,132.851,-6.3767,-91.3257,3.7418,False
2012-01-13,179.48,179.61,177.3472,129.729142765,5279200.0,-0.6023,-1.0266,-0.4243,132.959,136.1817,129.7363,39.9587,131.0513,132.7395,-5.6075,-124.3777,4.6905,False
2012-01-17,180.36,182.0,179.32,130.33738389,6003400.0,-0.7016,-1.0989,-0.3973,132.6882,135.8354,129.5409,41.9443,130.8211,132.641,-4.8117,-91.4098,2.3173,False
2012-01-18,179.83,181.6,179.5,131.112167228,4600600.0,-0.7776,-1.0813,-0.3037,132.5977,135.8161,129.3793,44.4513,130.7863,132.4633,-3.4094,-88.543,2.3173,False
2012-01-19,181.79,182.3599,180.35,130.71391411,8567200.0,-0.8395,-1.087,-0.2475,132.5118,135.8334,129.1903,43.4187,130.5256,132.2495,-1.2616,-81.9348,1.5603,False
2012-01-20,185.77,188.97,184.75,136.506686728,12849700.0,-0.7949,-0.6169,0.1781,132.5582,136.0701,129.0463,58.4581,131.6799,132.4682,0.8755,50.5045,4.6786,True
2012-01-23,187.91,190.52,187.67,137.56386773,5751700.0,-0.6674,-0.1572,0.5102,132.8663,136.9526,128.78,60.5106,133.2468,132.6516,3.8256,89.4383,6.0548,True
2012-01-24,188.63,192.305,188.5241,138.975856056,5345700.0,-0.4705,0.3173,0.7878,133.2244,138.0647,128.384,63.1181,134.9745,133.0402,5.1997,117.6881,7.6168,True
2012-01-25,191.33,192.2399,189.61,138.83103674,4359700.0,-0.2416,0.674,0.9155,133.4771,138.8992,128.055,62.6634,136.5183,133.3023,3.9978,117.9498,7.6168,True
2012-01-26,191.79,192.79,190.47,138.287964307,4004700.0,-0.0128,0.9024,0.9152,133.6954,139.509,127.8818,60.9007,138.0331,133.5649,3.7342,117.4221,8.1038,True
2012-01-27,190.01,191.77,189.81,137.911434087,3360400.0,0.198,1.041,0.843,133.9296,140.0198,127.8395,59.6541,138.314,133.8449,3.4358,98.4727,7.4129,True
2012-01-30,189.39,192.73,188.22,139.388591105,4359000.0,0.4095,1.2556,0.8461,134.1584,140.6918,127.6251,62.8504,138.679,134.3257,3.4903,103.6059,5.7572,True
2012-01-31,193.09,193.1,191.0,139.461000762,4826800.0,0.6106,1.4152,0.8046,134.4741,141.381,127.5673,63.0043,138.776,134.8572,3.55,119.2357,6.0997,True
2012-02-01,193.21,194.81,192.41,139.475482694,5088800.0,0.7936,1.5253,0.7317,134.703,141.946,127.4599,63.0371,138.9049,135.4032,3.2325,132.0704,7.6768,True
2012-02-02,192.72,193.33,191.33,138.686217425,3907300.0,0.9411,1.5311,0.5901,134.9198,142.3644,127.4753,59.9325,138.9845,135.8478,3.7568,104.9886,6.5276,True
2012-02-03,192.93,194.13,192.54,140.214061203,4521700.0,1.0809,1.6402,0.5593,135.2449,143.0111,127.4788,63.646,139.4451,136.4797,4.9181,123.5858,7.2731,True
2012-02-06,192.48,193.76,192.0,139.620302009,3639800.0,1.1966,1.6596,0.4629,135.6171,143.4724,127.7619,61.2811,139.4914,137.1391,5.0304,108.9565,6.689,True
2012-02-07,192.45,194.14,191.97,140.004073195,3433000.0,1.2946,1.6865,0.3919,136.0429,143.88,128.2058,62.2524,139.6,137.7835,6.5123,109.5682,7.0512,True
2012-02-08,192.78,193.58,191.73,140.257506997,3803800.0,1.3774,1.7085,0.3311,136.4915,144.2143,128.7687,62.9107,139.7564,138.3932,5.7764,111.0602,7.2367,True
2012-02-09,193.03,194.46,192.55,140.388351005,3876400.0,1.4453,1.7168,0.2715,136.91,144.5241,129.296,63.2651,140.0969,139.0382,6.7862,115.9814,8.0926,True
2012-02-10,191.76,192.43,191.28,139.872244086,3391100.0,1.4887,1.6625,0.1738,137.3669,144.5272,130.2066,60.8096,140.0285,139.2625,6.1943,91.405,6.6483,True
2012-02-13,193.31,193.69,191.74,140.017626317,2458800.0,1.5135,1.6126,0.0991,137.8813,144.2019,131.5607,61.2633,140.108,139.4261,8.2584,98.0247,7.8901,True
2012-02-14,191.76,192.6,190.831,139.726861856,3398100.0,1.5172,1.532,0.0148,138.3508,143.6768,133.0247,59.7801,140.0525,139.4762,6.2355,82.6975,6.8474,True
2012-02-15,192.31,193.44,191.26,139.74866919,4020900.0,1.5044,1.4531,-0.0513,138.7826,142.9698,134.5954,59.8582,139.9508,139.5374,6.9339,85.9498,7.6858,False
2012-02-16,192.61,193.25,192.0,140.308390778,3525500.0,1.4874,1.4194,-0.068,139.2623,141.2765,137.2481,61.893,139.9348,139.6721,6.3837,89.1331,7.6858,False
2012-02-17,193.71,193.86,192.3,140.599155239,3746500.0,1.4699,1.4,-0.0699,139.4669,141.1187,137.8152,62.9387,140.0801,139.8512,2.9865,92.4084,8.3056,False
2012-02-21,193.73,194.24,192.46,140.577347905,3293600.0,1.4493,1.3671,-0.0823,139.6176,141.0872,138.148,62.8002,140.1921,139.9305,2.3488,91.9785,8.694,False
2012-02-22,193.03,194.74,192.75,140.926265258,3275800.0,1.4302,1.3535,-0.0766,139.7151,141.2584,138.1718,64.1523,140.432,140.0282,1.6598,95.6848,9.2085,False
2012-02-23,193.87,199.23,193.28,143.644912971,8032700.0,1.453,1.5444,0.0914,139.9558,142.2102,137.7014,72.4972,141.2112,140.3061,4.039,135.992,13.6524,True
2012-02-24,198.38,198.56,196.61,143.753949644,3353200.0,1.4994,1.685,0.1856,140.2291,142.896,137.5622,72.7696,141.9003,140.644,3.3932,145.3776,13.6524,True
2012-02-27,196.78,198.71,196.1,143.586760079,3758400.0,1.5521,1.7627,0.2106,140.5129,143.3361,137.6896,71.6045,142.4978,140.8688,4.0217,138.1931,13.0027,True
2012-02-28,197.75,198.96,197.4322,143.913870098,3167400.0,1.6076,1.8295,0.222,140.7392,143.8739,137.6044,72.5266,143.1652,141.1551,3.6338,142.0919,13.2499,True
2012-02-29,197.86,199.17,196.45,143.005231156,5117100.0,1.6437,1.7885,0.1448,140.9164,144.1414,137.6913,66.1349,143.5809,141.3551,3.5444,126.6489,11.9785,True
2012-03-01,197.23,198.47,196.93,143.586760079,3560300.0,1.6715,1.7824,0.111,141.1219,144.475,137.7689,68.0648,143.5693,141.5771,2.2748,124.3481,11.9785,True
2012-03-02,197.1,198.89,197.06,144.517206355,3727400.0,1.7035,1.8316,0.1281,141.4135,144.8808,137.9462,70.907,143.722,141.8524,3.2758,128.273,12.4133,True
2012-03-05,198.36,201.19,198.3,145.861991988,6938000.0,1.7541,1.9565,0.2024,141.6959,145.6168,137.775,74.4308,144.177,142.2517,4.0396,147.1185,14.7584,True
2012-03-06,199.14,199.64,196.812,143.390494067,5214700.0,1.7703,1.8349,0.0646,141.8844,145.7501,138.0186,60.0972,144.0723,142.4765,3.4352,115.6763,12.7719,True
2012-03-07,198.09,198.57,197.31,143.761218755,3346900.0,1.7659,1.7483,-0.0176,142.0722,145.9193,138.2251,61.2951,144.2235,142.7455,2.6794,111.934,12.7719,False
2012-03-08,199.24,199.99,198.65,145.244117508,3145800.0,1.7685,1.7788,0.0104,142.3216,146.3097,138.3335,65.7072,144.555,143.1118,3.3113,128.9044,14.2371,True
2012-03-09,199.98,201.1,199.72,145.832915542,3178200.0,1.7806,1.8294,0.0488,142.5938,146.7564,138.4312,67.2933,144.8181,143.4801,3.4146,136.3669,15.3672,True
2012-03-12,200.93,201.57,200.23,146.10914178,3119700.0,1.7986,1.8703,0.0717,142.9056,147.1398,138.6715,68.0364,144.8676,143.8475,4.7498,136.4574,15.8447,True
2012-03-13,201.72,203.9,201.6107,148.129954786,4866000.0,1.8473,2.0421,0.1949,143.3113,147.9004,138.7221,72.8683,145.8155,144.351,5.2713,154.9905,18.1722,True
2012-03-14,203.78,205.15,203.64,148.81325127,4602300.0,1.9194,2.208,0.2886,143.7656,148.6359,138.8953,74.277,146.8259,144.8768,6.5161,163.5741,19.3885,True
2012-03-15,204.94,206.18,204.74,149.743697546,3621100.0,2.013,2.3871,0.3741,144.2653,149.4268,139.1038,76.0884,147.7258,145.2834,6.586,169.645,20.3803,True
2012-03-16,207.03,207.52,206.01,149.750966657,9637000.0,2.1105,2.5007,0.3902,144.7375,150.0888,139.3861,76.1025,148.5094,145.6832,7.3842,172.3765,21.6555,True
2012-03-19,205.71,206.53,204.5,149.540162423,3763200.0,2.1973,2.5445,0.3472,145.1845,150.572,139.797,74.7345,149.1956,146.0801,6.5356,155.5157,19.4629,True
2012-03-20,204.74,205.0,203.702,148.471603028,3695100.0,2.2507,2.4645,0.2137,145.5792,150.7093,140.4491,68.0877,149.2639,146.3839,5.5395,137.7705,18.3168,True
2012-03-21,204.32,205.77,204.3,148.791443935,3329900.0,2.2805,2.3993,0.1188,145.9725,150.8132,141.1317,68.9727,149.2596,146.7697,5.664,140.0153,19.0786,True
2012-03-22,204.0,205.99,203.96,149.372972858,3307800.0,2.2978,2.3672,0.0694,146.2589,151.1918,141.3259,70.563,149.1854,147.1554,3.3931,137.5266,18.582,True
2012-03-23,205.89,205.96,204.56,149.365703746,3036200.0,2.3011,2.3145,0.0134,146.5395,151.5088,141.5701,70.5146,149.1084,147.4786,3.7268,134.0831,18.582,True
2012-03-26,206.45,207.92,206.32,151.030330287,3418200.0,2.3169,2.3797,0.0628,146.9117,152.0527,141.7706,74.7623,149.4064,147.8232,4.6349,148.1423,20.5571,True
2012-03-27,208.46,208.66,207.0,150.601452706,2704500.0,2.3274,2.3694,0.042,147.246,152.4334,142.0587,71.9029,149.8324,148.3039,4.8754,143.7728,21.2902,True
2012-03-28,207.44,208.69,206.27,150.681412933,3265700.0,2.33,2.3407,0.0107,147.6298,152.6381,142.6216,72.1159,150.2104,148.7653,4.7798,135.1273,20.1776,True
2012-03-29,206.09,208.5,206.02,151.393785863,3403700.0,2.3337,2.3484,0.0147,148.0202,152.923,143.1174,73.9978,150.6145,149.1753,5.0537,130.4629,19.7949,True
2012-03-30,208.74,209.12,208.012,151.670012102,3215200.0,2.3369,2.3497,0.0128,148.3778,153.2498,143.5059,74.707,151.0754,149.5644,5.1435,133.9363,20.434,True
2012-04-02,208.96,209.69,208.09,152.266079247,3387900.0,2.3438,2.3714,0.0276,148.698,153.7064,143.6897,76.2073,151.3225,149.9749,4.2249,132.9342,21.0223,True
2012-04-03,209.31,210.69,208.54,152.287886582,4091500.0,2.3477,2.3632,0.0155,149.1429,153.7511,144.5347,76.2625,151.6598,150.2521,5.535,132.4513,22.0506,True
2012-04-04,206.22,206.9802,205.19,149.780043103,4404000.0,2.3041,2.1298,-0.1743,149.4438,153.3377,145.55,59.3099,151.4796,150.3165,4.2354,96.4368,16.8668,False
2012-04-05,205.15,205.68,204.46,149.358434635,3809000.0,2.2211,1.889,-0.3321,149.6496,153.0358,146.2633,57.0266,151.0725,150.2908,2.8451,85.6198,15.7771,False
2012-04-09,204.4,206.17,203.37,148.973171723,3326900.0,2.1065,1.6481,-0.4584,149.8066,152.7299,146.8832,54.9551,150.5331,150.239,2.5211,79.7553,14.1607,False
2012-04-10,204.94,205.74,202.17,147.075933614,4132900.0,1.943,1.2892,-0.6538,149.8549,152.5556,147.1542,46.1167,149.4951,150.0747,2.0688,63.8146,12.4038,False
2012-04-11,203.99,204.32,202.4593,147.257661402,3366200.0,1.756,1.0079,-0.7481,149.8113,152.6468,146.9758,46.9916,148.489,149.9938,0.206,58.8633,12.4038,False
2012-04-12,202.8,205.56,202.64,149.249397962,2929600.0,1.5918,0.9348,-0.657,149.8331,152.6442,147.022,55.4804,148.3829,150.0243,0.1999,71.2141,13.8212,False
2012-04-13,204.32,204.6499,202.8,147.417581856,3767000.0,1.4176,0.7208,-0.6968,149.7168,152.7191,146.7146,47.9187,147.9947,149.8939,-0.7421,56.8274,13.8212,False
2012-04-16,204.74,205.97,202.72,147.359428963,3826600.0,1.2421,0.5403,-0.7018,149.5972,152.7702,146.4243,47.6976,147.672,149.7602,-0.7469,58.5845,15.3295,False
2012-04-17,204.57,207.64,204.15,150.797718718,6065500.0,1.1271,0.667,-0.4601,149.6601,152.8756,146.4446,59.5283,148.4164,149.7447,0.5375,85.8985,17.194,False
2012-04-18,202.43,204.07,200.0,145.476729077,10153500.0,0.9685,0.3342,-0.6343,149.5104,153.1801,145.8406,43.2914,148.0602,149.403,-0.4537,25.3883,11.016,False
2012-04-19,200.03,201.26,197.521,145.026044162,5762900.0,0.7815,0.0336,-0.7479,149.3221,153.4747,145.1695,42.2457,147.2155,149.026,-2.1918,-0.05,7.5711,False
2012-04-20,199.83,200.12,199.09,145.091466166,4758200.0,0.5858,-0.197,-0.7828,149.108,153.6511,144.5649,42.4619,146.7503,148.6058,-2.8497,0.2082,7.5711,False
2012-04-23,197.89,199.1,196.791,144.379093236,3618800.0,0.3822,-0.4322,-0.8144,148.8587,153.8437,143.8737,40.6853,146.1542,148.1198,-3.3307,-19.9852,4.4622,False
2012-04-24,199.06,202.48,198.87,145.382230627,5626300.0,0.1995,-0.5316,-0.731,148.5763,153.6758,143.4767,44.2072,145.0711,147.6609,-2.6164,7.5191,8.4194,False
2012-04-25,202.02,203.69,201.8,147.977303444,4003400.0,0.0803,-0.3964,-0.4767,148.4451,153.4638,143.4263,52.0916,145.5712,147.3735,-2.3819,39.9249,9.7799,False
2012-04-26,203.4,206.21,203.4,149.438394861,3302700.0,0.0304,-0.1694,-0.1997,148.3829,153.3195,143.4464,55.8549,146.4537,147.3507,-1.1884,65.664,12.5319,False
2012-04-27,206.47,208.17,205.91,150.33249558,3496900.0,0.0406,0.0817,0.0411,148.3299,153.1574,143.5023,58.0171,147.5019,147.4156,-0.1583,89.184,14.5925,True
2012-04-30,206.71,207.96,206.32,150.528761591,2773200.0,0.0912,0.2932,0.2021,148.2728,152.9662,143.5794,58.4952,148.7318,147.5193,-0.5547,88.6908,14.5925,True
2012-05-01,207.18,208.929,206.71,151.197519852,2715900.0,0.1747,0.5089,0.3342,148.2194,152.7513,143.6875,60.152,149.8949,147.7941,-0.3629,96.4427,15.609,True
2012-05-02,206.97,208.27,206.91,151.241134521,2360300.0,0.2749,0.6756,0.4007,148.167,152.5308,143.8032,60.2628,150.5477,148.0597,-1.1486,91.9505,15.609,True
2012-05-03,208.27,208.92,206.55,150.645067376,2826600.0,0.3701,0.7509,0.3808,148.2103,152.6536,143.767,57.9044,150.789,148.1527,0.9372,86.9837,16.3001,True
2012-05-04,206.47,207.11,204.4,149.009517281,4023600.0,0.4302,0.6709,0.2406,148.1928,152.6207,143.765,51.9298,150.5244,148.2589,0.6953,55.0055,13.1824,True
2012-05-07,203.96,204.77,202.9,148.108147451,3373400.0,0.4499,0.5286,0.0787,148.1496,152.563,143.7362,48.9476,150.0403,148.3088,-0.6791,28.0168,11.0699,True
2012-05-08,202.44,203.06,199.718,147.075933614,3881500.0,0.4257,0.3288,-0.0969,148.1496,152.563,143.7362,45.7257,149.216,148.0607,-0.8862,1.9026,7.8764,False
2012-05-09,199.99,203.0,199.06,146.893439156,3742500.0,0.3714,0.154,-0.2174,148.1314,152.5623,143.7004,45.1626,148.3464,148.1551,-0.2269,-6.0281,6.9927,False
2012-05-10,201.0,203.25,200.02,146.433553121,3830500.0,0.2928,-0.0214,-0.3142,147.9906,152.4493,143.5318,43.7092,147.5041,148.2489,-0.7066,-5.9276,7.2862,False
2012-05-11,199.96,202.12,199.95,146.849640486,2391500.0,0.2092,-0.1254,-0.3346,147.9622,152.4424,143.482,45.4121,147.0721,148.3661,-0.8195,-13.092,7.1899,False
2012-05-14,199.92,200.71,198.56,145.586778836,3029200.0,0.1061,-0.3062,-0.4123,147.8735,152.4666,143.2805,41.3448,146.5679,148.4467,-2.1427,-45.3274,5.2817,False
2012-05-15,199.44,201.4679,198.76,145.294787703,2987400.0,-0.0087,-0.4677,-0.459,147.5984,152.1165,143.0803,40.4473,146.2116,148.4408,-2.5632,-45.9658,6.2075,False
