date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,24.6201,24.89,24.39,18.6556809922,44845600.0,0.0222,0.0669,0.0447,19.4873,18.409,17.3306,54.3737,18.5683,18.1727,-0.9747,65.5947,9.8809,True
2012-01-04,24.5699,25.13,24.53,19.0890036558,47504000.0,0.0411,0.1164,0.0754,19.5001,18.4128,17.3254,59.0179,18.6519,18.2289,-0.2778,97.014,11.1909,True
2012-01-05,25.0601,25.45,24.98,19.3094660636,49490600.0,0.0671,0.1715,0.1043,19.5081,18.4147,17.3212,61.1723,18.8305,18.3222,-0.1177,131.8384,12.9075,True
2012-01-06,25.21,25.4,25.01,19.1954337837,36343500.0,0.0944,0.2036,0.1092,19.4373,18.3991,17.3609,59.4406,18.937,18.4205,-1.474,121.8021,12.9075,True
2012-01-09,25.4,25.56,25.22,19.3588800516,47478600.0,0.1234,0.2394,0.116,19.5364,18.4278,17.3192,61.1304,19.1217,18.5297,0.1175,139.0208,13.7694,True
2012-01-10,25.71,25.92,25.51,19.4539069515,41060900.0,0.1532,0.2724,0.1192,19.62,18.4499,17.2797,62.1136,19.2813,18.6493,3.2669,162.0934,15.6787,True
2012-01-11,25.43,25.89,25.34,19.6135521434,57170000.0,0.1841,0.3078,0.1237,19.7883,18.5183,17.2483,63.7636,19.3862,18.7864,6.5827,156.8541,14.4616,True
2012-01-12,25.8501,25.9,25.54,19.5755413834,44420500.0,0.2131,0.3291,0.1159,19.9187,18.6015,17.2843,63.063,19.4395,18.8832,7.6475,157.0096,14.5154,True
2012-01-13,25.69,25.72,25.1,19.1118101118,63313400.0,0.2315,0.305,0.0735,19.9409,18.6711,17.4012,55.1431,19.4227,18.9572,9.1681,108.7438,11.3806,True
2012-01-17,25.18,25.4,24.97,19.0357885918,60438600.0,0.2405,0.2765,0.036,19.9373,18.7368,17.5364,53.953,19.3581,19.0089,7.3088,85.4331,10.472,True
2012-01-18,25.13,25.48,25.01,19.3018639116,62687000.0,0.2469,0.2723,0.0255,19.9352,18.8189,17.7027,57.4007,19.3277,19.0591,6.6555,99.6306,10.9267,True
2012-01-19,25.52,25.68,25.37,19.4843155595,64946300.0,0.2536,0.2805,0.0269,19.9047,18.9153,17.9258,59.6219,19.3019,19.1133,9.3697,124.2795,12.0623,True
2012-01-20,25.87,26.47,25.5,20.054476959,101272500.0,0.2687,0.3292,0.0605,20.0491,19.0118,17.9746,65.6234,19.3977,19.2225,10.3837,174.6585,16.3465,True
2012-01-23,26.35,26.89,26.34,20.3053479748,69663500.0,0.2917,0.3836,0.0919,20.201,19.127,18.053,67.8744,19.6364,19.332,11.6231,214.5973,18.4933,True
2012-01-24,26.7,26.98,26.61,20.4459877867,56220400.0,0.32,0.433,0.1131,20.378,19.2363,18.0946,69.0901,19.9184,19.4661,11.9502,216.8507,18.9466,True
2012-01-25,26.84,26.95,26.5,20.4497888626,54757900.0,0.3494,0.4672,0.1178,20.5427,19.3313,18.12,69.124,20.148,19.5857,10.4508,200.6624,18.13,True
