date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,53.23,53.88,52.41,47.8001083797,1949700.0,0.1245,-0.0347,0.0897,48.1484,46.5472,49.7496,49.6121,48.0006,47.9061,0.3913,23.8254,2.0578,False
2012-01-04,52.36,52.53,51.88,47.6543207827,2170900.0,0.1108,-0.0546,0.0563,48.0454,46.6032,49.4877,48.7696,47.842,47.8733,-3.7383,-29.0433,0.6059,False
2012-01-05,52.08,52.72,51.92,47.8730021783,1809300.0,0.098,-0.0512,0.0468,47.9716,46.6585,49.2848,50.1307,47.8657,47.8229,-3.7781,-22.1022,1.1187,False
2012-01-06,52.39,53.31,52.09,48.5381580898,1886800.0,0.0968,-0.0048,0.092,47.9543,46.6812,49.2274,54.1045,47.9568,47.9122,-1.1272,22.7678,3.1005,False
2012-01-09,53.2,53.44,52.89,48.5929828165,1982300.0,0.1036,0.0271,0.1307,47.9894,46.6869,49.292,54.4253,48.0917,48.0361,-0.4811,48.2553,3.447,True
2012-01-10,53.46,54.92,53.36,50.0275631667,2611700.0,0.1377,0.1363,0.274,48.0639,46.5002,49.6276,61.8912,48.5372,48.2259,2.9441,140.083,7.2848,True
2012-01-11,54.78,55.52,54.69,50.4204737085,2203200.0,0.193,0.2214,0.4144,48.1776,46.306,50.0491,63.6392,49.0904,48.4881,5.1497,192.3947,8.7796,True
2012-01-12,55.36,55.6,54.81,50.5164169803,1410900.0,0.2599,0.2675,0.5274,48.2719,46.1458,50.398,64.0703,49.6191,48.5899,2.6454,189.7357,8.9786,True
2012-01-13,55.09,55.22,54.14,50.1006628024,1723000.0,0.3233,0.2535,0.5767,48.417,46.2092,50.6249,60.727,49.9316,48.7062,4.0119,145.6177,6.9908,True
2012-01-17,55.5,55.85,55.03,50.4844358897,1426600.0,0.3865,0.2529,0.6394,48.6046,46.3635,50.8456,62.6544,50.3099,48.8396,6.6407,184.3561,8.5853,True
2012-01-18,55.49,56.46,55.27,51.5809304248,1784400.0,0.463,0.3058,0.7688,48.8246,46.3357,51.3135,67.532,50.6206,49.0528,7.9905,220.9711,10.1027,True
2012-01-19,56.53,57.14,56.36,52.1748649647,2034600.0,0.5521,0.3566,0.9087,49.1089,46.4586,51.7593,69.8197,50.9715,49.3013,9.737,256.7236,11.7632,True
2012-01-20,57.16,57.45,56.87,52.1657275103,2059400.0,0.6431,0.3641,1.0072,49.2678,46.3031,52.2324,69.7387,51.3013,49.5954,7.0064,256.5655,12.5123,True
2012-01-23,56.91,57.595,56.57,52.458126053,1843900.0,0.7338,0.3625,1.0963,49.4729,46.234,52.7118,70.8963,51.7728,49.8871,7.2366,241.4857,11.58,True
2012-01-24,57.21,57.6,57.09,52.3850264173,1698400.0,0.8166,0.3312,1.1477,49.6679,46.2272,53.1087,70.1772,52.1529,50.1849,8.261,230.0721,11.5924,True
2012-01-25,57.52,57.67,56.63,52.558638052,1565300.0,0.891,0.2978,1.1888,49.8767,46.2704,53.483,70.9275,52.3485,50.5021,8.1392,215.2241,10.1453,True
2012-01-26,57.76,58.06,57.3,52.5312256886,1512500.0,0.9539,0.2514,1.2053,50.0809,46.3608,53.801,70.6269,52.4197,50.8272,9.0132,218.9085,11.1388,True
2012-01-27,57.36,57.87,57.06,52.4033013262,1467500.0,1.0019,0.1923,1.1942,50.3134,46.6229,54.0038,69.1613,52.4673,51.1292,9.4557,195.8469,10.375,True
2012-01-30,56.77,56.865,56.37,51.6814424239,2311500.0,1.0244,0.0899,1.1144,50.4933,46.906,54.0806,61.4516,52.3119,51.3388,7.7377,147.8239,8.201,True
