date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,34.95,36.47,34.67,34.9829993956,435800.0,-2.3927,0.3403,-2.0524,31.9977,35.6558,39.3139,41.5437,34.3612,34.886,-13.4962,-87.2032,13.0978,True
2012-01-04,35.15,36.1,34.77,35.5771063765,428300.0,-2.2842,0.4339,-1.8503,32.4594,35.4172,38.375,43.7949,34.476,34.7658,-13.8425,-83.4533,13.0978,True
2012-01-05,35.63,38.26,35.55,37.5970701118,684500.0,-2.1293,0.6195,-1.5098,32.768,35.3291,37.8902,50.7099,35.1969,34.845,-6.0643,-64.5307,10.0644,True
2012-01-06,38.01,39.31,37.7,38.3793109701,628000.0,-1.9361,0.7727,-1.1634,32.6484,35.3692,38.09,53.1039,36.0148,35.0932,-4.6337,-49.0851,8.6242,True
2012-01-09,38.77,40.26,38.68,39.0328286491,583200.0,-1.7142,0.8876,-0.8266,32.4204,35.5682,38.716,55.0577,37.1139,35.3738,7.36,-38.2295,7.332,True
2012-01-10,39.56,47.96,39.46,46.964156845,3048400.0,-1.3555,1.4349,0.0793,30.1899,36.042,41.8941,70.8499,39.5101,36.1653,25.8793,23.4816,2.2529,True
2012-01-11,47.11,47.24,45.1,46.360148081,1004800.0,-0.9364,1.6765,0.7401,29.1171,36.491,43.865,68.8752,41.6667,37.0003,24.9075,42.4909,2.2529,True
2012-01-12,47.03,47.5,46.48,46.9245497129,729400.0,-0.4903,1.7846,1.2943,28.3543,37.0168,45.6794,69.7201,43.5322,37.7786,23.6689,53.2832,2.5567,True
2012-01-13,46.27,49.95,46.27,49.0831384104,1261300.0,-0.015,1.901,1.886,27.6901,37.7382,47.7862,72.7514,45.673,38.813,36.1406,72.1721,5.3756,True
2012-01-17,50.12,51.7,49.84,50.2020398912,1203300.0,0.4715,1.9459,2.4173,27.1946,38.507,49.8195,74.1865,47.9068,39.8124,43.7309,97.3817,7.3231,True
2012-01-18,50.84,52.33,50.4,51.4892716833,610900.0,0.9589,1.9498,2.9088,26.8106,39.3269,51.8432,75.7601,48.8118,40.8944,43.1737,105.0327,8.0162,True
2012-01-19,52.07,55.15,51.95,53.0636551828,850400.0,1.4444,1.9418,3.3862,26.6992,40.2884,53.8775,77.5534,50.1525,42.0984,54.4385,125.1198,11.0444,True
2012-01-20,53.41,54.16,52.57,52.6081731641,435500.0,1.8926,1.7928,3.6854,26.7711,41.1563,55.5414,75.8148,51.2893,43.3394,51.4965,120.3154,11.0444,True
2012-01-23,53.74,53.77,50.5,51.4793699003,586700.0,2.2716,1.5161,3.7877,27.4397,42.0519,56.6641,71.5556,51.7685,44.4854,52.2798,105.0352,8.3369,True
2012-01-24,51.68,53.66,50.65,53.0636551828,465400.0,2.6075,1.3436,3.9511,27.9371,42.9445,57.9519,73.7714,52.3408,45.7872,48.314,108.8066,8.3369,True
2012-01-25,53.3,53.67,51.5,51.6972091266,505800.0,2.871,1.0541,3.9251,28.732,43.7664,58.8007,68.8174,52.3824,46.9014,49.457,106.2446,8.348,True
2012-01-26,52.79,54.67,52.79,52.7269945603,422300.0,3.0853,0.8569,3.9421,29.6997,44.6526,59.6055,70.4213,52.3151,48.0448,52.5816,118.7061,9.4694,True
2012-01-27,53.25,53.69,52.63,52.4398428528,198000.0,3.2457,0.6419,3.8877,31.0978,45.5749,60.0521,69.3555,52.2814,49.0343,50.857,113.7918,9.2519,True
2012-01-30,52.41,52.5,50.722,51.0436914476,396500.0,3.3344,0.3548,3.6893,32.7272,46.4126,60.0981,64.2872,52.1943,49.8786,50.0,96.1738,6.6815,True
2012-01-31,52.26,53.02,51.82,52.2715125416,318000.0,3.3855,0.2043,3.5898,34.7997,47.3493,59.899,66.5878,52.0359,50.7612,51.0972,106.2407,7.286,True
2012-02-01,53.13,54.65,52.47,53.3310033243,468400.0,3.4195,0.1359,3.5554,36.8344,48.2667,59.699,68.466,52.3626,51.1856,49.8492,117.2065,9.162,True
2012-02-02,53.7,54.9,53.33,52.9943427017,450000.0,3.4278,0.0333,3.4611,39.1412,49.1376,59.134,67.1803,52.4161,51.6279,52.0776,118.8574,9.4478,True
2012-02-03,54.31,54.52,53.6801,53.7171728619,418700.0,3.4234,-0.0179,3.4055,41.2898,49.9436,58.5974,68.5394,52.6715,52.0807,42.4987,119.8869,9.4478,False
2012-02-06,54.06,56.58,52.98,54.2320655787,882800.0,3.4115,-0.0474,3.3641,43.7144,50.7362,57.7581,69.5032,53.3092,52.424,43.9328,124.5451,11.8121,False
2012-02-07,54.57,54.85,53.39,53.7171728619,324000.0,3.3797,-0.1273,3.2523,46.8301,51.4705,56.1109,67.2943,53.5984,52.6583,36.2394,115.0513,11.8121,False
