date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,35.48,35.6,34.67,34.7,374800.0,-0.6125,-0.0442,-0.6566,37.3882,34.0118,35.7,38.4542,34.834,35.3207,-6.6597,-121.3278,6.9254,False
2012-01-04,34.55,34.88,34.445,34.8,393700.0,-0.618,-0.022,-0.64,37.1416,34.0104,35.576,39.5618,34.728,35.21,-7.6467,-135.2106,7.6166,False
2012-01-05,34.79,35.32,34.46,35.08,342500.0,-0.6139,0.0165,-0.5973,36.8585,34.0815,35.47,42.6577,34.826,35.132,-6.0888,-119.8435,6.0505,True
2012-01-06,35.05,35.05,34.66,34.7,268100.0,-0.6086,0.0211,-0.5874,36.5707,34.1333,35.352,39.7006,34.81,35.086,-5.9818,-124.1519,6.0505,True
2012-01-09,34.77,34.99,34.39,34.67,215600.0,-0.6019,0.0266,-0.5754,36.4734,34.0826,35.278,39.4692,34.79,35.0207,-5.2788,-123.9859,6.9102,True
2012-01-10,34.97,35.3381,34.83,35.13,224000.0,-0.5861,0.0634,-0.5226,36.2659,34.1531,35.2095,44.7596,34.876,34.9987,-3.7895,-98.7982,5.6428,True
2012-01-11,35.05,35.18,34.94,35.02,362000.0,-0.5657,0.0815,-0.4842,36.0262,34.2488,35.1375,43.7792,34.92,35.0,-3.6164,-97.4095,5.6428,True
2012-01-12,35.01,35.44,34.61,35.32,218400.0,-0.5375,0.1129,-0.4246,35.826,34.356,35.091,47.1609,34.968,34.9513,-5.4177,-89.9781,6.7269,True
2012-01-13,35.1,35.28,34.79,35.28,340800.0,-0.5052,0.129,-0.3762,35.8131,34.3579,35.0855,46.7591,35.084,34.9693,-2.0816,-86.8687,6.7269,True
2012-01-17,35.43,35.75,35.24,35.33,254800.0,-0.4702,0.1401,-0.3301,35.7598,34.3792,35.0695,47.3598,35.216,34.992,-0.4178,-69.3836,4.9508,True
