date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,34.44,34.49,33.68,30.0629912486,449500.0,0.3633,-0.0099,0.3732,29.7036,28.8493,30.558,55.8692,30.0577,29.7526,3.3253,113.2007,13.1298,False
2012-01-04,33.52,33.6779,32.96,29.290095197,691300.0,0.2897,-0.0668,0.3565,29.6992,28.8372,30.5612,48.8223,29.8373,29.7408,-0.3315,56.2752,9.3902,False
2012-01-05,32.68,33.02,32.45,29.263443609,619100.0,0.2267,-0.1039,0.3306,29.6854,28.8051,30.5658,48.5959,29.7165,29.758,-1.2855,25.3346,6.8461,False
2012-01-06,33.01,33.14,32.45,28.9525084159,518200.0,0.1499,-0.1446,0.2944,29.6468,28.7107,30.5828,45.9327,29.4855,29.7568,-1.5449,17.0998,7.3616,False
2012-01-09,32.4,33.0,32.11,29.1035340811,695900.0,0.1,-0.1555,0.2555,29.6463,28.7093,30.5834,47.4319,29.3345,29.7485,-0.9901,6.6424,5.6765,False
2012-01-10,33.12,33.14,32.94,29.316746785,385000.0,0.0768,-0.143,0.2198,29.6108,28.6804,30.5412,49.548,29.1853,29.7236,-2.4433,38.0716,6.2924,False
2012-01-11,32.79,33.14,32.61,29.396701549,407000.0,0.0642,-0.1245,0.1887,29.6072,28.6741,30.5404,50.351,29.2066,29.7355,-0.986,29.6358,4.6543,False
2012-01-12,33.04,33.21,32.81,29.4855401756,384600.0,0.0606,-0.1024,0.1631,29.6312,28.7373,30.5251,51.2743,29.251,29.6875,-1.454,38.73,4.9702,False
2012-01-13,32.78,32.95,32.395,29.1301856691,434200.0,0.0288,-0.1074,0.1362,29.6392,28.7665,30.512,47.4896,29.2865,29.6348,0.8879,3.9132,2.9143,False
2012-01-17,33.09,33.5,33.09,29.5033079009,368800.0,0.0333,-0.0823,0.1156,29.653,28.7982,30.5078,51.5157,29.3665,29.5969,1.3616,54.8337,5.4111,False
2012-01-18,33.29,33.88,33.15,29.8764301327,383000.0,0.0662,-0.0395,0.1057,29.6623,28.802,30.5226,55.1963,29.4784,29.5738,0.7134,81.6502,7.09,False
