date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,20.9,21.22,20.71,18.0284989721,7395500.0,-0.4319,0.1992,-0.2327,17.3117,15.0755,19.548,52.2616,17.684,16.9506,-7.0114,-27.7741,3.3579,True
2012-01-04,20.31,20.84,19.67,17.7800073037,9530300.0,-0.3835,0.1938,-0.1897,17.1999,15.3206,19.0792,50.2241,17.6772,17.0031,-12.1046,-52.8972,6.5982,True
2012-01-05,20.48,20.96,20.395,17.6857518433,8608600.0,-0.339,0.1777,-0.1614,17.1108,15.5239,18.6977,49.4407,17.708,17.0974,-10.3507,-43.7051,6.1805,True
2012-01-06,20.66,20.7155,20.37,17.5058096008,7250500.0,-0.3016,0.1499,-0.1517,17.0731,15.5632,18.5829,47.9122,17.6977,17.1859,-8.2167,-50.8523,6.2583,True
2012-01-09,20.35,22.06,20.18,18.4483642048,18248600.0,-0.2547,0.1875,-0.0672,17.1365,15.5118,18.7612,55.6137,17.8897,17.3533,3.6167,-19.7725,1.6465,True
2012-01-10,22.0,22.74,21.23,18.2855593187,23068300.0,-0.2064,0.1932,-0.0132,17.1982,15.4991,18.8973,54.1325,17.9411,17.5241,12.2409,1.2572,0.5731,True
2012-01-11,21.11,21.54,21.0,18.259853284,7751800.0,-0.1597,0.1869,0.0272,17.2616,15.5044,19.0188,53.8897,18.0371,17.7063,8.5139,-19.9769,0.1767,True
2012-01-12,21.25,21.35,20.69,18.2427159276,8186600.0,-0.1163,0.1735,0.0572,17.3601,15.615,19.1053,53.7176,18.1485,17.7949,6.3247,-28.0064,1.1864,True
2012-01-13,20.95,21.13,20.65,18.0370676503,5148400.0,-0.0803,0.1439,0.0636,17.4531,15.7729,19.1333,51.5988,18.2547,17.8863,11.0352,-35.1307,1.3173,True
2012-01-17,21.3,21.58,21.13,18.1998725365,7443600.0,-0.0481,0.129,0.0809,17.5662,16.0093,19.1232,53.1657,18.205,17.9142,12.5136,-19.2439,0.1961,True
