date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,48.72,49.29,47.39,29.7707167792,3310800.0,0.3987,0.3925,-0.0061,29.9476,31.3913,28.5039,51.9571,30.3227,29.7289,2.538,78.1628,10.4805,False
2012-01-04,47.38,47.6399,46.88,29.4257126868,3049000.0,0.3828,0.3193,-0.0635,29.8918,31.3255,28.458,49.5283,30.0806,29.7005,-2.1969,44.1886,9.0191,False
2012-01-05,46.85,47.57,46.75,29.8083535893,3034400.0,0.364,0.2888,-0.0752,29.8407,31.2082,28.4731,52.1845,29.974,29.7293,-3.685,47.5662,8.6466,False
2012-01-06,47.49,48.2,47.165,29.9400824246,2765600.0,0.3456,0.2722,-0.0734,29.7993,31.1005,28.498,53.0949,29.8422,29.7925,-2.0922,61.9252,10.1596,False
2012-01-09,47.98,48.68,47.81,30.2223585003,2976800.0,0.3322,0.2785,-0.0537,29.8033,31.1094,28.4973,55.0597,29.8334,29.8853,-1.2776,80.5208,11.2979,False
2012-01-10,48.73,49.27,48.43,30.4669977659,2331600.0,0.3257,0.2999,-0.0259,29.7898,31.0622,28.5175,56.7422,29.9727,29.9911,0.0203,99.2732,12.6808,False
2012-01-11,48.49,49.75,48.44,30.937457892,2718100.0,0.3307,0.3507,0.02,29.8441,31.2115,28.4768,59.8402,30.2751,30.1638,2.5987,113.2953,13.7927,True
2012-01-12,49.39,49.53,48.73,30.6112722045,2937300.0,0.3367,0.3605,0.0238,29.9059,31.2945,28.5173,56.8174,30.4356,30.2052,2.6741,105.1925,13.7927,True
2012-01-13,48.55,48.78,47.69,30.0467200532,2309900.0,0.3332,0.319,-0.0141,29.9586,31.2831,28.6341,51.9511,30.457,30.2466,3.8093,66.4637,10.6358,False
2012-01-17,48.49,49.0,48.42,30.4387701583,2698000.0,0.3294,0.3142,-0.0152,30.039,31.2718,28.8063,54.8296,30.5002,30.2627,2.4462,87.1985,11.166,False
2012-01-18,48.92,50.275,48.7,31.3765540096,4924800.0,0.3398,0.3816,0.0418,30.1639,31.4075,28.9203,60.8419,30.6822,30.3259,7.6322,130.6725,14.1672,True
2012-01-19,50.02,51.45,50.02,32.0101069795,4331500.0,0.368,0.4806,0.1127,30.347,31.5444,29.1497,64.2831,30.8967,30.4174,10.5026,179.4162,16.8015,True
2012-01-20,51.79,52.0,50.82,32.3049286585,4628000.0,0.4096,0.5763,0.1666,30.4628,31.9192,29.0063,65.7823,31.2354,30.5483,8.5595,199.5737,17.9994,True
2012-01-23,51.31,51.5,50.55,31.7215581021,2917400.0,0.4473,0.5981,0.1508,30.5776,32.0508,29.1043,60.4067,31.5704,30.6232,7.7181,168.0927,17.1573,True
2012-01-24,50.77,51.33,50.31,32.1543814181,3203600.0,0.4864,0.6429,0.1564,30.6754,32.288,29.0628,62.8218,31.9135,30.7491,6.3173,166.017,16.4063,True
2012-01-25,50.98,51.5,50.5299,32.1418358148,2683700.0,0.5231,0.6697,0.1466,30.761,32.4899,29.0321,62.703,32.0666,30.9071,5.8799,162.54,16.7905,True
2012-01-26,51.26,52.11,50.03,31.52710125,3878300.0,0.5453,0.634,0.0887,30.8056,32.565,29.0462,57.0408,31.97,31.0472,5.8071,143.0452,18.1631,True
2012-01-27,51.45,53.05,50.91,32.825571198,6841800.0,0.5767,0.7024,0.1257,30.9298,32.8809,28.9787,64.3304,32.0741,31.2484,7.9349,186.2854,20.2253,True
2012-01-30,51.51,51.95,50.875,32.0351981862,4263100.0,0.5983,0.6849,0.0866,31.0016,33.0037,28.9994,57.9206,32.1368,31.3881,6.346,148.6469,20.1107,True
2012-01-31,51.75,51.78,50.5,32.0602893929,3991700.0,0.6117,0.6654,0.0537,31.0913,33.1143,29.0683,58.0627,32.118,31.5106,5.5012,137.3409,18.876,True
2012-02-01,51.81,52.15,51.21,32.4272482913,2548100.0,0.6238,0.6718,0.0481,31.2241,33.2316,29.2166,60.1707,32.1751,31.6413,5.8024,152.7924,19.7042,True
2012-02-02,51.81,51.99,51.475,32.3237470635,1869900.0,0.6312,0.6609,0.0297,31.369,33.2508,29.4873,59.2704,32.3344,31.7337,9.1312,145.4291,19.7042,True
2012-02-03,52.12,52.29,51.72,32.6060231392,2695500.0,0.6384,0.6674,0.029,31.5089,33.3204,29.6974,60.9766,32.2905,31.8667,9.9222,151.1871,20.3858,True
2012-02-06,51.65,51.69,50.78,31.8846509458,2623000.0,0.6322,0.6073,-0.0249,31.6061,33.2734,29.9389,54.7022,32.2604,31.9892,7.2407,113.2325,17.2154,False
2012-02-07,50.66,51.19,50.39,32.0508801904,2887500.0,0.6191,0.5666,-0.0525,31.6976,33.2477,30.1474,55.8245,32.2585,32.0967,5.1561,102.3084,15.9273,False
2012-02-08,50.96,51.72,50.94,32.1920182282,1979400.0,0.6031,0.5394,-0.0637,31.7838,33.2396,30.328,56.7982,32.2115,32.151,4.9726,114.0937,17.1851,False
2012-02-09,51.5,51.5,50.55,31.8470141357,1943300.0,0.5794,0.4845,-0.0949,31.8293,33.2323,30.4263,53.6983,32.1161,32.1402,3.5176,96.3506,15.8877,False
2012-02-10,50.13,50.35,49.21,30.9939131071,2910700.0,0.5371,0.3679,-0.1692,31.8484,33.1938,30.5031,46.9146,31.7937,32.0528,1.6556,49.4087,11.5718,False
2012-02-13,49.76,50.1,48.44,30.8120018583,3265700.0,0.4813,0.2579,-0.2234,31.8867,33.057,30.7164,45.5985,31.5792,31.9921,2.706,33.2478,9.1953,False
