date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,37.72,37.79,36.7,32.9411193989,2728700.0,-1.0179,-0.0094,-1.0273,34.6285,29.652,39.605,40.549,33.081,33.4449,-11.561,-104.2075,11.4987,False
2012-01-04,36.67,36.92,36.15,32.8514836999,2827500.0,-1.0139,0.0159,-0.998,34.3506,29.6358,39.0655,40.1459,32.9985,33.1192,-15.4568,-112.1523,12.6094,True
2012-01-05,36.9,37.44,36.745,33.496860733,3585600.0,-0.9936,0.0814,-0.9122,34.1046,29.7658,38.4433,44.4092,33.1365,32.9513,-13.931,-91.7371,11.2668,True
2012-01-06,37.43,37.94,37.1,33.9181485185,3353700.0,-0.9551,0.1541,-0.8009,33.8783,30.0235,37.7331,47.0471,33.2781,32.8533,-12.399,-77.0552,9.9846,True
2012-01-09,37.96,39.01,37.88,34.6979791002,4424700.0,-0.8925,0.2501,-0.6424,33.7425,30.2183,37.2667,51.602,33.5811,33.0051,-9.8452,-51.7536,7.2939,True
2012-01-10,39.05,39.49,38.69,34.9579226274,4263600.0,-0.8121,0.3219,-0.4902,33.5798,30.6447,36.5149,53.0445,33.9845,33.1891,-7.9702,-36.5688,6.1096,True
2012-01-11,38.87,39.99,38.78,35.7556803489,5039200.0,-0.71,0.4083,-0.3017,33.4807,31.0177,35.9437,57.2356,34.5653,33.4897,-5.5726,-22.3958,4.8832,True
2012-01-12,40.0,40.0,39.28,35.746716779,3463200.0,-0.5982,0.447,-0.1513,33.4673,31.0574,35.8772,57.1741,35.0153,33.7186,-6.015,-16.8212,4.8586,True
2012-01-13,39.72,39.73,38.48,34.5097441322,4124300.0,-0.5047,0.3743,-0.1304,33.4234,31.1257,35.721,49.3432,35.1336,33.8255,-1.9255,-36.7209,6.6435,True
2012-01-17,39.46,40.49,39.01,35.9170246072,6079200.0,-0.4038,0.4035,-0.0003,33.5981,31.1082,36.0881,56.5906,35.3774,34.0239,4.9236,-10.2956,4.745,True
2012-01-18,40.43,41.685,40.33,37.3243050822,6447800.0,-0.2802,0.4942,0.2139,33.8545,30.9699,36.7392,62.3603,35.8507,34.3054,14.2368,25.4879,1.8459,True
2012-01-19,41.69,43.06,41.61,37.9338278357,6746900.0,-0.1386,0.5666,0.4279,34.1888,31.0516,37.3261,64.547,36.2863,34.6167,19.2798,54.0284,1.3491,True
2012-01-20,42.41,42.66,42.06,37.8531557066,4432900.0,0.006,0.5783,0.5843,34.4658,31.072,37.8596,64.0196,36.7076,34.9531,16.9729,53.3653,1.3491,True
2012-01-23,42.43,42.44,41.59,37.7724835774,3278000.0,0.1435,0.5502,0.6937,34.7092,31.1063,38.312,63.464,37.3602,35.2573,15.4516,46.9038,0.2375,True
2012-01-24,42.3,43.42,42.22,38.8570755359,5652900.0,0.2864,0.5716,0.8581,35.005,31.0748,38.9352,67.524,37.9482,35.6356,17.0035,70.8822,2.505,True
2012-01-25,43.12,43.7046,42.49,39.036346934,6517900.0,0.4274,0.5639,0.9913,35.3017,31.104,39.4994,68.1508,38.2906,36.0419,18.0567,77.9658,3.155,True
2012-01-26,43.2,44.47,42.08,37.906937126,7867600.0,0.5408,0.4536,0.9944,35.5338,31.2992,39.7685,60.2959,38.2852,36.3789,17.4591,70.8994,4.8895,True
2012-01-27,42.34,43.28,42.095,38.6329862883,5268600.0,0.6413,0.402,1.0433,35.8251,31.5794,40.0709,63.216,38.4412,36.7214,15.97,67.953,4.8895,True
2012-01-30,42.75,42.85,42.14,38.0682813843,3188700.0,0.718,0.3067,1.0247,36.0681,31.8933,40.2428,59.5653,38.5003,36.998,15.3432,58.6971,4.8895,True
2012-01-31,42.72,43.1,42.26,38.1758442231,3570300.0,0.7758,0.2313,1.0071,36.3177,32.2676,40.3678,60.0363,38.3641,37.2299,14.964,62.9031,5.471,True
2012-02-01,43.14,44.13,42.96,39.41281687,5232600.0,0.8367,0.2437,1.0804,36.6413,32.689,40.5935,65.0522,38.4394,37.5269,16.7769,89.9878,7.8323,True
2012-02-02,43.98,44.655,43.75,39.8968496448,4061300.0,0.9022,0.262,1.1642,36.9935,33.2026,40.7845,66.7993,38.8374,37.803,20.9507,105.6677,9.0104,True
2012-02-03,44.61,45.04,44.07,39.6100154078,5039400.0,0.9605,0.2332,1.1937,37.2992,33.7046,40.8938,64.7443,39.0328,38.0605,20.2991,107.8001,9.8696,True
2012-02-06,43.88,43.96,42.93,38.749512697,3242700.0,0.9953,0.1392,1.1346,37.5408,34.2511,40.8305,58.9182,39.169,38.3432,15.8672,80.1997,6.8319,True
2012-02-07,43.19,43.48,42.92,38.8839662456,2425800.0,1.0135,0.0726,1.086,37.7501,34.6855,40.8146,59.5279,39.3106,38.541,11.4586,76.1412,6.8056,True
2012-02-08,43.33,43.95,43.295,39.0990919233,2377900.0,1.0213,0.0314,1.0528,37.9571,35.1243,40.7899,60.532,39.2479,38.6593,11.294,84.2737,7.8911,True
2012-02-09,43.81,43.91,42.93,38.6419498582,3142700.0,1.0127,-0.0345,0.9783,38.1014,35.4433,40.7596,57.2955,38.9969,38.7065,9.8025,77.1761,6.9077,False
2012-02-10,42.6,42.71,42.0932,37.9427914056,1808800.0,0.9808,-0.1278,0.853,38.2113,35.7794,40.6431,52.6799,38.6635,38.7125,6.775,54.5218,4.683,False
2012-02-13,42.62,42.7497,41.65,37.9696821153,1668800.0,0.9341,-0.1868,0.7472,38.3842,36.6334,40.1351,52.8365,38.5075,38.7256,7.6006,53.305,3.5226,False
2012-02-14,42.24,42.53,41.55,37.5663214696,2630100.0,0.872,-0.2483,0.6237,38.4667,37.0686,39.8648,50.1688,38.244,38.6396,5.0383,48.1687,3.26,False
2012-02-15,42.2,42.5375,41.62,37.4229043512,2162100.0,0.7993,-0.2909,0.5083,38.4716,37.0891,39.8542,49.222,37.9087,38.532,2.0451,47.6296,3.2787,False
2012-02-16,41.82,43.01,41.76,38.4985327397,2092700.0,0.739,-0.241,0.498,38.4999,37.1395,39.8602,55.9083,37.88,38.5714,-0.1161,62.6961,4.4628,False
2012-02-17,43.22,43.32,41.91,37.629066459,2701800.0,0.6742,-0.2593,0.4148,38.4887,37.1037,39.8736,50.1851,37.8173,38.5045,1.5471,56.3278,5.2369,False
2012-02-21,41.2,41.3,40.31,36.3741666723,4053700.0,0.5883,-0.3434,0.2449,38.4188,36.7786,40.0589,43.3265,37.4982,38.3916,-2.6861,10.4799,0.9442,False
2012-02-22,40.54,40.95,40.0,36.2666038335,2136700.0,0.4907,-0.3904,0.1003,38.2892,36.4155,40.163,42.7894,37.2383,38.2643,-5.6886,2.0369,0.1393,False
2012-02-23,40.334,40.66,39.93,36.3024581131,2228600.0,0.3903,-0.4015,-0.0112,38.1525,36.1242,40.1808,43.0416,37.0142,38.0569,-6.9663,-2.5265,0.0437,False
2012-02-24,40.75,41.08,40.31,36.3562395325,2627200.0,0.2934,-0.3876,-0.0942,38.075,35.9017,40.2483,43.4422,36.5857,37.8209,-7.6231,4.3658,1.0596,False
2012-02-27,40.35,40.92,39.905,36.4369116617,2586600.0,0.2044,-0.3561,-0.1517,37.9652,35.696,40.2344,44.0744,36.3473,37.6093,-5.4529,-1.5936,0.0216,False
2012-02-28,40.52,42.17,40.5,37.7635200075,4561500.0,0.1457,-0.2348,-0.0891,37.95,35.6796,40.2203,53.2761,36.6251,37.5436,-1.5869,30.5958,3.2281,False
2012-02-29,42.14,42.19,41.54,37.3780865016,4318400.0,0.1026,-0.1725,-0.0699,37.9101,35.629,40.1912,50.6803,36.8474,37.4432,-2.1114,36.5662,3.2792,False
2012-03-01,41.76,42.15,41.47,37.4139407813,4453500.0,0.0718,-0.123,-0.0512,37.8101,35.6282,39.9921,50.9187,37.0697,37.3309,-4.4867,36.1684,3.0853,False
2012-03-02,41.81,41.92,40.89,36.7864908879,3545800.0,0.0403,-0.1262,-0.086,37.6546,35.6539,39.6553,46.6881,37.1558,37.2072,-6.1247,22.2751,1.4802,False
2012-03-05,40.96,40.96,39.37,35.4061011227,7152100.0,-0.0122,-0.2101,-0.2223,37.4444,35.4263,39.4625,39.0421,36.9496,37.0381,-9.0586,-16.679,2.5631,False
2012-03-06,39.2,39.6089,38.62,35.4419554023,5726100.0,-0.0746,-0.2493,-0.3238,37.279,35.1756,39.3825,39.3187,36.4853,36.8696,-9.8979,-35.9036,4.4729,False
2012-03-07,39.77,40.56,39.57,36.0873324354,3688400.0,-0.1293,-0.2189,-0.3481,37.1392,35.1106,39.1678,44.2009,36.2272,36.771,-6.7157,-8.2782,1.8972,False
2012-03-08,40.5,41.2,40.47,36.8402723074,2183500.0,-0.1641,-0.1391,-0.3032,37.0263,35.2059,38.8467,49.2999,36.1124,36.7321,-6.2571,16.9548,0.2066,False
2012-03-09,41.07,41.9998,41.07,37.6021757492,2568500.0,-0.172,-0.0317,-0.2037,36.9743,35.2869,38.6617,53.8702,36.2756,36.6724,-4.3503,40.4307,1.8627,False
2012-03-12,41.85,41.89,41.37,37.3960136414,1817600.0,-0.1656,0.0257,-0.1399,36.9469,35.3061,38.5877,52.4982,36.6735,36.6568,-1.9199,39.4509,1.8627,True
2012-03-13,41.99,42.95,41.91,38.4895691698,3565500.0,-0.1327,0.1316,-0.0011,36.9729,35.2535,38.6923,58.5044,37.2831,36.7978,0.4685,66.5035,4.564,True
2012-03-14,42.8,43.25,42.38,38.1668806532,3242500.0,-0.0897,0.1717,0.082,37.003,35.2233,38.7827,56.2555,37.699,36.9245,1.6929,68.8873,5.3141,True
2012-03-15,42.76,43.405,42.65,38.8122576864,3256200.0,-0.0323,0.2298,0.1976,37.0724,35.1314,39.0134,59.5845,38.0934,37.0918,2.0394,79.0349,5.7035,True
2012-03-16,43.37,43.62,42.98,38.7943305465,3186900.0,0.0311,0.2534,0.2845,37.0872,35.099,39.0754,59.4499,38.3318,37.2544,1.4183,82.9956,6.2474,True
2012-03-19,43.23,43.85,43.08,39.0632376437,2471900.0,0.099,0.2717,0.3707,37.1589,35.0015,39.3164,60.8709,38.6653,37.4295,1.2235,88.2377,6.832,True
2012-03-20,43.22,44.16,43.03,39.5114161389,3813600.0,0.1732,0.2967,0.4699,37.3158,34.9621,39.6695,63.1754,38.8696,37.546,6.9249,95.0964,7.6216,True
2012-03-21,44.08,44.5,43.6618,39.2156183321,2922600.0,0.2423,0.2763,0.5186,37.4632,35.0231,39.9034,60.6496,39.0794,37.6685,8.6691,100.7965,8.4867,True
2012-03-22,43.48,43.8,43.18,38.9467112349,2834300.0,0.2997,0.2297,0.5294,37.5955,35.1347,40.0562,58.3762,39.1063,37.7707,7.7226,81.7219,7.0422,True
2012-03-23,43.68,43.84,43.25,39.2783633214,2752600.0,0.3514,0.2069,0.5583,37.7416,35.2457,40.2374,60.3406,39.2031,37.9368,6.7186,86.0659,7.1466,True
2012-03-26,44.11,44.62,43.97,39.880715219,2642000.0,0.4056,0.217,0.6226,37.9137,35.3282,40.4993,63.6765,39.3666,38.2351,9.042,112.4183,9.1692,True
2012-03-27,44.56,45.29,44.32,40.255392441,4227400.0,0.4637,0.2321,0.6958,38.0383,35.2607,40.816,65.6046,39.5154,38.556,7.3986,130.2688,10.8652,True
2012-03-28,44.8,45.28,43.742,39.3321447408,3999000.0,0.5053,0.1663,0.6716,38.136,35.3209,40.9511,57.5407,39.5387,38.7723,7.324,107.1988,9.0783,True
2012-03-29,43.67,44.36,43.5,39.6458696875,1834700.0,0.5382,0.1318,0.6699,38.2476,35.3794,41.1158,59.3594,39.6785,38.9594,5.2432,94.665,8.3349,True
2012-03-30,44.55,44.955,44.01,39.9954489137,2744400.0,0.5683,0.1206,0.6889,38.4081,35.5258,41.2904,61.3366,39.8219,39.1189,7.24,115.9495,9.8708,True
2012-04-02,44.38,44.55,43.74,39.592088268,2230600.0,0.5874,0.0764,0.6638,38.6174,36.0463,41.1885,57.8568,39.7642,39.2653,8.7646,97.5685,9.0278,True
2012-04-03,43.94,44.45,43.35,39.0453105039,2366800.0,0.5885,0.0044,0.5929,38.7976,36.6761,40.919,53.4524,39.5222,39.3024,12.2223,78.7141,7.8126,True
2012-04-04,43.04,43.15,42.2799,38.0324271047,3933000.0,0.5608,-0.111,0.4498,38.8948,37.1311,40.6585,46.4362,39.2622,39.2934,6.3856,17.6081,4.5607,False
2012-04-05,42.25,42.77,42.25,38.0772449542,2318200.0,0.5158,-0.1797,0.3361,38.9567,37.4124,40.5009,46.7675,38.9485,39.2444,3.8107,8.6449,4.4712,False
2012-04-09,41.99,42.19,41.56,37.6111393192,1882700.0,0.4539,-0.2478,0.2061,38.9571,37.4144,40.4998,43.7525,38.4716,39.1655,0.4529,-27.691,2.413,False
2012-04-10,41.96,42.31,41.23,37.1181429744,2894000.0,0.3756,-0.3131,0.0625,38.9432,37.3407,40.5458,40.7736,37.9769,39.0359,1.0026,-45.5322,1.4411,False
2012-04-11,41.93,42.84,41.615,38.1758442231,3292200.0,0.3072,-0.2736,0.0337,38.9275,37.3016,40.5535,48.7885,37.803,38.9468,-0.2561,-7.8485,2.9455,False
2012-04-12,42.61,43.57,42.19,38.9198205252,3309100.0,0.2598,-0.1897,0.07,38.9652,37.377,40.5534,53.528,37.9804,38.9271,0.7399,34.7706,4.9772,False
2012-04-13,43.2,43.32,42.15,37.8083378571,2599700.0,0.2096,-0.2006,0.0091,38.915,37.2491,40.5809,46.6215,37.9267,38.8512,-0.1958,0.0873,4.8549,False
2012-04-16,42.55,42.6,41.91,37.7814471473,2003000.0,0.1595,-0.2005,-0.0409,38.8643,37.1268,40.6019,46.4661,37.9607,38.7514,-2.3384,-21.7478,4.1147,False
2012-04-17,42.24,43.14,42.24,38.3461520513,1912000.0,0.1207,-0.1553,-0.0346,38.8285,37.0793,40.5777,50.2011,38.2063,38.6491,-1.6192,11.0895,5.6388,False
2012-04-18,41.81,42.16,41.1,37.6828478784,3470600.0,0.0801,-0.1623,-0.0822,38.7371,36.9494,40.5247,46.149,38.1077,38.4776,-4.529,-51.8452,2.1528,False
2012-04-19,41.73,42.59,41.3,37.1450336841,2708600.0,0.0318,-0.1932,-0.1614,38.6335,36.7325,40.5345,43.125,37.7528,38.3318,-4.2921,-49.5017,3.3759,False
