date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,378.37,378.64,365.61,34.9323811272,1470800.0,0.3568,-0.0436,0.3132,35.1446,34.0389,36.2502,50.6331,35.4282,35.0675,-1.6494,64.922,7.6129,False
2012-01-04,364.97,366.74,352.57,33.78304633,2284100.0,0.3202,-0.1466,0.1736,35.0659,33.8171,36.3147,43.2802,35.0773,34.9725,-4.3329,4.864,2.5395,False
2012-01-05,353.8,355.63,350.54,33.4331250922,1475700.0,0.263,-0.2286,0.0344,34.977,33.5428,36.4113,41.3227,34.6748,34.869,-5.1199,-26.0158,1.8354,False
2012-01-06,353.36,354.0,341.78,32.5328091048,2088700.0,0.1811,-0.328,-0.1469,34.8287,33.0654,36.592,36.7417,34.0071,34.7548,-5.5548,-63.6529,1.3741,False
2012-01-09,344.87,347.819,342.09,32.8079320093,1148600.0,0.0918,-0.3571,-0.2653,34.718,32.7509,36.6851,38.9573,33.4979,34.6711,-7.972,-71.8751,1.3741,False
2012-01-10,348.75,351.28,345.24,33.0934906101,1025200.0,0.007,-0.3393,-0.3323,34.5832,32.5597,36.6067,41.2458,33.1301,34.5878,-7.3479,-57.0686,0.0853,False
2012-01-11,339.98,345.56,339.05,32.3952476526,1435300.0,-0.0818,-0.3549,-0.4367,34.4425,32.2301,36.6549,37.5571,32.8525,34.4795,-7.8871,-93.1236,2.3435,False
2012-01-12,341.5,344.85,339.56,32.5688596923,1326200.0,-0.1654,-0.3343,-0.4997,34.3216,31.9809,36.6624,39.0102,32.6797,34.2869,-7.9886,-91.4667,2.3435,False
2012-01-13,341.59,345.97,337.32,32.1685084313,1254500.0,-0.2473,-0.3279,-0.5752,34.2178,31.6955,36.7401,36.8892,32.6068,34.0659,-5.7107,-102.4033,3.1626,False
2012-01-17,341.07,347.0,340.51,32.8221625043,1111800.0,-0.313,-0.2627,-0.5757,34.1557,31.5612,36.7503,42.3704,32.6097,33.907,-5.6561,-85.0388,2.7596,False
2012-01-18,345.99,354.51,345.67,33.4302789932,1244000.0,-0.3546,-0.1664,-0.5211,34.1101,31.4983,36.7219,46.962,32.677,33.7451,-3.0849,-52.6338,0.1334,False
