date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,36.46,36.88,35.7,28.2553598452,3092000.0,0.4181,0.1111,0.307,29.4639,26.2638,27.8638,53.5441,28.799,27.9662,4.1808,88.8775,5.4797,True
2012-01-04,35.68,35.88,35.46,28.3027681671,1417800.0,0.3849,0.0623,0.3226,29.5054,26.2942,27.8998,53.9294,28.6568,28.0267,1.4132,60.3208,4.5272,True
2012-01-05,36.07,36.15,35.25,28.5398097765,2052800.0,0.3734,0.0406,0.3327,29.5696,26.3264,27.948,55.8892,28.6299,28.1395,3.109,66.004,5.5035,True
2012-01-06,36.06,36.17,35.47,28.1447404275,1613800.0,0.3286,-0.0033,0.3319,29.589,26.3473,27.9681,51.9434,28.4371,28.2411,2.2185,58.0903,5.5762,False
2012-01-09,36.17,36.37,35.88,28.4291903588,1381400.0,0.3125,-0.0156,0.328,29.6298,26.4116,28.0207,54.4255,28.3344,28.356,3.2359,76.9304,6.3096,False
2012-01-10,36.14,36.21,35.73,28.4370917458,1576700.0,0.2969,-0.0249,0.3218,29.6679,26.4667,28.0673,54.4955,28.3707,28.4355,3.4571,67.933,5.6835,False
2012-01-11,36.05,36.05,35.57,28.2869653931,1233400.0,0.2693,-0.042,0.3113,29.6845,26.5394,28.1119,52.8444,28.3676,28.5298,3.8306,54.8848,5.0127,False
2012-01-12,35.92,35.98,35.61,28.2474584582,1811300.0,0.2415,-0.0558,0.2974,29.644,26.7197,28.1819,52.3967,28.3091,28.5324,2.8294,51.1464,5.0127,False
2012-01-13,35.58,35.84,35.26,28.1368390405,1814600.0,0.2082,-0.0714,0.2795,29.5334,26.9821,28.2577,51.0983,28.3075,28.5409,5.1335,35.0934,3.5261,False
2012-01-17,36.03,36.37,35.8,28.5793167114,2072600.0,0.215,-0.0517,0.2666,29.4152,27.2875,28.3514,55.7933,28.3375,28.5345,6.4073,70.2333,5.5844,False
2012-01-18,37.37,38.385,37.25,30.1991010426,6061700.0,0.347,0.0643,0.2827,29.7165,27.2817,28.4991,67.8863,28.6899,28.6199,10.1593,192.2278,12.7789,True
2012-01-19,38.45,38.45,37.82,29.9304538852,5960200.0,0.4251,0.1139,0.3112,29.7786,27.5254,28.652,64.7393,29.0186,28.681,9.8571,191.8071,12.9964,True
2012-01-20,37.94,38.0,37.25,29.5274831492,3085600.0,0.4493,0.1105,0.3388,29.8866,27.5494,28.718,60.2504,29.2746,28.7379,6.2046,150.6298,10.5384,True
2012-01-23,37.32,37.685,37.086,29.3694554096,1841500.0,0.4505,0.0894,0.3612,29.94,27.6319,28.7859,58.5448,29.5212,28.7553,4.8261,130.4332,9.8393,True
2012-01-24,36.96,37.495,36.72,29.4800748273,1315800.0,0.4552,0.0752,0.38,30.0176,27.6349,28.8262,59.4067,29.7013,28.7911,2.8952,116.5069,8.285,True
2012-01-25,37.33,37.41,36.47,29.0692027043,2357200.0,0.4209,0.0327,0.3881,30.0292,27.6383,28.8337,54.8672,29.4753,28.8453,1.9346,94.8603,7.2309,True
2012-01-26,37.43,37.87,36.8,29.3378498616,2244200.0,0.4106,0.018,0.3926,30.0634,27.6365,28.8499,57.1605,29.3568,28.9143,2.4899,115.8778,8.8904,True
2012-01-27,36.5,37.15,36.5,29.0652520108,1428300.0,0.3762,-0.0132,0.3893,30.0836,27.6554,28.8695,54.1681,29.2644,28.9494,1.006,84.3267,7.6137,False
2012-01-30,36.48,37.03,36.18,29.1324138001,1647800.0,0.3502,-0.0313,0.3815,30.0857,27.6556,28.8707,54.7929,29.217,29.0152,0.434,74.4468,6.2622,False
2012-01-31,37.19,37.37,36.61,29.1561179611,1512300.0,0.3278,-0.043,0.3708,30.1025,27.6602,28.8813,55.0247,29.1522,29.0637,1.0273,88.5811,7.5171,False
2012-02-01,37.4,37.6599,36.98,29.6776095018,1771600.0,0.3481,-0.0181,0.3663,30.1851,27.7198,28.9525,59.8748,29.2738,29.1464,2.1147,112.1043,8.5785,False
2012-02-02,37.53,38.32,37.53,29.7803275326,2455100.0,0.3683,0.0016,0.3667,30.2714,27.7813,29.0263,60.7677,29.3623,29.2459,6.8004,137.0883,10.9449,True
2012-02-03,38.28,38.875,37.935,30.3571287822,2223000.0,0.4259,0.0474,0.3785,30.4678,27.7667,29.1172,65.3999,29.6207,29.3866,7.538,164.1561,12.8733,True
2012-02-06,38.05,38.26,37.79,30.041073303,1722300.0,0.4409,0.0499,0.391,30.5423,27.8818,29.212,61.1604,29.8025,29.5135,5.7783,136.46,12.2276,True
2012-02-07,37.84,37.87,37.23,29.4721734403,2785900.0,0.4023,0.0091,0.3932,30.5486,27.9798,29.2642,54.3639,29.8657,29.573,4.1243,100.2639,9.7617,True
2012-02-08,37.18,37.42,36.92,29.4563706664,2625200.0,0.3662,-0.0216,0.3878,30.5439,28.0864,29.3151,54.1847,29.8214,29.5235,3.3416,82.5434,8.4206,False
2012-02-09,37.34,37.5,36.985,29.4958776013,1972800.0,0.3369,-0.0407,0.3777,30.5115,28.2396,29.3756,54.5857,29.7645,29.4946,4.0222,84.1461,8.7133,False
2012-02-10,37.07,37.07,36.53,28.9901888345,1395600.0,0.2698,-0.0863,0.3561,30.4423,28.3831,29.4127,48.7358,29.4911,29.4587,3.0295,54.7936,6.74,False
2012-02-13,37.06,37.06,36.35,28.9585832865,3385900.0,0.2116,-0.1156,0.3272,30.3307,28.5769,29.4538,48.3885,29.2746,29.4313,3.404,50.0531,5.9661,False
2012-02-14,36.43,36.94,36.28,29.187723509,3904700.0,0.1818,-0.1163,0.2981,30.2757,28.6927,29.4842,51.0953,29.2177,29.4119,1.5672,51.4218,5.6632,False
2012-02-15,37.16,37.4,36.68,28.9980902215,1857300.0,0.1414,-0.1254,0.2668,30.1706,28.6778,29.4242,48.8248,29.1261,29.4071,-2.5661,60.91,7.4318,False
2012-02-16,36.38,37.36,36.38,29.6136082673,1786200.0,0.1571,-0.0877,0.2448,30.1239,28.6928,29.4083,55.6748,29.1496,29.4255,-1.9216,79.0222,8.6103,False
2012-02-17,37.16,37.38,36.89,29.6455108886,1446800.0,0.1702,-0.0597,0.2299,30.1355,28.6929,29.4142,56.0018,29.2807,29.4642,-0.707,86.9776,8.6871,False
2012-02-21,37.29,37.325,36.46,29.2148255004,1135900.0,0.1442,-0.0686,0.2128,30.1329,28.6801,29.4065,50.6015,29.332,29.4697,-0.0243,66.1705,6.7284,False
2012-02-22,36.49,36.7999,36.21,28.9516288743,1098900.0,0.1012,-0.0893,0.1905,30.1318,28.6284,29.3801,47.5963,29.2847,29.456,-0.9313,43.2505,5.6032,False
2012-02-23,36.23,36.59,36.0,28.967580185,1336000.0,0.0676,-0.0983,0.1659,30.1364,28.6136,29.375,47.7976,29.2786,29.4087,-1.2726,32.951,4.6606,False
2012-02-24,36.38,36.48,36.18,29.0074584617,1105200.0,0.0437,-0.0978,0.1414,30.1365,28.5804,29.3585,48.3293,29.1574,29.3572,-2.765,33.1097,4.6606,False
2012-02-27,36.12,36.55,35.81,28.9835314957,2413900.0,0.0225,-0.0951,0.1177,30.1394,28.5694,29.3544,48.0149,29.025,29.2656,-0.6903,23.2878,2.9857,False
