date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,15.45,15.53,15.11,13.4831190819,238100.0,0.6222,0.0404,0.6626,12.7229,14.1154,11.3304,63.7619,13.5239,12.8965,22.8639,158.6793,15.7948,True
2012-01-04,15.08,15.3,14.58,13.1815229972,232700.0,0.6215,-0.003,0.6185,12.7974,14.1188,11.476,59.4192,13.398,12.9757,15.2108,129.2652,11.9455,False
2012-01-05,14.81,15.32,14.68,13.4831190819,244500.0,0.6174,-0.0164,0.601,12.8706,14.1736,11.5677,62.1791,13.4193,13.0668,12.5643,131.3702,12.0577,False
2012-01-06,15.16,15.34,15.07,13.4831190819,139900.0,0.61,-0.0296,0.5804,12.919,14.2374,11.6005,62.1791,13.3997,13.1756,8.3333,132.5126,12.1715,False
2012-01-09,15.27,15.68,15.22,13.8379380052,307500.0,0.6052,-0.0193,0.5859,12.9895,14.3456,11.6334,65.3607,13.4938,13.3039,8.1379,141.89,14.0933,False
2012-01-10,15.8,15.8,15.51,13.8645494244,178600.0,0.6013,-0.0156,0.5857,13.0649,14.4394,11.6904,65.5933,13.57,13.3867,11.5032,142.3734,14.7627,False
2012-01-11,15.5,15.71,15.5,13.8822903706,189000.0,0.5971,-0.0168,0.5803,13.1593,14.485,11.8337,65.7575,13.7102,13.5015,12.2945,133.8137,14.687,False
2012-01-12,15.72,15.72,15.52,13.8822903706,215500.0,0.5915,-0.0221,0.5694,13.2476,14.5178,11.9774,65.7575,13.79,13.5671,13.1749,128.1642,14.7442,False
2012-01-13,15.5,15.59,15.15,13.5274714473,168000.0,0.5785,-0.0523,0.5261,13.3314,14.4318,12.231,59.263,13.7989,13.6067,13.8787,108.0353,11.9198,False
2012-01-17,15.39,15.65,15.12,13.5718238127,214100.0,0.5607,-0.071,0.4897,13.4144,14.3046,12.5241,59.7948,13.7457,13.6073,13.984,105.2371,12.2759,False
2012-01-18,15.45,16.73,15.24,14.6362805824,603500.0,0.5567,-0.0161,0.5405,13.5151,14.477,12.5531,69.8994,13.9,13.6647,17.3212,140.0786,18.3205,False
2012-01-19,16.55,16.8,16.42,14.8580424094,256400.0,0.5637,0.0282,0.5919,13.6499,14.5701,12.7297,71.4983,14.0952,13.7344,15.942,157.9074,18.6897,True
2012-01-20,16.71,17.66,16.63,15.6031621481,401900.0,0.5879,0.0969,0.6848,13.7852,14.9783,12.5921,76.0737,14.4394,13.8829,21.3746,179.1416,23.0372,True
2012-01-23,17.6,17.65,17.06,15.1862499133,247200.0,0.6137,0.1029,0.7166,13.8978,15.1707,12.625,69.3953,14.7711,13.9899,20.3956,169.1072,23.0372,True
2012-01-24,17.06,17.41,16.98,15.1418975479,229900.0,0.6369,0.0929,0.7297,13.9768,15.3487,12.6048,68.7078,15.0851,14.1082,13.5682,155.2827,22.4075,True
