date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,26.55,26.96,26.39,21.7940378288,64731500.0,0.1192,0.0767,0.0426,21.018,20.5425,21.4936,61.8406,21.2696,21.0723,5.2303,81.4137,2.2195,True
2012-01-04,26.8199,27.47,26.78,22.3111016816,80516100.0,0.2019,0.1275,0.0744,21.0872,20.3526,21.8219,67.1617,21.4911,21.1749,6.4729,136.9595,5.3979,True
2012-01-05,27.38,27.728,27.29,22.5390983411,56081400.0,0.2826,0.1665,0.1161,21.1695,20.2068,22.1322,69.1913,21.794,21.2791,7.1821,171.0025,6.9539,True
2012-01-06,27.53,28.19,27.525,22.8851646993,99455500.0,0.3702,0.2033,0.1669,21.2715,20.0661,22.4768,72.0052,22.1336,21.4157,9.4332,203.8361,9.6598,True
2012-01-09,28.05,28.1,27.72,22.5879547682,59706800.0,0.4109,0.1952,0.2157,21.3667,20.0653,22.6682,66.4228,22.4235,21.534,9.2535,186.6654,9.6598,True
2012-01-10,27.93,28.15,27.75,22.6693821466,60014400.0,0.4446,0.1831,0.2615,21.4539,20.0524,22.8554,67.17,22.5985,21.6339,8.8133,184.8528,9.9529,True
2012-01-11,27.43,27.98,27.37,22.5716692925,65582400.0,0.4581,0.1573,0.3008,21.5439,20.0986,22.9891,65.3018,22.6507,21.7528,9.4251,157.6675,7.2633,True
2012-01-12,27.87,28.02,27.645,22.799665952,49370800.0,0.4817,0.1447,0.337,21.6351,20.1164,23.1537,67.5576,22.7028,21.86,7.3563,171.0503,7.5055,True
2012-01-13,27.93,28.25,27.79,23.003234398,60196100.0,0.5109,0.1391,0.3718,21.7433,20.1602,23.3265,69.4571,22.7264,21.9952,9.2421,183.7379,8.8968,True
2012-01-17,28.4,28.65,28.17,23.0073057669,72395300.0,0.5283,0.1252,0.4031,21.8531,20.2392,23.467,69.4954,22.8103,22.1279,10.7032,198.8758,11.2576,True
2012-01-18,28.31,28.4,27.97,22.9869489223,64860600.0,0.5343,0.105,0.4293,21.9439,20.2898,23.5979,69.032,22.8738,22.2473,8.5212,174.7548,9.8107,True
2012-01-19,28.16,28.435,28.03,22.8973788061,74053500.0,0.5257,0.0771,0.4486,22.0493,20.435,23.6637,66.928,22.9389,22.3602,8.8629,166.2245,10.019,True
2012-01-20,28.82,29.74,28.75,24.1920741227,165902900.0,0.6163,0.1342,0.4821,22.1993,20.3863,24.0124,77.5328,23.2174,22.5714,13.9464,249.9347,17.2632,True
2012-01-23,29.55,29.95,29.35,24.2083595983,76078100.0,0.6816,0.1596,0.522,22.361,20.4399,24.282,77.6294,23.4584,22.7728,14.3566,249.9013,18.3391,True
2012-01-24,29.47,29.5703,29.18,23.8907928226,51703300.0,0.6996,0.1421,0.5575,22.5047,20.5774,24.432,71.2262,23.6351,22.9563,14.3476,208.4346,17.0857,True
2012-01-25,29.07,29.65,29.07,24.0699330551,59231700.0,0.7201,0.13,0.59,22.6484,20.7045,24.5924,72.5925,23.8517,23.108,13.8633,198.7725,16.2753,True
2012-01-26,29.61,29.7,29.4,24.021076628,49102800.0,0.724,0.1071,0.6168,22.7893,20.8764,24.7021,71.599,24.0764,23.222,13.619,191.7507,16.5423,True
2012-01-27,29.45,29.53,29.17,23.8012227063,44187700.0,0.7012,0.0675,0.6337,22.9281,21.1494,24.7068,67.167,23.9983,23.3061,12.9254,165.7928,14.8291,True
2012-01-30,28.97,29.62,28.83,24.1106467443,51114800.0,0.7001,0.0531,0.647,23.0743,21.4154,24.7332,69.9701,23.9787,23.3878,13.7044,157.8956,12.3465,True
2012-01-31,29.66,29.7,29.23,24.0455048415,50572400.0,0.6861,0.0313,0.6548,23.2196,21.7682,24.6711,68.6481,24.0097,23.485,13.706,155.5038,12.7976,True
2012-02-01,29.79,30.05,29.76,24.3386434038,67409900.0,0.6906,0.0287,0.662,23.3469,21.9735,24.7202,71.2656,24.0634,23.5963,11.4614,166.3859,14.7497,True
2012-02-02,29.9,30.17,29.71,24.3874998308,52223300.0,0.6902,0.0226,0.6676,23.4507,22.0924,24.809,71.6877,24.1367,23.7174,9.8289,157.8462,15.41,True
2012-02-03,30.1401,30.4,30.09,24.6236392282,41838500.0,0.7009,0.0266,0.6743,23.5549,22.1727,24.9371,73.6892,24.3012,23.839,9.6365,161.4776,16.668,True
2012-02-06,30.04,30.22,29.97,24.5910682768,28039700.0,0.6987,0.0195,0.6792,23.6402,22.2237,25.0567,72.9273,24.3973,23.9448,7.2011,146.4702,15.7546,True
2012-02-07,30.15,30.485,30.05,24.7132093444,39242400.0,0.6987,0.0156,0.6831,23.7465,22.3429,25.15,74.0071,24.5308,24.0585,8.4875,145.0744,17.2102,True
2012-02-08,30.26,30.67,30.22,24.9656342175,49659100.0,0.7109,0.0223,0.6886,23.8613,22.4532,25.2693,76.1164,24.6562,24.1904,8.952,146.0473,18.2134,True
2012-02-09,30.68,30.8,30.48,25.0552043337,50481600.0,0.7195,0.0247,0.6948,23.9855,22.6168,25.3542,76.8312,24.7898,24.3343,10.0786,144.4464,18.9156,True
2012-02-10,30.64,30.8,30.36,24.8312790431,44605300.0,0.7002,0.0043,0.6959,24.087,22.7855,25.3885,71.1291,24.8313,24.3769,9.9215,132.0308,17.9649,True
2012-02-13,30.63,30.77,30.43,24.9004923148,33319800.0,0.6826,-0.0106,0.6932,24.1819,22.9348,25.429,71.8217,24.8932,24.4231,8.9204,127.1063,17.9649,False
2012-02-14,30.33,30.46,29.85,24.7946367228,59644000.0,0.6526,-0.0325,0.6851,24.2713,23.1212,25.4213,69.1052,24.9094,24.4833,7.0206,114.0526,14.9347,False
2012-02-15,30.3301,30.39,30.03,24.6307052404,43311300.0,0.6085,-0.0612,0.6698,24.3535,23.3577,25.3492,65.0245,24.8425,24.5207,7.7145,108.4633,14.9347,False
2012-02-16,30.31,31.55,30.3,25.6429821446,94705100.0,0.6479,-0.0175,0.6654,24.4907,23.5826,25.3988,74.8501,24.96,24.6288,11.6884,135.1729,21.3135,False
2012-02-17,31.2,31.32,30.95,25.6142941352,70036500.0,0.669,0.0029,0.6661,24.5618,23.5425,25.5812,74.217,25.1166,24.7497,6.009,134.4597,21.3135,True
2012-02-21,31.18,31.61,31.15,25.7700290435,50829900.0,0.6904,0.0194,0.671,24.6399,23.5078,25.772,75.426,25.2905,24.8603,6.2404,137.271,22.81,True
2012-02-22,31.45,31.68,31.18,25.6306872834,49253200.0,0.6881,0.0137,0.6744,24.7269,23.5713,25.8825,72.1815,25.4577,24.966,7.8429,131.7274,23.1687,True
2012-02-23,31.2,31.59,31.0,25.7126530246,35034700.0,0.685,0.0085,0.6765,24.8091,23.6189,25.9992,72.9157,25.6741,25.0576,7.2474,125.4744,21.69,True
2012-02-24,31.48,31.5,31.24,25.80281534,35575400.0,0.682,0.0044,0.6776,24.8981,23.6906,26.1056,73.7329,25.7061,25.152,6.7618,123.7151,21.69,True
2012-02-27,31.24,31.5,31.1,25.6962598764,34568400.0,0.6634,-0.0114,0.6748,24.9929,23.8488,26.137,71.0198,25.7225,25.2235,7.3764,116.3105,20.5261,False
2012-02-28,31.41,31.93,31.38,26.1224817308,45230600.0,0.6752,0.0004,0.6749,25.0935,23.9239,26.2631,74.9674,25.793,25.3256,8.5115,125.3835,22.8315,True
2012-02-29,31.885,32.0,31.61,26.0159262672,59323600.0,0.6683,-0.0052,0.6736,25.192,24.0608,26.3232,72.3283,25.87,25.4124,8.4565,122.4274,23.2003,False
2012-03-01,31.93,32.39,31.85,26.466737844,77344100.0,0.6912,0.0141,0.6771,25.2984,24.1094,26.4874,76.1363,26.0208,25.5125,8.4997,130.4935,25.2251,True
2012-03-02,32.31,32.44,32.0,26.2905115003,47314200.0,0.6873,0.0081,0.6791,25.3936,24.2068,26.5803,71.9872,26.1184,25.5948,8.2349,125.453,25.4813,True
2012-03-05,32.01,32.05,31.62,26.0651057119,45240000.0,0.6583,-0.0166,0.675,25.4656,24.2998,26.6315,66.9846,26.1922,25.6771,6.1247,110.0292,22.2447,False
2012-03-06,31.54,31.98,31.49,25.8642896459,51932900.0,0.6122,-0.0503,0.6624,25.5293,24.4239,26.6347,62.8177,26.1405,25.7413,6.5236,101.9333,21.1574,False
2012-03-07,31.67,31.92,31.53,26.0978920084,34340400.0,0.5876,-0.0598,0.6475,25.5985,24.5336,26.6635,65.4931,26.1569,25.8282,5.3995,101.9788,21.1574,False
