date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,46.89,47.41,46.48,38.9541626698,1697400.0,0.2439,0.2734,-0.0295,38.8319,39.4356,38.2282,54.6918,39.0177,38.7908,1.3545,96.9719,4.1586,False
2012-01-04,46.39,46.54,46.03,38.7369150874,1797600.0,0.2152,0.2617,-0.0466,38.8216,39.4244,38.2188,51.947,38.8589,38.7854,-0.969,52.6924,2.4909,False
2012-01-05,46.34,46.78,46.14,38.9959410511,1598200.0,0.2109,0.2516,-0.0407,38.8246,39.4303,38.219,54.8422,38.8572,38.821,-0.0562,69.1145,3.3304,False
2012-01-06,46.56,46.921,46.48,38.8956729361,1188100.0,0.1972,0.2407,-0.0435,38.8247,39.4304,38.219,53.5052,38.8522,38.8689,0.1173,77.2832,3.8251,False
2012-01-09,46.42,46.55,46.05,38.5865129149,1960300.0,0.1595,0.2244,-0.065,38.809,39.4222,38.1958,49.5171,38.8338,38.8784,-0.8007,42.023,2.2031,False
2012-01-10,46.58,46.775,46.2,38.6784253536,2117700.0,0.1355,0.2066,-0.0712,38.7878,39.3882,38.1874,50.6879,38.7787,38.8856,-0.3846,54.5126,3.0094,False
2012-01-11,45.98,46.49,45.97,38.5196675049,2220100.0,0.1024,0.1858,-0.0834,38.7728,39.3842,38.1614,48.602,38.7352,38.8823,-0.0381,31.7395,2.134,False
2012-01-12,46.28,46.56,46.14,38.5781572386,1778900.0,0.0801,0.1647,-0.0846,38.7787,39.3802,38.1772,49.4235,38.6517,38.8661,-0.6402,39.6937,2.3907,False
2012-01-13,45.93,46.57,45.79,38.8371832023,1581800.0,0.0823,0.1482,-0.0659,38.8117,39.3463,38.2771,52.9891,38.64,38.8706,0.7791,37.2029,1.043,False
2012-01-17,46.66,47.24,46.66,39.2215443098,1047500.0,0.1138,0.1413,-0.0275,38.8506,39.3857,38.3154,57.7272,38.767,38.9007,2.4507,100.9062,3.5154,False
2012-01-18,46.94,47.5,46.89,39.6309724459,1817100.0,0.1698,0.147,0.0228,38.9036,39.521,38.2863,62.0882,38.9575,38.918,1.7348,132.3545,4.4574,True
2012-01-19,47.46,48.05,47.38,40.1406686971,1828200.0,0.2524,0.1681,0.0843,38.9822,39.7823,38.182,66.6739,39.2817,38.9586,3.0232,181.9119,6.4229,True
2012-01-20,47.98,47.98,47.43,39.7646632659,1811300.0,0.2842,0.1913,0.0929,39.0294,39.8946,38.1642,60.8558,39.519,39.0093,1.955,158.463,6.4229,True
2012-01-23,47.57,47.99,47.3305,39.6727508272,1151700.0,0.2986,0.2128,0.0859,39.0745,39.9744,38.1746,59.4961,39.6861,39.0594,2.8504,147.3296,6.0148,True
