date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,6.64,6.96,6.59,6.755,42035300.0,0.178,0.0871,0.0908,6.6554,5.9287,5.2021,63.2122,6.347,5.9617,15.807,248.6329,7.476,True
2012-01-04,6.7,7.05,6.6,6.99,43038500.0,0.2306,0.1118,0.1188,6.8459,5.9917,5.1376,65.8991,6.495,6.0397,19.6944,258.0974,8.274,True
2012-01-05,6.96,7.33,6.9,7.16,53469800.0,0.2828,0.1312,0.1516,7.0452,6.0672,5.0893,67.7261,6.693,6.143,27.0364,290.292,10.7107,True
2012-01-06,7.17,7.32,7.05,7.2,33006500.0,0.3237,0.1377,0.186,7.2197,6.1242,5.0288,68.1562,6.879,6.2597,20.3947,276.8295,10.7107,True
2012-01-09,7.23,7.34,7.12,7.29,28692200.0,0.3592,0.1385,0.2206,7.3942,6.1977,5.0013,69.1474,7.079,6.3757,20.3279,264.0713,10.8856,True
2012-01-10,7.4,7.44,7.21,7.25,26672800.0,0.3797,0.1273,0.2525,7.5368,6.2657,4.9947,68.1374,7.178,6.4803,24.207,249.0997,11.7643,True
2012-01-11,7.27,7.29,7.1424,7.22,20210400.0,0.3891,0.1093,0.2798,7.6542,6.3357,5.0173,67.347,7.224,6.5987,24.722,214.1791,11.0118,True
2012-01-12,7.22,7.32,7.12,7.27,30026700.0,0.396,0.093,0.303,7.7529,6.4187,5.0846,68.0097,7.246,6.6973,23.0252,199.9457,11.2814,True
2012-01-13,7.22,7.29,7.09,7.23,29225000.0,0.3937,0.0725,0.3212,7.8086,6.5077,5.2069,66.8468,7.252,6.81,27.2251,180.4091,10.9396,True
2012-01-17,7.3,7.38,7.14,7.16,30684100.0,0.3818,0.0485,0.3333,7.8404,6.5882,5.3361,64.7704,7.226,6.86,32.2581,171.2607,11.7664,True
2012-01-18,7.25,7.75,7.21,7.65,48911100.0,0.4072,0.0592,0.3481,7.9476,6.6867,5.4259,71.4271,7.306,6.9437,35.9649,199.01,15.0629,True
2012-01-19,7.7299,7.94,7.68,7.88,43923400.0,0.4409,0.0742,0.3666,8.036,6.8085,5.581,73.9067,7.438,7.0523,38.3275,219.4811,16.6883,True
2012-01-20,7.83,7.98,7.68,7.76,38677500.0,0.4526,0.0688,0.3838,8.1076,6.907,5.7064,70.4873,7.536,7.1583,37.1134,200.4973,17.0283,True
2012-01-23,7.79,8.06,7.77,7.865,33180100.0,0.4651,0.065,0.4001,8.1175,7.0232,5.929,71.7142,7.663,7.2647,36.6102,196.9298,17.7112,True
2012-01-24,7.85,7.97,7.765,7.95,29248700.0,0.4763,0.061,0.4153,8.2273,7.1002,5.9732,72.6986,7.821,7.3753,21.6794,183.9659,17.6497,True
2012-01-25,8.0,8.04,7.785,7.86,30951100.0,0.4724,0.0457,0.4267,8.2981,7.1735,6.0489,69.9373,7.863,7.449,22.9358,172.2718,18.2582,True
2012-01-26,7.77,7.8,7.45,7.55,42242300.0,0.4393,0.0101,0.4293,8.2899,7.2385,6.1871,61.3393,7.797,7.4863,21.875,133.8369,14.1529,True
2012-01-27,7.47,7.62,7.34,7.43,29119800.0,0.3988,-0.0243,0.4232,8.2335,7.3015,6.3695,58.3635,7.731,7.5043,20.3791,114.3162,12.8448,False
2012-01-30,7.34,7.59,7.29,7.56,21759000.0,0.3729,-0.0402,0.4131,8.1738,7.366,6.5582,60.5831,7.67,7.5283,20.4762,110.4718,12.2503,False
2012-01-31,7.6,7.68,7.52,7.595,21798900.0,0.3511,-0.0496,0.4007,8.0751,7.4312,6.7874,61.1801,7.599,7.5487,20.5651,115.8147,13.0885,False
2012-02-01,7.74,7.84,7.6,7.7,26899200.0,0.3385,-0.0498,0.3883,8.0517,7.4785,6.9053,62.9821,7.567,7.5787,12.6437,120.2031,14.5641,False
2012-02-02,7.73,7.81,7.68,7.72,20660800.0,0.3263,-0.0496,0.3759,8.0509,7.515,6.9791,63.3295,7.601,7.612,10.7801,116.2233,14.5641,False
2012-02-03,7.88,7.97,7.74,7.95,15179500.0,0.3313,-0.0356,0.367,8.0963,7.5545,7.0127,67.1303,7.705,7.6573,8.7312,123.0928,16.0383,False
2012-02-06,7.7,7.88,7.68,7.725,32638600.0,0.3136,-0.0427,0.3563,8.1018,7.5807,7.0597,60.5521,7.738,7.6903,7.6503,107.1598,15.2797,False
2012-02-07,7.73,7.92,7.7,7.875,20245400.0,0.3081,-0.0386,0.3467,8.1281,7.61,7.0919,63.1326,7.794,7.738,7.9019,108.3326,15.6535,False
2012-02-08,7.94,8.23,7.89,8.165,42113700.0,0.3234,-0.0186,0.342,8.1996,7.6557,7.1119,67.5321,7.887,7.7723,10.6183,124.7253,18.4882,False
2012-02-09,8.2,8.2,7.99,8.16,27434500.0,0.3313,-0.0086,0.3399,8.2503,7.7027,7.1552,67.3836,7.975,7.791,12.4829,121.2503,18.4882,False
2012-02-10,8.09,8.11,7.8,7.905,26191000.0,0.3134,-0.0212,0.3346,8.2507,7.7345,7.2183,60.1536,7.966,7.8007,10.7923,102.7618,16.0168,False
2012-02-13,8.02,8.02,7.7,7.85,24807300.0,0.2914,-0.0346,0.3259,8.2286,7.7655,7.3024,58.6982,7.991,7.7997,10.0137,92.7742,14.7359,False
2012-02-14,7.92,8.36,7.92,8.34,41142100.0,0.3099,-0.0128,0.3227,8.264,7.8245,7.385,66.4473,8.084,7.8257,13.2791,116.0486,17.8711,False
2012-02-15,8.4,8.55,8.27,8.28,33448200.0,0.3161,-0.0053,0.3214,8.3299,7.856,7.3821,64.851,8.107,7.8537,10.3226,122.9981,19.5522,False
2012-02-16,8.3795,8.5,8.3,8.46,18749000.0,0.3317,0.0083,0.3235,8.4273,7.885,7.3427,67.3706,8.167,7.9143,7.0529,121.7817,19.5522,True
2012-02-17,8.44,8.58,8.34,8.43,18917300.0,0.3378,0.0115,0.3263,8.5066,7.9185,7.3304,66.5191,8.272,7.981,7.5188,119.4188,20.2629,True
2012-02-21,8.43,8.46,8.16,8.21,18768100.0,0.3211,-0.0042,0.3253,8.5367,7.9357,7.3348,60.5101,8.344,8.0243,4.9628,102.8075,17.8801,False
2012-02-22,8.21,8.24,8.01,8.04,19381700.0,0.2909,-0.0275,0.3184,8.5429,7.9402,7.3376,56.2995,8.284,8.054,3.3877,86.8282,15.9334,False
2012-02-23,8.03,8.03,7.74,7.82,31618800.0,0.2463,-0.0577,0.304,8.5422,7.9382,7.3343,51.3454,8.192,8.062,-0.1244,67.6008,12.5316,False
