date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,26.54,26.89,26.3,19.7964270209,2403200.0,0.1202,0.0566,0.1768,19.3431,18.6105,20.0756,57.6236,19.7062,19.3573,3.185,107.8618,9.5769,True
2012-01-04,26.3299,26.34,25.925,19.5859067183,2373400.0,0.1298,0.0383,0.1681,19.3513,18.6118,20.0909,53.9318,19.6521,19.3929,0.3429,61.0957,7.3551,True
2012-01-05,25.98,26.17,25.81,19.6686111229,2726800.0,0.137,0.0289,0.1659,19.3592,18.6097,20.1087,55.1415,19.6701,19.441,0.3066,52.3634,6.6805,True
2012-01-06,26.13,26.25,25.89,19.6159810473,2311300.0,0.1412,0.0168,0.1581,19.3761,18.6195,20.1327,54.1716,19.6491,19.4922,1.3514,53.8967,7.0935,True
2012-01-09,26.26,26.49,26.13,19.8490570965,2204600.0,0.1467,0.022,0.1687,19.4167,18.6502,20.1833,57.7017,19.7032,19.5548,2.278,84.3166,8.3313,True
2012-01-10,26.55,26.62,26.18,19.7813898564,2942200.0,0.1513,0.0184,0.1698,19.4431,18.6645,20.2216,56.3515,19.7002,19.6185,3.4992,85.8217,8.9991,True
2012-01-11,26.27,26.51,26.19,19.736278363,1505500.0,0.1541,0.011,0.1651,19.4773,18.7104,20.2442,55.4251,19.7303,19.6862,4.329,76.631,8.9991,True
2012-01-12,26.25,26.39,26.22,19.7588341097,2917900.0,0.1555,0.0058,0.1613,19.5179,18.7823,20.2535,55.8142,19.7483,19.7052,0.5333,71.9113,8.9991,True
2012-01-13,26.24,26.34,25.7,19.510720896,2136500.0,0.1518,-0.0151,0.1367,19.5509,18.8822,20.2197,50.6073,19.7273,19.7127,3.6192,32.1672,5.7579,False
2012-01-17,25.97,26.14,25.88,19.5257580605,2238500.0,0.1448,-0.0277,0.1171,19.5818,18.9807,20.1828,50.9047,19.6626,19.6962,2.792,30.7548,5.7579,False
2012-01-18,26.93,27.63,26.77,20.7212126356,9701700.0,0.155,0.0407,0.1957,19.6765,18.9903,20.3628,67.5487,19.8506,19.7523,8.3529,198.0608,13.3897,True
2012-01-19,27.63,27.86,27.38,20.8114356224,3406500.0,0.1765,0.0859,0.2623,19.781,19.0722,20.4898,68.4146,20.0656,19.816,9.9448,229.0803,14.4769,True
2012-01-20,27.75,27.86,27.58,20.9242143559,2994700.0,0.2053,0.1152,0.3205,19.8536,19.0028,20.7043,69.5044,20.2987,19.9057,7.319,229.7898,14.4769,True
