date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,15.99,16.19,15.74,6.37438618836,5839100.0,-0.0681,0.0264,-0.0945,6.6232,6.0825,6.3529,48.3748,6.3501,6.2943,-1.4607,-58.0688,14.7522,True
2012-01-04,15.8,15.89,15.66,6.36226758344,3640400.0,-0.0608,0.027,-0.0877,6.5645,6.1102,6.3373,47.9643,6.3421,6.2918,-4.9925,-66.9835,15.257,True
2012-01-05,15.68,15.82,15.58,6.3824652583,6105900.0,-0.0527,0.028,-0.0807,6.5381,6.1208,6.3294,48.7409,6.3566,6.2956,-5.099,-67.7324,15.7644,True
2012-01-06,15.77,15.95,15.58,6.37438618836,5583000.0,-0.0465,0.0274,-0.0739,6.5042,6.1369,6.3206,48.4312,6.3631,6.3061,-2.0872,-62.9927,14.6303,True
2012-01-09,15.76,15.83,15.55,6.32995130365,5296700.0,-0.0446,0.0234,-0.068,6.5036,6.1367,6.3202,46.6828,6.3647,6.3145,-2.5246,-68.2115,14.8261,True
2012-01-10,15.82,15.95,15.65,6.42690014301,5597300.0,-0.0349,0.0265,-0.0614,6.4762,6.1528,6.3145,50.8321,6.3752,6.3266,-1.9065,-53.887,13.7646,True
2012-01-11,15.86,16.28,15.86,6.56020479714,5261200.0,-0.0163,0.0361,-0.0524,6.5138,6.1314,6.3226,55.8894,6.4148,6.3522,1.433,-27.8063,10.8976,True
2012-01-12,16.26,16.42,16.05,6.49355247008,6781100.0,-0.0068,0.0365,-0.0433,6.5362,6.1257,6.331,52.9706,6.437,6.3642,1.9243,-21.4862,9.7048,True
2012-01-13,16.02,16.1,15.79,6.41478153809,6995400.0,-0.0056,0.0301,-0.0357,6.5422,6.1396,6.3409,49.685,6.4451,6.3838,2.6786,-43.0772,11.5025,True
2012-01-17,16.11,16.48,16.06,6.57636293704,6489300.0,0.0083,0.0352,-0.0269,6.5751,6.1437,6.3594,55.7212,6.4944,6.4032,5.5734,-8.3693,8.2978,True
2012-01-18,16.36,16.58,16.16,6.68543038132,6696500.0,0.0278,0.0438,-0.016,6.6329,6.13,6.3815,59.2563,6.5461,6.4238,5.3367,9.7195,7.4712,True
2012-01-19,16.63,16.81,16.37,6.70158852122,7743500.0,0.0441,0.048,-0.004,6.6771,6.1383,6.4077,59.7661,6.5743,6.4437,7.4808,30.6408,5.5861,True
2012-01-20,16.57,16.895,16.52,6.78237922069,6460100.0,0.0627,0.0534,0.0094,6.7421,6.1202,6.4311,62.2939,6.6321,6.4752,6.7952,53.0498,4.8947,True
