date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-09-25,40.9,41.77,39.61,39.99,605400.0,2.403,2.6603,0.2573,35.5405,28.566,42.515,67.5624,39.328,37.1633,33.4079,177.3294,39.8065,True
2012-09-26,39.85,39.85,36.77,38.08,853900.0,2.4207,2.4912,0.0706,35.9785,29.5421,42.4149,60.0271,39.214,37.4227,34.1751,132.9362,31.7258,True
2012-09-27,38.4,40.33,38.4,40.04,478800.0,2.4339,2.4867,0.0529,36.506,30.5736,42.4384,64.3934,39.622,37.688,35.381,146.7146,32.3974,True
2012-09-28,39.99,39.99,36.16,38.68,1582500.0,2.4164,2.3464,-0.07,36.951,31.8228,42.0792,59.5569,39.432,37.83,29.0,119.5662,26.4923,False
2012-10-01,37.98,38.143,34.62,36.48,903900.0,2.3399,2.0342,-0.3058,37.22,32.8374,41.6026,52.697,38.654,37.9693,21.0889,86.8019,22.6672,False
2012-10-02,36.07,36.75,35.59,36.5,586700.0,2.2255,1.768,-0.4576,37.3615,33.2737,41.4493,52.75,37.956,38.202,8.5993,81.2754,22.6672,False
2012-10-03,36.53,37.68,36.52,37.03,283100.0,2.0967,1.5815,-0.5152,37.5035,33.6773,41.3297,54.2071,37.746,38.334,9.7582,89.4903,24.1006,False
2012-10-04,36.7,37.1966,36.7,37.15,145700.0,1.9628,1.427,-0.5358,37.558,33.7849,41.3311,54.5471,37.168,38.31,3.0948,85.0061,24.1006,False
2012-10-05,37.2,37.45,36.5,37.0,449500.0,1.8258,1.2777,-0.548,37.5805,33.8264,41.3346,54.01,36.832,38.1727,0.3752,81.2757,24.495,False
2012-10-08,36.6,36.66,35.97,36.53,251400.0,1.6824,1.1087,-0.5736,37.6875,34.1901,41.1849,52.2817,36.842,38.062,-0.9189,69.6142,23.1341,False
2012-10-09,36.61,36.8,35.78,36.0,505300.0,1.5302,0.9214,-0.6088,37.837,34.9497,40.7243,50.3357,36.742,38.0087,4.6346,64.2523,22.6454,False
2012-10-10,36.06,36.06,34.62,34.78,446000.0,1.3575,0.6668,-0.6907,37.8235,34.8822,40.7648,46.1034,36.292,37.7507,1.7592,46.3902,19.6955,False
2012-10-11,35.01,35.29,34.36,34.5,267300.0,1.1735,0.4374,-0.7361,37.673,34.3942,40.9518,45.1695,35.762,37.5173,-7.9071,37.6939,19.0429,False
2012-10-12,34.83,34.83,32.89,33.32,597700.0,0.9705,0.1586,-0.8119,37.386,33.6677,41.1043,41.3842,35.026,37.0967,-11.4416,19.3565,15.4243,False
2012-10-15,32.88,34.91,32.8,34.51,754800.0,0.783,0.0332,-0.7498,37.202,33.3013,41.1027,46.2511,34.622,36.706,-12.2203,23.8455,15.2063,False
2012-10-16,34.64,34.64,33.7,34.31,503300.0,0.6102,-0.0813,-0.6915,37.0775,32.9795,41.1755,45.5697,34.284,36.3273,-10.3752,24.2507,15.2063,False
2012-10-17,34.33,35.46,34.02,34.77,684500.0,0.4614,-0.1335,-0.5949,36.8835,32.7346,41.0324,47.4764,34.282,36.1067,-8.4431,31.4943,16.6892,False
2012-10-18,34.77,34.88,34.5,34.79,261500.0,0.3349,-0.1712,-0.5061,36.723,32.5114,40.9346,47.562,34.34,35.7567,-9.7075,29.0562,16.6892,False
2012-10-19,34.8,35.48,33.9,34.35,534600.0,0.2212,-0.2339,-0.455,36.459,32.3486,40.5694,45.8031,34.546,35.468,-10.9214,24.2542,15.1651,False
2012-10-22,34.45,34.5,32.54,33.44,721200.0,0.1063,-0.3529,-0.4593,36.1125,32.2165,40.0085,42.3339,34.332,35.2653,-15.2334,1.1951,11.7993,False
2012-10-23,33.32,34.86,32.61,34.56,440100.0,0.0145,-0.3528,-0.3673,35.841,32.3255,39.3565,47.5705,34.382,35.136,-16.543,8.9128,12.4878,False
2012-10-24,34.56,35.77,34.04,35.65,604600.0,-0.0407,-0.2618,-0.221,35.7195,32.3573,39.0817,52.1056,34.558,35.044,-10.2384,30.62,14.2093,False
2012-10-25,35.65,37.59,30.711,31.39,1953900.0,-0.1381,-0.5273,-0.3892,35.287,32.0356,38.5384,38.2509,33.878,34.66,-6.7939,-12.9312,6.4211,False
2012-10-26,31.68,32.98,31.39,31.89,601700.0,-0.2483,-0.6894,-0.4411,34.9475,31.7669,38.1281,40.2488,33.386,34.3193,-17.5294,-40.4221,6.4211,False
2012-10-31,32.11,32.74,30.12,30.65,568900.0,-0.3802,-0.9075,-0.5273,34.656,31.0504,38.2616,37.0624,32.828,33.9273,-14.1651,-62.343,3.6329,False
2012-11-01,31.33,31.64,29.551,31.04,788600.0,-0.5115,-1.0369,-0.5254,34.383,30.5572,38.2088,38.6978,32.124,33.5967,-13.9048,-74.2381,2.4104,False
2012-11-02,31.23,32.73,30.612,32.14,450200.0,-0.617,-1.0387,-0.4218,34.1385,30.3965,37.8805,43.1611,31.422,33.4207,-13.1369,-51.6916,4.6027,False
2012-11-05,32.15,32.58,31.1625,32.28,345100.0,-0.697,-1.0172,-0.3202,33.895,30.3394,37.4506,43.7199,31.6,33.2727,-12.4113,-50.5966,4.6027,False
2012-11-06,32.41,33.53,32.18,32.95,462300.0,-0.7446,-0.9352,-0.1906,33.6925,30.417,36.968,46.4207,31.812,33.248,-10.4673,-31.5154,6.496,False
2012-11-07,32.53,32.73,31.0,31.25,532700.0,-0.7949,-0.996,-0.2011,33.4285,30.261,36.596,41.0636,31.932,33.0307,-10.7201,-62.6974,3.8915,False
2012-11-08,30.87,31.59,30.68,30.9,288000.0,-0.848,-1.0601,-0.2122,33.1735,30.0544,36.2926,40.0442,31.904,32.8033,-14.1576,-76.7775,3.1955,False
2012-11-09,30.91,31.55,29.714,30.07,410200.0,-0.9113,-1.1645,-0.2533,32.938,29.6338,36.2422,37.6682,31.49,32.49,-12.5069,-89.7148,1.1159,False
2012-11-12,30.0,30.992,29.52,29.66,537300.0,-0.9822,-1.2658,-0.2836,32.696,29.1826,36.2094,36.5214,30.966,32.148,-12.1791,-98.8539,0.7014,False
2012-11-13,30.49,30.49,28.383,29.48,551000.0,-1.0547,-1.345,-0.2903,32.504,28.7374,36.2706,36.0057,30.272,31.8233,-12.4605,-113.129,1.7,False
2012-11-14,30.39,30.6,28.15,28.71,502900.0,-1.1344,-1.4532,-0.3188,32.214,28.2234,36.2046,33.8173,29.764,31.508,-12.346,-119.7817,2.1861,False
2012-11-15,28.34,31.98,28.28,31.79,7050800.0,-1.1627,-1.2757,-0.113,32.088,28.2126,35.9634,47.4943,29.942,31.3233,-7.679,-83.3608,0.7695,False
2012-11-16,33.43,34.5,29.45,30.35,1798600.0,-1.1776,-1.237,-0.0594,31.867,28.1268,35.6072,43.0389,29.998,30.97,-2.7073,-65.9527,5.8277,False
2012-11-19,30.52,31.44,28.82,31.06,1238600.0,-1.1692,-1.1359,0.0333,31.6805,28.1774,35.1836,45.7284,30.278,30.948,-9.8624,-90.7914,4.4738,True
2012-11-20,30.93,33.75,30.71,31.67,981200.0,-1.1344,-0.9951,0.1393,31.5465,28.2641,34.8289,47.9891,30.716,30.9333,-4.876,-53.0715,8.8234,True
2012-11-21,31.03,32.17,29.88,31.18,1658500.0,-1.09,-0.9125,0.1775,31.4335,28.266,34.601,46.3282,31.21,30.9687,-6.7536,-78.7856,7.0425,True
2012-11-23,31.18,31.2,30.51,30.77,186700.0,-1.0461,-0.8702,0.1759,31.244,28.4116,34.0764,44.9341,31.006,30.9507,-10.4991,-86.0151,7.0425,True
2012-11-26,28.61,30.86,28.61,30.5,790800.0,-1.0066,-0.8486,0.158,30.9865,28.9902,32.9828,43.9998,31.036,30.8413,-13.7266,-108.0503,3.0499,True
2012-11-27,30.53,30.8,29.2,30.3,1097400.0,-0.9728,-0.838,0.1349,30.932,28.9232,32.9408,43.2855,30.884,30.7093,-18.0633,-105.8802,3.0499,True
2012-11-28,30.52,31.38,29.98,31.21,446200.0,-0.9278,-0.7475,0.1803,30.898,28.9327,32.8633,47.4446,30.792,30.5933,-4.8514,-87.332,4.1782,True
2012-11-29,31.55,32.82,31.11,32.3,715800.0,-0.8584,-0.5811,0.2773,30.9805,28.9272,33.0338,51.9654,31.016,30.6633,0.2443,-56.7775,6.9135,True
2012-11-30,32.23,33.02,31.08,32.63,2460400.0,-0.7703,-0.4179,0.3525,31.06,28.8842,33.2358,53.2693,31.388,30.7787,4.3616,-51.9582,7.2873,True
2012-12-03,31.38,32.65,31.16,32.04,1012200.0,-0.6827,-0.3322,0.3505,31.055,28.8887,33.2213,50.6362,31.696,30.91,-0.2444,-58.058,7.2873,True
2012-12-04,31.98,32.39,29.745,30.19,1279000.0,-0.628,-0.409,0.219,30.9505,28.8295,33.0715,43.4252,31.674,30.9453,-0.5832,-85.0594,4.225,True
2012-12-05,30.49,30.49,28.52,29.41,1314800.0,-0.6077,-0.5266,0.0811,30.7735,28.7614,32.7856,40.8004,31.314,30.9407,-9.0665,-113.6288,1.67,True
2012-12-06,29.39,29.65,29.09,29.47,651500.0,-0.6078,-0.608,-0.0003,30.6845,28.6081,32.7609,41.0939,30.748,30.9913,-9.4103,-110.7368,1.67,False
2012-12-07,29.5,29.619,28.87,29.3,373900.0,-0.6219,-0.6784,-0.0565,30.6045,28.4459,32.7631,40.4847,30.082,30.8253,-6.2393,-109.5145,1.2092,False
