date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,37.0,37.44,36.69,30.3621282492,4300200.0,-0.406,0.0982,-0.3077,31.5835,30.241,28.8985,49.7312,29.9939,29.9928,-0.0534,-39.9833,10.1377,True
2012-01-04,35.71,36.01,35.12,29.4250510075,7319600.0,-0.3913,0.0589,-0.3324,31.5033,30.1625,28.8218,44.0216,29.8767,29.9108,-5.8562,-84.2623,13.442,True
2012-01-05,35.26,35.48,34.41,28.6242008538,9831700.0,-0.3954,-0.0165,-0.4118,31.5205,30.0548,28.5891,39.8339,29.667,29.7319,-6.3605,-104.5341,14.8814,False
2012-01-06,34.96,35.525,34.56,29.1649811122,11554000.0,-0.4016,-0.0247,-0.4262,31.3811,29.9559,28.5308,43.7081,29.5043,29.6326,-6.3159,-91.9803,14.7584,False
2012-01-09,35.51,35.66,34.96,28.9255516848,4949600.0,-0.4116,-0.0402,-0.4518,31.3278,29.8707,28.4135,42.4126,29.3004,29.564,-5.5114,-86.481,14.3848,False
2012-01-10,35.41,35.83,35.03,29.0039854628,5417100.0,-0.4213,-0.039,-0.4604,31.0786,29.7518,28.425,43.0055,29.0288,29.5321,-6.29,-80.4038,13.9099,False
2012-01-11,35.05,35.25,34.74,28.690250351,6126100.0,-0.4345,-0.0524,-0.4869,30.9892,29.6535,28.3179,41.1881,28.8818,29.5095,-6.2001,-90.8235,14.5255,False
2012-01-12,34.94,35.04,34.3,28.4260523622,5963400.0,-0.4522,-0.071,-0.5232,30.7157,29.5095,28.3032,39.6752,28.8422,29.416,-10.0847,-97.6415,15.4584,False
2012-01-13,34.19,34.29,33.5,28.0545239404,7189300.0,-0.4768,-0.0985,-0.5753,30.6237,29.3794,28.1351,37.5947,28.6201,29.3477,-9.5012,-114.4677,17.1308,False
2012-01-17,34.2001,34.22,33.64,27.8481192616,8130900.0,-0.5067,-0.1194,-0.626,30.6551,29.2742,27.8932,36.4567,28.4046,29.2184,-9.1344,-112.4958,17.1308,False
2012-01-18,33.86,34.75,33.81,28.6076884795,7177100.0,-0.5249,-0.0731,-0.5981,30.6374,29.2304,27.8235,43.2318,28.3253,29.116,-6.4099,-92.9835,15.5645,False
2012-01-19,35.1101,37.67,35.11,30.9689580048,18668200.0,-0.4961,0.1152,-0.381,30.9206,29.3274,27.7342,58.1087,28.7811,29.1798,4.8136,-22.1351,7.5099,True
2012-01-20,37.49,37.66,36.605,30.4240496528,10130200.0,-0.4469,0.1969,-0.25,31.0078,29.3571,27.7064,54.5726,29.1807,29.2299,3.9183,-13.129,7.5099,True
2012-01-23,36.94,37.59,36.62,30.7460409517,5666500.0,-0.3813,0.2624,-0.1189,31.1919,29.4405,27.6892,56.2579,29.719,29.2811,4.4167,-9.1945,7.5099,True
2012-01-24,37.21,38.0,36.81,31.0928008121,8730000.0,-0.3025,0.3154,0.0129,31.3957,29.5058,27.6158,58.0534,30.3679,29.3576,4.3526,1.5828,6.4146,True
2012-01-25,37.19,37.87,37.11,31.2083874322,6121000.0,-0.2169,0.3421,0.1252,31.5737,29.559,27.5443,58.6594,30.888,29.414,3.0757,6.8908,6.4146,True
