date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,14.3,14.4,14.01,12.9057405119,11701100.0,-0.1933,0.0078,-0.1855,14.1844,13.0344,11.8845,47.7638,12.8028,12.7525,-10.2804,-60.9463,4.7887,True
2012-01-04,14.04,14.26,13.92,13.0528144778,8684300.0,-0.1861,0.0287,-0.1574,13.987,12.9756,11.9642,49.6189,12.8285,12.7323,-10.875,-64.5492,5.259,True
2012-01-05,14.13,14.78,14.07,13.5216127443,14088700.0,-0.1682,0.072,-0.0962,13.8771,12.9503,12.0236,55.0683,13.0124,12.7679,-5.254,-8.9872,2.2906,True
2012-01-06,14.7,14.71,14.37,13.3653466555,13331300.0,-0.1464,0.0868,-0.0596,13.7534,12.9214,12.0893,53.0201,13.1172,12.8267,-3.7304,-5.8255,2.2906,True
2012-01-09,14.55,14.82,14.44,13.3653466555,12706100.0,-0.1232,0.093,-0.0302,13.7292,12.9145,12.0997,53.0201,13.2422,12.8929,-2.947,2.8832,1.6634,True
2012-01-10,14.76,14.77,14.38,13.3101939182,13658200.0,-0.1008,0.0895,-0.0113,13.6511,12.8952,12.1392,52.233,13.3231,12.9523,-1.6644,-3.77,1.9967,True
2012-01-11,14.35,14.48,14.13,13.043622355,12106800.0,-0.0842,0.0666,-0.0176,13.6092,12.8795,12.1499,48.5041,13.3212,13.0157,-1.0929,-41.6323,3.3844,True
2012-01-12,14.22,14.23,13.79,12.9608932491,16309100.0,-0.0731,0.0442,-0.0289,13.6071,12.8782,12.1493,47.3794,13.2091,13.028,-4.4966,-72.9334,5.2402,True
2012-01-13,14.0,14.03,13.66,12.6207847029,12607500.0,-0.0714,0.0068,-0.0646,13.6014,12.8851,12.1687,42.9887,13.0602,13.0286,-0.4258,-104.1546,5.9426,True
2012-01-17,13.94,13.94,13.5,12.4277501226,15679400.0,-0.0786,-0.0286,-0.1072,13.5966,12.8878,12.179,40.6953,12.8726,12.9805,0.2878,-122.5832,6.8073,False
2012-01-18,13.78,14.09,13.705,12.8505877746,15816900.0,-0.084,-0.0217,-0.1057,13.5853,12.9094,12.2336,47.2943,12.7807,12.9689,1.88,-79.6652,5.8793,False
2012-01-19,14.1,14.37,13.9502,13.1906963209,15207800.0,-0.0824,0.0063,-0.0761,13.5362,12.9643,12.3925,51.9062,12.8101,12.9866,4.6613,-34.9636,4.1613,True
2012-01-20,14.33,14.5,14.17,13.0711987236,13656800.0,-0.0783,0.0167,-0.0616,13.5459,12.979,12.4122,50.2509,12.8322,13.0179,3.9427,-23.0169,3.3694,True
2012-01-23,14.23,14.62,14.05,13.4296915156,14069800.0,-0.0668,0.0458,-0.0209,13.5929,13.02,12.447,54.8763,12.994,13.0571,4.6528,-3.5212,3.3694,True
2012-01-24,14.51,15.0,14.5,13.7330315703,18273000.0,-0.0464,0.0817,0.0353,13.6997,13.0491,12.3986,58.384,13.255,13.1233,4.5296,52.3168,1.0469,True
2012-01-25,14.54,14.89,14.12,13.6503024645,31853800.0,-0.0226,0.095,0.0724,13.7815,13.0804,12.3793,57.0873,13.415,13.1729,3.4028,25.9001,3.2573,True
2012-01-26,15.07,15.24,14.63,13.5216127443,19991800.0,0.0,0.0904,0.0904,13.8327,13.1103,12.3878,55.0495,13.4812,13.2042,6.7227,64.6434,1.1412,True
2012-01-27,14.62,14.99,14.5,13.7054552017,11249900.0,0.0236,0.0945,0.1181,13.8928,13.1654,12.438,57.3782,13.608,13.2164,6.4026,56.1066,1.9006,True
2012-01-30,14.65,14.87,14.43,13.6043418501,9976900.0,0.045,0.0854,0.1304,13.9389,13.2036,12.4682,55.6784,13.6429,13.2324,6.2143,39.3825,2.3115,True
2012-01-31,14.84,14.85,14.51,13.5767654815,8947500.0,0.0633,0.0731,0.1364,13.9656,13.2454,12.5252,55.2006,13.6117,13.2465,5.5437,39.3186,2.3115,True
2012-02-01,14.94,15.1,14.73,13.7238394475,10700500.0,0.0809,0.0704,0.1512,14.0175,13.2863,12.555,57.2949,13.6264,13.274,4.8611,69.7762,0.7527,True
2012-02-02,15.01,15.55,14.86,14.2340022668,17405900.0,0.1051,0.0968,0.2018,14.1757,13.3454,12.515,63.6163,13.7689,13.3534,9.0463,123.6713,1.9809,True
2012-02-03,15.72,15.95,15.69,14.541938383,12380800.0,0.1368,0.127,0.2638,14.3758,13.3964,12.417,66.795,13.9362,13.4588,7.9161,191.7286,4.3274,True
2012-02-06,15.74,15.76,15.56,14.4270368471,6971700.0,0.1695,0.1306,0.3001,14.5266,13.4495,12.3723,64.5407,14.1007,13.5792,7.138,164.4676,3.5085,True
2012-02-07,15.72,15.83,15.46,14.4684014001,10257400.0,0.2013,0.1272,0.3284,14.6684,13.5046,12.3409,64.9964,14.279,13.7153,6.8151,156.1263,2.8767,True
2012-02-08,15.74,16.62,15.66,14.9923524038,21190300.0,0.2387,0.15,0.3887,14.9158,13.5887,12.2616,70.1944,14.5327,13.858,12.5254,211.3351,7.4164,True
2012-02-09,16.51,16.5985,16.27,14.9831602809,14048600.0,0.2771,0.1536,0.4307,15.1185,13.6857,12.2529,69.999,14.6826,13.9775,14.6305,220.3251,7.4164,True
2012-02-10,16.14,16.2,15.81,14.6108793046,11006700.0,0.3075,0.1216,0.4291,15.2145,13.7682,12.3219,62.4552,14.6964,14.0802,13.844,160.7219,4.4757,True
2012-02-13,16.3,16.36,15.82,14.8452784378,15266700.0,0.3343,0.1073,0.4416,15.2976,13.8794,12.4613,64.9998,14.78,14.1746,16.6073,167.8125,5.3919,True
2012-02-14,16.1499,16.38,16.01,14.9280075437,11343900.0,0.3581,0.0949,0.453,15.3262,14.0044,12.6827,65.8744,14.8719,14.2542,17.5036,168.2051,5.5071,True
2012-02-15,16.39,16.9,16.13,14.8636626836,27771400.0,0.3768,0.0748,0.4516,15.3652,14.1051,12.845,64.5306,14.8462,14.3351,19.9432,177.6075,8.4545,True
2012-02-16,15.06,16.58,15.0,15.121042124,47214700.0,0.3946,0.0713,0.4659,15.4625,14.2016,12.9407,67.3822,14.8738,14.4417,15.3793,130.8756,1.4607,True
2012-02-17,16.4582,16.57,15.7,14.5695147517,25509000.0,0.4012,0.0265,0.4278,15.4336,14.2765,13.1194,56.8827,14.8655,14.4993,14.2759,127.5158,1.4607,True
2012-02-21,15.84,16.32,15.81,14.6384556732,12954400.0,0.4007,-0.0022,0.3985,15.4356,14.337,13.2383,57.7641,14.8241,14.5683,11.6279,120.2388,1.4607,False
2012-02-22,15.85,16.24,15.8,14.541938383,12310800.0,0.3932,-0.0298,0.3634,15.4432,14.3774,13.3116,56.0456,14.7469,14.6326,8.2667,108.7738,1.3998,False
2012-02-23,15.845,16.0,15.6,14.6246674889,8099200.0,0.3822,-0.0439,0.3383,15.4425,14.4261,13.4098,57.2146,14.6991,14.6927,7.4547,93.8417,0.1777,False
