date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,15.78,16.18,15.63,15.482937103,885600.0,0.038,-0.2811,-0.3191,15.495,17.7766,13.2134,50.366,15.0303,14.8956,-9.9109,-41.4666,8.2286,True
2012-01-04,15.86,16.17,15.72,15.6376697662,629200.0,0.0812,-0.2177,-0.2989,15.4191,17.572,13.2662,51.5547,15.1058,14.8685,-9.7656,-36.8595,8.2286,True
2012-01-05,15.95,16.5,15.82,15.9568058838,802400.0,0.127,-0.1401,-0.2671,15.3621,17.3908,13.3333,53.9898,15.3688,14.9427,-7.6665,-19.1541,7.121,True
2012-01-06,16.46,16.96,15.88,16.3436375416,1570600.0,0.1762,-0.0468,-0.223,15.2823,17.0012,13.5633,56.8093,15.657,15.0561,-10.1695,2.368,5.5892,True
2012-01-09,17.0,17.86,16.78,17.0979592743,1448200.0,0.248,0.087,-0.161,15.2765,16.9699,13.5831,61.7113,16.1038,15.2102,-4.3897,63.3858,2.6681,True
2012-01-10,17.86,18.0,17.13,16.8658602796,1212800.0,0.2667,0.1723,-0.0944,15.2668,16.9211,13.6125,59.4855,16.3804,15.3475,0.1112,68.1425,2.2207,True
2012-01-11,17.44,17.72,17.01,17.0012513599,1548200.0,0.2739,0.248,-0.0259,15.3147,17.1059,13.5234,60.3787,16.6531,15.5577,2.1797,61.9285,2.5907,True
2012-01-12,17.53,18.0,17.4,17.0205929428,1588300.0,0.2655,0.306,0.0405,15.4235,17.3468,13.5002,60.5119,16.8659,15.7286,6.9519,76.2324,1.6778,True
2012-01-13,17.39,17.53,16.44,16.5950781192,2204700.0,0.2188,0.314,0.0952,15.5211,17.4739,13.5684,56.0676,16.9161,15.8833,13.0968,32.3012,4.6366,True
2012-01-17,17.29,17.6,17.03,16.6240904935,934200.0,0.1791,0.319,0.1399,15.613,17.5916,13.6344,56.302,16.8214,15.9729,12.604,47.3162,4.4036,True
2012-01-18,17.54,19.72,17.52,18.3551621621,3587900.0,0.254,0.4574,0.2034,15.7905,18.0626,13.5184,67.418,17.1192,16.1767,23.9083,142.0272,2.2962,True
2012-01-19,19.19,19.63,18.83,18.6066027397,3272500.0,0.3018,0.5806,0.2789,16.0284,18.43,13.6267,68.6588,17.4403,16.3997,26.8916,166.3128,2.2962,True
2012-01-20,19.0,20.6283,18.94,19.8783118147,2046600.0,0.3945,0.772,0.3775,16.2994,19.1181,13.4807,74.02,18.0118,16.7488,37.1563,207.2193,5.2571,True
2012-01-23,20.41,20.67,20.12,19.873476419,1392300.0,0.4283,0.9128,0.4846,16.5794,19.6398,13.5189,73.9685,18.6675,17.0802,37.8,220.9178,5.3789,True
2012-01-24,20.45,21.835,20.25,21.0339713923,1799500.0,0.4966,1.1053,0.6087,16.8671,20.426,13.3081,77.922,19.5495,17.4916,37.327,255.9806,8.7133,True
2012-01-25,21.94,22.0,21.02,20.3473451998,1607600.0,0.464,1.1887,0.7247,17.1195,20.9066,13.3324,71.0787,19.9479,17.8159,37.8446,251.8792,9.1743,True
2012-01-26,21.7,21.75,21.07,20.5987857773,2012700.0,0.4287,1.2606,0.8319,17.3864,21.3597,13.4131,72.0421,20.3464,18.1466,35.9375,243.1121,9.1743,True
2012-01-27,21.12,21.9,21.08,21.0533129752,873100.0,0.4055,1.3388,0.9333,17.707,21.7762,13.6378,73.7365,20.5814,18.4864,37.6493,240.1707,9.6035,True
2012-01-30,21.23,21.23,20.44,20.1829417452,1267400.0,0.3057,1.3154,1.0097,17.971,21.9626,13.9794,65.5819,20.6433,18.7423,34.7937,189.4214,7.4014,True
2012-01-31,21.09,21.78,21.02,20.5310902372,1296700.0,0.2401,1.3098,1.0697,18.2543,22.1263,14.3824,67.1394,20.5427,18.9712,41.0622,198.5382,8.9992,True
2012-02-01,21.6,22.35,21.48,21.3434367186,1255200.0,0.2285,1.3553,1.1268,18.5474,22.423,14.6717,70.479,20.7419,19.2697,38.1335,211.0392,10.6247,True
2012-02-02,22.34,22.55,21.95,21.3289305314,1061200.0,0.198,1.3744,1.1763,18.8319,22.6465,15.0174,70.3422,20.8879,19.5582,39.4558,205.5041,11.1907,True
2012-02-03,22.6,23.04,22.26,22.0010505368,1697600.0,0.2007,1.4273,1.2265,19.1341,22.9474,15.3209,72.9484,21.0775,19.8902,39.6364,208.6164,12.5702,True
2012-02-06,22.53,22.68,21.68,21.0243006009,1433500.0,0.1184,1.3745,1.2561,19.3682,23.0396,15.6968,64.1685,21.2458,20.1855,33.7264,171.3195,10.504,True
2012-02-07,21.65,22.01,21.0301,21.0629837667,1215300.0,0.0516,1.3206,1.269,19.5664,23.1533,15.9796,64.3506,21.3521,20.4814,23.2363,146.8167,8.24,True
2012-02-08,21.96,22.19,21.7314,21.1596916811,733200.0,0.0016,1.2711,1.2694,19.7811,23.2061,16.3562,64.8293,21.3154,20.6684,23.2778,149.1224,8.7665,True
2012-02-09,21.85,22.07,21.46,21.266070387,1084100.0,-0.0346,1.2262,1.2608,19.9944,23.2261,16.7627,65.3772,21.3028,20.8457,24.5485,137.1089,7.8179,False
2012-02-10,23.17,23.44,21.54,20.917921895,2873500.0,-0.0892,1.1493,1.2385,20.1892,23.1378,17.2407,61.9908,21.0862,20.915,30.2222,139.9889,11.7679,False
2012-02-13,22.15,22.67,21.71,21.875330248,1855200.0,-0.0689,1.1524,1.2213,20.4532,22.9831,17.9234,67.0236,21.2564,21.0485,29.3212,135.5222,11.7679,False
2012-02-14,22.37,23.9001,22.37,22.8714217668,1786900.0,-0.0001,1.2211,1.2212,20.7656,22.8264,18.7048,71.2649,21.6181,21.171,35.796,154.5434,15.1442,False
2012-02-15,23.88,25.04,23.4,24.1286246547,2710300.0,0.1121,1.3613,1.2493,21.0543,23.2934,18.8152,75.5222,22.2119,21.4231,26.9777,175.2826,18.0977,True
2012-02-16,24.8,25.91,24.71,24.9796543018,1955900.0,0.2194,1.5235,1.3041,21.3729,23.9206,18.8252,77.8972,22.9546,21.7151,31.9918,189.0271,20.2521,True
2012-02-17,25.83,25.83,24.87,24.5347978953,1672000.0,0.2349,1.5978,1.3629,21.6058,24.4034,18.8081,73.8823,23.678,21.9472,25.2163,173.7718,20.2521,True
2012-02-21,25.46,25.46,24.05,23.4516692535,1213900.0,0.1508,1.5514,1.4006,21.7847,24.5739,18.9954,65.1258,23.9932,22.1651,23.1737,146.0147,17.2458,True
2012-02-22,24.03,24.2,23.12,22.8714217668,1324500.0,0.0404,1.451,1.4106,21.8765,24.6818,19.0712,60.9776,23.9932,22.3212,10.8312,117.7364,13.96,True
2012-02-23,23.2,24.74,22.7,23.7417929969,1926800.0,0.0117,1.4253,1.4136,22.0463,24.8716,19.2209,64.6012,23.9159,22.481,12.4545,120.0861,15.3606,True
2012-02-24,24.94,25.3,24.55,24.157637029,2319300.0,0.0068,1.4221,1.4153,22.2242,25.1101,19.3383,66.2076,23.7515,22.6696,16.3218,135.3841,16.7892,True
2012-02-27,24.55,24.98,24.221,24.070599906,1587800.0,-0.0151,1.3964,1.4115,22.3751,25.3153,19.4348,65.5406,23.6586,22.8076,14.0639,124.0754,15.6233,False
2012-02-28,24.76,25.2,24.72,24.2640157349,1578800.0,-0.0286,1.3758,1.4044,22.5791,25.4481,19.7101,66.3478,23.8211,23.0236,18.7,125.0528,16.1922,False
2012-02-29,25.16,25.215,24.64,23.983562783,1444100.0,-0.0662,1.3216,1.3878,22.7517,25.5208,19.9827,64.0182,24.0435,23.2183,15.7713,117.1375,15.9032,False
2012-03-01,24.9,25.39,24.22,23.4903524193,1303400.0,-0.1305,1.2247,1.3552,22.8591,25.5672,20.151,60.0456,23.9932,23.3737,13.6018,107.1295,14.3841,False
2012-03-02,24.19,24.68,23.5,22.8133970182,1194300.0,-0.2194,1.0809,1.3003,22.9333,25.5494,20.3172,55.0243,23.7244,23.4768,9.4457,88.7432,11.829,False
2012-03-05,23.64,23.65,22.75,22.2911742801,1195700.0,-0.3089,0.9142,1.2231,22.9478,25.5462,20.3494,51.4669,23.3685,23.5684,2.6476,70.2157,9.2438,False
2012-03-06,22.75,22.82,22.05,21.8027993122,2308400.0,-0.3911,0.7342,1.1253,22.9867,25.4903,20.4832,48.3358,22.8763,23.5635,0.6173,54.4196,6.8983,False
2012-03-07,22.69,24.17,22.55,22.6973475208,2058700.0,-0.3753,0.6562,1.0315,23.0685,25.4175,20.7195,53.8463,22.619,23.5519,9.8137,71.2334,10.6603,False
2012-03-08,23.96,25.13,23.79,24.1479662375,2723600.0,-0.2625,0.7034,0.9659,23.2179,25.4389,20.9969,61.0621,22.7505,23.5532,13.2492,93.4578,13.1968,False
2012-03-09,25.16,25.74,25.0,24.7959092643,1875100.0,-0.1455,0.7839,0.9295,23.3944,25.5261,21.2626,63.7727,23.147,23.541,16.6289,106.8838,14.7606,False
2012-03-12,25.47,25.8,24.53,23.7708053712,1418300.0,-0.1385,0.7564,0.8949,23.537,25.3439,21.7301,57.0418,23.443,23.49,10.0683,94.4197,13.1632,False
2012-03-13,25.06,25.2,24.68,24.0512583231,1170600.0,-0.1171,0.7485,0.8656,23.6458,25.2945,21.9971,58.3309,23.8927,23.53,11.1601,91.156,13.1632,False
2012-03-14,25.84,26.6501,25.39,24.8152508472,2904900.0,-0.0566,0.7948,0.8514,23.743,25.4264,22.0596,61.6868,24.3162,23.6596,11.5062,108.8992,16.856,False
