date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,26.33,26.66,25.83,22.5576890068,37911800.0,-1.0327,-0.2425,-1.2752,24.9262,29.2635,20.5888,33.4713,22.4051,24.0717,-16.8175,-173.2407,16.0173,False
2012-01-04,25.9499,26.23,25.55,22.6841481178,45418500.0,-1.0742,-0.1659,-1.2401,24.6693,28.8976,20.4411,34.6493,22.4722,23.763,-18.6414,-169.207,16.8272,False
2012-01-05,26.01,26.9,25.91,23.1899845618,50873400.0,-1.091,-0.0671,-1.1581,24.4452,28.4839,20.4065,39.2586,22.6606,23.5165,-16.2255,-140.2111,14.1485,False
2012-01-06,26.67,27.15,26.36,23.4865093738,55685000.0,-1.0842,0.0272,-1.057,24.2442,28.0465,20.4418,41.8353,22.8577,23.3455,-14.6495,-121.0787,13.1639,True
2012-01-09,26.9,27.12,26.66,23.6260504618,38481100.0,-1.0583,0.1036,-0.9546,24.085,27.7067,20.4633,43.0533,23.1089,23.2327,-13.7137,-109.2142,13.0441,True
2012-01-10,27.18,27.6,26.85,23.5736063986,48976300.0,-1.0202,0.1524,-0.8677,23.8818,27.119,20.6446,42.6933,23.3121,23.106,-13.1514,-97.8559,11.1385,True
2012-01-11,26.9899,27.1,26.75,23.503680981,30836000.0,-0.9752,0.1799,-0.7953,23.6912,26.5206,20.8619,42.1893,23.476,23.0091,-13.5027,-100.4991,11.4547,True
2012-01-12,27.02,27.26,26.62,23.7484199425,31775700.0,-0.9222,0.2121,-0.71,23.5343,25.9558,21.1127,44.64,23.5877,22.8964,-14.3558,-93.1558,10.813,True
2012-01-13,27.04,27.37,26.85,23.8970114549,31482600.0,-0.8624,0.2391,-0.6232,23.4266,25.566,21.2871,46.1256,23.6698,22.9912,-10.7943,-84.4161,10.3688,True
2012-01-17,27.68,27.88,27.48,24.1767131252,35769400.0,-0.7951,0.2692,-0.5258,23.3695,25.3598,21.3792,48.8917,23.7799,23.1093,-7.4772,-67.1072,8.3212,True
2012-01-18,27.71,28.45,27.61,24.7710791745,35343800.0,-0.7153,0.3192,-0.3961,23.3343,25.1951,21.4735,54.2408,24.0194,23.2455,-5.1774,-51.4114,6.0843,True
2012-01-19,28.48,28.8,28.25,24.9633740728,36353100.0,-0.6271,0.3525,-0.2746,23.3347,25.1968,21.4726,55.8428,24.3113,23.4198,-1.9568,-37.7496,4.7338,True
2012-01-20,28.3901,28.95,28.27,25.0944842308,37014000.0,-0.5349,0.369,-0.1658,23.3174,25.106,21.5288,56.944,24.5805,23.6096,-1.6132,-32.9149,4.1558,True
2012-01-23,28.73,28.91,28.28,24.8147825605,27438400.0,-0.4481,0.3471,-0.101,23.4344,25.292,21.5768,53.8732,24.7641,23.7638,11.482,-34.8237,4.1558,True
2012-01-24,28.33,28.74,28.25,24.9196706869,23700900.0,-0.3666,0.3259,-0.0408,23.5601,25.4619,21.6583,54.8514,24.9127,23.9338,11.3405,-34.0842,4.2651,True
2012-01-25,28.26,28.64,27.96,24.9196706869,39274500.0,-0.2919,0.2989,0.0069,23.6697,25.6191,21.7204,54.8514,24.9424,24.0913,10.0597,-36.1934,5.3261,True
2012-01-26,28.56,28.845,28.15,24.7273757885,34646400.0,-0.2278,0.2567,0.0289,23.7887,25.6907,21.8866,52.5078,24.8952,24.2275,10.3398,-32.4023,4.4936,True
2012-01-27,28.24,28.63,28.13,24.8410045921,24561500.0,-0.1712,0.2261,0.0548,23.9183,25.7342,22.1025,53.7587,24.8445,24.3376,11.388,-31.7702,4.5684,True
2012-01-30,28.19,28.69,28.02,24.9983367816,23294900.0,-0.1196,0.2067,0.0871,24.0432,25.7943,22.292,55.4975,24.8812,24.4384,11.2759,-28.8868,4.9849,True
2012-01-31,28.73,28.74,28.05,24.657450371,32744000.0,-0.0788,0.163,0.0841,24.1576,25.7481,22.567,51.0419,24.8288,24.5071,11.2975,-30.7408,4.7735,True
2012-02-01,28.48,28.94,28.11,25.2430757431,38240800.0,-0.0375,0.1652,0.1276,24.2918,25.7688,22.8148,57.3453,24.8934,24.6184,8.7931,-18.3318,3.9225,True
2012-02-02,28.87,29.25,28.71,25.1818910027,27334400.0,0.001,0.1543,0.1553,24.4167,25.7436,23.0898,56.5306,24.9844,24.7303,11.7611,-6.6465,2.6089,True
2012-02-03,29.13,29.22,28.78,25.4441113186,26277200.0,0.0401,0.1561,0.1962,24.5294,25.8022,23.2566,59.1928,25.105,24.8433,8.8657,-0.5063,2.6089,True
2012-02-06,29.03,29.07,28.81,25.3479638695,16582600.0,0.0757,0.1426,0.2183,24.6225,25.848,23.397,57.8021,25.1749,24.9401,7.3095,-0.6761,2.6089,True
2012-02-07,28.91,29.0,28.75,25.3042604835,20291700.0,0.1065,0.1232,0.2297,24.7064,25.876,23.5368,57.1482,25.3043,25.0152,6.9322,-1.1079,2.8588,True
2012-02-08,28.92,28.99,28.38,25.1119655852,29842600.0,0.1293,0.0913,0.2206,24.7833,25.8419,23.7247,54.2547,25.278,25.038,5.0362,-7.3811,4.3976,True
2012-02-09,28.85,28.9,28.35,25.2518164203,31795300.0,0.1479,0.0743,0.2221,24.8707,25.7688,23.9727,55.991,25.292,25.0572,6.6421,-4.525,4.5223,True
2012-02-10,28.55,28.64,28.28,24.9065596711,30232000.0,0.157,0.0363,0.1933,24.9286,25.6644,24.1928,50.8825,25.1845,25.0447,5.0624,-12.6242,4.8169,True
2012-02-13,28.59,28.67,28.35,24.8497452693,20015200.0,0.1584,0.0056,0.1639,24.9763,25.5426,24.4099,50.077,25.0849,25.047,4.7497,-9.4087,4.6761,True
2012-02-14,28.32,28.45,28.03,24.6836724026,30267900.0,0.1518,-0.026,0.1258,25.0016,25.4571,24.5462,47.7114,24.9608,25.0313,2.0445,-18.2287,6.0449,False
2012-02-15,28.1,28.35,27.92,24.4564147955,34620600.0,0.1368,-0.0604,0.0764,24.9859,25.4911,24.4806,44.6209,24.8296,25.0004,-0.3515,-23.9384,6.5142,False
2012-02-16,28.16,29.0,28.13,25.3042604835,36380600.0,0.1303,-0.0259,0.1044,25.0029,25.5266,24.4792,56.0106,24.8401,25.0388,0.6944,7.7242,3.4104,False
2012-02-17,29.03,29.03,28.64,25.1644096484,34061000.0,0.127,-0.013,0.1141,25.0064,25.5335,24.4794,54.0462,24.8917,25.0604,0.2763,15.1647,3.2692,False
2012-02-21,28.8,28.98,28.49,25.1207062624,20612200.0,0.125,-0.0082,0.1168,25.0217,25.5433,24.5001,53.4189,24.9459,25.0686,0.2421,11.7745,3.9363,False
2012-02-22,28.72,29.08,28.5,24.9546333956,25207600.0,0.1209,-0.0165,0.1044,25.0235,25.5439,24.503,51.0084,25.0001,25.0884,1.183,10.8156,3.4526,False
2012-02-23,28.59,28.88,28.32,25.1818910027,25319100.0,0.119,-0.0074,0.1116,25.0366,25.5591,24.514,54.0485,25.1452,25.0843,0.838,8.9006,4.2682,False
2012-02-24,29.06,29.538,28.84,25.5664807994,24952400.0,0.1245,0.0221,0.1466,25.0785,25.6291,24.528,58.6959,25.1976,25.1099,2.4025,37.4864,1.0935,True
2012-02-27,29.0,29.38,28.76,25.5752214766,30419400.0,0.1343,0.0389,0.1731,25.1152,25.6947,24.5358,58.7974,25.2798,25.1187,2.6196,34.3656,1.4644,True
2012-02-28,29.24,29.39,29.0,25.6888502801,29889400.0,0.1476,0.0534,0.201,25.1498,25.7775,24.522,60.1606,25.3934,25.1414,2.4399,43.4925,1.4161,True
2012-02-29,29.4,29.44,29.0201,25.570851138,33160700.0,0.1603,0.0508,0.2111,25.1954,25.8059,24.585,58.0245,25.5167,25.1592,2.4356,45.3933,1.1709,True
2012-03-01,29.4,29.97,29.23,26.0734400768,32909600.0,0.1796,0.0771,0.2567,25.237,25.9577,24.5162,63.8775,25.695,25.2233,3.5591,72.3495,1.3983,True
2012-03-02,29.85,30.25,29.76,26.1870688803,28177200.0,0.2034,0.0952,0.2986,25.2872,26.1175,24.4569,65.0577,25.8191,25.2856,3.4188,93.2884,2.7254,True
2012-03-05,30.24,30.42,29.925,26.4318078418,33786600.0,0.2322,0.1153,0.3475,25.3366,26.3044,24.3688,67.5076,25.9904,25.3873,4.1068,108.0392,3.5271,True
2012-03-06,29.94,30.395,29.71,26.1739578645,28971600.0,0.258,0.1033,0.3613,25.3779,26.4123,24.3435,62.5566,26.0874,25.4756,4.558,100.2433,2.4412,True
2012-03-07,30.05,30.28,29.83,26.4143264874,23691100.0,0.2839,0.1033,0.3872,25.4334,26.561,24.3058,65.1122,26.2561,25.591,4.4138,107.2967,2.4412,True
2012-03-08,30.4,30.44,29.85,26.2832163295,30927300.0,0.3056,0.087,0.3926,25.492,26.6674,24.3166,62.6146,26.2981,25.7127,5.0017,110.4961,3.2225,True
2012-03-09,30.05,30.29,29.9,26.3356603927,30056300.0,0.3238,0.0727,0.3965,25.5462,26.7712,24.3212,63.2192,26.3278,25.7815,4.8097,111.786,3.2225,True
2012-03-12,29.72,29.92,29.2,25.9685519504,40933900.0,0.3322,0.0336,0.3658,25.5993,26.8006,24.3979,56.3804,26.2351,25.8351,4.4693,84.4438,0.3868,True
2012-03-13,29.99,30.23,29.91,26.3356603927,32329200.0,0.3391,0.0277,0.3669,25.6736,26.864,24.4831,60.911,26.2675,25.9161,5.4412,113.7543,1.1695,True
2012-03-14,30.0,30.16,29.69,26.082180754,30994400.0,0.34,0.0033,0.3433,25.7435,26.8548,24.6321,56.5646,26.2011,25.9913,6.0105,100.6929,0.0501,True
2012-03-15,29.96,30.13,29.74,26.2744756523,35528500.0,0.3392,-0.003,0.3362,25.8344,26.7973,24.8715,58.9457,26.1993,26.0641,6.2787,104.2576,0.0501,False
2012-03-16,30.11,30.16,29.58,25.994773982,38651200.0,0.3323,-0.0277,0.3046,25.8689,26.8023,24.9355,54.3061,26.1311,26.0927,4.0,93.1698,0.7757,False
2012-03-19,29.59,29.89,29.43,26.0122553364,32519400.0,0.3214,-0.0437,0.2777,25.9113,26.7882,25.0344,54.5457,26.1399,26.1218,2.9625,84.1273,1.5504,False
2012-03-20,29.7,30.14,29.545,26.3094383611,46126400.0,0.3125,-0.0354,0.2772,25.9707,26.7841,25.1574,58.5081,26.1346,26.1632,4.0028,97.6548,0.2241,False
2012-03-21,30.87,31.15,29.34,25.7063316345,94678000.0,0.2951,-0.0696,0.2255,26.0083,26.689,25.3276,49.1852,26.0595,26.1722,7.1183,99.4833,4.8798,False
2012-03-22,29.33,29.33,28.56,25.0245588132,59763200.0,0.2617,-0.1337,0.128,26.0005,26.7216,25.2793,41.2284,25.8095,26.1023,1.5582,24.7631,0.8465,False
2012-03-23,28.69,28.89,28.52,24.9546333956,36696300.0,0.2183,-0.1736,0.0447,25.9699,26.805,25.1347,40.5083,25.6014,26.0201,-2.1938,9.3362,0.6446,False
2012-03-26,28.78,29.19,28.65,25.4878147046,30044300.0,0.1789,-0.1576,0.0214,25.9655,26.8097,25.1213,47.9374,25.4966,25.9572,-0.6467,31.7757,2.1386,False
2012-03-27,29.17,29.52,29.0,25.6538875714,31710000.0,0.1463,-0.1302,0.0161,25.9637,26.8104,25.1171,50.0203,25.3654,25.9225,0.4423,52.1187,3.7574,False
2012-03-28,29.3751,29.545,29.14,25.6626282485,29405300.0,0.1196,-0.1071,0.0125,25.9683,26.8073,25.1293,50.1328,25.3567,25.8724,0.3567,54.8432,3.8799,False
2012-03-29,29.21,29.5825,29.1,25.6101841854,34035400.0,0.0967,-0.0914,0.0054,25.9452,26.7968,25.0936,49.4177,25.4738,25.8275,-1.293,50.5993,3.6653,False
2012-03-30,29.46,29.49,29.04,25.4878147046,32006100.0,0.0754,-0.0854,-0.0101,25.9102,26.7765,25.0439,47.7161,25.5805,25.771,-2.5124,39.0549,3.3395,False
2012-04-02,29.12,29.68,28.995,25.8112197609,28525300.0,0.061,-0.0573,0.0038,25.8792,26.7124,25.046,52.3609,25.6451,25.7605,-2.4326,52.6963,4.3079,False
2012-04-03,29.605,29.7,29.12,25.6888502801,29995400.0,0.0498,-0.045,0.0048,25.8549,26.6806,25.0293,50.5407,25.6521,25.7174,-2.2866,50.4533,4.4105,False
2012-04-04,29.19,29.48,28.93,25.4878147046,31154000.0,0.0377,-0.0482,-0.0105,25.8086,26.607,25.0102,47.6264,25.6172,25.6778,-2.642,25.9768,3.3408,False
2012-04-05,29.15,29.63,29.13,25.8374417925,43273500.0,0.0313,-0.0258,0.0055,25.7863,26.5548,25.0178,52.7077,25.6626,25.6486,-2.661,50.1738,4.1293,False
2012-04-09,29.1,29.25,29.0,25.4091486099,21528500.0,0.0218,-0.0379,-0.0161,25.74,26.4817,24.9983,46.7541,25.6469,25.6096,-3.2338,14.5602,3.7276,False
2012-04-10,28.88,28.96,28.08,24.8310707718,41175000.0,0.0016,-0.0807,-0.079,25.6831,26.5149,24.8513,40.1892,25.4509,25.5309,-3.0084,-63.4522,1.3671,False
2012-04-11,28.49,28.55,28.04,24.6471369142,30390100.0,-0.0271,-0.115,-0.1421,25.5987,26.4891,24.7082,38.3533,25.2425,25.42,-5.3621,-95.3911,1.5808,False
2012-04-12,28.32,28.7218,28.16,25.1376272011,29414300.0,-0.0518,-0.0989,-0.1507,25.5515,26.4345,24.6684,45.4704,25.1725,25.3821,-4.5716,-63.4214,0.6284,False
2012-04-13,28.7,28.77,28.49,24.9624520986,16685800.0,-0.0754,-0.0944,-0.1698,25.4859,26.3387,24.633,43.5466,24.9975,25.378,-4.3163,-57.7622,0.3599,False
2012-04-16,28.58,28.77,28.31,25.0806952928,21476800.0,-0.095,-0.0783,-0.1733,25.4402,26.2768,24.6035,45.2227,24.9318,25.3864,-4.4115,-60.0988,1.3594,False
2012-04-17,28.72,29.44,28.7,25.6456349982,24985300.0,-0.1018,-0.0273,-0.1291,25.4218,26.2229,24.6208,52.4495,25.0947,25.3969,-1.3018,13.3042,2.3484,False
2012-04-18,29.13,29.35,29.1,25.5098742938,21151400.0,-0.1022,-0.0015,-0.1038,25.3818,26.0741,24.6895,50.7264,25.2673,25.3873,-2.4197,18.8099,2.3484,False
2012-04-19,28.99,29.46,28.67,25.4091486099,26462100.0,-0.0999,0.0091,-0.0908,25.367,26.0434,24.6906,49.4354,25.3216,25.3704,-5.2298,-2.0594,0.0776,True
2012-04-20,29.12,29.53,28.88,25.2952847933,35727900.0,-0.0977,0.009,-0.0886,25.3805,26.0396,24.7215,47.957,25.3881,25.3494,0.8901,3.0784,0.3135,True
2012-04-23,28.6,28.66,28.255,24.9449345884,23045500.0,-0.1009,-0.013,-0.1139,25.38,26.0403,24.7197,43.6535,25.361,25.3132,-0.5909,-86.2695,3.1248,False
2012-04-24,28.53,28.85,28.52,25.1288684459,20486900.0,-0.1043,-0.0135,-0.1177,25.3621,26.0292,24.695,46.361,25.2576,25.2677,-0.9604,-56.5197,2.0435,False
2012-04-25,28.68,28.99,28.6,25.2865260381,26902800.0,-0.1048,-0.002,-0.1068,25.3437,25.9978,24.6897,48.628,25.213,25.2409,-1.5923,-39.1309,1.248,False
2012-04-26,28.84,29.22,28.74,25.417907365,20548300.0,-0.1011,0.0146,-0.0866,25.3315,25.9702,24.6928,50.4961,25.2147,25.2363,-0.8955,-16.1108,0.0538,True
2012-04-27,29.06,29.44,29.06,25.6105999777,16847800.0,-0.0918,0.0374,-0.0544,25.3315,25.9702,24.6928,53.172,25.2778,25.2211,-0.2759,20.216,1.2883,True
2012-04-30,29.23,29.42,29.2,25.7507400596,18568500.0,-0.0769,0.0596,-0.0173,25.3446,26.0061,24.6832,55.0647,25.4389,25.2439,-0.031,33.1211,1.2883,True
2012-05-01,29.45,29.78,29.29,25.8996388967,19965400.0,-0.0568,0.0805,0.0238,25.3491,26.024,24.6741,57.0413,25.5931,25.3151,0.5444,62.2598,3.3094,True
2012-05-02,29.42,29.79,29.19,26.0222614684,22579000.0,-0.0323,0.0978,0.0655,25.3657,26.0882,24.6433,58.6463,25.7402,25.4068,0.5105,62.6691,2.7153,True
2012-05-03,29.74,29.815,29.34,25.7332225494,19175800.0,-0.011,0.0853,0.0744,25.378,26.1165,24.6395,53.5897,25.8033,25.4465,1.3455,53.2333,2.8573,True
2012-05-04,29.1,29.15,28.41,24.8836233025,33934300.0,-0.0062,0.0189,0.0127,25.3303,26.0672,24.5935,42.1453,25.6579,25.4413,-1.4165,-73.4989,2.526,True
2012-05-07,28.34,28.4487,27.85,24.4544443015,33670500.0,-0.019,-0.051,-0.07,25.2826,26.1109,24.4543,37.7786,25.3986,25.3995,-2.7395,-155.1739,5.553,False
2012-05-08,27.71,28.02,27.53,24.4632030566,24660200.0,-0.0418,-0.0914,-0.1333,25.2642,26.1463,24.382,37.9193,25.1114,25.3207,-3.2459,-185.3046,7.2272,False
2012-05-09,27.62,27.91,27.41,24.3318217298,25521100.0,-0.0718,-0.12,-0.1918,25.2484,26.1838,24.3131,36.5901,24.7733,25.2421,-2.2417,-196.0637,7.8501,False
2012-05-10,27.695,27.75,26.74,23.6661563405,52653300.0,-0.1152,-0.1734,-0.2886,25.1749,26.3374,24.0123,30.7404,24.3598,25.1259,-3.3835,-256.9977,11.2343,False
2012-05-11,26.97,27.31,26.77,23.6486388303,25588900.0,-0.1647,-0.1979,-0.3626,25.1092,26.4475,23.7708,30.6024,24.1129,25.0162,-5.0747,-264.0353,11.2343,False
2012-05-14,26.73,27.305,26.66,23.6136038098,22485200.0,-0.2156,-0.2036,-0.4192,25.0358,26.5247,23.5469,30.3109,23.9447,24.9274,-5.0921,-251.3292,11.7844,False
