date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,30.67,30.73,30.39,22.2558683666,2815400.0,0.2628,0.0241,0.2387,21.7684,22.2361,21.3007,61.5975,22.0408,21.7839,3.8176,145.2215,9.7374,True
2012-01-04,30.49,30.49,29.98,22.1095925311,3069500.0,0.2622,0.0188,0.2434,21.7878,22.2777,21.2978,58.7344,22.0642,21.8068,1.803,118.0181,7.1494,True
2012-01-05,30.12,30.94,29.94,22.4972234951,3744500.0,0.2897,0.037,0.2527,21.8265,22.4043,21.2488,63.5454,22.1915,21.8682,3.7211,144.1858,9.5309,True
2012-01-06,30.91,30.91,30.44,22.5191648704,3534600.0,0.3097,0.0456,0.2641,21.869,22.5153,21.2227,63.8014,22.2807,21.9428,3.8294,156.229,9.5309,True
2012-01-09,30.94,31.175,30.85,22.7678337907,5634400.0,0.3416,0.0621,0.2796,21.9319,22.6651,21.1986,66.645,22.4299,22.0296,4.8604,182.4959,10.9223,True
2012-01-10,31.22,31.44,31.04,22.7458924154,4030700.0,0.361,0.0652,0.2959,21.9699,22.7847,21.1551,66.1537,22.5279,22.1033,4.0026,190.2336,12.2941,True
2012-01-11,31.1,31.3,30.94,22.7605199989,2357700.0,0.3733,0.0619,0.3114,22.0196,22.8975,21.1418,66.331,22.6581,22.1774,4.6473,177.2704,11.6343,True
2012-01-12,31.15,31.2525,30.865,22.7605199989,1864100.0,0.3786,0.0538,0.3248,22.0789,22.9883,21.1695,66.331,22.7108,22.2203,3.7255,168.9066,11.1363,True
2012-01-13,30.99,31.04,30.54,22.6654407059,2215300.0,0.3709,0.0369,0.334,22.1421,23.0296,21.2546,63.836,22.74,22.2949,4.7941,143.6764,8.9937,True
2012-01-17,31.48,31.48,31.11,22.8190303331,9129300.0,0.3729,0.0311,0.3418,22.2098,23.087,21.3325,66.0464,22.7503,22.3787,6.4592,174.9003,11.3469,True
2012-01-18,31.4,31.845,31.23,23.1627785465,3379800.0,0.3976,0.0447,0.353,22.2859,23.2151,21.3566,70.3869,22.8337,22.4675,6.5406,195.0605,13.2395,True
2012-01-19,31.88,32.47,31.71,23.6454888035,3603700.0,0.451,0.0784,0.3726,22.3857,23.4403,21.3311,75.1637,23.0107,22.5777,7.5166,233.0957,16.3491,True
2012-01-20,32.37,32.47,32.15,23.63086122,2875400.0,0.4865,0.0911,0.3954,22.4614,23.6382,21.2846,74.7721,23.1847,22.6957,6.1458,227.9674,16.3491,True
2012-01-23,32.35,32.4,31.922,23.5869784693,1923600.0,0.5052,0.0879,0.4173,22.5634,23.7589,21.3679,73.5406,23.369,22.7966,7.6412,204.7469,14.7968,True
2012-01-24,32.18,32.415,32.0,23.6528025953,1713700.0,0.5194,0.0817,0.4378,22.668,23.8604,21.4756,74.2229,23.5358,22.9053,9.5842,196.5716,14.8728,True
