date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,55.88,55.98,54.67,42.2562324619,11238300.0,0.0298,0.1521,0.1223,40.0053,41.3925,42.7797,55.7968,41.9015,41.2743,0.5027,69.8301,2.2872,True
2012-01-04,55.22,56.2,54.56,42.6843759426,17589100.0,0.0693,0.2273,0.158,39.9493,41.4437,42.9382,58.2797,42.0483,41.3278,1.8485,79.3587,2.8313,True
2012-01-05,55.87,56.2,55.29,42.8602205865,11518500.0,0.115,0.2976,0.1827,39.8843,41.4907,43.0971,59.2861,42.3113,41.4231,1.8854,93.8029,2.8313,True
2012-01-06,55.91,56.4,55.86,42.9366747795,8040100.0,0.1631,0.3555,0.1924,39.8305,41.5561,43.2817,59.7385,42.5116,41.5791,3.0325,106.7489,3.3373,True
2012-01-09,56.14,56.36,55.429,42.745539297,12663500.0,0.2067,0.3815,0.1747,39.8288,41.6264,43.4241,58.0118,42.6966,41.7504,2.4914,91.5622,2.1712,True
2012-01-10,56.56,56.6,55.715,42.6232125883,11673300.0,0.2429,0.3877,0.1448,39.8138,41.6482,43.4827,56.8844,42.77,41.9104,2.1661,95.6369,2.7924,True
2012-01-11,55.75,56.03,55.55,42.5238221374,7140200.0,0.2704,0.3803,0.1099,39.8085,41.6803,43.5521,55.938,42.7379,42.099,2.1327,77.4246,2.3381,True
2012-01-12,55.61,56.51,55.48,43.0666469076,11387500.0,0.299,0.4134,0.1144,39.8003,41.7621,43.724,59.8471,42.7792,42.2124,1.3996,94.2668,3.5986,True
2012-01-13,55.94,56.73,55.92,43.2272007128,10517600.0,0.3287,0.4475,0.1188,39.9094,41.8936,43.8779,60.9451,42.8373,42.3679,4.4559,105.7283,4.175,True
2012-01-17,56.93,57.74,56.72,43.6859258707,12411500.0,0.3641,0.5057,0.1416,40.1026,42.0691,44.0356,63.9619,43.0254,42.5085,7.3833,143.049,6.7776,True
2012-01-18,57.12,57.91,56.96,44.0299697392,13313700.0,0.4059,0.5729,0.1671,40.3078,42.2595,44.2112,66.0681,43.3067,42.6594,7.5794,153.1211,7.209,True
2012-01-19,57.71,58.24,57.47,44.3434319304,13298900.0,0.4535,0.6441,0.1906,40.7181,42.4919,44.2657,67.8995,43.6706,42.8189,9.7419,168.9513,8.0489,True
2012-01-20,58.0199,58.1,57.47,44.1370056093,16538600.0,0.498,0.6761,0.178,40.7982,42.6305,44.4627,65.4086,43.8847,42.9917,6.9194,155.0194,8.0489,True
2012-01-23,57.94,58.72,57.86,44.4581132199,13223800.0,0.5422,0.719,0.1768,40.9931,42.8086,44.6241,67.4017,44.1309,43.1599,7.9402,170.7967,9.6383,True
2012-01-24,57.76,58.68,57.567,44.8633204427,11490300.0,0.5891,0.7768,0.1877,41.0421,42.973,44.9039,69.7577,44.3664,43.3628,7.6401,166.5811,8.735,True
2012-01-25,59.12,59.5,58.53,45.1003284409,21441100.0,0.6377,0.8321,0.1944,41.0826,43.1397,45.1967,71.0681,44.5804,43.5524,8.6957,189.8313,10.8259,True
2012-01-26,59.13,59.35,57.54,44.1981689637,20419500.0,0.669,0.794,0.125,41.2217,43.252,45.2824,60.3954,44.5514,43.6533,7.9287,146.5132,7.7938,True
2012-01-27,57.55,58.15,57.54,44.1828781251,10295900.0,0.686,0.7539,0.0679,41.4752,43.3839,45.2927,60.2311,44.5606,43.7415,5.8235,123.329,7.7938,True
2012-01-30,57.24,58.64,57.03,44.8250933462,13061700.0,0.7018,0.7651,0.0633,41.6429,43.5284,45.414,64.5676,44.634,43.8674,6.7346,133.3331,6.2453,True
2012-01-31,58.95,59.35,58.6,44.9703563128,13551300.0,0.7168,0.7767,0.06,41.8725,43.6859,45.4993,65.4799,44.6554,44.0157,7.9385,167.2553,8.1141,True
2012-02-01,59.48,59.75,58.79,45.5361173409,27741800.0,0.7379,0.8221,0.0843,41.9907,43.8499,45.7092,68.8288,44.7425,44.2099,6.7345,177.6673,9.1517,True
2012-02-02,61.03,61.95,60.6,46.4306313988,34830000.0,0.7742,0.9197,0.1455,41.9452,44.0372,46.1293,73.2285,45.189,44.4703,10.2313,238.1852,14.5484,True
2012-02-03,60.99,61.33,60.6101,46.6829302357,17428700.0,0.8205,1.0058,0.1853,41.9146,44.2284,46.5421,74.3237,45.689,44.7114,9.1281,218.8703,14.5484,True
2012-02-06,60.82,61.12,60.54,46.690575655,11060800.0,0.8689,1.0624,0.1935,41.948,44.4161,46.8841,74.3577,46.0621,44.9423,8.3688,202.3089,14.3246,True
2012-02-07,60.81,61.62,60.54,47.0575557813,12395300.0,0.9199,1.1239,0.204,42.035,44.6317,47.2283,75.9953,46.4796,45.1671,9.3329,200.0892,15.5218,True
2012-02-08,61.42,61.67,60.94,46.9963924269,11454900.0,0.9668,1.1544,0.1876,42.2306,44.8503,47.4701,75.1384,46.7716,45.3649,8.9576,190.9952,15.6417,True
2012-02-09,61.59,61.99,61.39,47.3557271339,13895400.0,1.0122,1.1938,0.1816,42.4837,45.0919,47.7001,76.786,46.9566,45.5657,10.6372,191.523,16.4137,True
2012-02-10,61.43,61.8,61.24,47.1951733287,10376500.0,1.0494,1.1983,0.1488,42.7106,45.2983,47.8861,74.4249,47.0591,45.7696,9.3612,174.3383,15.908,True
2012-02-13,61.99,61.99,61.2,47.202818748,9318000.0,1.0773,1.1887,0.1114,42.9661,45.4971,48.0281,74.4649,47.1615,45.9525,9.272,165.7607,16.3759,True
2012-02-14,61.52,61.71,61.1,47.1798824901,8913400.0,1.095,1.1659,0.0709,43.183,45.6718,48.1606,74.0919,47.186,46.107,6.8756,152.3225,16.0304,True
2012-02-15,61.81,61.99,61.36,47.0804920392,10839600.0,1.1013,1.1267,0.0254,43.3833,45.8243,48.2654,72.4078,47.2028,46.239,7.0454,146.7017,16.7343,True
2012-02-16,61.79,62.4,61.56,47.6080259708,12328800.0,1.1061,1.1253,0.0192,43.5279,45.9876,48.4472,75.5661,47.2533,46.4663,7.1429,149.105,17.761,True
2012-02-17,62.26,62.71,62.0,47.7991614532,14729200.0,1.1102,1.1266,0.0164,43.7443,46.1707,48.597,76.6057,47.3741,46.7074,7.9346,149.0762,18.5333,True
2012-02-21,62.66,62.93,62.35,47.997942355,8631500.0,1.1143,1.1307,0.0164,43.9304,46.3477,48.7649,77.6645,47.5331,46.9189,7.1696,147.6551,19.0818,True
