date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,27.53,27.7,26.97,26.99,961600.0,0.0335,0.0091,-0.0244,27.194,26.4178,27.9702,48.9747,27.112,27.024,-0.7168,46.5695,0.9323,False
2012-01-04,26.91,26.92,26.44,26.49,885600.0,0.0187,-0.0406,-0.0593,27.1375,26.3297,27.9453,43.795,26.938,26.9647,-3.5817,-48.7086,2.5234,False
2012-01-05,26.48,26.94,26.33,26.85,770900.0,0.0049,-0.0503,-0.0552,27.1055,26.3054,27.9056,48.0347,26.916,26.9567,-2.9189,-39.6591,3.2228,False
2012-01-06,26.87,27.1001,26.61,26.87,631000.0,-0.0072,-0.0557,-0.0485,27.062,26.3116,27.8124,48.267,26.88,26.9693,-2.6577,-18.3512,2.1382,False
2012-01-09,26.86,27.22,26.68,27.04,638500.0,-0.015,-0.0458,-0.0309,27.0315,26.3313,27.7317,50.2906,26.848,26.99,-2.2972,-0.7337,1.3273,False
2012-01-10,27.22,27.48,27.2,27.47,678400.0,-0.0126,-0.0032,0.0094,27.004,26.4293,27.5787,55.0552,26.944,27.0293,-1.9272,71.7238,0.4162,True
2012-01-11,27.48,27.75,27.35,27.69,442000.0,-0.0005,0.0478,0.0483,27.0195,26.3908,27.6482,57.2987,27.184,27.1093,0.1444,109.5668,2.1934,True
2012-01-12,27.71,27.96,27.53,27.81,656700.0,0.0189,0.0967,0.0778,27.0615,26.3455,27.7775,58.5092,27.376,27.1373,0.7023,139.6306,3.5549,True
2012-01-13,27.67,27.895,27.43,27.81,665600.0,0.0419,0.134,0.092,27.118,26.3546,27.8814,58.5092,27.564,27.208,3.3531,126.0281,2.8615,True
2012-01-17,27.95,28.29,27.91,28.02,661400.0,0.0692,0.1784,0.1092,27.1825,26.3466,28.0184,60.7446,27.76,27.262,4.4355,192.0317,5.4057,True
2012-01-18,27.96,28.54,27.95,28.49,682100.0,0.1051,0.2486,0.1435,27.263,26.2648,28.2612,65.2359,27.964,27.34,4.5038,234.0523,6.9739,True
2012-01-19,28.56,28.88,28.41,28.82,1212500.0,0.1495,0.3272,0.1777,27.3795,26.236,28.523,67.991,28.19,27.4373,6.1374,285.8054,9.059,True
2012-01-20,28.82,29.2,28.76,29.2,1065700.0,0.2027,0.4153,0.2126,27.47,26.078,28.862,70.842,28.468,27.5867,6.3365,317.9585,10.9691,True
2012-01-23,29.12,29.345,28.96,29.2,650600.0,0.2581,0.4796,0.2215,27.5925,26.0522,29.1328,70.842,28.746,27.73,7.3729,306.4233,11.8225,True
2012-01-24,29.1,29.54,28.9,29.14,882200.0,0.3104,0.5197,0.2093,27.689,26.0202,29.3578,69.7165,28.97,27.8593,8.2845,284.0102,12.9635,True
2012-01-25,29.07,29.23,29.02,29.19,1023800.0,0.3582,0.5492,0.1911,27.7825,26.0011,29.5639,70.14,29.11,28.006,6.8348,251.7416,12.9635,True
2012-01-26,29.25,29.372,29.06,29.18,972800.0,0.3996,0.5653,0.1657,27.8735,26.004,29.743,69.9304,29.182,28.1853,6.8461,237.1898,13.8035,True
2012-01-27,29.0199,29.4,29.0,29.23,728200.0,0.4348,0.5754,0.1407,27.987,26.0779,29.8961,70.4042,29.188,28.344,7.3384,219.6132,13.3335,True
2012-01-30,28.93,29.3,28.86,29.07,631200.0,0.4606,0.564,0.1034,28.088,26.1741,30.0019,66.7958,29.162,28.4907,8.0383,190.7555,12.2336,True
