date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,16.8,16.91,16.33,10.2823696725,6110200.0,0.0222,0.0287,-0.0064,9.9706,10.4792,9.4619,55.3201,10.0239,9.9079,-3.0946,48.1982,6.4252,True
2012-01-04,16.44,16.83,16.21,10.5264429636,8512200.0,0.0615,0.0543,0.0071,9.9781,10.5141,9.442,58.7733,10.1491,9.9271,0.7181,50.3701,5.7644,True
2012-01-05,18.2,18.27,17.55,11.2023382312,28075500.0,0.1455,0.1107,0.0348,10.025,10.7747,9.2753,66.4635,10.4388,10.0135,9.3357,117.3698,12.4026,True
2012-01-06,17.83,18.44,17.83,11.449540667,11792100.0,0.2293,0.1556,0.0737,10.0868,11.0592,9.1144,68.7479,10.7449,10.1313,12.439,134.7425,13.1372,True
2012-01-09,18.35,18.45,18.14,11.3838286271,8663100.0,0.2872,0.1708,0.1164,10.1647,11.2801,9.0494,67.4396,10.9689,10.2486,12.6374,141.1334,13.1807,True
2012-01-10,18.41,18.83,18.33,11.6404184972,10149200.0,0.3497,0.1866,0.163,10.2411,11.5278,8.9543,69.8409,11.2405,10.3808,15.6634,162.2585,14.831,True
2012-01-11,18.68,18.715,18.39,11.6967431028,7189400.0,0.3992,0.1889,0.2103,10.314,11.7486,8.8793,70.355,11.4746,10.5319,14.1159,160.7867,14.831,True
2012-01-12,18.81,19.5,18.8,12.1223067898,23587000.0,0.4673,0.2056,0.2617,10.4247,12.0465,8.803,73.9504,11.6586,10.6835,18.1818,197.0939,18.1547,True
2012-01-13,19.2599,19.67,19.1,12.2286977116,10863800.0,0.5239,0.2098,0.3141,10.5521,12.3144,8.7898,74.77,11.8144,10.8329,25.0477,205.4982,18.8521,True
2012-01-17,19.6,19.8,19.19,12.1598565269,13270400.0,0.5568,0.1941,0.3626,10.6788,12.5191,8.8386,73.1739,11.9696,10.976,25.0,200.6649,19.3863,True
2012-01-18,19.41,19.79,19.34,12.3601217914,8890600.0,0.5921,0.1836,0.4085,10.814,12.7297,8.8984,74.8474,12.1135,11.126,27.2734,202.6236,19.3863,True
2012-01-19,19.79,19.95,19.69,12.416446397,7222300.0,0.6176,0.1672,0.4504,10.9633,12.8899,9.0367,75.3116,12.2575,11.2937,27.7078,202.2443,20.0562,True
2012-01-20,19.84,20.09,19.61,12.5290956083,11928800.0,0.6395,0.1513,0.4882,11.0974,13.0674,9.1273,76.2506,12.3388,11.4787,26.4317,193.5984,20.643,True
2012-01-23,20.0,20.02,19.52,12.3163137648,15262700.0,0.6324,0.1154,0.517,11.2138,13.183,9.2445,70.8004,12.3564,11.6385,25.125,171.8795,20.0668,True
2012-01-24,19.9,20.02,19.55,12.3601217914,14833600.0,0.6231,0.0849,0.5382,11.3311,13.2799,9.3824,71.2537,12.3964,11.7783,22.3716,163.6375,20.0668,True
2012-01-25,19.73,19.9,19.45,12.3726383704,8464700.0,0.6097,0.0572,0.5525,11.4442,13.3587,9.5297,71.3896,12.3989,11.9177,23.0674,150.9535,19.4116,True
2012-01-26,19.92,20.0,19.66,12.391413239,7326500.0,0.5938,0.033,0.5608,11.5688,13.387,9.7505,71.6055,12.3939,12.042,23.7624,148.9841,19.8564,True
2012-01-27,20.35,21.0,20.32,12.9984673219,18576900.0,0.623,0.0498,0.5732,11.731,13.4488,10.0133,77.4882,12.4878,12.1617,30.6783,185.6269,24.1158,True
2012-01-30,20.71,21.0,20.5,13.0735667961,8838000.0,0.6447,0.0572,0.5875,11.8887,13.4872,10.2902,78.0899,12.6392,12.27,32.3251,179.3153,24.1158,True
2012-01-31,21.14,21.23,20.96,13.2300240339,16201400.0,0.6669,0.0635,0.6034,12.037,13.5533,10.5208,79.3235,12.8132,12.3931,28.6667,182.2349,25.0631,True
2012-02-01,23.5901,26.15,23.56,15.9774131308,75403800.0,0.8959,0.234,0.6619,12.3218,14.4346,10.2089,89.9592,13.5342,12.6822,54.6422,332.787,41.0675,True
2012-02-02,25.4599,26.3116,25.19,16.1119663554,26350600.0,1.0757,0.3311,0.7447,12.6011,15.127,10.0751,90.2231,14.2783,12.9766,56.3375,323.2222,41.485,True
2012-02-03,26.0,26.68,25.955,16.5312717529,13584400.0,1.2379,0.3946,0.8433,12.8675,15.8331,9.9019,91.0118,14.9848,13.2705,46.0317,311.2255,42.4303,True
2012-02-06,26.39,26.63,25.919,16.5187551739,12271500.0,1.3498,0.4052,0.9446,13.121,16.4076,9.8344,90.7776,15.6739,13.5565,44.4143,278.5662,42.202,True
2012-02-07,26.32,27.15,26.22,16.6908581355,14065700.0,1.4358,0.393,1.0428,13.3863,16.917,9.8557,91.1145,16.3661,13.8586,47.1545,262.3041,43.5316,True
2012-02-08,26.78,27.285,26.7,16.8973816895,11061300.0,1.5033,0.3684,1.1349,13.6492,17.3968,9.9015,91.5131,16.55,14.161,44.9018,247.262,43.8725,True
2012-02-09,27.06,27.3,26.29,16.697116425,14218200.0,1.5231,0.3106,1.2126,13.8992,17.758,10.0404,87.4379,16.6671,14.4464,45.8723,220.141,41.2391,True
2012-02-10,26.25,26.45,25.81,16.3935893836,15049400.0,1.4971,0.2276,1.2695,14.1128,18.027,10.1985,81.5414,16.6395,14.7041,35.641,189.2925,38.2269,True
2012-02-13,26.48,26.5,25.78,16.4593014235,10088600.0,1.4648,0.1563,1.3086,14.3243,18.2655,10.383,81.8257,16.6276,14.9803,36.0159,180.8961,39.0648,True
2012-02-14,26.0,26.74,25.93,16.8068106666,8362200.0,1.4506,0.1136,1.337,14.5566,18.508,10.6053,83.2844,16.6508,15.2767,36.3466,175.567,39.7268,True
2012-02-15,26.61,26.77,26.05,16.5540766716,9647900.0,1.4028,0.0526,1.3501,14.7663,18.674,10.8586,78.3822,16.5822,15.5555,36.5685,163.0665,39.8099,True
2012-02-16,26.47,27.3,26.3,17.1732749593,9997000.0,1.3987,0.0389,1.3598,15.0042,18.8898,11.1185,81.2754,16.6774,15.8743,38.1554,165.3824,41.2651,True
2012-02-17,27.25,27.3,26.8,16.9837244631,6814000.0,1.3644,0.0037,1.3608,15.2269,19.0293,11.4245,77.8578,16.7954,16.1399,37.1926,157.4735,41.2651,True
2012-02-21,27.0,27.125,26.46,16.8826308651,4934700.0,1.314,-0.0374,1.3514,15.4552,19.0751,11.8353,76.0309,16.8801,16.3939,36.7898,144.8759,39.035,False
2012-02-22,26.61,26.79,26.34,16.7151945934,6679100.0,1.2461,-0.0842,1.3303,15.673,19.0368,12.3091,72.9916,16.8618,16.6262,35.1004,133.1218,38.2516,False
2012-02-23,26.4,27.4,26.35,17.1290465102,9857600.0,1.2118,-0.0949,1.3066,15.9108,18.9661,12.8555,75.5771,16.9768,16.703,39.0098,133.405,39.9992,False
2012-02-24,27.29,27.78,27.25,17.3691438054,9956800.0,1.1902,-0.0931,1.2833,16.1597,18.8121,13.5073,76.9487,17.0159,16.7868,40.233,135.1689,41.0561,False
2012-02-27,27.25,27.7,26.7,16.8763125152,10897300.0,1.1204,-0.1303,1.2508,16.3536,18.5872,14.12,68.4893,16.9945,16.8098,33.1706,119.9974,37.4914,False
2012-02-28,26.84,27.14,26.67,17.1100914606,7177000.0,1.0716,-0.1433,1.2149,16.5554,18.2254,14.8854,70.1568,17.04,16.8492,30.4784,112.7338,37.299,False
2012-02-29,27.2,27.46,26.2574,16.5919867708,10275000.0,0.9799,-0.1881,1.1679,16.7235,17.4051,16.0419,62.3254,17.0153,16.8426,30.5866,102.5782,34.6625,False
2012-03-01,26.44,27.4,25.98,17.287005257,10556700.0,0.9523,-0.1725,1.1248,16.789,17.4211,16.1569,67.5342,17.0469,16.8686,5.7857,101.8826,32.9174,False
2012-03-02,27.24,27.75,26.775,17.2364584581,12285100.0,0.9157,-0.1672,1.083,16.8452,17.4242,16.2662,66.8144,17.0204,16.9046,6.4789,102.6156,34.0146,False
2012-03-05,27.1,27.79,27.09,17.4765557533,9877900.0,0.8958,-0.1497,1.0455,16.8925,17.514,16.2709,68.5219,17.1404,16.9768,5.16,101.6813,34.1398,False
2012-03-06,27.42,27.6,26.52,16.9995203378,10013000.0,0.832,-0.1709,1.0028,16.9165,17.5152,16.3178,61.7575,17.1183,17.0128,4.6372,89.8498,30.5503,False
2012-03-07,27.2292,27.7,27.01,17.4512823538,8109400.0,0.8085,-0.1555,0.964,16.9545,17.5867,16.3224,65.2393,17.2902,17.0558,3.0049,92.5178,30.8803,False
2012-03-08,27.7,28.56,27.7,17.6787429493,11770100.0,0.7991,-0.1319,0.931,16.9936,17.6991,16.2881,66.8667,17.3685,17.1307,5.6774,98.0107,33.638,False
2012-03-09,28.03,28.63,28.03,17.8998851949,9046000.0,0.8002,-0.1046,0.9048,17.0537,17.8475,16.26,68.4074,17.5012,17.1792,5.8782,97.7655,33.8564,False
2012-03-12,28.23,28.34,27.85,17.6155594505,6135600.0,0.7693,-0.1085,0.8777,17.1148,17.8836,16.346,64.2893,17.529,17.2213,8.1738,89.8006,32.7141,False
2012-03-13,28.09,28.18,27.46,17.691379649,8772400.0,0.7423,-0.1083,0.8506,17.1764,17.9224,16.4305,64.8931,17.6674,17.2752,6.3396,84.6776,30.2645,False
2012-03-14,27.93,28.3,27.1,17.3312337062,9831200.0,0.684,-0.1333,0.8173,17.2027,17.9314,16.4739,59.7513,17.6434,17.3163,5.834,78.0464,28.046,False
2012-03-15,27.41,27.52,26.41,16.7941739668,13668600.0,0.5877,-0.1837,0.7714,17.2147,17.9073,16.522,53.0369,17.4664,17.294,2.8016,64.3903,23.932,False
2012-03-16,26.84,27.03,26.27,16.8763125152,15459600.0,0.5121,-0.2074,0.7195,17.1998,17.908,16.4917,53.886,17.2617,17.2611,-0.989,59.9077,23.1158,False
2012-03-19,26.58,26.88,26.11,16.7057170686,8690300.0,0.4334,-0.2289,0.6623,17.1859,17.9209,16.4509,51.8018,17.0798,17.2497,-1.5385,55.1299,22.1806,False
2012-03-20,26.29,26.67,25.93,16.787855617,6848400.0,0.3734,-0.2311,0.6045,17.1812,17.9251,16.4373,52.7447,16.8991,17.2282,-1.6774,52.0614,21.1279,False
2012-03-21,26.69,26.925,26.32,16.8763125152,6956900.0,0.3292,-0.2203,0.5495,17.1892,17.9161,16.4624,53.7878,16.8081,17.2472,0.5039,54.5562,22.0949,False
2012-03-22,26.7,27.975,26.66,17.6471511999,12346100.0,0.3523,-0.1578,0.51,17.2151,17.968,16.4623,61.6847,16.9787,17.2712,2.0985,67.0279,25.8991,False
2012-03-23,27.89,28.04,27.27,17.6661062495,8567000.0,0.3678,-0.1137,0.4816,17.23,18.0058,16.4542,61.8565,17.1366,17.2999,0.9359,69.4127,26.1262,False
