date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,16.9,17.22,16.625,15.2536571424,4603100.0,-0.1467,-0.4376,0.2908,14.0768,12.5843,15.5692,55.5209,14.7476,13.9874,2.6834,-30.6305,8.9379,True
2012-01-04,16.68,16.86,16.56,15.2173820957,2746000.0,-0.0755,-0.3651,0.2897,14.0949,12.5569,15.6328,55.1202,14.8546,14.0956,0.2378,-33.8007,9.1363,True
2012-01-05,16.64,17.33,16.48,15.6708201796,4667500.0,0.0174,-0.2886,0.306,14.1484,12.4753,15.8215,59.0758,15.0904,14.289,4.713,-24.5877,7.4158,True
2012-01-06,16.6,17.35,16.55,15.5529262778,4999100.0,0.0805,-0.2148,0.2953,14.2073,12.4269,15.9877,57.6601,15.2809,14.4771,7.4636,-23.9132,7.3426,True
2012-01-09,17.18,17.93,17.13,16.1514645485,8397300.0,0.1768,-0.1365,0.3133,14.3225,12.3612,16.2839,62.5427,15.5693,14.6899,12.7673,-5.4107,5.227,True
2012-01-10,18.09,18.18,17.64,16.3056334971,4128700.0,0.2626,-0.0567,0.3192,14.4354,12.2983,16.5725,63.6981,15.7796,14.9081,16.3892,5.1522,4.3257,True
2012-01-11,17.89,18.11,17.44,16.3509773054,2913300.0,0.3304,0.0207,0.3096,14.5733,12.3186,16.828,64.0475,16.0064,15.107,18.9882,5.5056,4.9878,True
2012-01-12,18.14,18.15,17.66,16.3056334971,2556800.0,0.3761,0.0918,0.2843,14.7501,12.5348,16.9654,63.3937,16.1333,15.2552,18.8605,9.8097,4.8402,True
2012-01-13,17.82,17.89,17.5,15.9972956,2750000.0,0.383,0.1501,0.233,14.9134,12.8402,16.9865,59.0051,16.2222,15.3864,24.4955,3.9847,5.3812,True
2012-01-17,17.99,18.43,17.93,16.5822307282,4496700.0,0.4308,0.2062,0.2246,15.0945,13.1045,17.0845,64.0619,16.3084,15.5046,23.4427,23.8496,3.3644,True
2012-01-18,18.39,19.26,18.34,17.3031972816,5356300.0,0.5208,0.2691,0.2517,15.3081,13.3327,17.2835,69.0961,16.5079,15.6784,30.3112,48.3874,0.3621,True
2012-01-19,19.29,19.5,18.91,17.4392287068,9521600.0,0.5962,0.3345,0.2617,15.5117,13.539,17.4844,69.9471,16.7255,15.8622,31.2248,61.5777,0.4878,True
2012-01-20,20.36,21.49,20.17,19.3980812293,15864900.0,0.8048,0.4286,0.3762,15.7774,13.2829,18.2718,78.9084,17.344,16.1893,37.9775,125.5629,7.1203,True
2012-01-23,21.19,21.64,21.0,19.3073936125,5476300.0,0.9518,0.5332,0.4186,16.0413,13.244,18.8385,77.7583,18.006,16.503,39.433,135.8185,7.5924,True
2012-01-24,21.2,21.59,21.0,19.5477157969,3725800.0,1.0753,0.6416,0.4337,16.2782,13.1548,19.4016,78.6422,18.5991,16.8256,31.6865,137.9403,7.5924,True
2012-01-25,22.26,22.45,21.43,19.742694173,6620800.0,1.1754,0.7484,0.427,16.5305,13.154,19.907,79.3553,19.087,17.1248,35.9782,154.8879,10.296,True
2012-01-26,22.01,22.25,21.47,19.6066627479,5492100.0,1.2295,0.8446,0.3849,16.7768,13.26,20.2935,77.4229,19.5205,17.4175,36.5031,148.6877,10.296,True
2012-01-27,21.45,22.28,21.21,19.9512756916,4620900.0,1.2854,0.9328,0.3526,17.0497,13.4385,20.661,78.8226,19.6311,17.7028,35.7709,146.6575,9.2962,True
2012-01-30,21.75,21.97,21.4,19.7336254113,5214100.0,1.2972,1.0057,0.2915,17.3064,13.6982,20.9145,75.6488,19.7164,17.9815,35.4501,137.9861,9.2962,True
2012-01-31,22.08,22.12,21.41,19.5703877011,3770200.0,1.2786,1.0602,0.2184,17.5494,14.0197,21.0791,73.2778,19.7209,18.2095,34.9603,133.3163,9.7841,True
2012-02-01,21.75,21.99,21.36,19.7971067431,6298800.0,1.2676,1.1017,0.1659,17.7766,14.2825,21.2707,74.4686,19.7318,18.4422,27.7003,131.5236,9.5843,True
2012-02-02,22.22,23.3,22.08,20.7039829109,7479900.0,1.3168,1.1447,0.1721,18.0509,14.5421,21.5597,78.5627,19.9513,18.7324,38.1969,160.5383,13.7664,True
2012-02-03,23.25,24.01,23.07,21.4748276535,5541300.0,1.4019,1.1962,0.2057,18.3411,14.7098,21.9724,81.2944,20.256,19.077,38.5459,182.4098,15.9102,True
2012-02-06,23.43,23.62,23.2099,21.2571773732,3401100.0,1.4352,1.244,0.1912,18.6263,15.0198,22.2328,78.2768,20.5607,19.4277,36.1383,172.5937,15.9102,True
2012-02-07,23.4,23.73,22.9,21.4838964152,4664300.0,1.4631,1.2878,0.1753,18.893,15.2693,22.5166,79.141,20.9434,19.7545,32.348,166.1181,14.6239,True
2012-02-08,23.69,24.56,23.69,22.0189533542,4353600.0,1.5109,1.3324,0.1785,19.1786,15.5153,22.8419,81.0473,21.3878,20.0689,35.0935,177.9868,17.1287,True
2012-02-09,24.4,24.676,23.83,22.2592755387,4780700.0,1.5503,1.376,0.1743,19.474,15.8176,23.1305,81.8457,21.6988,20.3902,36.2562,173.5818,17.4728,True
2012-02-10,24.13,24.36,23.39,21.2753148966,4487900.0,1.485,1.3978,0.0872,19.7225,16.2927,23.1524,69.0794,21.6589,20.5154,34.2149,149.564,15.6208,True
2012-02-13,23.84,23.99,23.1,21.4294838451,3758900.0,1.4292,1.4041,0.0252,19.9941,16.9484,23.0398,69.8684,21.6934,20.6568,34.0973,138.6166,14.4118,True
2012-02-14,23.33,24.0,23.3,21.7468905039,3014600.0,1.3946,1.4022,-0.0076,20.2524,17.5513,22.9534,71.474,21.746,20.8034,30.2225,136.3054,14.4432,False
2012-02-15,24.1,24.83,24.03,21.9826783075,4363600.0,1.3703,1.3958,-0.0255,20.4863,18.0499,22.9227,72.6347,21.7387,20.9528,28.92,141.7329,17.0108,False
2012-02-16,23.92,25.25,23.9,22.8714169519,3727300.0,1.4066,1.398,0.0087,20.7579,18.5395,22.9764,76.4966,21.8612,21.1704,29.4872,142.4129,18.2729,True
2012-02-17,25.41,25.41,24.6,22.5449415315,2643200.0,1.393,1.397,-0.004,20.9153,18.6589,23.1717,72.4712,22.1151,21.3433,18.241,137.8669,18.7516,False
2012-02-21,25.32,25.47,24.6296,22.4723914381,2547000.0,1.3606,1.3897,-0.0291,21.0735,18.8466,23.3004,71.5745,22.3237,21.5259,17.6987,130.7074,18.9327,False
2012-02-22,24.9,24.99,24.56,22.5358727698,2612300.0,1.3248,1.3767,-0.0519,21.2229,19.0248,23.4211,71.9004,22.4815,21.7236,15.748,121.4273,18.6208,False
2012-02-23,24.77,25.6,24.6,23.179754849,4359600.0,1.3331,1.368,-0.0349,21.3948,19.1495,23.6401,75.0142,22.7209,21.9491,14.0312,124.65,20.4794,False
2012-02-24,25.65,25.9799,25.56,23.4518176993,3035400.0,1.346,1.3636,-0.0176,21.5871,19.3287,23.8454,76.2078,22.837,22.1323,16.7636,129.3709,21.6133,False
2012-02-27,25.96,26.99,25.4,24.1183716827,5514100.0,1.394,1.3697,0.0243,21.7954,19.4136,24.1772,78.8588,23.1516,22.3085,21.14,133.2835,24.5232,True
