date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,31.63,31.8,31.34,23.186824467,2444800.0,0.0695,-0.2388,-0.3083,24.3967,21.7257,23.0612,50.1415,22.8377,22.7434,-1.7912,-46.2229,7.8884,True
2012-01-04,31.27,31.8,31.2,23.2531146259,1895000.0,0.0932,-0.1918,-0.285,24.3579,21.7285,23.0432,50.6977,22.9025,22.7238,-2.6034,-49.3818,8.3523,True
2012-01-05,31.29,31.97,31.26,23.5109096883,2085900.0,0.1222,-0.1322,-0.2545,24.2585,21.7697,23.0141,52.8878,23.1132,22.7616,-2.7085,-42.545,7.6827,True
2012-01-06,31.88,32.36,31.5,23.8349949095,2283400.0,0.157,-0.0582,-0.2152,24.1387,21.8379,22.9883,55.5476,23.2958,22.8613,-2.6181,-28.4749,6.1522,True
2012-01-09,32.26,32.97,32.14,24.166445704,2119300.0,0.1937,0.0269,-0.1668,24.2362,21.7876,23.0119,58.1373,23.5905,22.986,-0.2722,-2.7438,3.8055,True
2012-01-10,33.04,34.2,33.03,25.1607980875,2704700.0,0.2715,0.1726,-0.0989,24.4935,21.6142,23.0539,64.7401,23.9853,23.1682,3.1986,48.8233,0.6962,True
2012-01-11,34.0,34.42,33.9,25.2418193928,1622100.0,0.3121,0.2913,-0.0209,24.8569,21.4203,23.1386,65.219,24.383,23.3891,5.9077,66.3212,1.4734,True
2012-01-12,34.43,34.825,34.21,25.5511734676,1827200.0,0.3412,0.4056,0.0644,25.2792,21.2587,23.269,67.0498,24.791,23.5644,7.7506,82.0773,2.8961,True
2012-01-13,34.34,34.72,34.21,25.3743997106,1989300.0,0.3296,0.4764,0.1468,25.5801,21.2613,23.4207,64.9564,25.0989,23.7535,11.104,76.5066,2.8961,True
2012-01-17,34.77,35.18,34.77,25.6763882122,1442800.0,0.323,0.5506,0.2276,25.8947,21.2847,23.5897,66.8508,25.4009,23.9337,14.5555,94.4289,4.5157,True
2012-01-18,35.15,36.64,35.1,26.5013324118,3745700.0,0.3525,0.6682,0.3157,26.3571,21.2296,23.7934,71.3792,25.669,24.164,18.1554,129.7437,9.3935,True
2012-01-19,36.07,36.972,35.9,26.9874602437,2290500.0,0.3807,0.7916,0.4109,26.8142,21.2786,24.0464,73.6518,26.0182,24.4346,20.4692,148.0013,10.4514,True
2012-01-20,36.64,36.64,35.59,26.5381602778,2682500.0,0.346,0.8433,0.4974,27.1459,21.3085,24.2272,68.2828,26.2155,24.7066,17.3983,127.5379,9.2403,True
2012-01-23,36.0,36.39,35.78,26.4497733993,1402200.0,0.2959,0.8672,0.5714,27.3865,21.4591,24.4228,67.2495,26.4306,24.9418,17.0473,121.1108,9.2403,True
2012-01-24,35.58,36.36,35.5775,26.3024619351,2385200.0,0.2344,0.8643,0.6299,27.5824,21.5961,24.5892,65.4801,26.5558,25.1824,16.092,112.4777,8.437,True
2012-01-25,32.27,34.85,29.39,25.5438078944,10564600.0,0.1294,0.7917,0.6623,27.6472,21.781,24.7141,57.179,26.3643,25.3395,10.9873,3.1109,11.731,True
2012-01-26,34.33,34.94,34.29,25.4627865891,2230200.0,0.0456,0.7193,0.6737,27.6716,22.0099,24.8408,56.3614,26.0594,25.4868,11.097,69.9695,11.4245,True
2012-01-27,34.43,34.7,34.06,25.2639161124,1893900.0,-0.0282,0.6385,0.6666,27.5955,22.3667,24.9811,54.3188,25.8045,25.6037,11.4322,61.6077,12.0516,False
2012-01-30,33.83,34.03,33.68,24.9545620376,3192900.0,-0.0987,0.5432,0.642,27.5211,22.6444,25.0827,51.2248,25.5055,25.6784,9.2105,42.2942,13.0854,False
2012-01-31,33.98,34.2458,33.695,25.1166046482,3393800.0,-0.1333,0.4753,0.6086,27.3823,23.0255,25.2039,52.7357,25.2683,25.7417,9.9031,50.0359,12.3229,False
2012-02-01,34.3,34.9,34.23,25.5511734676,1591000.0,-0.1258,0.4514,0.5772,27.2969,23.3473,25.3221,56.5988,25.2698,25.7677,9.7484,75.6735,10.0354,False
2012-02-02,34.68,34.68,34.4,25.4480554427,1499100.0,-0.1263,0.4193,0.5456,27.1635,23.7002,25.4319,55.4466,25.2669,25.7815,9.0566,73.6097,10.0354,False
2012-02-03,34.92,35.44,34.92,25.9783767138,1505000.0,-0.0912,0.4316,0.5228,27.0584,24.0521,25.5552,59.9402,25.4098,25.81,10.8539,100.9834,7.4074,False
2012-02-06,34.94,35.18,34.93,25.8899898353,1488700.0,-0.0748,0.4293,0.5041,26.9417,24.3743,25.658,58.8798,25.5968,25.8443,8.7145,96.2289,7.4074,False
2012-02-07,34.96,35.34,34.7,25.9783767138,1797400.0,-0.0595,0.4297,0.4892,26.8397,24.6574,25.7486,59.6447,25.7692,25.8645,7.1884,94.8696,8.0944,False
2012-02-08,35.23,35.4,35.08,25.985742287,1388100.0,-0.0508,0.4257,0.4765,26.8509,24.7287,25.7898,59.7116,25.8561,25.8301,3.5088,98.4825,7.882,False
2012-02-09,35.35,35.57,35.18,26.1625160441,1253300.0,-0.0358,0.4318,0.4676,26.8776,24.7941,25.8359,61.3593,25.999,25.7751,3.3411,103.5645,7.2748,False
2012-02-10,35.14,35.275,35.0,25.8605275425,1672400.0,-0.048,0.4075,0.4556,26.8848,24.8178,25.8513,57.0861,25.9754,25.7299,1.2922,90.3327,7.8334,False
2012-02-13,35.37,35.5,35.0,25.948914421,1002300.0,-0.0517,0.391,0.4426,26.8906,24.8695,25.88,58.0033,25.9872,25.6965,2.2465,93.4394,7.0139,False
2012-02-14,35.04,35.15,34.595,25.6542914926,2039800.0,-0.0741,0.35,0.4241,26.8905,24.8674,25.8789,53.8899,25.9224,25.6533,-0.0853,77.1889,8.2897,False
2012-02-15,35.04,35.27,34.61,25.5806357605,1633100.0,-0.0928,0.3081,0.4009,26.8102,24.8557,25.8329,52.8854,25.8414,25.6558,-3.7391,75.516,7.8439,False
2012-02-16,34.79,35.55,34.54,26.1477848977,1411100.0,-0.0672,0.3169,0.3841,26.6283,24.9535,25.7909,59.1653,25.8384,25.7014,-3.8462,84.7693,6.8005,False
2012-02-17,35.73,36.11,35.73,26.5234291314,2761200.0,-0.0271,0.3502,0.3773,26.625,24.9554,25.7902,62.6941,25.971,25.7854,-1.4465,108.4127,4.7395,False
2012-02-21,36.05,36.25,35.88,26.5528914243,1528400.0,-0.0021,0.3747,0.3768,26.6474,24.9432,25.7953,62.963,26.0918,25.892,-0.3847,107.9039,4.2281,False
2012-02-22,35.2,36.07,35.2,26.265634069,1691200.0,-0.0081,0.3667,0.3748,26.6414,24.9456,25.7935,58.5532,26.2141,25.9686,-0.7976,89.4813,6.4834,False
2012-02-23,35.58,35.83,35.43,26.2803652155,1501400.0,-0.0139,0.3574,0.3713,26.6954,24.9652,25.8303,58.7121,26.354,26.0172,2.8121,86.7132,6.4834,False
2012-02-24,35.81,36.25,35.45,26.4939668386,1644700.0,-0.0066,0.363,0.3696,26.7756,24.9881,25.8819,61.0328,26.4233,26.0869,3.7493,92.6046,4.9054,False
2012-02-27,35.64,36.28,35.37,26.5897192903,1901100.0,0.0011,0.371,0.3699,26.8454,25.0509,25.9482,62.0572,26.4365,26.1277,4.5533,90.6965,5.1776,True
2012-02-28,36.03,36.26,35.88,26.7149340349,1390500.0,0.0105,0.383,0.3725,26.8694,25.203,26.0362,63.405,26.4689,26.1826,7.0845,99.9584,4.5657,True
2012-02-29,36.31,37.03,36.13,27.0554402598,2491000.0,0.0341,0.4152,0.3811,26.9669,25.2993,26.1331,66.8373,26.6269,26.2545,8.6694,114.4801,1.6715,True
2012-03-01,36.58,37.69,36.52,27.4921765047,3155900.0,0.0716,0.4705,0.399,27.2096,25.2508,26.2302,70.6236,26.8692,26.3549,8.5329,130.2634,0.7237,True
2012-03-02,37.15,37.44,36.47,27.1294633521,1564100.0,0.0645,0.4796,0.4151,27.2993,25.3292,26.3143,64.1103,26.9963,26.4193,8.4969,116.8475,0.5412,True
2012-03-05,36.56,36.64,35.77,26.500267067,2453600.0,0.0127,0.431,0.4183,27.316,25.3647,26.3404,54.7291,26.9785,26.462,3.9016,85.88,1.9868,True
2012-03-06,35.41,35.48,34.48,25.7748407618,2622500.0,-0.0705,0.3302,0.4007,27.3221,25.3471,26.3346,46.3507,26.7904,26.4504,1.3558,43.3146,6.3977,False
2012-03-07,34.94,35.215,34.89,25.8932777096,1601300.0,-0.115,0.2569,0.3719,27.3247,25.336,26.3303,47.7499,26.558,26.4663,0.1433,45.6624,6.3977,False
2012-03-08,35.37,35.59,35.12,26.2856000992,2131200.0,-0.1153,0.2278,0.3431,27.3274,25.3632,26.3453,52.1766,26.3167,26.5133,1.0382,57.9067,4.9774,False
2012-03-09,35.72,36.23,35.62,26.6853247979,1855700.0,-0.087,0.2343,0.3213,27.3605,25.3824,26.3715,56.2252,26.2279,26.5492,2.3635,76.555,2.6004,False
2012-03-12,36.09,36.2,35.89,26.5816924686,989100.0,-0.0743,0.2285,0.3028,27.3717,25.4434,26.4075,54.9334,26.2441,26.553,3.1341,76.2054,2.6004,False
2012-03-13,36.1,36.34,35.93,26.8851871473,1734700.0,-0.0458,0.2455,0.2913,27.4158,25.4929,26.4543,57.9638,26.4662,26.5752,2.8768,82.4099,2.0775,False
2012-03-14,36.37,36.39,35.47,26.5594855409,2087000.0,-0.049,0.2301,0.2791,27.3887,25.6106,26.4996,53.8038,26.5995,26.5948,4.0441,70.4376,3.7171,False
2012-03-15,35.98,36.87,35.88,27.2627049184,1394100.0,-0.0061,0.2715,0.2776,27.4261,25.7413,26.5837,60.3814,26.7949,26.6603,5.0578,94.2696,1.9064,False
2012-03-16,37.04,37.44,36.995,27.5587972879,2495400.0,0.0375,0.3244,0.2869,27.5718,25.7367,26.6543,62.7727,26.9696,26.7313,5.8417,123.0772,0.1977,True
2012-03-19,37.04,37.5,36.98,27.6106134525,1384700.0,0.0635,0.3664,0.3028,27.7134,25.7038,26.7086,63.1893,27.1754,26.7993,4.3673,123.4134,0.4178,True
2012-03-20,37.07,37.07,36.395,27.1146587337,1549600.0,0.0421,0.3555,0.3133,27.7538,25.7196,26.7367,56.6843,27.2213,26.826,2.7721,97.5014,1.731,True
2012-03-21,36.73,36.83,36.49,27.1812795168,864300.0,0.0279,0.3482,0.3203,27.7931,25.7719,26.7825,57.3167,27.3456,26.8344,2.6163,95.8904,1.731,True
2012-03-22,36.53,36.61,36.335,27.0258310228,1730900.0,0.0046,0.3261,0.3215,27.8083,25.8312,26.8198,55.2984,27.2982,26.8033,2.6866,85.4437,2.3039,True
2012-03-23,36.66,36.66,36.27,26.9296010028,1429700.0,-0.0192,0.2974,0.3167,27.8195,25.8635,26.8415,54.0363,27.1724,26.7899,1.6354,82.1253,2.5461,False
2012-03-26,36.62,37.1,36.45,27.4625672678,1620800.0,-0.0021,0.3141,0.3162,27.8918,25.8785,26.8852,59.5188,27.1428,26.8541,2.7702,105.3292,0.8249,False
2012-03-27,37.22,37.37,36.81,27.2923141553,1344700.0,-0.0049,0.31,0.3149,27.9326,25.8956,26.9141,57.1843,27.1783,26.9553,3.0612,111.6784,0.2202,False
2012-03-28,36.84,36.98,36.08,26.781554818,1385600.0,-0.0419,0.2625,0.3044,27.9183,25.8825,26.9004,50.7819,27.0984,27.0145,-0.135,75.0759,2.557,False
2012-03-29,35.94,36.24,35.76,26.781554818,1180700.0,-0.0657,0.2223,0.288,27.8466,25.8831,26.8648,50.7819,27.0495,27.0475,-3.8472,51.5549,3.7461,False
2012-03-30,37.3,37.54,36.46,27.2034864445,2474500.0,-0.0529,0.2219,0.2748,27.8548,25.8823,26.8685,55.506,27.1043,27.0821,0.2671,105.0377,1.2331,False
2012-04-02,36.74,37.2,36.38,27.3663372477,2326800.0,-0.0342,0.2321,0.2662,27.9056,25.918,26.9118,57.2046,27.085,27.1344,1.5284,99.5666,0.9299,False
2012-04-03,36.88,37.06,36.16,26.8555779104,2302600.0,-0.0557,0.1967,0.2523,27.8132,26.1185,26.9659,50.7004,26.9977,27.1324,4.4532,73.3199,0.0917,False
2012-04-04,35.98,36.06,35.38,26.2041746976,2393100.0,-0.1101,0.1147,0.2248,27.758,26.2049,26.9814,43.8824,26.8822,27.1087,2.3995,4.0114,2.8183,False
2012-04-05,35.15,35.58,35.14,26.093140059,1837800.0,-0.1476,0.0403,0.1879,27.7864,26.1572,26.9718,42.8305,26.7445,27.0308,-0.0281,-21.8708,3.6944,False
2012-04-09,34.67,34.89,34.38,25.7748407618,1993200.0,-0.1854,-0.0438,0.1416,27.8883,25.9643,26.9263,39.8934,26.4588,26.9118,-3.6986,-75.1841,6.4115,False
2012-04-10,34.83,35.01,34.38,25.4565414647,3049500.0,-0.2209,-0.1346,0.0863,28.0194,25.7206,26.87,37.1629,26.0769,26.7682,-3.2873,-84.3961,5.9316,False
2012-04-11,34.77,34.84,34.48,25.5971853402,1824000.0,-0.2235,-0.193,0.0305,28.0817,25.5295,26.8056,39.1351,25.8252,26.6671,-4.1277,-82.1872,5.9316,False
2012-04-12,34.61,35.32,34.5,26.0783354405,2197500.0,-0.1829,-0.1982,-0.0153,28.093,25.4701,26.7816,45.4148,25.8,26.5935,-2.9404,-50.6019,3.9916,False
2012-04-13,35.08,35.25,34.76,25.7304269064,1528700.0,-0.1699,-0.2277,-0.0577,28.0728,25.3371,26.7049,42.0534,25.7275,26.5072,-4.3938,-56.6085,3.9916,False
2012-04-16,35.02,35.42,34.65,25.9895077297,1666000.0,-0.1359,-0.2276,-0.0917,27.9692,25.2837,26.6265,45.2846,25.7704,26.4445,-5.3953,-43.5696,3.2986,False
2012-04-17,35.47,35.83,35.28,26.3818301192,1902600.0,-0.0815,-0.1936,-0.1121,27.8324,25.2977,26.565,49.824,25.9555,26.3725,-4.4533,0.6946,1.6376,False
2012-04-18,35.38,35.41,35.03,26.0339215851,1421100.0,-0.0643,-0.1925,-0.1282,27.7721,25.2499,26.511,46.1835,26.0428,26.2886,-4.478,-30.3561,2.6087,False
2012-04-19,35.12,35.54,34.76,25.9302892558,1783000.0,-0.0557,-0.1977,-0.1421,27.6944,25.2025,26.4485,45.1311,26.0132,26.2318,-3.5026,-37.1411,3.6534,False
2012-04-20,35.13,35.28,34.97,25.9524961835,2231100.0,-0.0446,-0.1978,-0.1532,27.629,25.1605,26.3948,45.4166,26.0576,26.1765,-3.6329,-42.8616,3.6534,False
2012-04-23,34.72,34.82,34.52,25.6564038141,1790100.0,-0.0528,-0.2192,-0.1664,27.5797,25.0825,26.3311,42.2735,25.991,26.0734,-5.0191,-81.8567,5.4024,False
2012-04-24,34.76,35.02,34.36,25.5379668663,2128600.0,-0.0612,-0.243,-0.1817,27.4146,25.0552,26.2349,41.0557,25.8222,25.9515,-5.6065,-86.82,4.5446,False
2012-04-25,33.92,36.04,33.89,26.6409109425,2589300.0,0.0087,-0.1708,-0.1796,27.2963,25.1083,26.2023,54.2151,25.9436,25.9372,-3.559,-29.7723,0.3107,True
2012-04-26,35.97,36.9983,35.87,27.2404979907,3153100.0,0.092,-0.0645,-0.1565,27.3842,25.0663,26.2253,59.4836,26.2057,26.0063,0.0495,82.0897,3.4261,True
2012-04-27,36.96,37.0,36.29,27.1220610429,2674100.0,0.1333,0.0101,-0.1232,27.4427,25.0419,26.2423,58.0694,26.4396,26.0749,2.0971,87.1968,3.4326,True
2012-04-30,36.41,36.8,36.36,26.9888194766,1142200.0,0.1448,0.0578,-0.087,27.4008,25.0623,26.2316,56.4517,26.7061,26.1558,-1.9712,74.8638,3.4326,True
2012-05-01,36.34,36.93,36.3,26.8999917658,1499100.0,0.1395,0.0874,-0.0521,27.3023,25.1142,26.2082,55.3503,26.9785,26.252,-0.7258,70.7471,3.9431,True
2012-05-02,36.17,36.26,36.05,26.8333709827,1281400.0,0.1251,0.1043,-0.0209,27.2986,25.1157,26.2071,54.4959,27.0169,26.3345,-2.1587,37.3218,2.8795,True
2012-05-03,36.21,36.21,35.415,26.248588553,1272400.0,0.0724,0.0697,-0.0028,27.3009,25.1178,26.2094,47.5874,26.8186,26.3458,0.416,-10.9459,0.2302,True
2012-05-04,35.24,35.24,34.4,25.4713460831,1821100.0,-0.014,-0.0202,-0.0062,27.3158,25.0408,26.1783,40.3103,26.4884,26.3285,-0.9556,-107.4594,3.7967,False
2012-05-07,34.32,34.49,33.94,25.1678514044,1269500.0,-0.0867,-0.1146,-0.0279,27.357,24.9389,26.1479,37.8865,26.1242,26.2738,-1.1465,-153.6567,5.5457,False
2012-05-08,33.87,34.01,33.335,25.1160352398,1523000.0,-0.1308,-0.1914,-0.0606,27.3871,24.8747,26.1309,37.4743,25.7674,26.1894,-2.8563,-182.8458,7.788,False
2012-05-09,33.51,34.0101,33.36,25.0272075289,1633300.0,-0.1567,-0.2565,-0.0998,27.4296,24.7752,26.1024,36.7401,25.4062,26.1223,-2.382,-178.238,7.7875,False
2012-05-10,34.05,34.05,33.31,24.7311151595,1377200.0,-0.1827,-0.3282,-0.1455,27.4908,24.5793,26.035,34.3375,25.1027,26.0423,-3.5957,-184.1272,7.9743,False
2012-05-11,33.21,33.79,33.17,24.6274828302,1325800.0,-0.1947,-0.3889,-0.1942,27.5562,24.4036,25.9799,33.5156,24.9339,25.954,-4.1418,-192.2086,8.5018,False
2012-05-14,32.82,33.03,32.67,24.2277581314,1913100.0,-0.2158,-0.4639,-0.2481,27.6433,24.1403,25.8918,30.4987,24.7459,25.8587,-6.7476,-227.8824,10.368,False
2012-05-15,32.71,32.79,32.39,24.057505019,2138300.0,-0.2263,-0.531,-0.3047,27.6831,23.8681,25.7756,29.2953,24.5342,25.76,-8.4845,-228.876,11.3972,False
2012-05-16,33.09,33.18,32.32,23.9316657619,2443900.0,-0.2262,-0.5875,-0.3612,27.7347,23.6062,25.6705,28.4076,24.3151,25.5794,-6.2977,-209.2484,9.6144,False
2012-05-17,32.4,32.45,31.25,23.1322163644,2832700.0,-0.2621,-0.6888,-0.4268,27.8668,23.1944,25.5306,23.5504,23.9953,25.3055,-8.6944,-253.9849,13.4778,False
2012-05-18,31.26,31.35,30.61,22.7028824287,3099800.0,-0.2943,-0.7947,-0.5003,27.9979,22.7383,25.3681,21.441,23.6104,25.0109,-11.1395,-276.9223,15.6703,False
2012-05-21,30.71,31.68,30.67,23.3838948784,1801800.0,-0.2511,-0.8142,-0.5631,28.0176,22.4913,25.2545,31.8198,23.4416,24.7706,-9.0178,-230.9188,14.1534,False
2012-05-22,31.73,31.96,31.305,23.3616879507,1772400.0,-0.2071,-0.822,-0.6149,28.0245,22.2668,25.1456,31.6736,23.3025,24.5347,-8.7379,-199.2766,12.8762,False
2012-05-23,31.29,31.67,30.82,23.3838948784,1700000.0,-0.1616,-0.8169,-0.6553,27.8734,22.0922,24.9828,32.0083,23.1929,24.3047,-12.1254,-198.7805,14.5601,False
2012-05-24,31.63,31.67,30.92,23.087802509,1153600.0,-0.1376,-0.8273,-0.6897,27.5826,21.9677,24.7752,29.9148,23.184,24.094,-14.4015,-191.6816,14.5601,False
2012-05-25,31.27,31.7699,31.16,23.3986994969,1194600.0,-0.0892,-0.8012,-0.712,27.2386,21.9394,24.589,34.7182,23.3232,23.9558,-14.1354,-169.2293,14.0904,False
2012-05-29,31.93,32.5,31.83,24.0056888543,1716000.0,-0.009,-0.7232,-0.7142,26.858,22.0216,24.4398,42.9039,23.4476,23.8784,-11.6848,-126.9166,10.7164,False
2012-05-30,31.96,32.0,31.56,23.746608031,2068100.0,0.0318,-0.6745,-0.7063,26.4348,22.1295,24.2822,40.5771,23.5245,23.7871,-12.7786,-130.6351,10.944,True
2012-05-31,31.79,31.9,31.12,23.4113092041,2303900.0,0.0407,-0.6554,-0.6961,25.9459,22.2762,24.1111,37.7391,23.53,23.6793,-11.4446,-137.4474,12.5621,True
2012-06-01,30.8,30.87,30.4,22.7332604652,2987500.0,0.0072,-0.6871,-0.6943,25.5812,22.2894,23.9353,32.7727,23.4591,23.5462,-14.1856,-165.3717,15.1283,True
2012-06-04,30.5,30.79,30.18,22.7779669755,1612800.0,-0.0049,-0.7005,-0.6955,25.3603,22.241,23.8006,33.3919,23.335,23.4229,-12.052,-158.6763,15.8953,False
