date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,13.95,14.03,13.73,12.90813856,4792900.0,0.0821,0.0368,0.0453,13.2433,12.0219,12.6326,54.2882,12.7185,12.5733,2.3341,50.6753,3.9248,True
2012-01-04,13.66,14.31,13.53,13.3118112568,5365000.0,0.1273,0.0656,0.0617,13.3439,11.9861,12.665,58.5812,12.8218,12.6021,4.5289,69.1806,5.703,True
2012-01-05,14.08,14.66,13.99,13.7248716907,6030700.0,0.1943,0.106,0.0882,13.5334,11.8914,12.7124,62.4477,13.0809,12.6872,6.4633,117.2628,7.8706,True
2012-01-06,14.6,14.78,14.49,13.7342594278,3583900.0,0.2452,0.1256,0.1196,13.6935,11.8252,12.7593,62.5328,13.2949,12.7967,7.962,139.2445,8.6031,True
2012-01-09,14.68,14.99,14.54,13.9783405933,5594200.0,0.3018,0.1458,0.1561,13.8988,11.7616,12.8302,64.7593,13.5315,12.9232,9.7365,154.3282,9.8783,True
2012-01-10,15.09,15.15,14.92,14.1191566504,5715600.0,0.354,0.1583,0.1957,14.0694,11.6774,12.8734,66.008,13.7737,13.0383,6.8406,174.5816,10.8422,True
2012-01-11,14.96,15.22,14.95,14.1848708103,3375700.0,0.3961,0.1603,0.2357,14.2643,11.613,12.9386,66.5997,13.9483,13.1823,9.8124,173.501,11.2644,True
2012-01-12,15.22,15.25,14.91,14.1473198618,4814600.0,0.4215,0.1486,0.2729,14.4281,11.6191,13.0236,65.8974,14.0328,13.2768,10.1083,164.7091,10.959,True
2012-01-13,14.92,14.98,14.72,13.9314019077,3015900.0,0.4194,0.1172,0.3022,14.5048,11.7264,13.1156,61.8775,14.0722,13.3656,12.9713,132.4614,9.5073,True
2012-01-17,14.91,15.22,14.86,14.2411972331,4370500.0,0.4377,0.1084,0.3293,14.6103,11.8369,13.2236,65.146,14.1248,13.4583,13.9222,151.9757,11.003,True
2012-01-18,15.2,15.97,15.08,14.8044614612,7104800.0,0.492,0.1302,0.3618,14.8362,11.8522,13.3442,70.1342,14.2619,13.5847,19.805,197.9885,15.4447,True
2012-01-19,15.75,16.15,15.69,15.1330322609,5559600.0,0.5551,0.1546,0.4005,15.0558,11.9433,13.4996,72.5863,14.4515,13.7405,21.0645,221.9719,16.4623,True
2012-01-20,16.04,16.17,15.98,15.1518077352,4378800.0,0.5997,0.1594,0.4403,15.2912,11.9501,13.6207,72.7234,14.6524,13.922,18.6354,217.1291,16.5757,True
2012-01-23,16.13,16.24,15.93,15.1142567866,6302800.0,0.6249,0.1476,0.4772,15.4683,12.0247,13.7465,71.9522,14.889,14.0854,20.0296,201.1491,16.977,True
2012-01-24,15.98,16.49,15.98,15.3020115293,7087700.0,0.6524,0.1402,0.5123,15.6658,12.0722,13.869,73.4599,15.1011,14.2525,19.3198,201.233,18.4026,True
2012-01-25,16.29,16.33,16.03,15.142419998,7331400.0,0.6539,0.1133,0.5406,15.8023,12.1591,13.9807,70.0315,15.1687,14.4014,18.6773,182.8235,18.4026,True
2012-01-26,17.25,17.5,16.29,15.4052766378,14683500.0,0.6685,0.1023,0.5662,15.9483,12.2741,14.1112,72.3119,15.2232,14.541,26.4451,217.3895,24.6634,True
2012-01-27,16.44,17.0,16.39,15.9122144431,6306500.0,0.7128,0.1173,0.5955,16.112,12.4586,14.2853,76.0738,15.3752,14.6868,23.9971,206.7797,24.6634,True
2012-01-30,16.7,16.7,16.26,15.4991540091,6496600.0,0.7064,0.0887,0.6177,16.1664,12.6877,14.4271,68.0071,15.4522,14.8045,23.3383,173.0739,23.5739,True
2012-01-31,16.55,16.77,16.25,15.348950215,3582600.0,0.6814,0.0509,0.6304,16.1665,12.943,14.5547,65.309,15.4616,14.8958,22.2303,160.2386,23.9379,True
2012-02-01,16.53,16.84,16.5,15.5085417463,5385300.0,0.6667,0.029,0.6377,16.1578,13.2117,14.6848,66.8081,15.5348,14.9885,20.0285,161.6462,24.3046,True
2012-02-02,16.62,16.95,16.62,15.7526229118,4427100.0,0.6671,0.0236,0.6436,16.2073,13.4064,14.8068,69.0031,15.6043,15.093,18.4486,162.9536,24.8832,True
2012-02-03,17.04,17.13,16.85,15.9873163401,3531100.0,0.6786,0.028,0.6506,16.318,13.5218,14.9199,70.9801,15.6193,15.2156,16.8486,165.4869,25.8268,True
2012-02-06,16.83,16.87,16.59,15.6587455404,3253900.0,0.6536,0.0024,0.6512,16.3374,13.6949,15.0162,64.7822,15.6512,15.3308,14.1407,139.9613,23.5472,True
2012-02-07,16.58,16.68,16.45,15.5836436433,4239200.0,0.6206,-0.0245,0.645,16.349,13.8439,15.0964,63.4259,15.6982,15.4203,11.2742,125.2634,22.3335,False
2012-02-08,16.59,17.0,16.58,15.7526229118,3812700.0,0.6011,-0.0352,0.6363,16.377,13.9792,15.1781,65.1832,15.747,15.4835,12.2112,129.8543,24.0673,False
2012-02-09,16.83,16.94,16.73,15.7526229118,2607600.0,0.579,-0.0458,0.6248,16.3885,14.1245,15.2565,65.1832,15.747,15.5248,11.3009,124.6526,24.0673,False
2012-02-10,16.67,16.74,16.44,15.489766272,2458000.0,0.5341,-0.0725,0.6067,16.3376,14.3096,15.3236,60.0325,15.6475,15.5473,9.7705,106.0769,21.5247,False
2012-02-13,16.69,16.78,16.31,15.4709907977,2638700.0,0.4914,-0.0922,0.5836,16.1888,14.6124,15.4006,59.6717,15.6099,15.5711,12.016,99.5629,20.3998,False
2012-02-14,16.42,16.83,16.38,15.771398386,4254800.0,0.4762,-0.0859,0.5621,16.0742,14.88,15.4771,63.4391,15.6475,15.6024,10.5782,102.0362,20.687,False
2012-02-15,16.9,17.03,16.72,15.771398386,4692600.0,0.459,-0.0825,0.5415,16.0489,15.002,15.5254,63.4391,15.6512,15.6444,6.6374,105.9904,21.834,False
2012-02-16,16.82,17.46,16.79,16.2407852428,5285000.0,0.4776,-0.0511,0.5287,16.1581,15.0035,15.5808,68.6862,15.7489,15.7001,8.1115,116.5358,24.2298,False
2012-02-17,17.4,17.49,17.0,15.9685408659,3323600.0,0.4651,-0.0509,0.516,16.1872,15.0561,15.6217,63.062,15.8446,15.7038,8.1633,111.3628,24.3943,False
2012-02-21,17.04,17.04,16.41,15.5273172205,3299500.0,0.4148,-0.081,0.4958,16.1604,15.1242,15.6423,55.2117,15.8559,15.7057,4.9261,85.5307,19.2202,False
2012-02-22,16.44,16.58,16.15,15.2362973694,3946800.0,0.3474,-0.1187,0.4661,16.1665,15.1116,15.639,50.7474,15.7489,15.6982,0.5458,67.5147,17.0386,False
2012-02-23,16.22,16.62,16.02,15.5648681691,3166600.0,0.3169,-0.1193,0.4363,16.1379,15.1825,15.6602,55.1357,15.7076,15.7019,1.7759,69.1967,15.9596,False
2012-02-24,16.59,16.65,16.31,15.3771134264,1545700.0,0.2744,-0.1295,0.4039,16.1396,15.1779,15.6587,52.2836,15.5348,15.6769,-4.8571,68.8694,16.1411,False
2012-02-27,16.19,16.78,16.14,15.5179294834,2845000.0,0.2492,-0.1237,0.373,16.1089,15.1692,15.639,54.1879,15.4447,15.6456,-1.2941,68.4414,14.7139,False
2012-02-28,16.57,16.99,16.5,15.7620106489,2508500.0,0.2461,-0.1015,0.3476,16.1204,15.184,15.6522,57.349,15.4916,15.6525,1.7365,79.212,16.0104,False
2012-02-29,16.8,16.82,16.29,15.4146643749,2734000.0,0.2132,-0.1075,0.3207,16.1159,15.195,15.6555,51.8898,15.5273,15.6412,0.2982,64.6862,14.2443,False
2012-03-01,16.51,16.61,16.24,15.3207870036,1936300.0,0.1774,-0.1146,0.292,16.1254,15.1667,15.6461,50.4978,15.4785,15.6124,-1.3658,56.7925,13.8247,False
2012-03-02,16.32,16.48,16.01,15.1236445237,3430400.0,0.1317,-0.1283,0.26,16.142,15.0872,15.6146,47.6233,15.4278,15.5705,-2.7729,45.6373,11.9022,False
2012-03-05,16.11,16.15,15.21,14.372625553,6580000.0,0.0344,-0.1804,0.2149,16.2638,14.804,15.5339,38.6447,15.1987,15.496,-5.721,11.7837,5.5935,False
2012-03-06,15.07,15.25,15.06,14.2130340217,4628200.0,-0.0549,-0.2158,0.1609,16.3877,14.5355,15.4616,37.0541,14.889,15.4122,-9.6028,-10.7873,4.4705,False
2012-03-07,15.27,15.75,15.23,14.7762982498,4575400.0,-0.0793,-0.1922,0.1129,16.3919,14.4506,15.4212,45.5316,14.7613,15.3458,-5.5755,9.9072,7.7947,False
2012-03-08,15.91,16.08,15.85,14.9265020439,3861600.0,-0.0855,-0.1587,0.0732,16.3609,14.399,15.3799,47.5499,14.6824,15.2895,-5.4118,28.5741,9.8991,False
