date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,42.83,43.0,41.29,20.815,1868600.0,0.3223,0.1794,-0.1428,21.8558,22.74,20.9715,44.2415,21.656,21.7653,-2.6489,19.3342,5.5327,False
2012-01-04,41.42,41.55,40.01,20.105,1376700.0,0.2656,0.039,-0.2266,21.757,22.9171,20.5969,39.2221,21.217,21.6483,-7.6667,-25.7607,2.2178,False
2012-01-05,40.12,40.99,39.81,20.385,962500.0,0.2027,-0.0491,-0.2518,21.6733,22.9678,20.3787,42.0024,20.973,21.5557,-7.5135,-30.5623,1.7101,False
2012-01-06,40.79,40.93,39.91,20.075,582400.0,0.1337,-0.1423,-0.276,21.5555,22.9757,20.1353,39.8405,20.616,21.4703,-9.0242,-39.646,1.7101,False
2012-01-09,40.46,41.82,40.1,20.87,755300.0,0.0769,-0.1503,-0.2272,21.513,22.9615,20.0645,47.2945,20.45,21.4393,-6.4848,-12.096,3.9064,False
2012-01-10,42.08,43.06,42.0725,21.505,744100.0,0.0407,-0.1042,-0.1449,21.471,22.8684,20.0736,52.3474,20.588,21.449,-4.0553,37.7406,6.8555,False
2012-01-11,42.76,43.24,42.752,21.535,476000.0,0.0196,-0.0645,-0.0841,21.4548,22.8412,20.0683,52.5775,20.874,21.4597,-2.3487,47.1079,7.2756,False
2012-01-12,43.25,43.98,42.96,21.89,579900.0,0.0148,-0.0043,-0.0192,21.4605,22.8531,20.0679,55.3137,21.175,21.4213,-1.0351,66.1547,8.9915,False
2012-01-13,43.27,43.49,42.6507,21.565,398600.0,0.0152,0.0169,0.0017,21.471,22.8635,20.0785,52.3509,21.473,21.3923,-1.4949,45.7192,8.1409,True
2012-01-17,43.22,43.99,42.65,21.42,402200.0,0.0166,0.0218,0.0052,21.4753,22.8666,20.0839,51.044,21.583,21.3297,1.7345,46.7449,9.3046,True
2012-01-18,43.0,43.8,42.22,21.89,594100.0,0.0258,0.0629,0.0371,21.5018,22.9034,20.1001,54.9499,21.66,21.3013,1.2951,49.6183,8.1068,True
2012-01-19,44.0,45.06,43.827,22.35,588400.0,0.0469,0.1311,0.0842,21.5505,22.9982,20.1028,58.428,21.823,21.3047,2.9707,107.2914,11.0126,True
2012-01-20,44.69,44.9858,44.38,22.205,351900.0,0.0718,0.1714,0.0996,21.5375,22.9565,20.1185,56.9432,21.886,21.3447,-0.0316,108.8742,11.0126,True
2012-01-23,44.46,44.6,43.67,22.13,268800.0,0.0964,0.1951,0.0986,21.544,22.9726,20.1154,56.1524,21.999,21.3627,-0.4849,87.0537,9.0039,True
