date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,29.6,29.94,29.5,23.4493008124,7226200.0,-0.0643,0.072,-0.1363,21.9108,24.2703,23.0905,52.5441,23.1546,22.8446,-1.9325,-17.5314,1.0765,True
2012-01-04,29.54,29.75,29.24,23.3035061342,5837400.0,-0.0418,0.0756,-0.1174,21.9285,24.2006,23.0645,51.2297,23.1451,22.8677,-2.9997,-36.2656,2.1935,True
2012-01-05,29.44,29.9,29.44,23.4690027959,6568700.0,-0.0105,0.0855,-0.0961,21.9643,24.1143,23.0393,52.6696,23.257,22.9397,-2.0796,-21.3196,1.5209,True
2012-01-06,29.61,29.78,29.46,23.4690027959,6052800.0,0.0141,0.0881,-0.074,22.039,23.9695,23.0042,52.6696,23.3264,23.0311,-3.7492,-24.3709,1.5209,True
2012-01-09,29.72,30.27,29.7,23.7684729458,8040700.0,0.0571,0.1049,-0.0478,22.0227,24.0047,23.0137,55.4048,23.4919,23.1178,-2.4492,5.4732,0.6871,True
2012-01-10,30.25,30.69,30.06,24.17039341,10151400.0,0.1222,0.136,-0.0138,21.9568,24.1282,23.0425,58.8262,23.6361,23.2218,2.2489,39.7449,2.5349,True
2012-01-11,30.52,30.78,30.29,24.2176781705,6446000.0,0.1756,0.1515,0.0241,21.9065,24.3045,23.1055,59.2206,23.8189,23.3679,3.8812,50.031,2.9284,True
2012-01-12,30.79,31.44,30.64,24.7181085525,8783200.0,0.2554,0.185,0.0704,21.88,24.5639,23.2219,63.2157,24.0687,23.4716,6.5763,91.8383,5.7662,True
2012-01-13,31.11,31.36,30.81,24.3910556257,8155900.0,0.2889,0.1748,0.1141,22.0066,24.6666,23.3366,59.1575,24.2531,23.5972,9.1542,81.4638,5.7662,True
2012-01-17,31.34,31.38,31.0,24.48168475,5753900.0,0.3191,0.164,0.1551,22.0809,24.7937,23.4373,59.9214,24.3958,23.6794,9.7971,87.475,5.8525,True
2012-01-18,31.97,33.83,31.96,26.5740354022,27363300.0,0.506,0.2807,0.2252,21.761,25.5099,23.6355,72.5987,24.8765,23.889,16.2543,228.8324,15.4892,True
2012-01-19,33.44,34.1,33.31,26.6528433364,14179800.0,0.6529,0.3422,0.3108,21.7213,26.0122,23.8668,72.944,25.3635,24.1092,18.4851,252.5864,16.4476,True
