date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,30.87,31.4099,30.2235,30.34,178000.0,-0.0581,-0.0066,-0.0647,31.7096,29.0954,30.4025,50.2027,30.292,30.15,-0.8213,24.5035,9.2331,False
2012-01-04,30.29,30.48,29.67,30.36,262000.0,-0.0569,0.0047,-0.0522,31.619,29.104,30.3615,50.3308,30.242,30.0993,-3.5138,-5.5153,6.8198,True
2012-01-05,30.21,31.5,30.09,31.09,245200.0,-0.0423,0.0587,0.0165,31.5882,29.1178,30.353,54.8701,30.476,30.1373,0.4464,33.3586,10.5245,True
2012-01-06,31.05,32.38,30.67,31.81,438500.0,-0.0083,0.1358,0.1275,31.774,29.026,30.4,58.8447,30.742,30.29,4.0154,75.3403,13.5404,True
2012-01-09,31.89,32.08,31.11,31.56,186100.0,0.032,0.1611,0.1931,31.9188,28.9902,30.4545,56.9778,31.032,30.4127,4.0883,71.1749,13.5404,True
2012-01-10,32.01,32.01,31.65,31.86,132300.0,0.0788,0.1874,0.2662,31.8779,29.0151,30.4465,58.6639,31.336,30.5527,-0.8057,85.6149,13.5404,True
2012-01-11,31.84,32.59,31.84,32.45,235100.0,0.1366,0.231,0.3676,32.1693,28.8567,30.513,61.8171,31.754,30.7667,3.0025,113.0273,15.5144,True
2012-01-12,32.52,33.13,32.52,33.05,160000.0,0.2074,0.2832,0.4906,32.6311,28.6479,30.6395,64.7472,32.146,30.928,4.61,150.3288,17.3021,True
2012-01-13,32.89,33.45,32.835,33.4,261000.0,0.2878,0.3216,0.6094,33.0895,28.5775,30.8335,66.3605,32.464,31.162,9.8162,167.9583,18.3434,True
2012-01-17,33.67,34.0,33.43,33.73,275500.0,0.3746,0.3472,0.7218,33.5556,28.5124,31.034,67.8471,32.898,31.4087,13.3711,195.8297,20.1018,True
2012-01-18,33.84,33.84,33.54,33.8,120400.0,0.4611,0.3461,0.8072,33.9565,28.5155,31.236,68.1668,33.286,31.638,11.6095,191.5617,20.1018,True
2012-01-19,33.85,34.75,33.79,34.61,212200.0,0.5548,0.3748,0.9296,34.4358,28.5732,31.5045,71.6604,33.718,31.9047,14.4221,228.4116,22.9411,True
2012-01-20,34.63,34.83,34.5,34.66,156900.0,0.6476,0.3712,1.0188,34.9105,28.5015,31.706,71.8646,34.04,32.2207,13.6378,236.5659,23.1852,True
2012-01-23,34.7,35.11,34.22,34.38,244400.0,0.729,0.3258,1.0548,35.2225,28.6385,31.9305,68.8862,34.236,32.4807,14.9264,219.7839,23.1852,True
2012-01-24,34.22,34.59,34.06,34.44,212200.0,0.7984,0.2774,1.0757,35.4947,28.8073,32.151,69.1794,34.378,32.7693,13.9328,198.1459,22.3835,True
2012-01-25,34.44,34.82,34.17,34.81,238900.0,0.8606,0.2488,1.1094,35.802,28.945,32.3735,70.9863,34.58,33.0673,14.6904,198.9403,23.115,True
2012-01-26,35.09,35.4,34.88,35.38,199800.0,0.9222,0.2464,1.1686,36.1775,29.0465,32.612,73.5462,34.734,33.402,14.9351,223.892,24.9293,True
2012-01-27,35.19,35.4,35.03,35.3,166600.0,0.9768,0.2185,1.1953,36.4051,29.3569,32.881,72.5832,34.862,33.6827,15.6107,208.4718,24.9293,True
2012-01-30,35.0,35.27,34.83,35.12,138500.0,1.0191,0.1691,1.1883,36.5848,29.6412,33.113,70.3622,35.01,33.9033,14.8112,185.8683,23.8867,True
2012-01-31,35.37,35.54,35.0,35.13,115600.0,1.0493,0.1207,1.17,36.6521,30.0759,33.364,70.416,35.148,34.1413,16.1818,179.8654,24.7489,True
